Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2023-11-30,169.0,298.0,344.05,295.3,301.4,38028100,11779638189.15,430854
2023-12-01,301.4,305.0,307.3,277.5,280.55,9394355,2687893504.6,161633
2023-12-04,280.55,281.5,284.95,269.4,272.45,4705188,1287104640.4,75644
2023-12-05,272.45,272.45,283.45,271.5,272.45,2539531,702717136.35,40074
2023-12-06,272.45,274.5,276.1,269.45,270.8,1219061,330403630.7,24116
2023-12-07,270.8,271.9,276.7,270.0,271.75,1174480,321069204.65,21141
2023-12-08,271.75,275.0,278.3,270.9,272.1,1095017,300219496.95,21336
2023-12-11,272.1,274.5,313.85,273.5,298.5,16052141,4822997902.6,168579
2023-12-12,298.5,303.5,319.8,302.3,304.45,8651220,2689972994.25,110247
2023-12-13,304.45,311.0,314.45,305.0,308.9,2507953,773856778.35,31181
2023-12-14,308.9,314.0,314.4,305.0,306.55,3496389,1077476937.7,42161
2023-12-15,306.55,308.1,313.5,304.25,309.7,2630017,814453918.55,35935
2023-12-18,309.7,281.55,294.9,281.55,291.3,3322105,967109725.25,47157
2023-12-19,291.3,297.0,304.0,289.0,290.65,3527214,1046782197.9,46963
2023-12-20,290.65,293.5,293.95,273.05,277.1,3255141,933943707.4,59967
2023-12-21,277.1,272.7,284.4,270.75,280.75,2410973,673696083.95,45338
2023-12-22,280.75,283.7,286.65,277.1,281.5,994618,281180856.8,21581
2023-12-26,281.5,283.0,286.6,278.55,279.85,533474,150117996.1,13649
2023-12-27,279.85,281.05,283.9,276.05,277.6,906314,254412108.3,18772
2023-12-28,277.6,279.8,280.4,272.5,272.85,909812,249413661.65,20330
2023-12-29,272.85,273.35,275.85,270.5,272.95,774226,211570321.1,14677
2024-01-01,272.95,275.95,281.85,273.5,275.0,893863,247338473.05,17185
2024-01-02,275.0,276.75,278.8,270.4,271.35,795520,217302855.8,14625
2024-01-03,271.35,272.2,273.65,270.8,272.25,535764,145821204.0,11455
2024-01-04,272.25,272.5,274.4,270.05,271.2,621021,168868294.55,14189
2024-01-05,271.2,273.6,273.6,263.55,265.55,1289557,345789167.35,25395
2024-01-08,265.55,266.05,268.4,257.3,259.6,1389536,363172358.9,29028
2024-01-09,259.6,261.1,263.05,256.2,256.95,750021,193878225.65,21463
2024-01-10,256.95,257.95,258.3,253.0,255.5,656800,167185726.7,19254
2024-01-11,255.5,256.95,260.55,253.0,253.15,1163842,297296535.3,23871
2024-01-12,253.15,254.95,267.65,253.4,260.55,1768739,464170438.15,27527
2024-01-15,260.55,263.8,264.55,257.5,259.55,613441,159367140.25,19246
2024-01-16,259.55,259.95,260.5,255.65,257.95,463521,119576964.0,10697
2024-01-17,257.95,256.95,260.65,253.0,254.7,814025,208929826.4,16090
2024-01-18,254.7,254.7,256.45,249.0,253.95,461838,116867759.5,12435
2024-01-19,253.95,257.15,258.05,253.0,254.8,398038,101643343.85,12626
2024-01-23,261.7,264.85,264.85,250.05,252.65,1043232,267230633.35,29882
2024-01-24,252.65,254.95,256.4,249.0,250.8,576706,145307631.75,15489
2024-01-25,250.8,255.65,255.65,249.5,250.75,630167,158351618.8,15101
2024-01-29,250.75,251.85,254.5,247.0,247.9,599859,150312806.7,14228
2024-01-30,247.9,248.5,249.95,245.0,245.7,506289,124856409.3,14562
2024-01-31,245.7,246.1,251.3,244.7,245.3,622712,153617638.6,14436
2024-02-01,245.3,246.95,247.5,243.5,244.4,442514,108396377.95,11325
2024-02-02,244.4,246.5,249.5,244.4,245.35,551274,135806488.8,14233
2024-02-05,245.35,246.9,247.0,238.0,239.1,605163,146205574.5,18455
2024-02-06,239.1,240.0,247.15,234.4,244.65,1047858,253002755.3,30127
2024-02-07,244.65,247.0,253.45,245.45,250.65,987009,246766985.15,23694
2024-02-08,250.65,252.05,253.5,246.7,247.9,365599,91427943.9,12426
2024-02-09,247.9,249.0,249.0,239.25,242.05,372457,90326805.2,14865
2024-02-12,242.05,242.1,242.7,234.35,235.0,391178,92703184.7,17710
2024-02-13,235.0,235.0,236.7,229.7,232.85,358864,83445647.45,11894
2024-02-14,232.85,229.05,236.2,227.75,234.4,411827,95913335.55,11944
2024-02-15,234.4,236.0,256.2,235.35,251.2,1779187,444053989.7,45654
2024-02-16,251.2,253.0,266.8,252.2,261.9,2630105,686533343.9,55388
2024-02-19,261.9,263.8,273.8,263.0,265.9,1740841,467885415.55,38634
2024-02-20,265.9,267.2,270.5,262.05,263.05,664593,177021680.8,14406
2024-02-21,263.05,264.25,264.25,254.4,256.05,422286,109429504.4,13097
2024-02-22,256.05,256.25,269.0,252.65,264.6,840529,221360926.65,22002
2024-02-23,264.6,266.1,271.25,262.2,263.6,764840,204035433.95,17802
2024-02-26,263.6,263.6,263.95,248.0,248.9,1288959,324548017.35,30492
2024-02-27,248.9,249.0,250.3,238.5,239.25,1179408,285402070.65,37271
2024-02-28,239.25,243.7,243.7,235.1,236.45,654429,155981859.0,24091
2024-02-29,236.45,237.95,237.95,230.1,230.9,659267,153771444.9,29344
2024-03-01,230.9,235.05,235.9,231.15,232.15,532870,124144983.45,18572
2024-03-04,238.95,238.95,239.9,233.6,234.7,329716,77597591.4,11943
2024-03-05,234.7,235.0,236.0,230.2,231.6,393587,91578166.7,10956
2024-03-06,231.6,231.5,234.2,225.55,228.4,501311,114689157.1,18557
2024-03-07,228.4,229.35,233.7,228.6,230.5,291815,67420485.95,11181
2024-03-11,230.5,230.5,231.45,225.0,225.5,323214,73494584.65,11907
2024-03-12,225.5,228.85,228.85,220.0,220.5,532438,118099998.1,14972
2024-03-13,220.5,220.5,224.95,213.0,214.75,1105359,242076094.5,29292
2024-03-14,214.75,215.05,222.5,211.9,221.25,413154,90603276.2,11841
2024-03-15,221.25,219.3,225.3,217.5,218.95,351591,77442983.45,10568
2024-03-18,218.95,219.3,224.35,217.5,219.3,299915,66171727.6,8680
2024-03-19,219.3,220.1,223.0,215.25,216.95,326961,71775979.55,9715
2024-03-20,216.95,219.05,219.65,211.7,213.75,472602,101297527.15,14149
2024-03-21,213.75,214.95,218.75,213.5,215.6,577787,124762346.0,14175
2024-03-22,215.6,217.25,219.8,212.5,214.5,578363,125184767.35,13012
2024-03-26,214.5,216.9,218.0,210.1,211.7,700786,149287915.8,17657
2024-03-27,211.7,213.0,214.7,204.0,205.7,958704,200961397.15,23473
2024-03-28,205.7,208.3,211.45,196.4,200.1,1264165,258554793.8,27884
2024-04-01,200.1,204.0,222.85,201.2,220.9,1595931,345264576.5,33711
2024-04-02,220.9,221.65,225.7,217.5,222.85,856013,189891297.65,21952
2024-04-03,222.85,221.9,226.5,220.0,225.55,495634,111393716.7,12589
2024-04-04,225.55,229.0,230.5,226.0,228.55,419520,95659806.65,9747
2024-04-05,228.55,228.45,229.2,224.65,227.65,251711,57109213.8,8186
2024-04-08,227.65,229.75,230.45,222.7,223.65,324494,73457766.95,11814
2024-04-09,223.65,223.7,225.4,218.75,219.85,340874,75569544.55,10695
2024-04-10,219.85,220.35,224.0,219.8,220.5,297581,65919965.4,8340
2024-04-12,220.5,220.5,223.95,219.0,219.8,284085,62801601.45,7146
2024-04-15,219.8,213.0,221.7,209.3,215.9,509032,109372408.5,16084
2024-04-16,215.9,213.0,217.5,212.05,216.25,259044,55971331.2,6983
2024-04-18,216.25,216.0,219.95,215.25,215.9,255252,55645153.5,7445
2024-04-19,215.9,215.0,219.25,211.5,216.2,249833,53744871.45,7937
2024-04-22,216.2,219.9,220.2,216.9,217.8,166826,36362392.3,4726
2024-04-23,217.8,218.5,219.5,216.0,217.0,269445,58697918.5,6992
2024-04-24,217.0,219.0,226.8,218.25,222.1,575318,128300871.9,14249
2024-04-25,222.1,221.8,223.55,220.55,221.05,211447,46907540.65,5962
2024-04-26,221.05,221.2,222.95,219.5,220.15,203795,45019338.6,5884
2024-04-29,220.15,223.25,236.4,221.05,232.5,781794,179444701.55,16271
2024-04-30,232.5,236.95,239.0,234.9,235.9,1097767,259873848.6,23464
2024-05-02,235.9,236.0,238.5,228.9,230.2,382559,88823760.2,11871
2024-05-03,230.2,232.3,235.0,225.85,227.3,257044,58897646.1,8236
2024-05-06,227.3,227.5,228.8,220.7,221.35,239749,53599646.65,9029
2024-05-07,221.35,221.65,223.0,215.0,216.3,273876,59571716.95,8856
2024-05-08,216.3,218.0,231.05,217.95,227.0,760317,172301450.05,18915
2024-05-09,227.0,228.8,228.85,218.0,219.1,257108,57264025.15,8352
2024-05-10,219.1,220.2,223.25,217.45,219.4,181044,39840107.75,6430
2024-05-13,219.4,218.55,219.8,214.2,218.05,210075,45621369.2,7229
2024-05-14,218.05,218.5,224.7,218.5,222.75,170393,37831615.05,6731
2024-05-15,222.75,223.1,227.0,220.7,222.25,208242,46627156.65,6662
2024-05-16,222.25,225.0,227.2,223.3,223.9,208559,46918149.0,6790
2024-05-17,223.9,224.0,225.25,222.1,224.5,267667,59934861.6,7874
2024-05-21,226.05,227.9,227.9,224.9,226.75,234734,53148058.95,6619
2024-05-22,226.75,228.0,237.0,225.1,226.15,980500,226454071.25,25425
2024-05-23,226.15,210.0,213.6,204.55,206.45,2595147,540711049.75,50508
2024-05-24,206.45,208.0,210.0,205.9,206.3,622260,129182123.9,14361
2024-05-27,206.3,206.3,209.65,205.05,207.85,368686,76428412.3,8245
2024-05-28,207.85,205.05,207.85,203.85,204.55,424321,86996314.95,9948
2024-05-29,204.55,204.9,205.5,202.35,204.3,182671,37309960.25,5484
2024-05-30,204.3,204.8,205.5,200.05,200.55,299670,60404534.4,10040
2024-05-31,200.55,201.0,204.8,199.55,201.05,241511,48539681.25,7209
2024-06-03,201.05,207.4,207.45,199.0,199.55,532539,107195270.4,12886
2024-06-04,199.55,200.0,200.85,182.45,189.65,653904,125640507.15,24100
2024-06-05,189.65,193.85,195.0,185.1,191.7,310096,59158741.95,11499
2024-06-06,191.7,192.75,201.95,192.75,200.7,390456,77503029.25,11711
2024-06-07,200.7,203.0,203.95,200.0,202.05,266363,53800638.15,7398
2024-06-10,202.05,202.06,207.09,202.06,204.27,329656,67508045.92,6493
2024-06-11,204.27,206.2,206.95,204.52,205.4,185769,38179797.18,4602
2024-06-12,205.4,205.4,206.98,205.0,206.13,253029,52076846.46,6022
2024-06-13,206.13,206.75,207.0,203.41,205.46,204788,41949091.1,5816
2024-06-14,205.46,205.79,217.51,204.05,214.34,1257379,267611919.85,22451
2024-06-18,214.34,216.05,221.35,214.55,218.15,641032,139816140.98,11842
2024-06-19,218.15,220.35,221.2,214.0,215.93,390759,84705375.28,7815
2024-06-20,215.93,216.0,217.97,212.6,214.01,245999,52907773.94,6530
2024-06-21,214.01,214.01,217.51,213.52,214.43,288982,62278388.1,6340
2024-06-24,214.43,214.3,214.43,208.33,209.41,406752,85671538.44,10326
2024-06-25,209.41,210.0,216.0,210.0,212.2,356203,76027199.16,7940
2024-06-26,212.2,212.01,214.5,210.26,212.25,209418,44568559.0,5069
2024-06-27,212.25,212.25,213.3,208.1,209.3,318645,67029906.73,6717
2024-06-28,209.3,209.3,210.82,208.5,208.88,191612,40117161.27,4431
2024-07-01,208.88,208.0,222.9,207.25,216.77,563946,121050056.22,6443
