Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2019-06-21,3.5,4.2,4.2,4.2,4.2,294,1234.8,9
2019-06-24,4.2,5.0,5.0,5.0,5.0,965,4825.0,12
2019-06-25,5.0,5.5,5.5,5.5,5.5,1644,9042.0,9
2019-06-26,5.5,6.05,6.05,6.05,6.05,520,3146.0,10
2019-06-27,6.05,6.65,6.65,6.65,6.65,318,2114.7,8
2019-06-28,6.65,6.95,6.95,6.95,6.95,3222,22392.9,11
2020-03-11,4.5,4.3,4.3,4.3,4.3,590,2537.0,4
2020-03-12,4.3,4.3,4.35,4.1,4.1,958,4081.05,11
2020-03-13,4.1,3.9,3.9,3.9,3.9,1953,7616.7,38
2020-03-16,3.9,3.9,3.9,3.75,3.9,3808,14692.2,38
2020-03-17,3.9,3.75,4.0,3.75,3.95,272,1056.7,22
2020-03-18,3.95,3.95,4.1,3.9,3.9,2298,9137.15,28
2020-03-19,3.9,3.9,3.9,3.9,3.9,1007,3927.3,14
2020-03-20,3.9,3.9,3.9,3.75,3.75,313,1183.05,11
2020-03-23,3.75,3.75,3.9,3.6,3.7,1035,3818.1,17
2020-03-24,3.7,3.7,3.85,3.7,3.7,604,2236.3,6
2020-03-25,3.7,3.7,3.7,3.7,3.7,1577,5834.9,15
2020-03-26,3.7,3.7,3.7,3.7,3.7,804,2974.8,7
2020-03-27,3.7,3.7,3.8,3.65,3.8,351,1322.75,9
2020-03-30,3.8,3.8,3.8,3.65,3.7,620,2353.35,17
2020-03-31,3.7,3.7,3.75,3.7,3.75,60,223.0,5
2020-04-01,3.75,3.6,3.65,3.6,3.65,574,2093.1,6
2020-04-03,3.65,3.65,3.8,3.65,3.8,310,1141.5,5
2020-04-07,3.8,3.95,3.95,3.95,3.95,1209,4775.55,10
2020-04-08,3.95,4.1,4.1,4.1,4.1,1656,6789.6,15
2020-04-09,4.1,4.3,4.3,4.3,4.3,481,2068.3,13
2020-04-13,4.3,4.5,4.5,4.5,4.5,12,54.0,5
2020-04-15,4.5,4.7,4.7,4.7,4.7,136,639.2,6
2020-04-16,4.7,4.9,4.9,4.9,4.9,211,1033.9,9
2020-04-17,4.9,5.1,5.1,5.1,5.1,767,3911.7,6
2020-04-20,5.1,5.35,5.35,5.35,5.35,46,246.1,6
2020-04-21,5.35,5.6,5.6,5.6,5.6,239,1338.4,5
