Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-01-02,38.85,39.3,39.35,38.4,38.85,76896,2977621.6,620
2017-01-03,38.85,39.15,39.6,39.0,39.3,68003,2672051.15,459
2017-01-04,39.3,39.5,42.2,39.4,41.6,341690,14159986.5,1702
2017-01-05,41.6,42.0,42.1,40.7,41.35,119410,4952435.2,1167
2017-01-06,41.35,41.5,41.7,40.3,40.6,50154,2058592.3,489
2017-01-09,40.6,40.75,41.5,40.05,40.25,72052,2934408.5,748
2017-01-10,40.25,41.25,41.25,40.5,40.7,69091,2817752.2,676
2017-01-11,40.7,40.4,42.5,40.4,40.8,1109707,45279641.4,884
2017-01-12,40.8,41.95,44.55,40.8,42.15,1914999,80174271.95,4271
2017-01-13,42.15,42.6,42.6,41.2,41.4,98565,4115760.5,743
2017-01-16,41.4,41.5,43.2,41.2,42.3,197764,8430191.95,1079
2017-01-17,42.3,42.65,42.65,41.65,42.1,76512,3217242.15,452
2017-01-18,42.1,42.1,42.4,41.5,42.0,68158,2856201.75,415
2017-01-19,42.0,42.15,42.15,41.4,41.7,55401,2311797.95,283
2017-01-20,41.7,41.85,44.4,41.85,42.55,292199,12637260.0,1401
2017-01-23,42.55,42.3,42.7,41.6,41.9,86189,3628069.4,414
2017-01-24,41.9,41.85,42.3,41.0,41.65,94297,3926436.0,512
2017-01-25,41.65,41.95,42.05,41.25,41.5,64329,2676547.45,427
2017-01-27,41.5,41.6,43.5,41.55,43.0,264603,11332270.35,1394
2017-01-30,43.0,43.05,43.5,42.15,42.35,117433,5013942.2,2346
2017-01-31,42.35,42.55,43.25,41.2,42.05,211858,9064657.15,955
2017-02-01,42.05,42.95,42.95,41.5,41.9,90544,3797697.95,648
2017-02-02,41.9,42.3,42.4,41.1,41.7,123821,5150465.4,591
2017-02-03,41.7,41.35,42.5,41.35,42.3,222439,9348358.4,735
2017-02-06,42.3,42.95,45.45,42.05,44.1,718411,31368821.95,2429
2017-02-07,44.1,44.25,44.45,43.1,43.75,234928,10323129.65,991
2017-02-08,43.75,43.4,44.0,43.3,43.75,89320,3893878.05,412
2017-02-09,43.75,43.4,44.4,42.8,43.5,94872,4112259.5,415
2017-02-10,43.5,43.3,44.15,42.85,43.7,94663,4130347.5,389
2017-02-13,43.7,43.5,44.35,43.15,43.85,180032,7911802.2,356
2017-02-14,43.85,44.2,44.2,42.65,43.0,69312,3000658.5,387
2017-02-15,43.0,43.0,43.45,39.7,41.1,176284,7242621.75,806
2017-02-16,41.1,41.9,42.5,40.45,42.05,59781,2491493.4,1078
2017-02-17,42.05,42.0,42.45,40.75,41.7,36350,1510681.3,235
2017-02-20,41.7,42.75,42.75,40.35,40.75,127294,5292183.35,531
2017-02-21,40.75,40.45,41.35,40.15,40.4,60750,2468065.8,438
2017-02-22,40.4,40.95,40.95,40.3,40.45,69241,2810743.35,345
2017-02-23,40.45,41.3,41.3,39.9,40.1,57200,2300703.6,348
2017-02-27,40.1,41.5,41.5,40.0,40.1,27712,1122045.25,296
2017-02-28,40.1,40.25,40.5,39.6,39.75,64148,2559653.2,395
2017-03-01,39.75,39.45,40.8,39.45,39.75,68919,2758954.75,440
2017-03-02,39.75,40.0,40.4,39.05,40.0,93379,3713371.4,613
2017-03-03,40.0,39.55,40.1,39.15,39.55,74440,2937473.05,346
2017-03-06,39.55,39.25,40.2,38.45,38.6,143541,5591911.15,569
2017-03-07,38.6,39.2,39.95,38.7,38.8,78860,3081114.35,463
2017-03-08,38.8,39.0,39.0,37.55,37.9,121551,4640458.7,687
2017-03-09,37.9,37.75,38.5,37.55,38.0,48269,1836209.1,307
2017-03-10,38.0,38.35,38.5,37.5,37.85,59398,2255850.5,309
2017-03-14,37.85,38.5,39.5,37.95,38.75,137790,5315036.6,466
2017-03-15,38.75,38.8,39.5,38.3,38.55,53567,2079267.8,354
2017-03-16,38.55,38.6,39.0,38.3,38.45,161491,6222385.45,533
2017-03-17,38.45,38.6,38.85,37.85,38.3,2213756,84774440.4,1586
2017-03-20,38.3,38.35,38.7,37.8,37.85,158276,6004956.0,855
2017-03-21,37.85,37.8,38.45,37.5,37.65,109839,4160198.7,327
2017-03-22,37.65,37.75,37.9,37.25,37.35,61569,2309276.0,374
2017-03-23,37.35,37.95,37.95,36.8,37.15,128063,4768853.5,538
2017-03-24,37.15,37.05,37.95,36.85,36.95,128527,4802295.5,519
2017-03-27,36.95,37.35,37.35,36.6,37.05,150534,5569715.85,371
2017-03-28,37.05,37.4,37.8,37.0,37.5,64197,2399090.85,506
2017-03-29,37.5,37.7,39.4,37.4,38.5,722255,27890688.55,944
2017-03-30,38.5,38.5,42.9,38.5,40.9,1086165,44346463.65,2738
