Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2024-04-26,925.15,939.9,940.0,915.05,917.85,6239,5770861.95,336
2024-04-29,917.85,940.0,940.05,891.85,900.85,3172,2914981.75,198
2024-04-30,900.85,915.4,918.5,886.3,896.5,1359,1220366.55,219
2024-05-02,896.5,885.0,904.75,876.9,887.5,2905,2579866.2,253
2024-05-03,887.5,875.0,910.0,875.0,876.95,3128,2761640.8,407
2024-05-06,876.95,826.55,880.8,826.55,860.8,1106,957502.75,150
2024-05-07,860.8,859.65,860.0,850.1,856.65,1376,1179823.1,263
2024-05-08,856.65,854.25,854.25,801.1,818.05,2233,1851373.5,406
2024-05-09,818.05,847.3,853.4,815.05,828.6,1496,1247993.6,273
2024-05-10,828.6,837.5,845.9,832.55,839.6,1329,1119573.5,125
2024-05-13,839.6,840.0,864.9,828.0,833.5,2123,1779759.3,295
2024-05-14,833.5,840.55,860.8,840.0,856.85,989,843428.95,147
2024-05-15,856.85,858.1,860.6,837.85,843.65,1074,913103.25,212
2024-05-16,843.65,864.0,864.0,829.15,838.35,3559,3021855.9,483
2024-05-17,838.35,841.9,878.65,837.6,860.45,2594,2225769.3,293
2024-05-21,840.55,840.5,880.0,826.0,847.6,6541,5618723.0,595
2024-05-22,847.6,840.8,875.0,840.2,860.65,1821,1565645.7,391
2024-05-23,860.65,852.75,874.8,850.45,856.3,2964,2562833.8,794
2024-05-24,856.3,876.6,880.05,850.1,857.85,3226,2793596.6,319
2024-05-27,857.85,875.0,875.0,846.4,851.95,1975,1696938.85,588
2024-05-28,851.95,842.1,869.8,841.55,855.25,1466,1255307.2,401
2024-05-29,855.25,860.2,870.65,846.05,855.85,2155,1854478.75,413
2024-05-30,855.85,860.65,864.2,842.1,848.6,1270,1080511.95,280
2024-05-31,848.6,860.0,860.0,827.55,851.05,4923,4176553.1,336
2024-06-03,851.05,870.0,870.0,842.2,850.55,2530,2154019.75,253
2024-06-04,850.55,840.25,849.15,799.95,807.6,3203,2621933.7,504
2024-06-05,807.6,824.1,828.05,805.0,818.95,1782,1455823.85,248
2024-06-06,818.95,829.95,849.95,823.05,830.8,3129,2624280.35,405
2024-06-07,830.8,833.45,853.95,830.8,839.7,1239,1041081.9,225
2024-06-10,839.7,839.5,843.3,825.95,841.3,3592,3006688.55,633
2024-06-11,841.3,841.05,841.05,828.8,833.75,2487,2078991.9,424
2024-06-12,833.75,828.0,849.9,828.0,838.1,1962,1647374.05,466
2024-06-13,838.1,845.05,862.0,837.15,849.15,4085,3494293.2,418
2024-06-14,849.15,851.05,856.25,842.5,844.7,1549,1316230.2,232
2024-06-18,844.7,838.7,853.95,830.0,832.8,3320,2778979.4,364
2024-06-19,832.8,854.7,854.7,826.0,828.35,3529,2933870.85,353
2024-06-20,828.35,834.5,844.55,829.15,833.65,1839,1539962.8,358
2024-06-21,833.65,837.95,848.95,835.35,839.85,3069,2582297.55,331
2024-06-24,839.85,839.2,840.75,830.0,831.25,1511,1259877.45,197
2024-06-25,831.25,840.2,840.2,830.0,831.95,2693,2249311.55,347
2024-06-26,831.95,842.15,846.95,835.0,837.3,2758,2317663.1,367
2024-06-27,837.3,840.0,840.0,830.0,830.8,1607,1337950.3,209
2024-06-28,830.8,835.95,836.55,827.05,828.75,1957,1625618.55,206
2024-07-01,828.75,830.25,845.0,826.0,831.05,2856,2382844.0,226
2024-07-02,831.05,833.4,838.95,821.05,826.95,3099,2576911.75,390
2024-07-03,826.95,837.9,838.0,813.05,819.35,5623,4647448.8,551
2024-07-04,819.35,819.0,836.95,819.0,834.05,2583,2153843.4,268
2024-07-05,834.05,826.0,840.0,816.0,836.05,3217,2675722.8,499
2024-07-08,836.05,827.7,845.0,827.7,833.7,1558,1299602.5,194
2024-07-09,833.7,833.7,845.0,830.35,834.25,1825,1526673.05,356
2024-07-10,834.25,834.65,840.9,815.0,825.05,2866,2365666.1,444
2024-07-11,825.05,840.0,840.0,824.7,827.15,1232,1021171.65,227
2024-07-12,827.15,830.95,831.0,815.1,817.9,3879,3189232.6,408
2024-07-15,817.9,817.9,832.0,817.55,824.9,3566,2942270.2,224
2024-07-16,824.9,830.0,831.0,821.0,822.1,3549,2927253.15,317
2024-07-18,822.1,826.6,840.0,819.65,820.55,2049,1686695.5,278
2024-07-19,820.55,821.2,823.9,799.9,816.8,2321,1888756.4,307
2024-07-22,816.8,815.15,838.0,790.0,815.75,2201,1808072.15,387
2024-07-23,815.75,825.25,825.25,800.0,809.6,1850,1495572.5,368
2024-07-24,809.6,817.85,822.9,813.35,818.6,2191,1789379.05,230
2024-07-25,818.6,818.6,830.0,816.0,825.3,2425,1993916.1,355
2024-07-26,825.3,837.9,837.9,814.6,817.5,8253,6794269.3,604
2024-07-29,817.5,822.0,845.0,818.05,820.3,6251,5154671.9,616
2024-07-30,820.3,834.75,839.8,822.5,825.95,6764,5618647.8,666
2024-07-31,825.95,837.5,838.0,828.2,830.25,10184,8482009.55,599
