Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2025-12-24,114.9,114.8,115.5,114.4,115.2,1520828,175055676.65,4202
2025-12-26,115.2,118.05,118.05,114.1,116.1,928668,107620114.8,5010
2025-12-29,116.1,119.0,119.0,112.6,115.2,2062065,238250452.45,8069
2025-12-30,115.2,114.2,118.5,112.25,113.0,933038,105401079.9,7079
2025-12-31,113.0,113.95,116.75,111.7,115.8,1193979,135326397.95,7137
2026-01-01,115.8,115.65,115.65,111.8,112.25,2525343,283575179.3,8060
2026-01-02,112.25,115.05,115.05,112.45,113.55,2003931,226907748.15,3700
2026-01-05,113.55,116.35,116.35,113.6,114.75,1564961,179077534.95,5067
2026-01-06,114.75,117.60,117.60,114.55,115.00,1539935,177296983.65,3429
2026-01-07,115.00,112.15,115.75,112.15,114.75,1450135,166588164.10,5018
