Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-01-02,329.65,329.95,330.0,325.3,326.0,1654,541341.5,142
2017-01-03,326.0,329.05,329.95,325.05,328.55,567,185796.0,27
2017-01-04,328.55,326.75,331.75,326.75,328.05,2004,658943.45,123
2017-01-05,328.05,322.55,336.0,321.55,323.65,4574,1493872.85,223
2017-01-06,323.65,322.0,326.0,317.0,319.95,3624,1168160.1,262
2017-01-09,319.95,322.95,328.95,318.05,328.35,2726,886630.45,1395
2017-01-10,328.35,324.05,329.9,324.05,325.3,2431,793014.75,126
2017-01-11,325.3,322.65,329.0,322.65,325.5,5765,1885239.15,1285
2017-01-12,325.5,328.8,329.85,320.0,322.4,6082,1969599.45,193
2017-01-13,322.4,322.05,328.0,322.05,324.15,10779,3510661.1,158
2017-01-16,324.15,321.05,326.95,321.05,322.3,3632,1176069.0,138
2017-01-17,322.3,325.0,330.5,325.0,327.35,7870,2573906.6,271
2017-01-18,327.35,326.9,339.9,325.0,328.7,17096,5643075.8,394
2017-01-19,328.7,330.0,330.95,325.15,326.85,9207,3021823.55,110
2017-01-20,326.85,329.0,332.95,321.0,323.2,96769,31282621.65,173
2017-01-23,323.2,323.15,328.9,319.0,320.45,4948,1598997.25,625
2017-01-24,320.45,323.0,327.0,323.0,324.15,3555,1153878.35,127
2017-01-25,324.15,325.0,329.0,325.0,326.3,2805,916424.6,154
2017-01-27,326.3,326.0,331.0,325.0,326.9,3122,1023193.7,129
2017-01-30,326.9,323.65,329.0,318.65,320.3,11156,3591376.95,406
2017-01-31,320.3,322.9,324.45,313.1,316.25,5003,1591143.25,318
2017-02-01,316.25,319.0,323.9,312.0,322.35,3963,1263043.6,412
2017-02-02,322.35,321.95,323.65,318.45,321.9,4943,1592302.6,323
2017-02-03,321.9,320.5,325.45,319.25,322.45,9704,3120207.6,390
2017-02-06,322.45,329.9,333.05,325.0,327.65,14585,4807198.7,440
2017-02-07,327.65,327.65,330.9,326.05,329.5,30812,10163224.5,446
2017-02-08,329.5,327.05,331.0,327.0,329.9,3393,1116893.9,224
2017-02-09,329.9,330.0,332.95,325.05,329.9,7465,2457879.9,477
2017-02-10,329.9,327.1,331.05,325.05,326.5,2929,961038.6,143
2017-02-13,326.5,324.05,329.5,320.15,322.6,8060,2623030.05,416
2017-02-14,322.6,325.6,326.0,321.55,324.05,1201,389955.05,55
2017-02-15,324.05,322.2,325.85,318.1,319.0,3672,1177240.1,171
2017-02-16,319.0,320.0,326.6,316.3,322.7,4094,1315558.75,216
2017-02-17,322.7,328.0,337.95,321.6,330.65,470293,153045015.2,1179
2017-02-20,330.65,333.0,339.5,331.85,338.0,31699,10633234.7,1384
2017-02-21,338.0,341.05,341.5,334.05,335.8,5076,1712458.1,476
2017-02-22,335.8,337.95,341.55,333.05,339.8,14123,4768585.8,800
2017-02-23,339.8,336.25,338.95,330.6,332.3,7125,2383818.4,559
2017-02-27,332.3,335.05,337.5,328.5,332.95,7170,2386374.7,332
2017-02-28,332.95,330.0,334.7,326.1,329.45,3191,1057789.95,194
2017-03-01,329.45,336.95,338.0,328.65,335.75,6440,2141761.2,227
2017-03-02,335.75,332.05,334.0,329.3,330.95,6162,2040279.75,417
2017-03-03,330.95,334.3,339.5,330.2,335.45,12405,4153450.05,955
2017-03-06,335.45,336.9,340.35,333.65,339.75,26831,9048897.0,1064
2017-03-07,339.75,345.45,345.45,334.65,341.9,16261,5527236.8,807
2017-03-08,341.9,343.95,343.95,335.6,337.25,9726,3298175.05,1056
