Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-01-02,53.2,53.85,54.2,52.35,53.15,56168,3000955.15,640
2017-01-03,53.15,53.2,58.75,53.2,57.05,474450,27169965.55,3997
2017-01-04,57.05,57.75,61.95,57.0,59.8,628082,37923707.45,5565
2017-01-05,59.8,60.75,63.7,59.55,61.05,527518,32641824.7,4194
2017-01-06,61.05,60.55,61.65,58.55,59.05,197690,11806036.5,2120
2017-01-09,59.05,60.55,61.5,56.4,59.85,244477,14639073.5,1644
2017-01-10,59.85,60.05,60.4,57.6,58.05,147116,8635882.95,1225
2017-01-11,58.05,58.1,58.9,55.8,56.35,177362,10138334.05,1374
2017-01-12,56.35,56.0,58.4,54.0,54.4,204943,11383115.7,1472
2017-01-13,54.4,54.3,56.0,53.5,54.65,98831,5419542.9,1021
2017-01-16,54.65,54.9,55.9,54.2,55.3,44604,2466464.5,612
2017-01-17,55.3,55.75,56.4,54.75,55.05,59663,3302656.75,714
2017-01-18,55.05,54.6,56.0,54.0,54.1,61113,3334273.15,810
2017-01-19,54.1,54.5,59.85,54.1,59.05,671003,39240048.75,5672
2017-01-20,59.05,58.75,59.25,56.2,56.75,149744,8671409.55,1803
2017-01-23,56.75,56.35,58.8,56.3,57.25,64867,3738366.7,677
2017-01-24,57.25,58.25,58.25,56.25,56.55,39917,2270149.1,412
2017-01-25,56.55,56.8,64.0,56.45,61.45,806618,49536437.3,7528
2017-01-27,61.45,62.25,66.0,60.6,62.4,840370,53828814.25,7554
2017-01-30,62.4,62.75,62.75,59.5,59.85,147306,8926401.6,1675
2017-01-31,59.85,60.0,66.4,58.95,62.0,1307753,83465375.0,13452
2017-02-01,62.0,61.95,64.0,60.7,62.75,324052,20245335.55,3658
2017-02-02,62.75,62.55,63.85,61.3,61.8,115060,7170563.1,866
2017-02-03,61.8,61.6,63.8,61.5,62.1,257760,16173746.55,2023
2017-02-06,62.1,62.95,64.3,62.7,63.15,200352,12693964.75,1853
2017-02-07,63.15,63.35,63.5,60.3,60.9,80873,4993296.1,1091
2017-02-08,60.9,61.45,62.25,60.75,61.3,103266,6332634.5,766
2017-02-09,61.3,61.95,62.0,59.9,60.2,95008,5750672.75,912
2017-02-10,60.2,60.5,63.7,59.6,60.6,184859,11407206.85,1887
2017-02-13,60.6,61.25,62.0,59.15,61.55,173418,10580044.2,1661
2017-02-14,61.55,62.2,62.35,59.25,59.65,121423,7407714.85,961
2017-02-15,59.65,60.0,60.85,57.5,57.9,103902,6113988.35,1057
2017-02-16,57.9,57.9,59.85,57.45,58.6,143447,8427703.25,1675
2017-02-17,58.6,59.2,60.6,58.25,58.55,108475,6416987.8,1080
2017-02-20,58.55,58.85,60.85,58.1,58.7,88351,5261701.25,1065
2017-02-21,58.7,58.9,59.7,57.5,57.75,78878,4587049.1,917
