Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-01-02,648.7,630.0,669.95,630.0,664.8,3174,2094311.4,280
2017-01-03,664.8,654.0,690.0,650.1,687.7,33870,23028701.75,454
2017-01-04,687.7,686.0,695.0,670.0,675.65,2667,1823976.8,194
2017-01-05,675.65,688.95,689.95,665.0,666.7,3757,2513295.85,243
2017-01-06,666.7,661.0,682.0,661.0,665.7,10088,6756845.9,717
2017-01-09,665.7,678.0,678.0,656.2,658.95,5167,3419266.85,608
2017-01-10,658.95,664.95,664.95,644.0,646.45,6483,4213429.65,857
2017-01-11,646.45,658.0,658.0,641.6,644.75,17888,11575540.1,480
2017-01-12,644.75,648.5,648.95,631.1,633.8,15115,9632609.5,312
2017-01-13,633.8,640.0,643.9,627.5,629.85,7576,4830276.8,333
2017-01-16,629.85,638.5,669.8,632.35,667.25,29273,19299961.35,1299
2017-01-17,667.25,667.25,675.0,664.55,666.55,7915,5285756.25,523
2017-01-18,666.55,669.95,680.0,665.0,670.15,4000,2685135.5,312
2017-01-19,670.15,671.0,689.0,662.0,680.95,13597,9230666.6,566
2017-01-20,680.95,675.3,677.0,666.0,667.45,2703,1815891.05,179
2017-01-23,667.45,685.0,685.0,646.6,649.7,6294,4113038.0,366
2017-01-24,649.7,662.8,668.6,645.05,659.45,3577,2351230.35,256
2017-01-25,659.45,654.35,660.0,652.0,658.85,2923,1926383.85,156
2017-01-27,658.85,664.25,672.3,644.0,668.1,16838,11067306.55,589
2017-01-30,668.1,668.1,674.9,655.0,663.35,45703,30307555.5,234
2017-01-31,663.35,673.0,673.0,645.0,650.0,6690,4368492.2,491
2017-02-01,650.0,647.3,665.0,647.3,661.65,3829,2523687.25,158
2017-02-02,661.65,665.0,680.0,648.15,672.75,26581,17755102.95,884
2017-02-03,672.75,680.0,695.05,661.45,678.5,63382,43372570.85,1357
2017-02-06,678.5,680.1,682.8,661.0,678.85,14092,9468965.3,917
2017-02-07,678.85,680.0,703.9,651.7,699.45,20347,14104261.45,1336
2017-02-08,699.45,700.0,709.0,683.0,692.4,21114,14600792.65,530
2017-02-09,692.4,688.05,705.0,686.0,700.05,10092,7008669.8,399
2017-02-10,700.05,691.05,708.0,691.05,692.5,4035,2807743.65,352
2017-02-13,692.5,695.0,705.0,690.0,703.2,14798,10356964.3,718
2017-02-14,703.2,705.0,718.0,685.5,709.95,72143,50600209.95,1692
2017-02-15,709.95,697.0,710.0,691.5,701.4,17961,12604598.6,486
2017-02-16,701.4,700.0,706.9,690.0,699.0,129622,90035443.0,1740
2017-02-17,699.0,700.0,707.0,688.25,701.65,36122,25309913.25,330
2017-02-20,701.65,705.0,722.0,696.7,715.95,12742,9067694.15,1142
2017-02-21,715.95,720.0,720.0,700.2,703.55,3092,2182223.4,240
2017-02-22,703.55,700.0,744.0,700.0,716.75,18061,13080969.05,1172
2017-02-23,716.75,717.95,745.0,705.0,739.5,20056,14630305.0,1395
2017-02-27,739.5,735.0,744.95,709.9,718.5,33887,24960988.9,1354
2017-02-28,718.5,721.15,730.0,716.2,727.25,2695,1953265.15,292
2017-03-01,727.25,727.55,735.0,718.0,721.0,3910,2837255.7,226
2017-03-02,721.0,721.0,725.8,677.1,681.6,12547,8675294.4,697
2017-03-03,681.6,688.0,715.6,682.25,705.25,19630,13837863.45,1121
2017-03-06,705.25,698.0,698.0,680.0,682.5,13891,9571579.1,544
2017-03-07,682.5,685.05,693.95,680.2,689.8,12253,8412629.15,631
2017-03-08,689.8,699.0,699.0,680.1,686.15,9382,6445199.0,609
2017-03-09,686.15,687.35,691.0,675.0,687.75,9981,6839634.9,592
2017-03-10,687.75,680.0,694.15,680.0,684.8,15715,10770057.7,371
2017-03-14,684.8,714.4,714.4,687.0,700.0,12634,8848312.6,443
2017-03-15,700.0,696.05,705.0,693.0,701.75,17537,12241337.7,693
2017-03-16,701.75,702.5,724.8,697.0,722.25,21279,15192173.05,1287
2017-03-17,722.25,716.0,718.0,695.7,715.2,8262,5851744.65,482
2017-03-20,715.2,705.5,724.9,705.5,722.8,18352,13194179.05,607
2017-03-21,722.8,727.0,737.95,706.0,713.15,16533,11952257.7,882
2017-03-22,713.15,717.9,717.9,683.65,693.05,181721,127090513.1,1264
2017-03-23,693.05,699.9,699.9,684.0,685.5,44799,30914896.9,1110
2017-03-24,685.5,687.5,707.9,686.0,700.95,182177,125928721.55,1646
2017-03-27,700.95,706.0,715.5,698.05,712.8,16303,11582398.6,448
2017-03-28,712.8,713.45,726.0,702.25,717.3,20034,14390975.7,886
2017-03-29,717.3,717.0,731.0,710.25,727.1,25629,18515840.45,1113
2017-03-30,727.1,727.1,749.4,701.0,708.75,39524,28729800.75,2152
2017-03-31,708.75,717.0,723.9,700.3,704.55,57029,40487465.9,2562
2017-04-03,704.55,705.0,737.0,705.0,728.7,32016,23008162.75,1632
2017-04-05,728.7,720.0,736.2,718.0,722.2,44154,32201517.3,1226
2017-04-06,722.2,720.0,727.9,719.95,725.15,7308,5284954.4,361
2017-04-07,725.15,720.0,736.95,714.5,717.5,17180,12462928.5,793
2017-04-10,717.5,720.1,724.0,712.0,716.55,11475,8223093.0,413
2017-04-11,716.55,719.0,737.15,715.0,729.15,13720,9984907.95,870
2017-04-12,729.15,737.9,737.9,719.1,728.5,7742,5622346.1,535
2017-04-13,728.5,728.6,741.25,728.5,738.55,18155,13357577.0,965
2017-04-17,738.55,738.55,744.9,731.0,741.45,8592,6354903.1,610
2017-04-18,741.45,741.0,749.5,737.4,744.4,44074,32791955.9,1183
2017-04-19,744.4,733.5,764.9,731.0,752.65,18562,13924646.25,1189
2017-04-20,752.65,750.0,759.65,737.0,754.55,7468,5619156.45,506
2017-04-21,754.55,743.4,762.5,743.0,757.9,25479,19313301.25,706
2017-04-24,757.9,762.5,762.5,751.05,758.85,7637,5789866.25,599
2017-04-25,758.85,761.0,763.0,753.05,756.05,7344,5571764.25,571
2017-04-26,756.05,751.1,766.0,751.0,762.4,13188,10023752.6,1086
2017-04-27,762.4,762.4,769.9,752.5,757.8,9003,6881010.4,543
2017-04-28,757.8,753.5,765.0,751.0,763.55,12091,9165874.25,601
2017-05-02,763.55,765.0,772.0,756.0,768.15,13470,10300143.6,695
2017-05-03,768.15,765.0,768.7,753.25,760.2,14466,11017177.35,1448
2017-05-04,760.2,756.0,777.0,753.0,763.4,15373,11824564.3,780
