Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-11-17,290.0,310.0,369.0,307.0,344.6,168836552,55252882291.15,1177530
2017-11-20,344.6,344.7,358.9,344.0,355.35,14650240,5174105816.05,166263
2017-11-21,355.35,356.4,418.9,352.5,385.3,43078194,16767860013.15,450090
2017-11-22,385.3,388.0,408.0,386.9,395.2,15227642,6051230988.95,166870
2017-11-23,395.2,390.0,392.0,371.1,374.85,12300150,4673873203.85,124472
2017-11-24,374.85,376.05,383.0,366.1,370.7,9463228,3550287611.25,108401
2017-11-27,370.7,371.0,384.5,371.0,380.35,3832223,1450072194.35,48311
2017-11-28,380.35,383.0,386.4,378.1,382.2,2409447,920616004.8,30276
2017-11-29,382.2,382.4,384.7,376.1,377.8,1657909,629660234.95,25728
2017-11-30,377.8,379.8,379.8,370.8,371.5,2536960,948956761.2,62894
2017-12-01,371.5,373.7,379.55,368.0,372.75,1904781,711693593.4,22921
2017-12-04,372.75,374.05,374.9,362.0,362.8,1323453,485382089.55,28659
2017-12-05,362.8,361.0,365.9,357.15,362.35,1806017,650794568.25,52225
2017-12-06,362.35,360.9,371.7,358.55,368.35,3331373,1225231057.15,39389
2017-12-07,368.35,370.05,389.9,370.05,388.3,3350792,1283708042.3,80471
2017-12-08,388.3,390.0,395.8,385.6,389.3,2494845,976588804.25,55819
2017-12-11,389.3,387.0,392.25,379.05,380.8,1029719,395103106.4,35361
2017-12-12,380.8,380.9,387.0,377.05,383.8,2564559,980755803.45,36776
2017-12-13,383.8,386.45,389.25,378.5,380.8,747787,287351033.1,35094
2017-12-14,380.8,382.85,386.0,377.0,384.3,1261422,481465100.75,44933
2017-12-15,384.3,388.0,390.75,380.1,381.4,1698848,652933237.6,39091
2017-12-18,381.4,380.0,383.3,372.25,377.45,1399027,530542119.45,52824
2017-12-19,377.45,378.0,380.95,372.25,374.9,1641589,617284064.3,48442
2017-12-20,374.9,377.45,377.7,371.5,375.15,2251770,841525002.15,60263
2017-12-21,375.15,379.25,381.8,375.0,376.05,1448962,547620074.4,48722
2017-12-22,376.05,376.25,380.4,374.2,374.55,775946,292304999.35,14266
2017-12-26,374.55,376.0,378.6,373.4,376.55,1310649,491712543.8,17828
2017-12-27,376.55,375.1,377.95,373.8,374.85,589597,221207994.8,21044
2017-12-28,374.85,375.0,380.0,372.4,377.95,912189,343453021.8,27492
2017-12-29,377.95,379.0,390.8,375.65,386.0,1611972,620795091.1,24515
2018-01-01,386.0,388.5,399.8,386.55,389.65,1445743,570074962.0,17963
2018-01-02,386.4,385.95,392.5,385.1,391.15,401487,156453479.7,14593
2018-01-03,395.5,398.0,398.3,384.1,385.65,2275082,885023978.65,63757
2018-01-04,385.65,390.0,401.95,387.25,399.0,2974278,1180740395.55,52148
2018-01-05,399.0,401.0,412.0,398.0,407.0,3554479,1441022971.85,63560
2018-01-08,407.0,410.0,428.3,409.55,422.1,3806105,1608611444.5,79939
2018-01-09,422.1,424.0,447.65,422.65,435.5,6183645,2680918463.55,74643
2018-01-10,435.5,438.0,441.9,427.0,429.25,2374166,1027222984.5,29949
2018-01-11,429.25,424.0,449.8,424.0,446.7,2605294,1151387661.3,48528
2018-01-12,446.7,449.75,458.7,444.3,455.95,5364763,2431377069.95,49979
2018-01-15,455.95,460.0,488.0,457.0,474.85,5635852,2692187563.3,106989
2018-01-16,474.85,479.9,494.3,471.25,482.65,8288750,4031228256.45,103715
2018-01-17,482.65,485.4,488.2,470.0,478.4,5691140,2733086857.95,66287
2018-01-18,478.4,483.2,489.8,478.0,485.05,1772870,858145845.85,46099
2018-01-19,485.05,489.25,491.35,477.0,481.5,3488403,1685332850.4,44364
2018-01-22,481.5,481.5,488.85,469.0,470.2,3825798,1815080736.85,74770
2018-01-23,470.2,474.25,474.25,454.5,458.55,3561221,1642148649.1,70282
2018-01-24,458.55,457.5,460.0,448.0,455.25,2072037,940999305.9,27874
2018-01-25,455.25,455.0,460.0,447.0,448.5,1194340,539779093.55,52499
2018-01-29,448.5,447.0,452.6,444.4,445.35,1113037,498542451.65,39014
2018-01-30,445.35,444.0,448.1,417.0,421.85,3583717,1561618690.8,35221
2018-01-31,421.85,418.4,432.9,395.3,427.0,14738305,6018021893.0,128610
2018-02-01,427.0,429.95,452.0,423.0,448.25,4965461,2192819867.45,74815
2018-02-02,448.25,441.0,455.0,430.0,442.4,5311751,2356224833.25,51976
2018-02-05,442.4,428.2,444.0,422.35,441.7,2268830,998306799.1,29349
2018-02-06,441.7,418.0,440.7,417.05,438.8,1893871,824073683.35,31660
2018-02-07,438.8,443.0,449.3,431.0,433.45,1048027,459850520.3,25484
2018-02-08,433.45,434.9,444.75,434.85,441.5,927897,409820848.7,17505
2018-02-09,441.5,430.3,446.0,430.3,439.55,1008995,445264397.7,15768
2018-02-12,439.55,442.0,451.0,435.05,441.75,1944360,864706525.45,30647
2018-02-14,441.75,441.8,442.9,431.0,431.9,2159701,943040897.7,20632
2018-02-15,431.9,433.0,437.0,428.0,432.0,506167,219326712.65,14126
2018-02-16,432.0,434.15,435.3,426.6,431.45,522734,225350735.05,11705
2018-02-19,431.45,432.0,439.4,426.8,435.9,693977,300373783.95,18524
2018-02-20,435.9,439.5,442.0,432.6,434.5,781850,341827205.75,21166
2018-02-21,434.5,438.9,450.5,436.15,449.6,1312613,584844385.1,33689
2018-02-22,449.6,447.2,454.5,443.9,450.8,772690,347401255.2,16974
2018-02-23,450.8,452.1,471.7,452.05,468.85,1849448,861226273.8,39164
2018-02-26,468.85,472.8,472.8,461.35,468.3,920977,430646901.1,42911
2018-02-27,468.3,467.9,477.8,460.0,469.0,1378658,645323676.95,31705
2018-02-28,469.0,467.5,468.0,460.0,461.2,1358563,630372253.55,55098
2018-03-01,461.2,461.9,464.35,450.1,450.95,1102928,503561738.35,27290
2018-03-05,450.95,450.0,456.15,448.1,452.9,1249630,565911932.6,31735
2018-03-06,452.9,457.0,457.4,445.1,447.35,1595634,716545352.65,23577
2018-03-07,447.35,446.45,447.55,435.0,437.55,2900233,1283678407.6,36013
2018-03-08,437.55,441.0,442.0,427.7,430.55,1951335,843862778.85,41500
2018-03-09,430.55,434.75,434.95,423.0,425.55,1494497,640575637.65,31649
2018-03-12,425.55,429.95,433.35,425.5,430.4,884484,380038273.75,30671
2018-03-13,430.4,431.95,445.5,429.8,441.95,1396863,614458887.5,23754
2018-03-14,441.95,441.95,447.9,440.0,445.25,872703,388408265.4,18533
2018-03-15,445.25,445.0,451.0,443.6,448.6,656358,293925420.25,13037
2018-03-16,448.6,450.95,450.95,436.1,443.3,553113,244262119.4,24765
2018-03-19,443.3,440.0,442.7,425.0,425.9,697119,299407183.9,34058
2018-03-20,425.9,424.95,428.65,419.65,422.85,1782357,754933006.75,48135
2018-03-21,422.85,426.7,438.0,419.25,422.5,1341420,574968160.6,33319
2018-03-22,422.5,426.8,429.75,424.2,427.5,1267475,541646448.95,53508
2018-03-23,427.5,420.0,431.0,416.1,429.15,939860,401325611.1,31176
2018-03-26,429.15,429.0,439.0,427.25,437.55,675696,293621891.25,18244
2018-03-27,437.55,440.05,449.4,440.05,448.65,1231929,550661374.2,43460
2018-03-28,448.65,442.5,460.0,442.5,454.45,1217753,555108220.75,21494
2018-04-02,454.45,456.6,487.0,456.6,482.65,2112175,1003583017.3,46200
2018-04-03,482.65,484.8,508.3,482.2,493.6,3149584,1561489300.25,77984
2018-04-04,493.6,495.0,504.0,488.9,495.85,1687239,839186819.65,38547
