Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-01-02,263.8,260.05,268.75,260.05,264.95,14184,3766178.7,215
2017-01-03,264.95,267.5,271.65,262.8,264.3,10926,2898381.75,359
2017-01-04,264.3,261.8,267.05,261.0,262.08,19490,5147465.55,261
2017-01-05,262.08,263.58,266.98,263.55,263.8,12256,3246334.7,113
2017-01-06,263.8,263.58,265.0,258.88,260.48,14162,3700016.25,408
2017-01-09,260.48,263.25,263.35,260.0,261.08,2852,745663.5,137
2017-01-10,261.08,262.0,269.5,261.12,265.42,5988,1585856.95,238
2017-01-11,265.42,262.5,271.5,262.5,265.68,10506,2812144.35,231
2017-01-12,265.68,266.02,266.02,261.0,262.9,6100,1605356.05,213
2017-01-13,262.9,265.02,265.02,261.5,262.3,6748,1773373.2,140
2017-01-16,262.3,265.1,270.48,261.5,262.95,15866,4169654.45,333
2017-01-17,262.95,264.98,265.0,260.0,260.6,9038,2359052.7,242
2017-01-18,260.6,262.5,272.2,261.5,263.82,15436,4113461.8,349
2017-01-19,263.82,263.65,272.5,263.0,270.62,16884,4551260.1,342
2017-01-20,270.62,269.5,273.0,266.3,268.6,20238,5440790.3,241
2017-01-23,268.6,264.15,269.0,263.05,265.75,21896,5816661.75,310
2017-01-24,265.75,264.52,269.0,264.52,268.32,2790,745582.45,57
2017-01-25,268.32,269.0,269.0,263.35,266.15,15950,4234943.0,271
2017-01-27,266.15,269.0,270.95,265.75,266.68,5640,1510236.2,425
2017-01-30,266.68,268.5,279.35,268.5,274.32,59082,16188807.15,732
2017-01-31,274.32,274.2,275.98,268.1,269.68,13132,3548441.7,441
2017-02-01,269.68,267.85,274.5,265.0,271.08,27750,7468300.8,326
2017-02-02,271.08,270.77,283.7,267.6,281.85,30014,8334102.95,948
2017-02-03,281.85,283.88,284.0,277.82,278.95,18992,5341036.0,505
2017-02-06,278.95,285.0,292.0,280.5,288.98,35424,10143024.6,811
2017-02-07,288.98,290.05,300.0,290.05,295.58,93912,27882651.15,1519
2017-02-08,295.58,302.5,302.55,297.15,299.7,119580,35877216.6,1650
2017-02-09,299.7,314.0,318.73,302.5,302.98,409524,127592253.6,8574
2017-02-10,302.98,305.0,308.98,302.4,303.68,58138,17728305.45,1544
2017-02-13,303.68,308.5,310.95,303.0,305.45,44402,13640020.7,1647
2017-02-14,305.45,307.48,307.48,295.0,297.82,44452,13301926.75,1921
2017-02-15,297.82,295.32,302.42,288.15,293.08,45952,13505841.25,1263
2017-02-16,293.08,292.5,302.38,289.0,290.88,59116,17363673.85,3568
2017-02-17,290.88,298.48,310.0,292.48,306.77,75642,22907746.15,2151
2017-02-20,306.77,315.0,315.5,308.0,309.32,284312,88596923.55,4591
2017-02-21,309.32,311.35,312.5,307.5,308.2,87308,27024436.05,1941
2017-02-22,308.2,308.5,311.98,300.5,302.65,60928,18653708.25,1912
2017-02-23,302.65,304.5,311.5,304.5,307.62,36940,11393007.6,1349
2017-02-27,307.62,310.0,311.98,306.35,309.55,23048,7140055.55,990
2017-02-28,309.55,310.73,311.0,304.15,305.42,27430,8432386.4,865
2017-03-01,305.42,310.95,310.95,304.0,308.88,38976,12019666.95,1439
2017-03-02,308.88,310.5,310.5,294.5,296.32,71784,21773322.4,2583
2017-03-03,296.32,293.35,309.7,293.35,306.85,39366,11945517.5,1873
2017-03-06,306.85,309.95,312.05,306.0,307.88,50258,15533929.1,2421
2017-03-07,307.88,311.95,311.95,304.0,306.02,35008,10738614.45,1279
2017-03-08,306.02,305.5,307.5,299.95,302.1,22426,6793895.95,928
2017-03-09,302.1,303.45,307.5,301.5,304.27,13092,4004801.35,606
2017-03-10,304.27,304.45,307.45,303.3,305.58,21344,6522557.4,529
2017-03-14,305.58,312.5,312.5,300.0,301.23,25096,7636578.0,1001
2017-03-15,301.23,305.0,305.0,295.75,298.92,33796,10178589.1,1038
2017-03-16,298.92,298.92,304.4,298.02,302.48,30962,9334199.3,1098
2017-03-17,302.48,304.5,307.4,298.05,300.35,44846,13565242.35,1013
2017-03-20,300.35,301.0,301.98,295.0,299.38,19124,5707318.65,492
2017-03-21,299.38,296.8,300.02,295.05,297.02,17198,5101937.3,437
2017-03-22,297.02,295.5,296.73,292.0,295.68,8700,2561699.6,348
2017-03-23,295.68,299.02,302.45,296.0,301.12,19666,5890703.75,1096
2017-03-24,301.12,301.55,303.5,298.05,299.6,15702,4722055.1,556
2017-03-27,299.6,297.3,297.5,292.0,293.3,26428,7791119.9,691
2017-03-28,293.3,294.5,296.5,290.0,291.3,34028,9966123.1,784
2017-03-29,291.3,294.5,294.98,286.3,287.12,50646,14629294.55,1861
2017-03-30,287.12,294.0,294.0,288.58,292.12,23356,6816052.1,951
2017-03-31,292.12,293.95,295.52,290.6,291.4,15762,4602268.1,662
2017-04-03,291.4,295.0,299.75,291.42,295.7,29950,8826514.25,897
2017-04-05,295.7,296.0,302.45,295.0,296.92,31580,9411338.25,971
2017-04-06,296.92,295.0,295.0,291.48,292.5,113404,33177154.15,1114
2017-04-07,292.5,295.0,296.2,292.5,292.98,11592,3407739.85,446
2017-04-10,292.98,293.52,299.23,289.0,289.9,34396,10033272.4,880
2017-04-11,289.9,295.0,299.25,289.27,289.6,19682,5724201.5,569
2017-04-12,289.6,289.75,293.98,287.6,289.48,19678,5707730.85,494
2017-04-13,289.48,296.5,296.5,286.68,287.42,19272,5555358.85,431
2017-04-17,287.42,287.48,292.7,279.2,280.73,49072,13870524.6,827
2017-04-18,280.73,282.45,285.92,279.75,280.23,31446,8910598.75,474
2017-04-19,280.23,279.55,282.48,276.5,278.92,14042,3917694.9,301
2017-04-20,278.92,280.75,286.48,279.0,282.52,11792,3331858.2,344
2017-04-21,282.52,283.4,283.4,276.52,280.38,36006,10055736.25,927
2017-04-24,280.38,280.0,280.98,269.8,275.02,83068,22842248.1,1724
2017-04-25,275.02,275.08,280.0,274.18,275.18,40522,11210711.8,2194
2017-04-26,275.18,282.5,282.5,270.02,272.85,33580,9223291.45,788
2017-04-27,272.85,274.1,278.0,273.0,275.82,9430,2593665.3,484
2017-04-28,275.82,275.95,285.95,275.02,277.05,19312,5390344.45,1013
2017-05-02,277.05,276.62,283.48,275.5,276.7,18070,5044075.7,762
2017-05-03,276.7,280.0,280.5,275.0,277.4,20502,5688746.7,817
2017-05-04,277.4,277.8,282.5,276.0,278.73,46058,12883274.85,925
2017-05-05,278.73,278.48,278.5,271.75,274.32,23624,6501326.1,777
2017-05-08,274.32,274.0,277.0,267.55,269.85,77948,21125436.9,923
2017-05-09,269.85,272.0,277.35,270.05,274.05,22622,6179055.5,800
2017-05-10,274.05,275.0,279.0,272.55,274.2,24616,6775242.7,723
2017-05-11,274.2,274.4,276.0,267.38,267.88,46662,12626225.7,859
2017-05-12,267.88,270.5,272.0,264.32,264.88,62148,16572457.9,1859
2017-05-15,264.88,266.27,267.8,255.6,259.42,62064,16205249.0,2336
2017-05-16,259.42,259.42,263.5,256.0,258.0,79588,20570413.25,1633
2017-05-17,258.0,258.02,260.3,253.5,256.62,36676,9387320.55,1089
2017-05-18,256.62,255.0,272.45,255.0,264.1,90046,23882381.05,2885
2017-05-19,264.1,265.0,266.4,260.0,262.65,23888,6262396.45,823
2017-05-22,262.65,261.02,268.95,260.0,265.58,43354,11522077.6,952
2017-05-23,265.58,268.5,268.5,252.5,265.25,83558,21604398.1,2960
2017-05-24,265.25,265.45,267.48,259.7,260.92,42412,11192915.15,943
2017-05-25,260.92,261.05,267.0,258.85,265.25,31570,8355349.1,927
2017-05-26,265.25,266.5,269.5,263.52,267.25,24170,6435842.2,767
2017-05-29,267.25,268.0,270.0,262.45,262.73,38202,10093727.5,633
