Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2020-01-09,154.3,162.32,170.62,160.31,167.56,77340.19,12729284.35,795
2020-01-10,167.56,167.56,182.26,167.56,179.59,91814.56,16291701.6,1881
2020-01-13,179.59,176.53,188.75,171.76,172.48,41680.35,7394917.25,1129
2020-01-14,172.48,172.34,172.67,162.32,165.56,38128.83,6323939.5,1657
2020-01-15,165.56,162.46,171.67,156.5,164.7,38491.42,6238229.5,812
2020-01-16,164.7,161.55,174.63,161.55,170.52,27321.26,4661872.25,509
2020-01-17,170.52,170.81,170.81,163.17,165.04,44482.58,7364980.25,934
2020-01-20,165.04,161.36,167.85,159.83,162.75,13571.03,2206575.0,279
2020-01-21,162.75,162.7,166.04,157.45,163.89,40209.02,6521905.35,424
2020-01-22,163.89,166.04,166.04,159.36,161.89,33200.29,5387596.35,475
2020-01-23,161.89,165.08,165.08,157.64,160.07,57422.74,9194856.55,6290
2020-01-24,160.07,157.54,162.7,157.54,160.88,27746.73,4460009.05,540
2020-01-27,160.88,158.02,160.46,156.54,158.79,10372.67,1646525.05,293
2020-01-28,158.79,162.17,162.17,149.82,154.54,34058.57,5319300.1,642
2020-01-29,154.54,152.73,158.4,149.53,155.4,33635.19,5178634.85,543
2020-01-30,155.4,159.64,159.69,148.34,154.06,26515.38,4025024.55,513
2020-01-31,154.06,156.59,156.59,148.86,151.2,43654.7,6579832.75,1473
2020-02-03,138.6,135.55,146.81,133.59,138.46,66314.65,9131789.2,664
2020-02-04,138.46,141.13,155.06,139.75,150.67,65938.43,9765796.15,1374
2020-02-05,150.67,147.0,152.49,142.18,146.67,28482.39,4187690.3,1913
2020-02-06,146.67,147.29,149.82,142.18,147.38,19598.87,2850308.55,565
2020-02-07,147.38,150.72,150.72,141.04,143.14,55383.42,7935623.45,592
2020-02-10,143.14,145.86,156.4,142.18,150.72,37838.54,5626697.45,1621
2020-02-11,150.72,157.31,157.31,146.95,150.77,33500.01,5019889.3,966
2020-02-12,150.77,152.63,156.26,142.18,145.04,41321.95,6023492.95,867
2020-02-13,145.04,148.29,151.63,136.93,146.71,67028.31,9463137.55,1029
2020-02-14,146.71,146.05,150.29,143.14,146.0,100317.67,14623661.6,1160
2020-02-17,146.0,144.14,146.09,139.51,142.85,48089.65,6842076.75,902
2020-02-18,142.85,142.13,142.66,132.64,136.79,47259.67,6445917.05,938
2020-02-19,136.79,139.32,139.37,131.16,134.45,30137.11,4048488.6,1094
2020-02-20,134.45,133.59,135.84,130.59,133.5,23595.77,3153056.45,596
2020-02-24,133.5,132.69,135.5,127.96,133.64,23650.27,3135861.7,501
2020-02-25,133.64,131.83,133.59,129.78,131.78,15780.12,2073519.2,308
2020-02-26,131.78,132.5,132.5,127.82,130.25,28286.42,3698178.3,451
2020-02-27,130.25,129.3,133.59,125.96,129.92,30479.8,3957379.3,844
2020-02-28,129.92,125.96,130.97,123.1,126.77,25191.81,3168012.75,471
2020-03-02,126.77,126.77,129.87,123.34,124.72,72334.11,9114994.5,449
2020-03-03,124.72,124.72,125.96,116.42,121.9,132929.01,16151959.25,731
2020-03-04,121.9,121.86,121.86,114.51,116.32,77194.53,9095594.0,386
2020-03-05,116.32,117.37,117.37,111.69,114.99,29925.43,3425550.45,319
2020-03-06,114.99,114.51,114.51,108.88,113.17,22453.5,2513916.25,293
2020-03-09,113.17,109.79,109.79,92.85,103.96,67418.15,7121569.35,680
2020-03-11,103.96,103.01,103.11,98.29,99.34,29957.91,3012975.45,497
2020-03-12,99.34,84.21,95.38,83.97,91.08,176670.69,15625803.35,1395
2020-03-13,91.08,86.84,90.08,73.95,86.31,318623.65,27421290.2,995
2020-03-16,86.31,79.2,81.11,72.52,78.01,39101.33,3114870.15,783
2020-03-17,78.01,71.71,85.88,71.71,79.49,49985.4,3953232.6,1135
2020-03-18,79.49,79.2,79.97,72.52,73.14,31990.95,2375855.6,404
2020-03-19,73.14,72.52,72.52,65.84,67.8,81193.53,5538803.9,854
2020-03-20,67.8,64.89,72.52,61.02,69.99,198036.41,12781725.85,3688
2020-03-23,69.99,64.84,64.84,63.03,63.03,2466.89,156156.95,70
2020-03-24,63.03,57.3,60.88,56.73,56.73,233999.11,13282824.2,788
2020-03-25,56.73,51.1,62.36,51.1,61.36,132843.08,7133042.95,4382
2020-03-26,61.36,67.46,67.46,56.78,66.51,165601.13,11117720.85,225
2020-03-27,66.51,67.46,73.14,66.8,69.56,30394.91,2111495.25,1901
2020-03-30,69.56,72.33,72.33,62.65,63.7,37985.26,2430342.35,237
2020-03-31,63.7,65.79,65.84,59.45,64.84,70704.53,4565794.9,198
2020-04-01,64.84,62.17,64.75,58.4,58.4,109813.2,6609888.7,1673
2020-04-03,58.4,57.92,57.92,52.58,54.11,133323.04,7091604.6,1174
2020-04-07,54.11,59.07,59.5,52.96,59.5,44088.55,2504367.6,356
2020-04-08,59.5,63.36,65.41,55.01,65.41,19949.94,1288820.4,142
2020-04-09,65.41,70.52,71.95,65.08,71.95,36619.77,2616943.2,215
2020-04-13,71.95,70.61,76.39,69.09,75.05,29722.12,2156942.95,295
2020-04-15,75.05,74.43,78.25,71.57,73.67,51114.05,3822881.95,446
2020-04-16,73.67,77.25,77.25,71.66,76.05,17308.04,1286995.45,209
2020-04-17,76.05,77.25,79.82,72.62,76.67,38864.49,2897996.5,299
2020-04-20,76.67,76.34,80.49,73.95,80.11,52872.52,4188820.05,305
2020-04-21,80.11,79.2,79.2,76.15,76.15,27911.26,2130457.6,188
2020-04-22,76.15,73.48,76.24,72.38,74.62,27587.44,2012325.1,155
2020-04-23,74.62,74.62,76.34,73.48,74.38,22364.43,1668638.85,234
2020-04-24,74.38,71.57,73.05,70.71,70.8,10236.43,728644.15,120
2020-04-27,70.8,69.66,72.52,68.04,69.99,16295.71,1137966.95,225
2020-04-28,69.99,66.61,71.57,66.61,69.66,17315.37,1208107.75,183
2020-04-29,69.66,70.61,70.61,67.75,69.66,17152.94,1180788.15,209
2020-04-30,69.66,69.66,72.57,68.85,71.28,27833.71,1965174.95,245
2020-05-04,71.28,67.85,71.57,67.75,68.94,15475.16,1060049.6,153
2020-05-05,68.94,71.0,71.0,65.65,66.22,24335.63,1623304.3,234
2020-05-06,66.22,65.84,65.84,63.08,63.79,22737.5,1456187.9,208
2020-05-07,63.79,65.6,65.84,61.17,62.41,12478.01,781496.4,190
2020-05-08,62.41,65.13,65.13,63.22,63.6,10334.94,655150.35,95
2020-05-11,63.6,65.51,66.75,60.55,60.93,16167.86,1004300.0,215
2020-05-12,60.93,63.89,63.89,58.54,61.55,11339.93,690372.55,133
2020-05-13,61.55,62.98,64.6,62.03,64.6,15882.82,1014837.2,136
2020-05-14,64.6,65.84,67.46,62.55,63.08,12107.03,773474.4,104
2020-05-15,63.08,65.7,65.75,62.07,65.32,12303.0,795794.35,155
2020-05-18,65.32,65.84,65.84,62.26,63.41,9207.34,583643.3,127
2020-05-19,63.41,64.32,64.32,62.17,63.41,12685.51,795906.85,111
2020-05-20,63.41,64.89,66.32,62.41,65.79,13948.29,898351.45,127
2020-05-21,65.79,68.71,68.71,63.98,65.46,13112.02,858495.25,119
2020-05-22,65.46,65.56,67.7,62.22,62.55,16481.2,1058164.4,170
2020-05-26,62.55,60.26,63.08,60.26,62.26,34861.3,2163849.4,248
2020-05-27,62.26,63.74,63.74,60.64,61.6,43947.08,2689505.7,216
2020-05-28,61.6,63.7,64.65,62.31,62.93,61956.2,3931420.8,316
2020-05-29,62.93,62.98,63.98,62.93,63.41,54188.75,3445269.25,352
2020-06-01,63.41,64.89,66.56,63.98,66.51,215952.27,14364220.75,251
2020-06-02,66.51,66.42,69.8,66.42,69.8,171435.1,11735730.45,6492
2020-06-03,69.8,73.29,73.29,71.57,73.09,204341.96,14970631.7,332
2020-06-04,73.09,76.34,76.34,71.57,72.62,166285.45,12151864.9,1971
2020-06-05,72.62,71.0,79.87,69.95,79.87,36993.89,2864448.5,318
2020-06-08,79.87,87.79,87.84,75.38,86.64,170785.37,14232608.55,1045
2020-06-09,86.64,93.52,93.52,82.4,88.22,92437.04,8151875.15,909
2020-06-10,88.22,88.36,90.7,82.11,85.07,77127.46,6550726.0,832
2020-06-11,85.07,83.02,83.97,76.72,80.82,47940.84,3840816.6,617
2020-06-12,80.82,78.06,84.02,74.86,82.45,48607.34,3887203.15,651
2020-06-15,82.45,81.11,84.93,79.44,83.5,40115.75,3339497.1,291
2020-06-16,83.5,89.6,89.6,82.06,82.73,14131.68,1183481.1,218
2020-06-17,82.73,82.64,85.5,81.59,83.16,36816.79,3082186.75,232
2020-06-18,83.16,81.25,91.46,81.25,91.46,61661.72,5474868.9,501
2020-06-19,91.46,94.47,100.2,88.08,91.18,37255.88,3434355.7,725
2020-06-22,91.18,91.18,100.2,87.22,90.37,62109.2,5591461.9,809
2020-06-23,90.37,95.42,95.42,88.98,90.18,107477.31,9732494.6,720
2020-06-24,90.18,89.7,90.65,84.26,86.45,191809.46,16676474.0,3870
2020-06-25,86.45,83.97,86.26,81.11,81.73,37243.3,3146460.25,1287
2020-06-26,81.73,82.21,82.92,78.53,80.35,29585.89,2388744.5,642
2020-06-29,80.35,80.82,80.82,74.67,76.82,27518.27,2143500.4,617
2020-06-30,76.82,79.06,79.06,74.34,74.53,27438.63,2060649.45,336
2020-07-01,74.53,77.96,77.96,74.43,74.67,22709.2,1715331.85,398
2020-07-02,74.67,78.15,78.15,73.81,76.05,30413.78,2309076.2,470
2020-07-03,76.05,76.05,78.82,75.38,77.68,26895.79,2072660.25,555
2020-07-06,77.68,75.38,81.92,75.38,78.49,47653.7,3746997.65,694
2020-07-07,78.49,79.01,80.3,75.96,76.29,35963.75,2765371.5,411
2020-07-08,76.29,78.25,79.11,74.91,75.34,33245.35,2520495.85,496
2020-07-09,75.34,76.34,76.34,74.14,74.29,85521.58,6365509.75,591
2020-07-10,74.29,78.15,78.15,73.09,73.38,29398.31,2166896.35,395
2020-07-13,73.38,73.38,75.19,72.9,73.48,102327.65,7514672.35,602
2020-07-14,73.48,74.38,74.38,72.57,73.48,151393.99,11122114.15,671
2020-07-15,73.48,73.48,74.0,72.24,73.29,31021.59,2265745.05,771
2020-07-16,73.29,70.47,73.52,70.47,73.29,25511.44,1843214.6,237
2020-07-17,73.29,72.14,72.57,70.8,71.33,50428.68,3603209.8,1228
2020-07-20,71.33,69.95,77.96,67.23,75.58,214746.07,15742751.15,3142
2020-07-21,75.58,78.1,78.25,72.86,75.67,32656.4,2467953.8,679
2020-07-22,75.67,72.57,76.53,72.57,75.34,86947.85,6549842.5,1134
2020-07-23,75.34,74.96,75.1,71.14,71.52,51583.53,3757493.4,1540
2020-07-24,71.52,71.62,73.62,68.99,72.86,146155.26,10602747.15,1337
2020-07-27,72.86,75.1,75.1,70.09,71.23,32151.29,2292692.6,445
2020-07-28,71.23,70.66,78.25,64.98,70.9,142925.46,9872225.8,2145
2020-07-29,70.9,73.43,73.48,68.71,69.66,82015.12,5714062.2,711
2020-07-30,69.66,69.33,76.34,67.75,72.0,119210.22,8504213.9,882
2020-07-31,72.0,72.52,75.86,68.66,71.0,240044.77,16973583.95,2325
2020-08-03,71.0,70.57,70.61,66.8,69.28,255737.91,17403959.35,5369
2020-08-04,69.28,67.27,72.43,66.8,69.47,151539.66,10581671.45,1251
2020-08-05,69.47,69.33,70.9,67.85,68.71,25887.65,1780867.85,394
2020-08-06,68.71,68.75,70.14,67.89,69.52,69204.91,4816414.75,293
2020-08-07,69.52,69.66,70.61,68.85,69.56,72166.43,5025380.15,469
2020-08-10,69.56,71.33,71.33,66.18,68.28,155200.17,10645412.15,1356
2020-08-11,68.28,70.57,70.57,68.13,69.52,45435.17,3129357.35,419
2020-08-12,69.52,69.61,70.33,68.23,69.04,27630.4,1912676.0,507
2020-08-13,69.04,70.28,79.2,68.32,75.62,444964.16,32028367.0,2294
2020-08-14,75.62,78.25,79.06,70.9,73.86,109193.86,8252473.9,2357
2020-08-17,73.86,74.67,77.25,73.91,75.86,60833.84,4613629.75,938
2020-08-18,75.86,77.29,80.16,74.43,75.91,89200.96,6781493.6,783
2020-08-19,75.91,76.01,78.72,75.38,77.72,255145.82,19542941.4,2174
2020-08-20,77.72,78.25,83.88,75.91,76.48,325340.0,25248666.65,6701
2020-08-21,76.48,77.77,85.88,76.05,84.02,1023555.27,81995865.15,5304
2020-08-24,84.02,88.17,91.99,82.59,84.35,1425241.99,125822807.75,21860
2020-08-25,84.35,85.07,87.03,81.11,83.83,290032.27,24459055.5,3618
2020-08-26,83.83,83.35,88.79,82.4,87.31,402600.54,34888483.85,3781
2020-08-27,87.31,88.74,92.08,87.17,88.41,441131.78,39472377.25,3842
2020-08-28,88.41,88.41,90.18,83.02,87.41,452868.89,39044031.35,3797
2020-08-31,87.41,89.51,89.51,78.3,82.83,273779.52,22745139.15,3534
2020-09-01,82.83,84.55,84.59,80.44,83.97,70673.1,5837739.3,1028
2020-09-02,83.97,84.93,85.74,81.78,83.21,56068.78,4681729.05,1031
2020-09-03,83.21,83.83,84.35,82.06,83.02,120043.35,9998314.1,826
2020-09-04,83.02,79.68,83.69,79.68,80.49,68307.86,5547074.3,1257
2020-09-07,80.49,80.63,83.5,80.35,82.68,45741.18,3744572.7,715
2020-09-08,82.68,83.88,83.88,77.96,78.58,78994.91,6381576.9,1035
2020-09-09,78.58,78.25,78.72,73.76,76.1,184838.46,14076816.2,1103
2020-09-10,76.1,76.39,78.44,75.58,76.91,69274.07,5337377.95,856
2020-09-11,76.91,77.1,78.1,75.38,76.15,42335.32,3236640.75,619
2020-09-14,76.15,79.2,81.11,76.24,78.34,325524.44,25618715.4,3102
2020-09-15,78.34,78.72,80.92,78.39,79.39,178500.42,14078519.75,768
2020-09-16,79.39,80.39,84.21,78.87,82.59,302524.95,24819645.1,1487
2020-09-17,82.59,83.02,88.74,80.35,82.68,439964.36,36568451.4,2478
2020-09-18,82.68,83.93,86.36,82.92,84.35,162000.35,13785386.25,1656
