Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2018-01-02,20.98,20.81,21.11,20.1,20.2,111240,2280560.4,365
2018-05-07,38.0,42.45,43.1,40.35,41.31,1184800,48370955.5,645
2018-05-08,41.31,41.7,43.9,41.7,43.39,484840,20768074.15,517
2018-05-09,43.39,43.31,44.68,42.12,43.1,240970,10531924.0,408
2018-05-10,43.1,44.68,44.68,39.31,39.9,479760,19469654.4,566
2018-05-11,39.9,40.0,41.39,39.0,40.1,707250,28337176.25,430
2018-05-14,40.1,40.1,40.5,39.83,39.89,363160,14586747.05,112
2018-05-15,39.89,41.38,43.5,39.6,39.82,342150,13906361.4,939
2018-05-16,39.82,40.86,42.37,39.0,39.25,294710,11815795.9,662
2018-05-17,39.25,39.25,40.1,39.25,39.43,20110,796221.4,121
2018-05-18,39.43,39.7,39.7,37.85,38.8,75290,2923389.7,262
2018-05-21,38.8,38.0,39.4,36.01,37.87,151480,5802372.5,182
2018-05-22,37.87,39.0,40.0,38.8,39.56,41750,1643309.25,71
2018-05-23,39.56,40.7,41.2,38.15,38.21,74780,2971608.0,116
2018-05-24,38.21,39.4,40.3,38.2,39.31,1734230,67387207.0,857
2018-05-25,39.31,40.1,40.28,38.75,39.39,1062940,42088763.05,618
2018-05-28,39.39,39.83,40.38,38.51,38.86,351920,13836715.1,596
2018-05-29,38.86,39.76,39.76,37.63,38.42,180100,6934449.55,102
2018-05-30,38.42,38.21,38.3,37.06,37.99,107400,4081723.3,166
2018-05-31,37.99,39.0,39.2,37.86,37.96,249380,9592095.05,220
2018-06-01,37.96,38.0,38.0,35.61,36.17,181890,6734578.65,178
2018-06-04,36.17,37.79,37.79,35.03,35.49,143230,5126057.9,174
2018-06-05,35.49,35.01,35.99,31.22,32.29,282380,9348894.4,418
2018-06-06,32.29,33.79,35.8,32.98,33.85,262770,9038341.6,592
2018-06-07,33.85,34.25,36.49,34.08,36.37,455610,16202167.75,363
2018-06-08,36.37,35.87,38.0,35.87,36.79,142200,5332752.4,107
2018-06-11,36.79,37.5,37.5,34.03,34.55,151200,5291962.35,300
2018-06-12,34.55,36.6,36.6,34.8,35.49,266890,9370274.0,170
2018-06-13,35.49,35.3,37.5,34.8,36.83,843500,30931814.5,624
2018-06-14,36.83,36.8,37.4,35.8,36.98,575560,21237080.5,443
2018-06-15,36.98,37.0,37.5,36.1,36.23,663480,24329573.75,283
2018-06-18,36.23,36.2,36.2,35.01,35.66,44450,1593852.4,55
2018-06-19,35.66,35.3,35.49,33.21,33.94,58010,1976150.55,238
2018-06-20,33.94,33.99,34.6,30.36,34.43,309490,10227973.95,972
2018-06-21,34.43,33.1,34.8,32.66,33.05,380940,12778642.15,408
2018-06-22,33.05,32.9,33.39,32.24,32.96,26760,877667.3,118
2018-06-25,32.96,33.7,33.8,32.62,32.84,30710,1015948.95,69
2018-06-26,32.84,35.6,35.6,32.01,32.8,4460,147062.95,31
2018-06-27,32.8,32.3,32.3,29.4,30.0,145930,4425533.1,215
2018-06-28,30.0,30.08,30.08,28.3,28.4,120940,3453193.95,47
2018-06-29,28.4,30.4,33.51,29.0,32.76,269020,8432846.2,305
2018-07-02,32.76,33.9,33.9,30.38,32.66,32540,1049552.4,182
2018-07-03,32.66,32.0,32.0,30.16,31.1,18990,592483.25,62
2018-07-04,31.1,31.79,31.84,30.36,31.22,181570,5668368.05,65
2018-07-05,31.22,31.14,32.32,30.71,31.48,89120,2810501.15,71
2018-07-06,31.48,32.15,32.2,31.61,31.62,119110,3775171.15,19
2018-07-09,31.62,33.84,33.84,31.16,32.22,123990,3996781.35,57
2018-07-10,32.22,32.2,32.85,30.81,32.21,58820,1881920.0,111
2018-07-11,32.21,31.9,32.5,31.0,31.53,28490,903997.05,73
2018-07-12,31.53,32.3,33.5,31.01,31.5,126770,4205676.5,111
2018-07-13,31.5,31.5,32.86,30.49,32.01,43670,1379839.7,172
2018-07-16,32.01,33.4,33.5,28.52,29.77,305400,9677057.8,288
2018-07-17,29.77,30.0,30.0,28.01,29.2,42800,1233798.85,176
2018-07-18,29.2,29.9,29.9,24.04,25.73,402200,10761389.6,525
2018-07-19,25.73,27.8,27.8,24.12,26.52,204170,5348190.7,379
