Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2022-12-13,15.2,15.95,15.95,15.95,15.95,550,8772.5,8
2022-12-14,15.95,16.7,16.7,16.7,16.7,300,5010.0,3
2022-12-15,16.7,17.5,17.5,17.5,17.5,1375,24062.5,2
2022-12-16,17.5,18.35,18.35,18.35,18.35,1525,27983.75,3
2022-12-19,18.35,19.25,19.25,19.25,19.25,4345,83641.25,8
2022-12-20,19.25,21.15,21.15,21.15,21.15,500,10575.0,4
2022-12-21,21.15,23.25,23.25,23.25,23.25,3874,90070.5,10
2022-12-22,23.25,25.55,25.55,25.55,25.55,47672,1218019.6,52
2022-12-23,25.55,26.8,26.8,26.8,26.8,8567,229595.6,17
2022-12-26,26.8,28.1,28.1,25.5,25.5,47959,1300824.05,259
2022-12-27,25.5,24.25,24.25,24.25,24.25,4533,109925.25,38
2022-12-28,24.25,23.05,23.05,23.05,23.05,6009,138507.45,28
2023-02-28,10.8,10.4,10.4,10.3,10.3,602,6250.7,5
2023-03-01,10.3,9.8,10.0,9.8,9.8,2335,22884.75,17
2023-03-02,9.8,9.75,9.75,9.35,9.4,9768,91701.85,52
2023-03-03,9.4,9.5,9.75,9.05,9.4,6949,65032.65,233
2023-03-06,9.4,9.6,9.7,9.15,9.15,6097,57371.6,50
2023-03-08,9.15,9.25,9.6,9.1,9.15,13570,126784.35,91
2023-03-09,9.15,9.6,9.6,9.05,9.25,2599,24058.7,32
2023-03-10,9.25,8.9,9.25,8.9,8.9,2075,18822.8,21
2023-03-13,8.9,9.2,9.3,8.65,9.15,2571,22920.75,32
2023-03-14,9.15,9.15,9.15,8.75,8.75,171,1528.25,9
2023-03-15,8.75,8.6,9.15,8.4,8.8,5054,44426.1,165
2023-03-16,8.8,9.2,9.2,8.4,8.75,3413,29396.4,301
2023-03-17,8.75,8.95,8.95,8.4,8.85,2414,20964.0,226
2023-03-20,8.85,8.85,8.85,8.4,8.8,403,3456.05,43
2023-03-21,8.8,8.8,8.95,8.4,8.4,4607,38879.0,27
2023-03-22,8.4,8.5,8.5,8.0,8.35,5824,49196.7,17
2023-03-23,8.35,8.0,8.35,8.0,8.2,242,1971.6,13
2023-03-24,8.2,8.2,8.5,7.8,7.95,4168,33791.25,94
2023-03-27,7.95,7.65,8.3,7.55,7.85,8466,66357.3,76
2023-03-28,7.85,7.85,7.85,7.45,7.5,941,7022.6,9
2023-03-29,7.5,7.5,7.7,7.4,7.4,38,282.75,8
2023-03-31,7.4,7.4,7.4,7.05,7.4,271,1930.85,17
2023-04-03,7.4,7.4,7.75,7.05,7.4,5236,38764.7,34
2023-04-05,7.4,7.75,7.75,7.15,7.75,524,3988.8,17
2023-04-06,7.75,8.1,8.1,7.75,8.1,3393,26775.8,12
2023-04-10,8.1,8.3,8.5,7.8,8.3,5536,46140.9,37
2023-04-11,8.3,8.3,8.7,7.95,8.7,3270,28286.95,26
2023-04-12,8.7,8.85,9.1,8.85,9.1,3399,30866.65,23
2023-04-13,9.1,9.2,9.55,9.2,9.55,5625,53675.25,27
2023-04-17,9.55,9.8,10.0,9.6,10.0,2960,29597.4,23
2023-04-18,10.0,10.5,10.5,10.05,10.1,13446,140190.9,48
2023-04-19,10.1,10.5,10.6,10.5,10.6,7845,82952.25,37
2023-04-20,10.6,11.1,11.1,10.2,11.1,19763,218641.7,78
2023-04-21,11.1,11.6,11.65,11.1,11.65,10183,118546.35,27
2023-04-24,11.65,11.95,12.2,11.1,11.8,11134,131367.8,92
2023-04-25,11.8,11.8,12.0,11.25,11.3,19780,226006.95,82
2023-04-26,11.3,11.0,11.5,10.75,11.0,14671,160300.6,77
2023-04-27,11.0,11.0,11.55,10.6,11.55,10455,119357.75,108
2023-04-28,11.55,11.8,12.0,11.2,11.4,9249,107386.9,98
2023-05-02,11.4,11.1,11.85,10.9,11.05,11286,125585.3,95
2023-05-03,11.05,11.05,11.4,10.6,11.1,9311,101860.7,153
2023-05-04,11.1,10.8,11.45,10.8,11.05,5888,64754.05,72
2024-04-23,8.9,9.1,9.1,8.65,8.9,2420,21583.25,29
2024-04-24,8.9,9.1,9.3,8.6,8.9,10652,97962.25,54
2024-04-25,8.9,8.9,9.3,8.6,8.8,12602,112210.45,64
2024-04-26,8.8,8.8,9.2,8.65,9.1,2271,20557.65,56
2024-04-29,9.1,9.45,9.45,8.65,9.0,6288,56802.25,74
2024-04-30,9.0,9.0,9.2,8.7,9.2,2041,18527.6,56
2024-05-02,9.2,9.2,9.65,8.75,9.05,23356,211723.8,82
2024-05-03,9.05,9.2,9.2,9.0,9.1,2833,25786.25,54
2024-05-06,9.1,9.3,9.3,8.65,8.75,13796,121608.2,75
2024-05-07,8.75,8.75,9.15,8.75,9.15,11147,100780.15,71
2024-05-08,9.15,9.15,9.3,8.85,8.95,1869,17093.5,26
2024-05-09,8.95,8.8,9.3,8.65,8.95,6437,56912.25,41
2024-05-10,8.95,9.25,9.3,8.75,8.75,33157,294706.5,72
2024-05-13,8.75,8.7,9.15,8.7,9.05,6879,61897.7,70
2024-05-14,9.05,8.75,9.5,8.75,9.0,6911,62067.85,57
2024-05-15,9.0,9.3,9.3,9.0,9.1,3323,30473.65,51
2024-05-16,9.1,9.55,9.55,8.85,9.55,43097,408906.9,55
2024-05-17,9.55,10.0,10.0,10.0,10.0,7471,74710.0,22
2024-05-21,10.5,11.0,11.0,11.0,11.0,5175,56925.0,23
2024-05-22,11.0,11.55,11.55,11.55,11.55,1277,14749.35,19
2024-05-23,11.55,12.1,12.1,12.1,12.1,3615,43741.5,23
2024-05-24,12.1,12.7,12.7,12.7,12.7,6629,84188.3,23
2024-05-27,12.7,13.3,13.3,13.3,13.3,12980,172634.0,29
2024-05-28,13.3,13.95,13.95,13.95,13.95,4642,64755.9,17
2024-05-29,13.95,14.6,14.6,13.25,13.25,74903,1052318.55,213
2024-05-30,13.25,12.8,13.45,12.6,12.6,31893,402433.8,106
2024-05-31,12.6,12.0,12.0,12.0,12.0,10491,125892.0,67
2024-06-03,12.0,11.5,12.6,11.4,11.9,40819,479145.45,190
2024-06-04,11.9,11.9,11.9,11.3,11.35,14039,159046.9,75
2024-06-05,11.35,11.9,11.9,10.8,10.8,33925,377415.85,172
2024-06-06,10.8,10.8,11.3,10.55,10.75,28083,310712.25,147
2024-06-07,10.75,10.25,11.25,10.25,10.9,18148,199355.35,119
2024-06-10,10.9,11.25,11.44,10.51,11.36,52872,598468.49,142
2024-06-11,11.36,11.83,11.92,11.36,11.91,46956,554433.5,219
2024-06-12,11.91,12.49,12.5,11.67,12.06,64004,785513.03,185
2024-06-13,12.06,12.49,12.49,11.45,11.56,45655,539373.71,221
2024-06-14,11.56,11.31,12.13,11.31,12.08,28983,346227.54,180
2024-06-18,12.08,12.45,12.68,12.19,12.41,31166,390514.69,151
2024-06-19,12.41,12.41,12.97,12.21,12.39,5574,69732.1,105
2024-06-20,12.39,12.32,12.32,11.77,11.8,86557,1036319.33,276
2024-06-21,11.8,11.84,12.39,11.21,11.67,65802,766628.69,208
2024-06-24,11.67,11.99,11.99,11.4,11.67,20056,235473.64,146
2024-06-25,11.67,11.9,12.1,11.3,11.48,23270,268926.69,150
2024-06-26,11.48,11.48,11.48,11.2,11.23,9387,105602.02,98
2024-06-27,11.23,11.41,11.5,10.75,11.11,13954,154482.29,120
2024-06-28,11.11,11.48,11.65,11.05,11.34,33031,377169.37,173
2024-07-01,11.34,11.34,11.85,11.2,11.3,10910,123159.73,143
2024-07-02,11.3,11.31,11.39,11.07,11.27,12379,139092.31,106
2024-07-03,11.27,10.95,11.44,10.82,11.1,21304,234685.79,225
2024-07-04,11.1,11.29,11.65,11.1,11.65,27933,318919.05,1148
2024-07-05,11.65,12.19,12.23,11.3,12.06,74056,893514.85,358
2024-07-08,12.06,12.65,12.66,11.45,11.59,80726,967276.32,238
2024-07-09,11.59,11.89,11.89,11.51,11.63,11714,136895.97,95
2024-07-10,11.63,11.63,11.63,11.26,11.3,4460,50715.03,56
2024-07-11,11.3,11.6,11.86,11.37,11.8,23513,275130.12,160
2024-07-12,11.8,12.35,12.35,11.26,11.48,20599,245333.76,169
2024-07-15,11.48,11.48,12.03,11.3,11.61,17647,203645.56,231
2024-07-16,11.61,12.0,12.0,11.36,11.37,16651,193173.7,86
2024-07-18,11.37,11.41,11.59,11.25,11.31,20070,228178.24,103
2024-07-19,11.31,11.31,11.53,11.01,11.13,26806,300442.88,130
2024-07-22,11.13,11.13,11.5,11.06,11.3,5410,61084.31,302
2024-07-23,11.3,11.79,11.79,10.76,11.24,34481,382620.67,109
2024-07-24,11.24,11.24,11.48,10.97,11.01,1648,18458.72,46
2024-07-25,11.01,11.46,11.46,11.01,11.41,5113,57854.14,62
2024-07-26,11.41,11.49,11.59,11.11,11.17,22908,257458.2,231
2024-07-29,11.17,11.39,11.55,11.2,11.47,10624,121819.04,130
2024-07-30,11.47,11.7,11.89,11.21,11.28,27960,317277.58,168
2024-07-31,11.28,11.84,11.84,11.84,11.84,22199,262836.16,38
2024-08-01,11.84,12.43,12.43,12.43,12.43,12377,153846.11,19
2024-08-02,12.43,13.0,13.05,12.68,13.05,99109,1291261.04,225
2024-08-05,13.05,13.7,13.7,13.7,13.7,37927,519599.9,63
2024-08-06,13.7,14.38,14.38,14.38,14.38,3556,51135.28,26
2024-08-07,14.38,15.09,15.09,15.09,15.09,2618,39505.62,22
2024-08-08,15.09,15.79,15.79,14.33,14.33,83683,1240501.31,235
2025-02-17,12.01,11.5,12.6,11.4,11.45,15344,179363.29,72
2025-02-18,11.45,11.45,12.0,11.02,11.34,3957,45854.8,58
2025-02-19,11.34,11.8,11.89,10.81,11.29,5852,66435.68,47
2025-02-20,11.29,11.84,11.85,11.01,11.6,6385,73981.56,47
2025-02-21,11.6,11.49,12.17,11.12,11.98,4788,55463.54,51
2025-02-24,11.98,12.57,12.57,11.47,12.23,9989,119475.72,89
2025-02-25,12.23,12.25,12.76,11.67,12.25,7072,86094.61,70
2025-02-27,12.25,12.78,12.78,11.66,11.89,6928,82914.1,65
2025-02-28,11.89,11.33,12.4,11.31,11.88,5712,69806.01,56
2025-03-03,11.88,12.0,12.0,11.29,11.39,9976,114113.54,68
2025-03-04,11.39,11.89,11.89,10.93,11.27,2767,31187.18,40
2025-03-05,11.27,11.17,11.83,10.82,11.81,5451,64257.68,38
2025-03-06,11.81,12.4,12.4,11.46,12.4,16308,200961.61,48
2025-03-07,12.4,12.95,12.97,11.8,12.22,6476,82249.62,74
2025-03-10,12.22,12.63,12.83,11.66,12.75,8581,106492.9,88
2025-03-11,12.75,12.98,12.98,12.4,12.77,3439,43594.12,144
2025-03-12,12.77,12.73,12.74,12.26,12.5,2601,32313.9,31
2025-03-13,12.5,13.08,13.08,11.91,12.22,3987,48715.95,40
2025-03-17,12.22,12.83,12.83,11.77,12.67,8808,111314.56,79
2025-03-18,12.67,13.19,13.19,12.14,12.8,5773,73037.54,83
2025-03-19,12.8,12.94,13.43,12.36,12.58,4121,52860.11,55
2025-03-20,12.58,12.02,12.42,11.95,12.14,26705,321483.72,126
2025-03-21,12.14,12.05,12.74,11.65,12.25,5449,65746.09,70
2025-03-24,12.25,12.86,12.86,11.8,12.74,23502,295208.27,138
2025-03-25,12.74,12.85,13.0,12.21,12.39,4126,52305.26,103
2025-03-26,12.39,11.77,12.58,11.77,11.93,8446,101457.91,91
2025-03-27,11.93,11.77,12.19,11.4,11.55,6132,71495.83,763
2025-03-28,11.55,11.56,11.56,11.25,11.55,4673,53943.0,31
2025-04-01,11.55,10.97,12.12,10.97,12.01,13070,151741.86,56
2025-04-02,12.01,12.11,12.59,11.41,12.47,2510,29720.94,79
2025-04-03,12.47,13.0,13.0,11.86,12.02,13353,165833.64,65
2025-04-04,12.02,12.26,12.26,11.52,12.09,5022,59845.83,73
2025-04-07,12.09,12.09,12.09,11.02,11.46,7871,91663.24,147
2025-04-08,11.46,11.98,12.59,11.28,11.49,20310,238186.71,181
2025-04-09,11.49,11.94,11.94,10.54,11.25,5784,65457.06,108
2025-04-11,11.25,12.25,12.25,10.55,11.37,6273,69478.49,97
2025-04-15,11.37,12.4,12.4,11.3,12.04,11159,134619.14,126
2025-04-16,12.04,12.15,13.2,11.7,12.42,10933,138230.88,198
2025-04-17,12.42,12.43,12.5,11.65,12.1,6793,82466.44,106
2025-04-21,12.1,12.22,12.4,11.01,11.71,14894,172261.99,194
2025-04-22,11.71,11.76,12.34,11.71,11.96,2170,25881.91,21
2025-04-23,11.96,11.96,12.16,11.6,12.13,5612,67548.65,88
2025-04-24,12.13,12.12,12.47,11.51,11.88,4283,50929.69,141
2025-04-25,11.88,11.94,12.36,11.5,11.9,5634,66852.93,102
2025-04-28,11.9,11.85,11.95,11.31,11.56,6440,75214.03,82
2025-04-29,11.56,11.69,12.15,11.45,11.59,2603,30213.23,89
2025-04-30,11.59,11.6,11.97,11.04,11.52,1497,17252.07,45
2025-05-02,11.52,11.42,12.6,11.15,11.76,4051,47905.76,108
2025-05-05,11.76,11.77,12.38,11.3,11.39,3472,39843.25,73
2025-05-06,11.39,11.38,12.1,10.26,10.65,33170,359594.57,191
2025-05-07,10.65,10.53,10.75,10.25,10.33,6058,63356.41,100
2025-05-08,10.33,10.44,10.9,10.44,10.83,3210,34226.11,49
2025-05-09,10.83,11.79,11.79,10.05,10.75,13181,142402.75,100
2025-05-12,10.75,10.75,11.48,10.75,11.2,4496,49680.83,85
2025-05-13,11.2,11.2,11.2,10.75,10.9,8239,90321.07,86
2025-05-14,10.9,11.11,11.69,10.9,11.19,5426,60861.87,103
2025-05-15,11.19,11.41,12.1,11.0,11.96,12987,152187.02,131
2025-05-16,11.96,11.96,13.11,11.62,12.66,26114,327552.22,183
2025-05-19,12.66,12.91,13.51,12.62,12.86,25990,337690.44,221
2025-05-20,12.86,12.81,13.89,12.41,12.77,8100,104343.25,84
2025-05-21,12.77,13.84,13.85,12.1,13.3,31866,412736.23,272
2025-05-22,13.3,13.3,13.3,12.54,12.6,16434,212780.37,134
2025-05-23,12.6,13.75,13.75,12.2,13.14,20300,267839.13,482
2025-05-26,13.14,13.54,13.59,12.05,12.52,5709,72268.27,232
2025-05-27,12.52,12.65,13.7,12.4,13.07,5227,68796.12,166
2025-05-28,13.07,13.23,13.23,12.5,12.64,2717,34897.94,105
2025-05-29,12.64,12.8,12.93,12.2,12.52,2389,30190.92,125
2025-05-30,12.52,12.41,13.3,12.1,12.47,5123,64574.6,159
2025-06-02,12.47,13.25,13.3,11.66,12.92,29174,368016.92,347
2025-06-03,12.92,13.5,13.6,12.62,12.91,5726,73735.19,190
2025-06-04,12.91,12.85,13.3,12.25,13.13,12208,160408.43,140
2025-06-05,13.13,13.25,13.25,12.7,13.05,6497,84920.97,285
2025-06-06,13.05,13.2,15.66,13.19,15.66,127732,1982920.0,233
2025-06-09,15.66,18.4,18.79,18.15,18.79,276982,5158526.27,434
2025-06-10,18.79,19.5,20.66,18.88,20.66,422637,8388202.26,1295
2025-06-11,20.66,21.8,22.72,20.66,21.4,1030685,22765670.41,4420
2025-09-15,15.16,16.25,16.27,14.55,15.24,18201,282820.43,252
2025-09-16,15.24,15.24,15.69,14.54,14.71,8413,125927.37,178
2025-09-17,14.71,14.61,15.25,14.6,14.77,10985,163358.64,130
2025-09-18,14.77,14.9,15.12,13.3,14.68,14470,210918.23,185
2025-09-19,14.68,14.68,15.1,14.21,14.52,14147,205868.29,117
2025-09-22,14.52,14.52,14.85,13.06,14.35,18994,271930.45,184
2025-09-23,14.35,14.42,14.99,14.26,14.71,8207,119892.34,78
