Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-01-02,163.65,163.65,170.45,162.55,169.75,442679,74483736.85,5416
2017-01-03,169.75,171.45,174.0,170.0,172.2,723662,124551536.65,9058
2017-01-04,172.2,172.35,173.9,165.25,166.3,408386,68965921.65,4688
2017-01-05,166.3,168.0,168.7,162.0,163.35,717799,117901318.15,7293
2017-01-06,163.35,163.35,168.25,160.05,160.95,557959,91483679.15,4956
2017-01-09,160.95,162.85,165.85,161.15,163.85,361866,59208754.9,3608
2017-01-10,163.85,164.2,164.95,162.2,164.0,314579,51468018.35,2693
2017-01-11,164.0,164.25,165.95,163.15,165.25,218531,36006213.6,2603
2017-01-12,165.25,165.5,171.55,162.1,170.4,590491,98991145.55,5565
2017-01-13,170.4,172.0,174.0,168.55,173.55,610888,105220721.75,6616
2017-01-16,173.55,173.55,184.3,172.1,182.55,1201233,216104269.85,11975
2017-01-17,182.55,182.0,183.25,177.9,179.9,424244,76509269.3,5433
2017-01-18,179.9,179.0,186.3,179.0,182.75,623626,114489086.05,5396
2017-01-19,182.75,182.3,185.5,177.45,180.4,508595,92102463.85,4169
2017-01-20,180.4,179.4,182.55,175.05,175.55,337069,60093279.3,2651
2017-01-23,175.55,175.0,177.4,171.8,172.55,447313,77956600.2,2965
2017-01-24,172.55,173.0,176.0,173.0,174.85,319655,55888626.5,2219
2017-01-25,174.85,174.95,180.65,174.9,179.7,1037036,185223607.2,7675
2017-01-27,179.7,178.0,189.2,177.7,186.55,1221456,227316718.1,8606
2017-01-30,186.55,187.9,189.2,182.65,186.55,347071,64581389.1,3590
2017-01-31,186.55,185.9,185.9,178.85,179.85,235597,42812402.6,2699
2017-02-01,179.85,180.0,183.4,173.6,182.8,428413,76525569.35,4276
2017-02-02,182.8,185.7,189.45,182.0,187.15,471511,88080554.35,5408
2017-02-03,187.15,186.1,192.15,186.1,189.05,549789,104548792.65,5004
2017-02-06,189.05,189.75,190.5,184.45,185.8,757711,141692705.05,4675
2017-02-07,185.8,186.65,187.8,182.05,184.25,219533,40626408.05,3101
2017-02-08,184.25,184.0,185.4,179.55,181.7,415124,75602827.7,5295
2017-02-09,181.7,182.5,185.45,179.95,181.65,624788,113830920.4,5848
