Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2024-12-20,417.0,510.0,525.0,459.0,471.15,64151155,31743313790.35,719650
2024-12-23,471.15,492.15,505.45,478.45,482.2,14769046,7313634305.75,202194
2024-12-24,482.2,487.0,530.4,484.1,527.5,15928766,8170154069.15,176373
2024-12-26,527.5,544.0,580.25,537.1,580.25,19265662,10984484238.0,179382
2024-12-27,580.25,605.0,611.0,542.3,586.6,17364385,9990019505.2,413080
2024-12-30,586.6,582.0,583.9,547.25,554.55,4709588,2671124496.0,112051
2024-12-31,554.55,545.0,564.9,542.65,553.9,2846998,1575150049.1,64662
2025-01-01,553.9,561.0,603.35,557.05,594.9,5350965,3113461896.2,84434
2025-01-02,594.9,601.4,624.0,582.75,597.25,8248826,4979790961.4,110308
2025-01-03,597.25,599.4,629.0,591.35,615.2,6118584,3760656530.75,101116
2025-01-06,615.2,619.7,639.4,576.05,587.0,6920415,4197253671.95,141340
2025-01-07,587.0,593.0,624.0,584.0,612.5,4204735,2563372901.25,97315
2025-01-08,612.5,616.0,625.95,599.9,620.4,3646381,2243295864.65,93482
2025-01-09,620.4,623.45,642.3,600.1,602.9,3252335,2012552261.15,65243
2025-01-10,602.9,600.0,613.4,570.1,585.85,3433709,2038599701.0,54761
2025-01-13,585.85,578.8,589.85,541.0,548.7,3469047,1956163908.85,67301
2025-01-14,548.7,555.95,568.0,545.0,548.85,2485322,1370660952.35,37085
2025-01-15,548.85,550.85,561.7,530.75,540.05,2198983,1195814875.65,37566
2025-01-16,540.05,550.0,568.4,542.0,546.1,1797526,992939356.4,37914
2025-01-17,546.1,535.0,542.9,515.05,518.1,3774660,1993255033.35,59937
2025-01-20,518.1,528.0,537.4,509.5,522.0,2846036,1487859942.3,35129
2025-01-21,522.0,524.0,535.5,505.65,509.5,2831202,1466203137.9,42893
2025-01-22,509.5,512.95,526.0,503.3,520.4,3205134,1652105954.5,52162
2025-01-23,520.4,523.9,563.0,523.7,548.35,3610776,1975149658.85,59655
2025-01-24,548.35,549.95,553.8,520.0,522.35,1355635,725779823.0,25900
