Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-01-02,42.25,45.15,47.0,44.1,45.4,344601,15506039.05,2505
2017-01-03,45.4,46.05,47.9,45.15,45.8,293338,13585541.4,1736
2017-01-04,45.8,46.45,46.45,44.7,44.95,69972,3173037.65,499
2017-01-05,44.95,45.35,46.0,44.55,45.6,95247,4327855.25,629
2017-01-06,45.6,45.9,47.95,45.2,45.8,229875,10757002.85,1157
2017-01-09,45.8,46.2,46.55,44.7,45.1,23119,1055170.15,229
2017-01-10,45.1,45.55,46.3,45.0,45.6,33207,1513237.7,254
2017-01-11,45.6,45.35,46.5,44.8,45.05,83464,3794792.3,580
2017-01-12,45.05,45.3,46.9,45.3,45.7,84026,3857960.6,816
2017-01-13,45.7,47.0,51.35,46.6,49.2,1054903,52489918.7,6237
2017-01-16,49.2,48.3,50.0,47.95,49.2,87930,4291826.65,626
2017-01-17,49.2,50.0,50.6,47.8,48.1,84801,4128214.6,452
2017-01-18,48.1,48.15,50.6,48.15,48.7,115185,5707711.1,630
2017-01-19,48.7,48.9,49.05,48.05,48.4,36118,1751252.5,267
2017-01-20,48.4,48.0,48.5,47.0,47.25,43365,2067110.8,386
2017-01-23,47.25,47.05,48.0,45.25,47.05,60195,2823850.1,442
2017-01-24,47.05,46.35,47.55,46.0,46.55,29845,1395470.75,214
2017-01-25,46.55,46.25,47.5,46.25,47.0,23279,1093603.05,155
2017-01-27,47.0,47.4,51.2,47.3,49.75,466516,23305342.6,2179
2017-01-30,49.75,49.8,51.05,48.7,49.6,103694,5202338.85,543
2017-01-31,49.6,49.6,50.3,48.55,49.15,78815,3891386.85,436
2017-02-01,49.15,49.0,49.5,48.55,48.95,41922,2054954.9,296
2017-02-02,48.95,49.55,54.4,48.5,51.85,603627,31646840.5,4135
2017-02-03,51.85,52.2,54.15,51.0,52.7,492980,26141079.05,2156
2017-02-06,52.7,53.25,53.25,50.8,51.4,87078,4516334.45,943
2017-02-07,51.4,51.4,52.3,50.3,50.5,45052,2306574.6,375
2017-02-08,50.5,49.5,53.8,49.5,51.8,174926,9182173.95,1053
2017-02-09,51.8,52.05,52.95,51.2,52.4,51890,2706860.55,448
2017-02-10,52.4,52.55,53.2,51.0,51.75,75316,3948700.15,605
2017-02-13,51.75,53.8,55.4,51.5,54.75,748360,40373093.05,5631
2017-02-14,54.75,55.35,57.95,53.5,53.9,301325,16821337.9,2003
2017-02-15,53.9,54.0,54.0,51.65,51.8,54096,2844484.8,408
2017-02-16,51.8,52.5,56.65,51.2,55.0,657369,36160732.65,4065
2017-02-17,55.0,55.1,58.2,54.05,55.1,262716,14811997.1,1621
2017-02-20,55.1,55.65,65.75,55.05,64.1,1860921,113964771.25,10455
2017-02-21,64.1,64.15,66.0,61.65,63.85,864806,55108519.9,5632
2017-02-22,63.85,64.5,64.85,61.1,61.8,356734,22460801.95,3018
2017-02-23,61.8,61.45,61.9,60.05,60.65,118662,7226049.1,895
2017-02-27,60.65,59.2,61.9,59.0,59.7,143567,8669134.65,1423
2017-02-28,59.7,60.0,65.0,59.55,62.25,345995,21700612.4,2926
2017-03-01,62.25,62.0,62.7,61.1,62.1,120818,7480328.95,829
2017-03-02,62.1,62.75,64.0,58.5,60.35,129531,7892717.3,1061
2017-03-03,60.35,59.05,61.4,58.8,59.75,66080,3963826.2,610
2017-03-06,59.75,59.95,60.55,58.45,58.65,53615,3167563.1,503
2017-03-07,58.65,59.1,59.5,57.5,57.75,52706,3070680.15,448
2017-03-08,57.75,57.8,58.05,54.5,55.0,139246,7733131.5,993
2017-03-09,55.0,54.75,55.95,54.5,55.15,45202,2495036.55,426
2017-03-10,55.15,55.15,58.5,55.0,56.25,211329,11993488.85,776
2017-03-14,56.25,57.9,57.95,55.5,56.05,67193,3809166.35,477
2017-03-15,56.05,56.05,56.85,55.2,55.55,88777,4951864.4,782
2017-03-16,55.55,56.2,59.0,54.95,57.3,170243,9725011.85,1238
2017-03-17,57.3,57.55,58.05,56.2,56.55,61596,3521562.05,633
2017-03-20,56.55,56.4,56.5,55.25,55.7,70505,3936360.35,441
2017-03-21,55.7,58.5,58.85,56.65,57.2,358666,20581046.15,2574
2017-03-22,57.2,56.85,56.85,55.2,55.6,63385,3540034.15,527
2017-03-23,55.6,55.7,56.0,54.8,55.55,89689,4967903.6,649
2017-03-24,55.55,55.55,56.6,55.2,56.15,65423,3668423.2,922
2017-03-27,56.15,58.05,58.9,56.35,57.85,157456,9042184.35,1588
2017-03-28,57.85,58.0,58.0,55.5,55.7,101461,5704959.55,824
2017-03-29,55.7,55.7,57.9,54.5,54.95,378571,21211721.85,2155
2017-03-30,54.95,55.7,56.0,53.85,54.2,93649,5137342.75,627
2017-03-31,54.2,54.95,54.95,53.85,54.05,77584,4204109.5,527
2017-04-03,54.05,54.75,55.5,54.2,54.95,50364,2763498.5,480
2017-04-05,54.95,55.5,57.25,54.9,56.6,157893,8891015.25,1247
2017-04-06,56.6,56.95,57.55,55.0,55.95,80556,4522906.05,611
2017-04-07,55.95,56.1,58.9,55.35,57.05,247568,14279390.05,1584
2017-04-10,57.05,57.1,58.4,56.5,58.0,115994,6695009.15,781
2017-04-11,58.0,58.0,59.65,57.45,58.5,149671,8761257.3,1043
2017-04-12,58.5,58.9,58.9,56.25,56.45,143689,8222429.2,915
2017-04-13,56.45,57.0,57.3,56.05,56.3,60677,3446440.95,794
2017-04-17,56.3,56.4,56.85,55.2,56.05,45728,2559728.75,484
2017-04-18,56.05,56.55,60.45,55.7,58.3,394002,23016353.4,2358
2017-04-19,58.3,59.1,59.9,58.2,59.1,182152,10773142.1,1367
2017-04-20,59.1,59.0,59.8,58.3,58.5,109209,6458440.7,674
2017-04-21,58.5,58.55,59.0,57.0,57.75,103766,6022002.85,743
2017-04-24,57.75,58.9,59.5,57.95,58.7,147136,8680626.35,710
2017-04-25,58.7,59.2,59.55,58.1,58.35,138061,8103158.4,729
2017-04-26,58.35,58.85,58.95,56.3,56.65,125283,7192001.8,845
2017-04-27,56.65,56.8,57.1,56.2,56.35,43589,2461256.15,349
2017-04-28,56.35,56.45,57.0,55.65,56.3,72732,4082907.8,573
2017-05-02,56.3,56.5,56.8,55.75,56.1,51502,2892895.0,400
2017-05-03,56.1,56.05,57.45,55.05,55.85,66191,3718507.4,465
2017-05-04,55.85,56.55,57.05,55.1,55.65,52796,2943684.6,368
2017-05-05,55.65,55.9,56.2,53.85,54.3,76818,4208869.35,464
2017-05-08,54.3,54.5,56.0,54.0,54.65,147590,8124800.65,745
2017-05-09,54.65,54.6,55.25,54.15,54.4,52189,2848049.65,320
2017-05-10,54.4,54.2,56.05,54.2,54.45,145942,8037292.0,718
2017-05-11,54.45,54.7,56.0,54.45,54.85,171994,9480827.9,850
2017-05-12,54.85,55.0,56.95,54.2,56.35,580966,32636289.95,3182
2017-05-15,56.35,57.5,57.8,55.35,55.85,96085,5432808.0,713
2017-05-16,55.85,55.85,57.35,55.75,56.0,230596,13017821.15,1017
2017-05-17,56.0,55.8,56.3,55.5,55.65,66209,3688618.05,399
2017-05-18,55.65,54.85,55.25,53.25,53.6,118325,6417144.95,627
2017-05-19,53.6,54.95,54.95,52.1,52.65,52162,2781407.4,368
2017-05-22,52.65,53.45,53.55,51.15,51.3,47555,2478087.0,410
2017-05-23,51.3,51.9,51.9,49.6,50.15,52761,2658827.9,435
2017-05-24,50.15,50.0,50.0,46.2,46.65,117105,5650258.2,721
2017-05-25,46.65,47.0,49.4,47.0,48.8,51443,2477520.0,432
2017-05-26,48.8,50.4,50.8,48.0,50.3,48105,2393808.95,431
2017-05-29,50.3,50.7,52.05,50.1,50.35,49698,2530769.25,452
2017-05-30,50.35,57.0,57.55,52.5,53.15,414572,22647983.3,3624
2017-05-31,53.15,53.0,53.55,52.0,52.35,75037,3975189.5,550
2017-06-01,52.35,52.5,54.25,52.1,52.95,94467,5033634.35,505
2017-06-02,52.95,53.05,53.85,52.1,52.6,99201,5254719.5,516
2017-06-05,52.6,52.5,53.8,51.85,51.9,74344,3913427.1,441
2017-06-06,51.9,52.5,52.5,49.25,49.55,126426,6361702.9,715
2017-06-07,49.55,49.7,50.9,49.45,49.8,122774,6133704.95,591
2017-06-08,49.8,50.05,50.5,48.05,48.25,119781,5838272.5,847
2017-06-09,48.25,48.25,49.3,47.15,49.0,211780,10206259.15,1097
2017-06-12,49.0,49.05,49.05,47.5,47.65,70252,3366990.0,485
2017-06-13,47.65,47.9,48.95,47.45,47.6,150559,7240447.15,740
2017-06-14,47.6,47.7,48.0,46.55,46.85,87142,4110695.2,593
2017-06-15,46.85,46.85,47.7,46.5,46.8,84672,3996698.3,480
2017-06-16,46.8,47.6,47.7,46.5,46.65,79433,3732565.8,438
2017-06-19,46.65,46.65,47.15,46.65,46.95,47565,2232689.55,242
2017-06-20,46.95,47.0,47.0,45.5,45.95,100528,4639520.35,688
2017-06-21,45.95,46.0,46.4,43.65,44.45,151962,6820245.3,893
2017-06-22,44.45,45.05,46.55,44.6,45.8,170138,7783001.45,961
2017-06-23,45.8,46.4,46.4,43.0,44.45,97447,4340319.65,529
2017-06-27,44.45,45.65,45.65,44.0,44.1,62535,2774504.0,276
2017-06-28,44.1,43.8,45.0,42.8,43.2,86276,3752809.6,574
2017-06-29,43.2,44.0,45.2,42.75,43.2,275548,12119891.4,1132
2017-06-30,43.2,43.0,43.0,41.9,42.25,117526,4983566.45,838
2017-07-03,42.25,42.75,43.4,42.2,43.15,65611,2819947.6,595
2017-07-04,43.15,43.4,43.5,42.65,43.15,39188,1685453.7,298
2017-07-05,43.15,43.25,47.6,42.85,46.75,503310,23256145.5,3252
2017-07-06,46.75,48.15,48.4,44.6,45.4,167374,7775206.9,1100
2017-07-07,45.4,45.4,46.6,45.0,45.65,66310,3038594.45,687
2017-07-10,45.65,50.0,50.0,45.55,46.2,12347,569670.35,119
2017-07-11,46.2,46.65,46.65,45.0,45.05,43154,1967105.15,375
2017-07-12,45.05,45.25,45.75,45.0,45.25,33717,1528776.7,321
2017-07-13,45.25,46.0,48.8,44.55,47.6,389978,18483806.1,2437
2017-07-14,47.6,47.45,48.35,45.8,46.65,125546,5883195.1,1023
2017-07-17,46.65,46.5,47.5,44.4,44.65,101872,4634188.4,641
2017-07-18,44.65,44.65,45.75,44.0,45.4,95366,4279963.95,687
2017-07-19,45.4,45.75,46.5,44.1,44.6,77044,3474066.9,729
2017-07-20,44.6,45.05,45.95,44.75,45.45,47917,2167104.6,625
2017-07-21,45.45,45.75,46.6,44.4,44.65,111350,5054097.45,728
2017-07-24,44.65,45.7,45.95,44.55,45.15,97639,4413158.5,633
2017-07-25,45.15,45.55,45.55,44.55,44.7,55254,2478740.6,407
2017-07-26,44.7,45.0,46.6,44.8,45.35,134418,6133009.55,873
2017-07-27,45.35,45.95,45.95,44.4,44.75,52683,2372291.45,294
2017-07-28,44.75,44.75,45.5,44.1,45.0,43855,1969131.35,355
2017-07-31,45.0,47.95,49.75,46.05,47.25,592118,28548515.35,3441
2017-08-01,47.25,47.55,48.5,45.3,46.35,91321,4279702.3,723
2017-08-02,46.35,46.35,46.4,45.05,45.2,51784,2357313.4,462
2017-08-03,45.2,45.2,45.65,44.2,44.55,130351,5833583.75,633
2017-08-04,44.55,44.8,44.8,44.0,44.4,76903,3407896.65,526
2017-08-07,44.4,44.5,44.85,44.15,44.4,38513,1711263.7,216
2017-08-08,44.4,44.9,45.0,43.1,43.6,73188,3191451.1,358
2017-08-09,43.6,44.1,44.2,42.15,42.2,83562,3555352.65,548
2017-08-10,42.2,42.75,42.75,38.85,40.05,117069,4749009.75,734
2017-08-11,40.05,40.0,41.0,39.05,39.55,79593,3167479.6,565
2017-08-14,39.55,41.8,41.8,40.3,41.35,35794,1466438.2,384
2017-08-16,41.35,41.35,42.05,41.1,41.3,32285,1343403.9,319
2017-08-17,41.3,41.3,43.4,41.25,42.95,44296,1889448.75,389
2017-08-18,42.95,42.5,42.5,41.6,41.8,23236,975299.25,243
2017-08-21,41.8,41.8,44.3,41.45,41.6,155827,6688461.9,841
2017-08-22,41.6,41.7,42.3,39.95,40.05,96623,3918963.7,628
2017-08-23,40.05,40.25,40.8,39.5,40.0,43891,1760144.1,317
2017-08-24,40.0,40.1,43.6,40.0,41.35,56308,2347157.4,444
2017-08-28,41.35,41.8,42.45,40.25,40.45,152055,6201535.95,860
2017-08-29,40.45,40.5,40.6,38.3,39.0,114657,4501950.25,816
2017-08-30,39.0,40.0,40.5,39.1,39.2,86786,3435005.85,504
2017-08-31,39.2,39.4,39.5,38.65,39.2,107591,4198447.45,469
2017-09-01,39.2,39.25,40.45,39.05,39.65,108800,4339380.2,464
2017-09-04,39.65,39.7,40.0,38.15,38.55,103969,4060571.45,700
2017-09-05,38.55,38.75,39.2,38.1,38.2,94932,3654315.55,521
2017-09-06,38.2,38.25,38.4,37.45,37.75,162189,6131505.35,938
2017-09-07,37.75,38.1,39.0,37.75,37.9,146516,5585994.4,856
2017-09-08,37.9,38.05,38.45,37.35,37.55,121300,4592973.35,615
2017-09-11,37.55,37.45,38.0,36.7,36.85,186696,6976070.85,975
2017-09-12,36.85,37.6,38.2,37.0,37.3,127859,4773696.3,642
2017-09-13,37.3,37.5,37.6,36.8,37.05,143096,5305338.0,643
2017-09-14,37.05,36.9,37.9,36.9,37.25,134921,5032062.4,492
2017-09-15,37.25,37.0,37.25,36.3,36.5,128938,4732227.25,628
2017-09-18,36.5,37.4,37.4,35.45,35.65,153146,5518725.3,801
2017-09-19,35.65,35.85,35.85,34.55,34.95,163264,5755793.1,924
2017-09-20,34.95,34.8,35.2,34.65,34.75,85582,2985685.65,457
2017-09-21,34.75,35.6,35.6,33.5,34.3,76922,2639525.9,549
2017-09-22,34.3,34.25,34.3,33.5,33.65,58186,1972845.7,451
2017-09-25,33.65,33.5,33.7,32.5,32.75,55831,1834410.4,414
2017-09-26,32.75,32.55,33.35,32.2,32.75,42690,1394012.4,347
2017-09-27,32.75,33.2,33.5,31.45,31.85,95436,3113872.65,463
2017-09-28,31.85,31.5,31.9,31.2,31.55,66803,2108247.7,416
2017-09-29,31.55,31.9,33.85,31.9,32.45,103982,3378839.9,518
2017-10-03,32.45,32.8,32.8,31.95,32.15,44582,1437154.5,274
2017-10-04,32.15,32.0,32.25,32.0,32.05,34629,1113080.2,201
2017-10-05,32.05,32.55,32.55,31.9,32.15,37221,1195894.2,215
2017-10-06,32.15,32.55,33.95,32.3,33.3,79900,2664901.5,498
2017-10-09,33.3,33.0,33.9,32.95,33.1,36611,1219653.6,193
2017-10-10,33.1,33.1,33.6,32.8,33.0,33529,1111888.65,198
2017-10-11,33.0,33.05,38.85,32.9,36.3,851338,31244417.85,4265
2017-10-12,36.3,36.8,38.7,36.3,37.0,331928,12501197.5,1991
2017-10-13,37.0,37.1,38.7,35.0,35.75,154783,5711851.65,784
2017-10-16,35.75,36.6,36.6,34.0,34.15,78761,2726592.65,553
2017-10-17,34.15,34.05,34.7,33.6,34.35,64348,2206162.05,316
2017-10-18,34.35,34.1,34.7,33.75,34.5,45249,1549523.15,250
