Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2024-12-17,520.1,523.95,524.0,456.25,467.7,14712,7221493.45,605
2024-12-18,467.7,468.95,507.0,467.0,488.5,18025,8716234.6,767
2024-12-19,488.5,489.0,489.0,466.4,470.65,2446,1164718.85,268
2024-12-20,470.65,479.6,485.0,432.65,446.05,11332,5100362.15,609
2024-12-23,446.05,446.05,457.45,433.55,436.2,2363,1046038.25,208
2024-12-24,436.2,432.0,485.0,412.8,422.45,31086,13686191.25,1805
2024-12-26,422.45,434.8,445.6,426.05,435.25,7945,3466546.0,539
2024-12-27,435.25,428.75,449.95,428.75,439.3,4888,2152376.5,253
2024-12-30,439.3,444.95,445.9,430.05,433.5,2121,930595.4,201
2024-12-31,433.5,435.7,449.8,413.0,427.05,10106,4353286.0,410
2025-01-01,427.05,425.0,437.45,418.8,428.8,3545,1516411.0,275
2025-01-02,428.8,452.0,452.0,405.05,419.4,16114,6738304.0,910
2025-01-03,419.4,428.5,433.35,414.85,420.1,6366,2696486.6,557
2025-01-06,420.1,430.0,489.8,430.0,461.15,103984,48800626.6,4314
2025-01-07,461.15,477.75,515.0,469.1,494.85,72931,36116068.95,2822
2025-01-08,494.85,489.9,491.8,465.4,478.15,8829,4207457.75,842
2025-01-09,478.15,490.0,490.0,456.5,459.85,2732,1272222.6,288
2025-01-10,459.85,459.85,459.85,426.8,430.75,4780,2101658.6,818
2025-01-13,430.75,439.0,439.0,405.1,419.2,6237,2603296.4,582
2025-01-14,419.2,425.5,455.0,400.6,422.0,6927,2865583.1,761
2025-01-15,422.0,428.2,451.0,416.55,441.45,9930,4337435.8,1011
2025-01-16,441.45,448.05,460.6,425.0,449.1,4774,2104963.1,615
2025-01-17,449.1,451.35,454.75,424.05,431.3,2281,986099.6,328
2025-01-20,431.3,433.5,446.95,350.0,418.75,14202,5747738.35,814
2025-01-21,418.75,422.05,459.9,419.05,435.65,11026,4835470.7,829
2025-01-22,435.65,437.75,441.35,428.05,437.05,3623,1579926.3,189
2025-01-23,437.05,440.7,466.95,420.0,430.55,7304,3247118.45,438
2025-01-24,430.55,434.2,438.35,409.95,420.8,7641,3231210.8,385
2025-01-27,420.8,431.95,431.95,380.0,387.75,35786,14323021.7,865
2025-01-28,387.75,387.75,404.75,371.05,396.6,3740,1445515.05,408
2025-01-29,396.6,386.05,420.0,386.05,412.5,1527,621061.45,147
2025-01-30,412.5,417.1,427.1,366.35,405.25,28322,11172003.45,2615
2025-01-31,405.25,399.95,425.0,395.5,419.45,3496,1437527.3,341
2025-02-03,418.7,407.9,422.75,407.9,411.8,13588,5589311.45,295
2025-02-04,411.8,438.3,438.3,405.5,416.45,2317,972277.7,310
2025-02-05,416.45,423.2,438.8,421.0,436.25,4602,1976430.95,250
2025-02-06,436.25,420.0,440.4,411.0,433.0,600,258128.85,92
2025-02-07,433.0,418.6,435.0,418.6,428.1,900,383928.7,118
2025-02-10,428.1,430.25,430.25,406.0,412.55,2002,833277.1,214
2025-02-11,412.55,409.75,409.75,395.0,400.2,2035,819073.8,130
2025-02-12,400.2,386.05,420.4,380.0,403.45,886,354117.25,115
2025-02-13,403.45,414.25,429.25,391.0,395.3,2080,845493.3,253
2025-02-14,395.3,405.25,405.45,373.75,384.6,2248,861144.85,243
2025-02-17,384.6,392.45,406.0,382.5,402.75,21365,8458494.9,202
2025-02-18,402.75,387.8,406.0,322.2,380.2,105618,35724857.3,1783
2025-02-19,380.2,381.95,399.9,381.95,390.45,20876,8145244.8,244
2025-02-20,390.45,394.9,394.9,381.0,383.45,854,328063.65,110
2025-02-21,383.45,391.65,394.4,353.0,372.4,2877,1067359.0,286
2025-02-24,372.4,389.15,420.0,360.05,366.4,40192,15888489.25,2153
2025-02-25,366.4,368.25,394.45,368.25,379.0,7330,2793569.6,641
2025-02-27,379.0,379.0,393.95,365.0,370.6,3665,1363917.6,349
2025-02-28,370.6,361.75,364.9,355.0,356.95,2832,1014980.5,164
2025-03-03,356.95,357.0,374.45,299.0,337.8,70619,22892776.65,1625
2025-03-04,337.8,349.4,360.0,325.95,350.75,48365,16738954.85,601
2025-03-05,350.75,363.75,364.4,333.4,340.85,4407,1530975.25,549
2025-03-06,340.85,340.2,357.8,338.95,342.4,5539,1927609.8,303
2025-03-07,342.4,335.1,351.9,331.0,342.3,5275,1826168.95,500
2025-03-10,342.3,335.05,350.0,305.05,341.7,13461,4610171.7,435
2025-03-11,341.7,339.5,339.95,327.2,332.65,3703,1235671.95,269
2025-03-12,332.65,345.0,358.8,332.75,335.55,6914,2381831.35,444
2025-03-13,335.55,345.65,345.65,325.0,342.05,27094,9225004.8,260
2025-03-17,342.05,346.75,346.75,327.1,338.75,10487,3542809.3,550
2025-03-18,338.75,334.75,339.95,299.9,315.75,52259,16311014.85,2515
2025-03-19,315.75,315.0,333.4,299.8,315.7,18506,5810332.95,1442
2025-03-20,315.7,321.95,326.95,302.55,313.45,25564,7967486.8,1395
2025-03-21,313.45,316.0,324.25,302.1,312.55,15842,4943762.5,1657
2025-03-24,312.55,310.0,334.05,310.0,324.4,32796,10639470.15,821
2025-03-25,324.4,330.95,331.45,310.2,313.8,17179,5452155.0,560
2025-03-26,313.8,313.8,322.35,291.6,296.1,25205,7689581.6,1202
2025-03-27,296.1,298.9,298.9,270.5,274.85,30746,8661709.4,1445
2025-03-28,274.85,279.0,329.8,275.95,296.95,231894,72237448.1,7073
2025-04-01,296.95,293.95,340.25,286.95,333.0,84537,27833742.05,3635
2025-04-02,333.0,328.5,339.0,322.45,331.0,18233,6000082.1,921
2025-04-03,331.0,325.0,330.4,311.4,315.6,15517,4961159.25,1014
2025-04-04,315.6,317.2,321.9,304.0,309.8,5329,1663418.1,454
2025-04-07,309.8,303.35,317.05,295.55,312.7,6711,2070831.05,590
2025-04-08,312.7,312.65,322.9,305.6,310.95,5755,1794656.0,389
2025-04-09,310.95,306.45,313.25,306.45,308.15,2067,640012.4,191
2025-04-11,308.15,310.65,323.0,306.1,315.55,4805,1506332.6,433
2025-04-15,315.55,318.4,339.9,318.3,333.6,8557,2837342.8,516
2025-04-16,333.6,340.0,356.8,329.65,339.8,19608,6817900.75,935
2025-04-17,339.8,350.05,351.25,336.6,338.85,4498,1531809.5,397
2025-04-21,338.85,354.0,354.0,330.0,334.45,6633,2264586.85,445
2025-04-22,334.45,345.9,346.05,334.7,340.3,37282,12760864.5,435
2025-04-23,340.3,345.35,350.3,337.5,341.6,31073,10711682.9,626
2025-04-24,341.6,342.15,346.45,335.8,338.85,568,194171.55,133
2025-04-25,338.85,340.35,350.0,320.0,332.8,5501,1827288.1,805
2025-04-28,332.8,352.05,352.05,327.05,331.35,18275,6142243.45,391
2025-04-29,331.35,325.5,338.95,321.0,326.2,13938,4606550.1,526
2025-04-30,326.2,331.1,334.95,320.5,321.65,1494,485036.1,277
2025-05-02,321.65,326.5,334.6,324.75,328.35,1434,469905.6,179
2025-05-05,328.35,334.0,340.0,319.95,328.95,5555,1828706.0,419
2025-05-06,328.95,327.3,327.3,315.0,318.25,3496,1122736.4,234
2025-05-07,318.25,319.85,322.2,318.25,320.0,776,248570.55,55
2025-05-08,320.0,320.5,347.9,320.5,340.2,8438,2851069.95,487
2025-05-09,340.2,337.85,345.05,327.0,332.25,5531,1838896.75,246
2025-05-12,332.25,340.05,350.3,337.8,346.45,36711,12579013.25,268
2025-05-13,346.45,335.0,346.1,333.05,341.05,66515,22645436.7,399
2025-05-14,341.05,345.7,361.55,345.0,352.05,36846,12971523.2,638
2025-05-15,352.05,356.05,367.95,344.95,365.45,3073,1115653.45,298
2025-05-16,365.45,369.1,371.9,351.05,354.75,3346,1206664.35,239
2025-05-19,354.75,354.6,360.05,343.75,349.9,24641,8675702.0,485
2025-05-20,349.9,348.75,359.45,348.75,356.1,997,354321.55,196
2025-05-21,356.1,359.95,365.0,344.95,359.35,43329,15599414.65,545
2025-05-22,359.35,355.9,367.85,353.4,362.7,4896,1778628.9,332
2025-05-23,362.7,357.3,365.85,357.3,362.0,34283,12502414.95,320
2025-05-26,362.0,365.7,376.45,365.0,372.7,2526,933042.85,357
2025-05-27,372.7,373.45,377.0,363.05,374.55,3262,1216880.55,310
2025-05-28,374.55,384.4,399.0,377.05,397.2,7346,2867405.0,466
2025-05-29,397.2,397.2,403.9,388.35,399.1,6315,2511820.8,398
2025-05-30,399.1,400.0,410.0,351.1,359.3,30351,11260976.6,1532
2025-06-02,359.3,364.0,366.0,352.0,362.4,3925,1417280.9,406
2025-06-03,362.4,363.5,364.0,348.45,358.85,9400,3345616.4,408
2025-06-04,358.85,367.8,377.2,360.0,363.3,6651,2450665.05,631
2025-06-05,363.3,369.0,373.0,355.0,361.65,6357,2342389.8,528
2025-06-06,361.65,363.5,381.95,363.1,377.4,7171,2700890.15,464
2025-06-09,377.4,375.55,389.95,366.05,371.85,5640,2123270.9,452
2025-06-10,371.85,376.65,403.4,369.45,393.5,7449,2877637.25,866
2025-06-11,393.5,393.5,400.0,380.3,389.35,5650,2210803.35,339
2025-06-12,389.35,399.95,419.0,390.1,404.55,32991,13288250.5,868
2025-06-13,404.55,390.85,412.0,385.05,405.8,13674,5531070.0,701
2025-06-16,405.8,401.85,415.0,395.55,408.4,13869,5633993.6,1042
2025-06-17,408.4,405.1,422.2,405.1,420.3,16415,6844803.4,829
2025-06-18,420.3,423.0,440.45,410.1,435.3,15272,6597437.0,838
