Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-01-02,68.81,69.33,70.0,67.85,69.05,1336585.97,92094409.45,8368
2017-01-03,69.05,69.43,73.34,68.47,71.24,2590271.38,185214449.35,14682
2017-01-04,71.24,71.58,72.48,69.76,70.43,1124131.42,79914679.15,7881
2017-01-05,70.43,70.86,72.29,70.48,71.0,735712.39,52372824.75,4838
2017-01-06,71.0,70.96,72.15,69.52,69.95,959174.27,68127949.2,5961
2017-01-09,69.95,70.43,70.96,69.29,69.76,570962.57,40000476.5,3719
2017-01-10,69.76,69.95,70.77,69.38,69.62,509990.82,35712909.25,2994
2017-01-11,69.62,69.95,70.86,69.62,69.91,726590.92,50998252.25,3968
2017-01-12,69.91,70.05,70.43,68.81,69.24,580384.57,40386399.45,3377
2017-01-13,69.24,69.81,72.15,69.81,70.38,1409228.94,99931127.25,8350
2017-01-16,70.38,70.48,71.0,69.81,70.0,405986.58,28523994.7,2869
2017-01-17,70.0,70.0,71.62,69.05,70.19,697075.72,48979480.4,4152
2017-01-18,70.19,70.05,70.96,69.05,69.29,565787.7,39546165.1,3780
2017-01-19,69.29,69.43,69.86,68.23,68.62,436899.68,30204429.9,3024
2017-01-20,68.62,68.28,68.76,65.89,66.32,589707.08,39676669.2,4764
2017-01-23,66.32,66.37,67.66,66.04,67.38,360542.58,24182195.55,3016
2017-01-24,67.38,67.33,68.47,67.33,68.09,329421.1,22412026.3,2603
2017-01-25,68.09,68.19,68.95,67.66,68.0,407534.22,27787662.85,2808
2017-01-27,68.0,68.47,69.62,68.38,68.66,690072.58,47494201.4,5429
2017-01-30,68.66,69.33,69.91,68.28,68.9,712502.95,49241471.2,5293
2017-01-31,68.9,68.76,69.09,65.99,66.75,490596.04,33188571.75,3683
2017-02-01,66.75,65.89,68.57,64.99,67.71,1030635.04,68744866.0,6065
2017-02-02,67.71,68.19,68.38,66.9,67.23,633725.95,42909116.85,5058
2017-02-03,67.23,67.52,70.05,67.09,68.19,1044742.9,71699044.15,6991
2017-02-06,68.19,68.52,70.91,68.47,70.48,1213044.55,84701780.6,7438
2017-02-07,70.48,71.39,71.91,68.76,69.05,1018610.95,71605661.55,6099
2017-02-08,69.05,69.33,69.52,68.19,69.05,333209.58,22975555.35,3186
2017-02-09,69.05,69.48,70.05,67.85,68.33,481693.42,33110010.25,3109
2017-02-10,68.33,68.43,69.71,68.23,68.43,500115.42,34436026.1,3472
2017-02-13,68.43,68.76,68.95,66.52,67.38,459321.68,31025809.05,3303
2017-02-14,67.38,73.34,74.2,70.24,70.62,3233707.28,232154689.8,17008
2017-02-15,70.62,69.86,70.38,66.95,67.52,744552.18,50862688.95,5182
2017-02-16,67.52,67.71,68.47,66.47,67.8,424547.84,28703460.45,3907
2017-02-17,67.8,68.28,69.24,67.61,68.04,640229.62,43761691.85,4725
2017-02-20,68.04,67.8,68.95,67.61,68.43,450712.25,30824170.0,3114
2017-02-21,68.43,68.43,69.71,68.43,68.76,404948.88,27920418.35,3155
2017-02-22,68.76,68.66,73.25,68.66,71.05,5082759.46,365621511.85,23711
2017-02-23,71.05,71.0,71.53,69.24,69.62,864628.68,60714414.8,5428
2017-02-27,69.62,70.24,73.34,70.24,71.86,2237798.96,161765297.35,12203
2017-02-28,71.86,72.2,74.82,71.34,72.87,1807851.11,132136388.95,10300
2017-03-01,72.87,73.01,73.68,71.91,72.15,684039.07,49716246.1,4506
2017-03-02,72.15,72.48,73.63,69.38,69.81,1018113.57,72969571.15,6173
2017-03-03,69.81,69.24,71.39,69.24,70.14,667766.81,47031103.45,4396
2017-03-06,70.14,70.24,73.73,70.24,72.53,2145672.22,154765360.75,11221
2017-03-07,72.53,72.68,72.96,71.05,71.62,938358.56,67445941.95,6571
2017-03-08,71.62,71.72,71.86,69.24,69.52,851704.07,59659495.75,4720
2017-03-09,69.52,69.09,70.57,68.95,69.29,495151.02,34547379.45,4495
2017-03-10,69.29,69.71,70.14,68.23,68.47,534102.87,36921755.35,3871
2017-03-14,68.47,69.91,70.57,68.86,69.29,429967.74,29942784.5,3105
2017-03-15,69.29,69.71,70.34,69.0,69.19,498873.53,34745929.7,2964
2017-03-16,69.19,70.19,72.39,69.67,71.1,1169034.06,83173233.8,6519
2017-03-17,71.1,71.43,72.77,70.0,70.14,1110787.96,79067526.75,6580
2017-03-20,70.14,70.24,71.05,69.52,70.14,598397.14,42041506.05,4262
