Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-01-02,57.7,57.81,57.95,57.17,57.63,460872.22,26496949.8,1840
2017-01-03,57.63,57.98,57.98,57.38,57.73,554259.47,31963941.25,2599
2017-01-04,57.73,57.95,58.12,57.49,57.88,471522.5,27304961.4,3790
2017-01-05,57.88,58.02,58.72,57.88,58.48,465098.61,27106861.1,2277
2017-01-06,58.48,58.41,59.11,58.16,58.3,427490.39,24994754.75,2245
2017-01-09,58.3,58.65,58.69,57.88,58.02,331327.58,19302426.9,1540
2017-01-10,58.02,57.95,59.04,57.95,58.76,715801.71,41967227.9,1863
2017-01-11,58.76,58.86,60.35,58.86,59.64,1026698.66,61383188.5,3347
2017-01-12,59.64,59.68,60.2,59.18,59.29,602159.52,35893668.8,3392
2017-01-13,59.29,59.36,59.64,58.76,59.22,581194.75,34274078.4,1777
2017-01-16,59.22,59.57,59.99,58.9,59.82,780440.15,46571789.8,3375
2017-01-17,59.82,60.17,60.17,59.15,59.39,774588.65,46095931.65,1937
2017-01-18,59.39,59.64,60.59,59.46,60.42,690392.36,41385808.7,3945
2017-01-19,60.42,60.56,61.19,60.35,60.63,604440.61,36662326.5,3160
2017-01-20,60.63,60.63,60.8,59.92,60.1,648928.95,39118004.8,3106
2017-01-23,60.1,60.24,61.12,59.99,60.1,481655.64,29112215.85,2509
2017-01-24,60.1,60.17,60.66,59.99,60.31,305335.91,18385596.65,2388
2017-01-25,60.31,60.7,61.76,59.99,60.38,3444646.71,208906775.65,12538
2017-01-27,60.38,60.1,60.63,59.71,60.03,2033492.33,122117484.1,7631
2017-01-30,60.03,60.13,60.13,59.25,59.32,805934.51,47933844.25,2964
2017-01-31,59.32,59.15,59.68,58.79,58.93,482189.79,28503326.55,3760
2017-02-01,58.93,58.69,60.59,58.58,60.35,835221.72,50085268.15,3320
2017-02-02,60.35,60.7,62.46,60.13,61.51,1274835.89,78204250.55,5313
2017-02-03,61.51,62.82,63.38,61.76,62.11,2583688.35,160527907.6,10481
2017-02-06,62.11,62.53,62.82,61.9,62.39,987590.01,61534798.75,3245
2017-02-07,62.39,62.71,62.71,61.05,62.15,743738.69,46138257.25,4662
2017-02-08,62.15,62.5,63.7,62.08,63.49,1278144.18,80527312.6,5532
2017-02-09,63.49,63.7,66.24,63.56,65.15,2883284.69,188795514.3,9375
2017-02-10,65.15,65.85,67.47,64.97,67.12,1579820.42,104836014.35,12002
2017-02-13,67.12,67.4,67.76,65.64,66.66,1400669.87,93237964.05,4659
2017-02-14,66.66,66.7,66.91,65.67,66.63,396603.58,26296786.95,2570
2017-02-15,66.63,66.98,67.02,64.33,64.51,594592.25,38810941.75,3122
2017-02-16,64.51,64.55,64.93,63.88,64.48,661445.19,42531598.1,4215
2017-02-17,64.48,64.83,67.05,63.98,65.46,13337048.63,866143513.6,24329
2017-02-20,65.46,66.49,67.9,65.43,67.19,8035341.25,537245543.6,28930
2017-02-21,67.19,67.76,68.6,67.16,67.69,4057140.56,274901057.3,16022
2017-02-22,67.69,67.69,68.53,67.4,68.11,1794676.41,122109159.45,6374
2017-02-23,68.11,68.11,70.93,67.86,69.77,10174221.35,714548335.95,13983
2017-02-27,69.77,70.33,72.56,69.59,70.69,4990076.52,353795709.55,11873
2017-02-28,70.69,71.11,71.11,69.98,70.72,2301504.79,162732494.85,13834
2017-03-01,70.72,71.04,71.22,69.73,70.58,1877719.41,132443599.6,11532
2017-03-02,70.58,70.37,70.76,69.03,69.42,2219266.55,155813743.2,8867
2017-03-03,69.42,69.17,71.46,68.22,70.4,1786572.16,124974879.9,9433
2017-03-06,70.4,71.07,71.07,69.56,70.09,832110.37,58253061.5,3678
2017-03-07,70.09,69.95,70.37,69.24,69.66,638705.13,44579264.4,3709
2017-03-08,69.66,69.87,70.12,68.82,69.31,873466.1,60643520.4,6577
2017-03-09,69.31,69.63,69.63,68.82,68.99,737051.27,51005005.4,5442
2017-03-10,68.99,69.52,70.44,68.96,69.59,976452.35,67683473.1,10298
2017-03-14,69.59,70.58,70.58,68.15,68.53,1576085.67,108791676.95,4530
2017-03-15,68.53,68.82,70.58,68.11,70.09,5852764.82,406212178.35,6701
2017-03-16,70.09,70.19,73.3,70.12,71.82,3199717.18,229349239.35,12382
2017-03-17,71.82,72.03,72.56,70.58,71.85,1407421.04,101006327.6,6123
2017-03-20,71.85,71.85,75.52,71.53,74.43,3635487.5,269308633.2,15387
2017-03-21,74.43,74.22,75.42,73.58,74.92,1537393.57,114548565.65,7343
2017-03-22,74.92,74.39,74.99,73.51,74.22,1373272.7,102012250.1,8134
2017-03-23,74.22,74.11,77.21,73.76,75.73,1568048.01,118401282.4,8387
2017-03-24,75.73,75.49,78.17,75.49,77.5,2556145.25,197722530.05,11176
2017-03-27,77.5,77.64,78.2,76.51,77.14,1562478.47,120964741.95,10036
2017-03-28,77.14,77.6,77.92,76.26,76.47,1089639.74,83787513.2,8487
2017-03-29,76.47,76.79,78.06,76.23,77.6,1650724.06,127598042.45,9818
2017-03-30,77.6,77.6,78.77,77.29,77.92,1192200.93,92742544.05,8283
2017-03-31,77.92,78.13,79.54,77.99,79.05,1557319.81,123019667.15,5606
2017-04-03,79.05,79.4,83.57,79.3,82.19,2764577.35,225358945.5,14036
2017-04-05,82.19,83.14,83.99,82.68,83.25,1715701.11,142989806.05,17271
2017-04-06,83.25,83.25,83.71,80.6,81.41,1413448.22,115871800.1,6617
2017-04-07,81.41,81.17,82.01,79.9,80.32,841852.47,68410642.35,4136
2017-04-10,80.32,80.67,82.65,79.9,82.47,1098300.79,89610577.55,5349
2017-04-11,82.47,82.83,86.11,82.37,85.54,3040728.06,257936499.35,12057
2017-04-12,85.54,85.4,86.71,82.65,84.45,1410370.87,119405969.55,6067
2017-04-13,84.45,85.26,85.26,83.5,83.74,791402.13,66745669.1,3624
2017-04-17,83.74,84.1,84.63,81.94,83.0,1425998.46,118413445.05,3717
2017-04-18,83.0,83.71,85.01,82.97,83.25,2110464.24,177477986.55,4683
2017-04-19,83.25,83.6,85.05,82.44,84.31,1176104.37,98182591.4,4589
2017-04-20,84.31,84.7,86.78,83.64,83.88,1216549.09,103399299.85,7607
2017-04-21,83.88,84.59,84.87,82.76,83.04,1018179.29,85519417.8,5640
2017-04-24,83.04,83.07,83.74,82.23,82.65,706365.65,58718235.5,2886
2017-04-25,82.65,83.07,84.2,82.76,83.81,1202273.15,100316565.95,4877
