Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-01-02,41.0,41.4,41.95,40.0,41.55,125889,5164894.7,878
2017-01-03,41.55,41.0,42.85,41.0,41.75,154683,6515242.2,968
2017-01-04,41.75,42.0,42.6,40.9,41.05,234506,9775451.9,1154
2017-01-05,41.05,41.45,42.0,41.0,41.75,138423,5785551.15,865
2017-01-06,41.75,42.0,43.7,41.7,42.85,245000,10509060.1,1343
2017-01-09,42.85,43.4,43.75,41.8,42.05,149027,6322725.55,811
2017-01-10,42.05,42.7,42.8,41.9,42.1,132527,5610962.3,564
2017-01-11,42.1,42.5,44.45,42.05,43.1,399588,17370451.8,2143
2017-01-12,43.1,43.35,44.9,43.35,43.7,286009,12608939.5,1298
2017-01-13,43.7,44.2,44.25,43.1,43.35,101593,4418480.65,578
2017-01-16,43.35,43.7,44.0,42.75,43.45,121921,5283844.7,523
2017-01-17,43.45,43.8,44.25,43.2,43.3,132999,5781393.95,698
2017-01-18,43.3,43.35,46.75,43.2,46.45,608641,27774098.55,3212
2017-01-19,46.45,46.45,48.2,46.0,47.35,522248,24811266.95,2864
2017-01-20,47.35,47.3,48.5,45.0,45.65,230246,10805200.3,1596
2017-01-23,45.65,46.65,46.95,45.3,45.9,101674,4698268.65,831
2017-01-24,45.9,46.05,46.45,45.5,46.05,65360,3011102.75,455
2017-01-25,46.05,45.85,46.45,45.5,45.85,96576,4431382.35,543
2017-01-27,45.85,46.5,46.5,45.05,45.2,84915,3871409.25,568
2017-01-30,45.2,45.2,45.4,43.0,43.9,173744,7670482.55,1154
2017-01-31,43.9,43.25,44.4,43.0,43.15,121177,5250200.85,565
2017-02-01,43.15,43.25,44.0,42.5,43.7,137273,5956063.85,953
2017-02-02,43.7,44.0,44.3,42.75,44.0,101717,4455438.5,713
2017-02-03,44.0,44.35,45.65,43.65,44.35,96912,4321349.85,739
2017-02-06,44.35,44.7,45.75,44.3,44.8,150180,6764526.5,1015
2017-02-07,44.8,44.65,46.0,44.5,44.8,163776,7412867.9,843
2017-02-08,44.8,44.8,45.6,44.4,45.1,68816,3118070.1,304
2017-02-09,45.1,45.5,46.0,44.55,44.85,96467,4361797.55,443
2017-02-10,44.85,44.85,45.25,42.9,43.4,236271,10308783.35,1349
2017-02-13,43.4,43.2,43.75,41.2,42.0,133213,5650730.25,973
2017-02-14,42.0,42.0,42.95,38.3,39.35,461757,18470338.9,1764
2017-02-15,39.35,39.8,40.4,37.6,38.8,180526,6966513.2,1089
2017-02-16,38.8,38.7,39.9,38.2,39.2,73722,2894293.15,513
2017-02-17,39.2,39.95,40.25,38.6,38.8,118408,4631844.45,758
2017-02-20,38.8,38.85,39.9,38.8,39.25,142935,5630417.45,482
2017-02-21,39.25,39.65,41.1,39.25,40.95,172516,7020294.0,1028
2017-02-22,40.95,41.35,41.35,40.05,40.15,72916,2951699.35,494
2017-02-23,40.15,40.0,40.4,39.1,39.25,55818,2210363.15,293
2017-02-27,39.25,39.05,41.1,39.05,39.7,190330,7632157.0,945
2017-02-28,39.7,39.9,40.5,39.4,39.8,112148,4484109.45,530
2017-03-01,39.8,40.1,40.55,38.25,39.55,158031,6304363.75,707
2017-03-02,39.55,40.0,40.25,37.6,38.6,206129,8063282.75,995
2017-03-03,38.6,38.6,39.4,38.6,39.0,80429,3130911.75,406
2017-03-06,39.0,39.15,39.7,38.85,39.0,98298,3862376.15,501
2017-03-07,39.0,39.05,39.5,38.1,38.85,92435,3598601.7,435
2017-03-08,38.85,39.45,39.75,37.8,38.0,109148,4183314.45,530
2017-03-09,38.0,38.25,38.95,37.55,37.75,137402,5223560.0,551
2017-03-10,37.75,38.1,38.1,36.55,36.7,188528,6985010.7,850
2017-03-14,36.7,38.4,38.4,36.8,37.1,161763,6033315.3,606
2017-03-15,37.1,37.2,42.6,37.0,42.1,1079728,44250442.4,5176
2017-03-16,42.1,42.45,42.75,40.7,41.7,328827,13731780.85,1782
