Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-11-14,750.0,730.0,739.65,680.0,688.85,2894448,2066291249.4,89049
2017-11-15,688.85,675.0,704.0,662.0,696.8,836598,568153046.7,35773
2017-11-16,696.8,700.0,705.75,680.0,693.2,215907,149437087.45,9786
2017-11-17,693.2,693.05,698.0,663.6,671.0,132397,90233854.8,7359
2017-11-20,671.0,667.9,686.0,663.05,683.4,150465,101720074.9,11501
2017-11-21,683.4,685.0,699.95,681.65,690.05,123293,85088374.65,11812
2017-11-22,690.05,700.0,711.0,695.1,697.95,300459,211423426.05,12379
2017-11-23,697.95,701.0,703.5,690.0,691.15,40037,27839555.45,2363
2017-11-24,691.15,687.15,698.1,687.15,695.8,50803,35262417.3,3140
2017-11-27,695.8,690.15,699.0,689.0,691.45,32564,22555766.35,4801
2017-11-28,691.45,687.0,696.95,687.0,690.45,30166,20852674.15,1880
2017-11-29,690.45,688.05,692.95,679.05,681.6,19975,13695087.75,2183
2017-11-30,681.6,680.0,703.0,676.6,690.75,42182,28893395.75,2947
2017-12-01,690.75,690.75,694.95,682.3,688.7,32253,22228289.45,2361
2017-12-04,688.7,680.1,692.2,675.0,690.3,43587,29862841.5,2564
2017-12-05,690.3,682.2,693.0,682.05,689.7,24329,16704039.9,1750
2017-12-06,689.7,685.0,693.7,684.3,688.25,21424,14751461.55,1515
2017-12-07,688.25,683.1,689.9,683.1,688.0,15366,10559983.2,1069
2017-12-08,688.0,682.15,693.0,682.15,690.75,24858,17150323.4,2875
2017-12-11,690.75,685.3,693.0,681.0,683.8,109782,75129484.75,2057
2017-12-12,683.8,688.0,688.0,666.0,668.8,27798,18862838.95,1285
2017-12-13,668.8,668.8,681.0,666.5,672.0,37198,25012800.3,1902
2017-12-14,672.0,668.5,676.95,663.0,664.8,19097,12818910.6,1106
2017-12-15,664.8,670.0,684.0,662.2,674.85,164092,110274869.7,3582
2017-12-18,674.85,660.05,677.0,650.0,672.15,50224,33520139.7,4112
2017-12-19,672.15,675.0,675.0,665.5,667.85,18773,12595447.65,2845
2017-12-20,667.85,665.0,675.5,665.0,672.45,89241,60022122.75,2655
2017-12-21,672.45,672.2,673.15,666.0,667.25,15494,10365835.5,1377
2017-12-22,667.25,667.0,670.0,664.0,666.1,14963,9993266.05,1466
2017-12-26,666.1,664.0,668.6,660.0,660.9,12412,8230689.95,1113
2017-12-27,660.9,665.65,665.65,655.0,655.95,17573,11580520.35,1371
2017-12-28,655.95,660.0,660.0,650.6,654.35,18886,12338015.4,1415
2017-12-29,654.35,659.0,684.0,652.45,679.9,72651,48810306.6,4983
2018-01-01,679.9,672.2,680.0,672.2,675.95,21904,14811288.1,1292
2018-01-02,546.75,544.05,554.0,542.9,544.7,3836,2110863.2,331
2018-01-03,665.2,663.0,669.95,663.0,664.85,11446,7635165.0,882
2018-01-04,664.85,664.0,671.0,661.0,670.05,17722,11806749.85,2442
2018-01-05,670.05,666.75,679.9,662.0,672.05,34957,23370443.3,3816
2018-01-08,672.05,669.0,687.0,666.1,679.7,38227,25853787.2,2798
2018-01-09,679.7,679.7,704.0,675.2,690.6,120933,83960902.85,5777
2018-01-10,690.6,685.35,702.0,680.0,690.4,30573,21113152.75,2294
2018-01-11,690.4,683.25,698.8,680.0,688.7,29193,20095820.95,1407
2018-01-12,688.7,690.0,696.0,688.0,692.1,24419,16898883.85,1178
2018-01-15,692.1,693.0,702.0,687.7,699.45,58768,41017653.5,5521
2018-01-16,699.45,700.0,730.4,697.0,722.95,190417,137122902.25,12309
2018-01-17,722.95,725.0,740.0,705.1,735.35,98389,71841518.65,4981
2018-01-18,735.35,730.0,735.9,716.35,718.95,39248,28460670.2,4165
2018-01-19,718.95,708.25,718.0,700.0,705.15,14055,9939629.55,938
2018-01-22,705.15,700.0,712.7,695.0,702.1,13496,9560762.05,755
2018-01-23,702.1,704.05,722.6,704.05,720.0,35808,25668335.0,2063
2018-01-24,720.0,705.0,724.85,705.0,720.05,21489,15380558.2,1001
