Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-01-02,36.4,36.35,37.44,36.35,37.24,2284.91,84840.4,22
2017-01-03,37.24,36.94,37.73,36.94,37.73,2139.75,80178.0,45
2017-01-04,37.73,37.44,39.41,37.44,38.67,8420.96,328479.45,59
2017-01-05,38.67,38.13,43.84,38.13,42.21,16700.83,688953.55,213
2017-01-06,42.21,42.46,50.64,42.46,50.64,262791.6,12530801.9,1883
2017-01-09,50.64,54.18,59.11,51.38,53.79,574878.71,32121239.8,4894
2017-01-10,53.79,53.1,53.2,49.36,50.54,103591.21,5271454.0,1364
2017-01-11,50.54,50.98,52.12,47.09,48.17,50939.9,2471944.1,687
2017-01-12,48.17,47.78,48.96,45.42,47.34,42031.71,1977196.05,693
2017-01-13,47.34,47.39,47.88,46.11,46.75,10788.09,505207.25,226
2017-01-16,46.75,46.8,46.8,44.92,45.42,7540.9,344381.55,125
2017-01-17,45.42,44.97,46.3,44.68,45.66,15091.95,686036.75,212
2017-01-18,45.66,45.32,50.19,45.32,48.57,114396.55,5641576.3,584
2017-03-07,44.33,42.46,46.55,42.46,44.58,9727.35,445475.7,68
2017-03-08,44.58,46.25,46.3,44.82,45.32,4669.29,213689.25,19
2017-03-09,45.32,44.48,46.3,44.48,45.51,4789.07,219404.9,24
2017-03-10,45.51,46.3,46.3,44.14,44.53,3677.57,166057.35,35
2017-03-14,44.53,45.32,46.75,44.87,46.75,13076.04,604840.55,83
2017-03-15,46.75,46.7,47.24,45.76,46.01,3004.59,138473.9,31
2017-03-16,46.01,44.68,47.19,44.68,46.3,3647.12,169180.75,29
2017-03-17,46.3,45.81,46.5,45.76,45.81,1143.98,52404.95,18
2017-03-20,45.81,45.81,45.81,44.04,45.47,11696.57,525955.1,75
2017-03-21,45.47,45.22,46.8,44.33,46.25,3795.32,172880.95,34
2017-03-22,46.25,45.07,47.29,45.07,46.84,4727.15,217417.85,26
2017-03-23,46.84,46.5,46.5,44.82,45.66,7417.06,335996.1,68
2017-03-24,45.66,45.07,47.93,43.89,47.93,40304.08,1876076.3,213
