Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-01-02,356.0,360.0,360.0,350.4,351.33,680,239983.15,27
2017-01-03,351.33,352.0,358.8,340.8,349.68,640,223749.6,39
2017-01-04,349.68,357.67,360.18,356.0,360.0,10760,3865961.75,63
2017-01-05,360.0,359.88,359.88,355.0,355.0,120,42795.6,8
2017-01-06,355.0,359.88,360.0,358.88,359.74,70,25182.5,6
2017-01-09,359.74,353.49,358.88,353.2,355.21,365,129526.7,20
2017-01-10,355.21,359.79,359.88,352.0,354.24,395,139975.05,21
2017-01-11,354.24,359.0,359.8,354.49,359.71,285,102385.15,10
2017-01-12,359.71,359.71,360.0,350.52,352.21,675,239034.7,23
2017-01-13,352.21,352.21,357.56,347.6,351.84,715,250585.5,35
2017-01-16,351.84,358.8,359.99,346.2,348.56,1735,605712.05,56
2017-01-17,348.56,351.36,358.39,351.36,358.0,375,133489.45,15
2017-01-18,358.0,358.87,358.88,354.48,358.39,120,42873.45,8
2017-01-19,358.39,353.2,355.2,351.41,352.02,135,47611.45,7
2017-01-20,352.02,352.0,353.0,352.0,352.0,290,102105.25,7
2017-01-23,352.0,356.39,359.8,348.5,356.0,335,118770.05,19
2017-01-24,356.0,352.01,357.6,347.2,356.0,4275,1513439.7,36
2017-01-25,356.0,359.38,359.8,359.38,359.54,165,59323.05,9
2017-01-27,359.54,354.0,360.0,353.08,357.98,1150,413275.1,26
2017-01-30,357.98,354.0,355.6,337.6,344.72,2075,721680.6,78
2017-01-31,344.72,345.37,357.8,345.28,347.87,955,334659.0,41
2017-02-01,347.87,349.0,349.8,342.0,348.39,9340,3234964.35,70
2017-02-02,348.39,351.9,353.55,348.2,352.96,11635,4072269.3,31
2017-02-03,352.96,347.28,353.0,347.28,353.0,475,166625.85,23
2017-02-06,353.0,357.64,360.0,348.0,349.53,3350,1189348.1,102
2017-02-07,349.53,348.4,355.0,348.4,355.0,2290,803720.0,12
2017-02-08,355.0,356.54,361.0,354.4,359.58,520,186262.8,28
2017-02-09,359.58,359.85,362.0,356.8,359.0,190,68342.9,16
2017-02-10,359.0,358.04,358.98,350.0,350.67,2170,773239.5,44
2017-02-13,350.67,348.77,357.8,344.22,346.36,2390,834509.0,72
2017-02-14,346.36,345.29,353.2,345.1,349.29,1690,589892.6,25
2017-02-15,349.29,352.0,353.6,350.0,351.96,425,149385.3,13
2017-02-16,351.96,352.6,356.0,349.19,349.2,8035,2844084.95,14
2017-02-17,349.2,348.2,348.2,347.3,347.3,125,43452.5,3
2017-02-20,347.3,347.3,350.97,345.0,345.2,1130,391515.0,32
2017-02-21,345.2,345.2,351.4,345.2,345.74,875,305701.75,27
2017-02-22,345.74,351.68,352.2,345.0,346.08,305,106250.45,21
2017-02-23,346.08,346.26,346.26,344.0,344.16,435,150189.2,16
2017-02-27,344.16,346.0,349.0,344.44,345.82,310,107389.15,18
2017-02-28,345.82,351.88,351.88,346.0,347.5,350,122023.8,17
2017-03-01,347.5,353.34,355.0,350.8,353.53,875,308027.2,31
2017-03-02,353.53,354.88,357.96,350.23,353.37,1325,470468.25,43
2017-03-03,353.37,356.95,356.95,343.2,347.2,4085,1415578.25,114
2017-03-06,347.2,344.21,351.8,344.21,347.4,265,92274.15,18
2017-03-07,347.4,352.79,353.8,341.25,344.08,880,304822.05,47
2017-03-08,344.08,349.8,351.39,347.4,349.6,690,241436.5,31
2017-03-09,349.6,352.48,352.59,348.01,352.01,890,313468.65,26
2017-03-10,352.01,355.28,355.28,353.0,355.07,1685,597609.65,62
2017-03-14,355.07,355.08,355.08,350.0,352.56,185,65350.05,18
2017-03-15,352.56,355.0,355.0,350.0,350.0,230,81114.0,12
2017-03-16,350.0,350.0,357.0,349.0,356.0,11585,4096458.0,60
2017-03-17,356.0,359.0,359.0,347.23,358.8,685,242969.6,38
2017-03-20,358.8,364.8,364.8,357.5,357.98,310,111268.95,17
2017-03-21,357.98,359.2,359.2,358.0,358.03,8570,3074130.0,16
2017-03-22,358.03,355.0,359.68,350.21,357.2,63490,22678028.7,55
