Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-01-02,83.2,83.9,99.8,83.9,99.8,749164,71620020.05,7935
2017-01-03,99.8,103.0,104.0,93.7,94.2,841348,81771298.65,13937
2017-01-04,94.2,94.9,96.5,91.9,93.35,538671,50632836.9,9804
2017-01-05,93.35,94.0,95.45,92.5,92.95,258667,24289464.8,3567
2017-01-06,92.95,93.3,94.35,90.15,90.95,327392,30179218.4,4350
2017-01-09,90.95,92.5,95.4,89.8,91.55,643609,59713932.35,7891
2017-01-10,91.55,91.8,93.7,91.45,91.9,270367,24973318.25,3967
2017-01-11,91.9,91.8,92.5,90.8,91.9,312873,28718063.75,4425
2017-01-12,91.9,91.9,92.0,90.0,90.3,180332,16371765.65,2657
2017-01-13,90.3,90.1,91.45,88.3,88.8,384448,34449131.85,4059
2017-01-16,88.8,89.0,91.7,88.5,88.75,275722,24837108.0,3957
2017-01-17,88.75,88.6,90.7,88.6,88.95,325869,29169317.85,4116
2017-01-18,88.95,89.45,90.5,88.75,89.35,318858,28609641.5,4821
2017-01-19,89.35,89.05,89.85,87.85,88.3,178343,15797597.9,2763
2017-01-20,88.3,88.0,88.9,84.8,85.15,275252,23892807.4,4520
2017-01-23,85.15,85.9,86.4,85.05,85.45,271719,23264882.85,3986
2017-01-24,85.45,86.7,98.4,86.1,95.15,3000152,286245381.25,26845
2017-01-25,95.15,96.8,99.2,95.5,96.25,976564,94982681.55,8252
2017-01-27,96.25,96.2,100.45,95.7,96.85,561118,55085825.35,5248
2017-01-30,96.85,96.7,98.3,94.6,95.2,235842,22727506.5,2467
2017-01-31,95.2,95.0,95.8,92.6,93.5,179787,16966243.45,2650
2017-02-01,93.5,94.95,109.7,94.7,105.15,3903376,400101566.3,30752
2017-02-02,105.15,105.85,105.85,101.75,102.85,670529,69472427.65,7234
2017-02-03,102.85,103.05,113.0,102.0,107.4,2186920,236561309.55,20421
2017-02-06,107.4,108.9,109.95,107.4,108.25,567802,61773361.15,6037
2017-02-07,108.25,108.7,109.5,104.1,104.8,266471,28471558.1,2704
2017-02-08,104.8,105.35,109.0,104.8,105.9,310990,33171791.4,3155
2017-02-09,105.9,107.8,109.0,105.25,107.65,633812,68147761.9,6306
2017-02-10,107.65,108.55,109.1,105.05,105.6,216955,23056360.65,2870
2017-02-13,105.6,106.1,106.85,102.15,104.2,212642,22341976.25,3197
2017-02-14,104.2,104.9,106.75,103.45,104.45,149470,15646711.7,2120
2017-02-15,104.45,104.0,104.95,99.75,101.25,173961,17637497.1,2595
2017-02-16,101.25,101.3,104.85,100.1,103.7,156076,16062816.95,3336
2017-02-17,103.7,104.05,104.85,102.0,102.45,170086,17580080.8,2014
2017-02-20,102.45,102.8,104.0,102.05,102.6,127360,13145053.4,1860
2017-02-21,102.6,102.8,103.5,101.1,101.7,173054,17688123.95,2292
2017-02-22,101.7,102.0,103.5,101.15,101.75,194499,19915692.1,2376
2017-02-23,101.75,101.9,103.0,100.0,100.55,249660,25435443.5,2778
2017-02-27,100.55,100.6,104.65,100.6,103.05,272529,27990090.45,2903
2017-02-28,103.05,103.2,105.95,102.3,103.8,244282,25441108.1,3015
2017-03-01,103.8,103.9,114.8,103.85,113.0,1287108,141955593.25,12266
