Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2025-12-23,384.0,370.0,370.25,350.0,355.0,4332284,1551354454.2,110618
2025-12-24,355.0,344.0,354.5,334.05,337.0,1405568,479122414.05,34883
2025-12-26,337.0,335.0,348.5,335.0,343.4,855711,293565197.15,20707
2025-12-29,343.4,345.0,347.95,337.5,345.65,450681,154051801.15,11172
2025-12-30,345.65,342.2,346.0,338.05,344.0,292878,100274003.6,6834
2025-12-31,344.0,344.45,360.7,344.25,357.6,665709,236074226.8,14176
2026-01-01,357.6,360.0,363.95,351.8,353.3,191779,68311173.3,4954
2026-01-02,353.3,355.0,382.0,353.0,373.55,797114,296278236.8,19219
2026-01-05,373.55,374.0,375.0,358.6,365.35,436889,159894688.15,11131
2026-01-06,365.35,393.15,403.70,373.80,377.75,3795886,1462528499.30,59686
2026-01-07,377.75,380.00,388.00,368.65,384.40,806398,307117031.35,16067
