Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2024-04-03,1002.17,1002.51,1002.51,1002.49,1002.5,4565,4576455.37,19
2024-04-04,1002.5,1002.65,1002.67,1002.65,1002.67,67453,67633092.61,65
2024-04-05,1002.67,1003.17,1003.17,1003.15,1003.17,86210,86483271.72,84
2024-04-08,1003.17,1003.49,1003.51,1003.49,1003.5,84432,84728136.58,82
2024-04-09,1003.5,999.51,1003.51,999.51,1003.5,83650,83943281.93,77
2024-04-10,1003.5,1001.5,1003.84,1001.5,1003.82,257441,258429564.9,173
2024-04-12,1003.82,1004.33,1004.35,1004.33,1004.35,192920,193759181.25,130
2024-04-15,1004.35,1004.52,1004.53,1004.51,1004.51,105031,105505795.75,188
2024-04-16,1004.51,1004.85,1004.85,1004.83,1004.84,48174,48407607.06,41
2024-04-18,1004.84,1004.99,1005.02,1004.99,1005.01,23581,23699160.9,29
2024-04-19,1005.01,1005.52,1005.52,1005.5,1005.52,126933,127633640.35,89
2024-04-22,1005.52,1005.69,1005.69,1005.67,1005.69,102495,103077983.75,495
2024-04-23,1005.69,1005.84,1005.86,1005.84,1005.86,169254,170245727.3,105
2024-04-24,1005.86,1006.0,1006.03,1006.0,1006.02,72329,72765142.11,55
2024-04-25,1006.02,1005.99,1006.21,1005.99,1006.21,1012875,1019164871.76,649
2024-04-26,1006.21,1006.0,1006.73,1006.0,1006.73,22920,23074250.87,37
2024-04-29,1006.73,1005.99,1006.9,1005.99,1006.88,78421,78961901.6,60
2024-04-30,1006.88,1005.99,1007.24,1005.99,1007.23,283200,285250095.89,288
2024-05-02,1007.23,1007.39,1007.41,1007.39,1007.4,89153,89813393.57,83
2024-05-03,1007.4,1007.88,1007.9,1007.88,1007.89,397299,400435300.69,319
2024-05-06,1007.89,1008.05,1008.07,1008.05,1008.06,117432,118379030.64,80
2024-05-07,1008.06,1008.21,1008.23,1008.21,1008.22,138027,139162887.16,151
2024-05-08,1008.22,1008.4,1008.4,1008.38,1008.39,197239,198895557.14,200
2024-05-09,1008.39,1008.58,1008.58,1008.56,1008.57,190204,191835900.1,148
2024-05-10,1008.57,1008.99,1009.1,1008.99,1009.09,226326,228383822.24,162
2024-05-13,1009.09,1008.99,1009.27,1008.99,1009.26,155605,157047293.38,125
2024-05-14,1009.26,1009.42,1009.44,1009.42,1009.42,827129,834927158.06,533
2024-05-15,1009.42,1009.61,1009.61,1009.59,1009.59,156925,158429970.11,235
2024-05-16,1009.59,1009.77,1009.77,1009.75,1009.76,192010,193885440.92,171
2024-05-17,1009.76,1008.51,1010.46,1008.51,1010.45,278087,280994866.93,206
2024-05-21,1010.44,1010.61,1010.63,1010.61,1010.62,441586,446279759.76,302
2024-05-22,1010.62,1010.96,1010.98,1010.96,1010.98,326634,330215629.52,228
2024-05-23,1010.98,1010.98,1010.98,1010.96,1010.98,267337,270272256.82,261
2024-05-24,1010.98,1011.5,1011.5,1011.48,1011.49,718204,726462969.88,520
2024-05-27,1011.49,1011.66,1011.68,1011.66,1011.67,226651,229297437.57,168
2024-05-28,1011.67,1011.84,1011.85,1011.83,1011.84,169950,171963420.21,151
2024-05-29,1011.84,1012.01,1012.01,1011.99,1012.0,204942,207401714.82,184
2024-05-30,1012.0,1012.16,1012.18,1012.16,1012.17,240149,243073320.68,183
2024-05-31,1012.17,1011.99,1012.7,1011.99,1012.69,274656,278142050.82,246
2024-06-03,1012.69,1012.68,1012.87,1012.68,1012.85,351487,356004006.03,303
2024-06-04,1012.85,1013.01,1013.03,1013.01,1013.02,169150,171352575.04,126
2024-06-05,1013.02,1013.18,1013.2,1013.18,1013.19,352263,356911817.94,263
2024-06-06,1013.19,1013.18,1013.37,1013.18,1013.36,248753,252077899.71,229
2024-06-07,1013.36,1010.0,1013.89,1010.0,1013.88,816383,827720976.92,557
2024-06-10,1013.88,1014.0,1014.68,1014.0,1014.05,97982,99359435.6,109
2024-06-11,1014.05,1013.99,1014.22,1013.99,1014.21,315122,319599777.42,230
2024-06-12,1014.21,1013.99,1014.38,1013.99,1014.37,1300186,1318860087.69,1432
2024-06-13,1014.37,1013.99,1014.53,1013.99,1014.52,163866,166246615.4,185
2024-06-14,1014.52,1014.0,1015.26,1014.0,1015.24,450748,457621983.85,363
2024-06-18,1015.24,1013.99,1015.42,1013.99,1015.42,214965,218279522.21,182
2024-06-19,1015.42,1013.51,1015.6,1013.51,1015.59,310598,315440050.54,247
2024-06-20,1015.59,1013.99,1015.76,1013.99,1015.75,358068,363710742.1,617
2024-06-21,1015.75,1016.29,1016.31,1016.29,1016.29,360272,366144932.7,301
2024-06-24,1016.29,1014.0,1016.46,1014.0,1016.45,389354,395761649.2,384
2024-06-25,1016.45,1014.01,1016.64,1014.01,1016.63,353179,359055647.72,315
2024-06-26,1016.63,1014.01,1016.81,1013.5,1016.79,139203,141542117.87,170
2024-06-27,1016.79,1014.01,1023.9,1014.01,1016.97,249456,253693096.83,533
2024-06-28,1016.97,1014.01,1219.7,1014.01,1017.51,466835,475465125.24,1233
2024-07-01,1017.51,1017.68,1017.71,1017.66,1017.7,554046,563844836.1,1342
2024-07-02,1017.7,1017.87,1017.88,1017.86,1017.86,172044,175119252.6,284
2024-07-03,1017.86,1018.05,1018.05,1018.03,1018.04,406457,413793335.57,351
2024-07-04,1018.04,1018.06,1057.0,1018.06,1018.21,345688,351986247.96,468
2024-07-05,1018.21,1018.01,1021.0,1018.01,1018.7,442825,451111498.95,917
2024-07-08,1018.7,1015.0,1018.89,1008.99,1018.88,480656,489717858.39,570
2024-07-09,1018.88,1018.89,1023.65,1018.88,1019.05,270174,275323169.79,325
2024-07-10,1019.05,1014.66,1022.0,1014.66,1019.22,226455,230808413.23,251
2024-07-11,1019.22,1019.38,1019.4,1016.76,1019.39,2041052,2080618587.0,1501
2024-07-12,1019.39,1019.88,1019.9,1019.88,1019.88,527878,538379942.16,411
2024-07-15,1019.88,1015.0,1024.0,949.27,1020.06,398942,406916360.33,500
2024-07-16,1020.06,1020.39,1020.41,1020.39,1020.4,287171,293031633.88,345
2024-07-18,1020.4,1021.0,1021.0,1020.56,1020.57,343333,350398267.59,399
2024-07-19,1020.57,1021.08,1021.09,1021.07,1021.07,288038,294109692.6,375
2024-07-22,1021.07,1020.99,1021.26,1020.99,1021.25,472886,482937385.32,639
2024-07-23,1021.25,1021.44,1021.44,1021.42,1021.43,548007,559752943.99,471
2024-07-24,1021.43,1021.59,1021.61,1021.59,1021.59,308586,315253305.24,286
2024-07-25,1021.59,1021.76,1021.78,1021.76,1021.77,339136,346521983.27,372
2024-07-26,1021.77,1022.28,1022.3,1022.27,1022.27,576950,589807894.2,427
2024-07-29,1022.27,1022.45,1022.46,1022.44,1022.44,278673,284929371.79,342
2024-07-30,1022.44,1022.63,1022.63,1022.61,1022.62,792066,809989338.68,562
2024-07-31,1022.62,1022.79,1022.8,1022.78,1022.79,901071,921615222.03,628
2024-08-01,1022.79,1022.95,1022.97,1022.95,1022.96,856022,875682238.09,623
2024-08-02,1022.96,1023.46,1023.48,1023.45,1023.46,801914,820731911.26,675
2024-08-05,1023.46,1023.62,1035.0,1023.61,1023.62,1153522,1180778452.54,902
2024-08-06,1023.62,1023.77,1023.8,1023.77,1023.79,684817,701111889.56,622
2024-08-07,1023.79,1023.95,1023.97,1023.94,1023.96,907074,928811777.35,1974
2024-08-08,1023.96,1024.12,1024.14,1024.11,1024.13,1364720,1397664059.21,960
2024-08-09,1024.13,1017.69,1028.65,1017.69,1024.64,698671,715890359.78,780
2024-08-12,1024.64,1024.8,1024.82,1024.66,1024.81,1821787,1866971572.98,1282
2024-08-13,1024.81,1024.97,1024.99,1024.97,1024.98,510867,523632948.18,480
2024-08-14,1024.98,1025.32,1025.34,1025.3,1025.32,715208,733320279.36,653
2024-08-16,1025.32,1025.84,1025.84,1025.81,1025.81,488060,500664127.55,382
2024-08-19,1025.81,1025.98,1026.0,1025.98,1025.99,474857,487201957.13,511
2024-08-20,1025.99,1026.15,1026.17,1026.15,1026.16,753433,773150019.74,666
2024-08-21,1026.16,1026.34,1026.35,1026.32,1026.33,349046,358238469.33,1218
2024-08-22,1026.33,1026.5,1026.51,1026.49,1026.5,659066,676535292.68,1712
2024-08-23,1026.5,1027.0,1027.02,1027.0,1027.01,806896,828694140.75,808
2024-08-26,1027.01,1027.19,1027.19,1027.17,1027.18,313270,321785709.74,3261
2024-08-27,1027.18,1027.34,1046.31,1027.34,1027.35,250122,256967954.52,1932
2024-08-28,1027.35,1027.51,1038.43,1027.51,1027.52,381501,392004018.68,735
2024-08-29,1027.52,1027.51,1027.7,1026.12,1027.69,486825,500308023.12,449
2024-08-30,1027.69,1028.22,1028.23,1028.21,1028.22,544739,560113883.89,561
2024-09-02,1028.22,1028.4,1028.4,1028.38,1028.39,530989,546066516.92,1465
2024-09-03,1028.39,1028.57,1028.57,1028.54,1028.55,532474,547680929.56,271
2024-09-04,1028.55,1028.7,1028.73,1028.7,1028.72,505754,520278955.54,491
2024-09-05,1028.72,1028.88,1028.9,1028.74,1028.87,519686,534695227.05,2783
2024-09-06,1028.87,1029.38,1029.4,1029.38,1029.38,525260,540698629.46,2055
2024-09-09,1029.38,1029.55,1029.57,1027.15,1029.54,1318012,1356949736.6,641
2024-09-10,1029.54,1029.7,1029.73,1029.7,1029.72,543594,559754168.97,295
2024-09-11,1029.72,1029.89,1029.9,1018.75,1029.87,1866422,1922197528.47,490
2024-09-12,1029.87,1030.05,1030.07,1030.05,1030.06,360625,371464410.69,170
2024-09-13,1030.06,1030.73,1032.06,1030.73,1030.74,668406,688956978.25,330
2024-09-16,1030.74,1052.33,1052.33,1030.72,1030.75,210746,217227239.8,2834
2024-09-17,1030.75,1031.1,1031.1,1031.08,1031.09,373581,385197403.69,1766
2024-09-18,1031.09,1031.09,1031.1,1031.08,1031.09,349370,360233935.46,754
2024-09-19,1031.09,1031.25,1031.32,1031.25,1031.27,413978,426924769.32,18207
2024-09-20,1031.27,1032.0,1032.0,1031.77,1031.79,709236,731790290.88,1964
2024-09-23,1031.79,1031.96,1034.34,1031.96,1031.98,803725,829432724.24,204
2024-09-24,1031.98,1039.0,1039.0,1032.15,1032.16,789608,815007571.68,1382
2024-09-25,1032.16,1010.43,1032.34,994.84,1032.33,300003,309702340.0,147
2024-09-26,1032.33,1032.49,1032.52,1032.49,1032.51,228555,235986065.21,156
2024-09-27,1032.51,1033.01,1033.03,1033.01,1033.02,835273,862857136.9,197
2024-09-30,1033.02,1033.18,1033.21,1033.18,1033.2,464290,479704313.33,180
2024-10-01,1033.2,1033.55,1033.55,1017.64,1033.53,488682,505067269.83,1731
2024-10-03,1033.53,1033.69,1033.71,1033.69,1033.7,739825,764760039.87,2030
2024-10-04,1033.7,1034.22,1043.99,1034.19,1034.2,1012059,1046676985.05,1661
2024-10-07,1034.2,1034.36,1034.38,1034.36,1034.36,789665,816803017.73,621
2024-10-08,1034.36,1034.53,1034.55,1034.53,1034.54,1400794,1449187910.74,2887
2024-10-09,1034.54,1034.7,1034.72,1034.7,1034.71,789697,817108343.6,199
2024-10-10,1034.71,1034.87,1041.18,1034.87,1034.88,311857,322736101.34,150
2024-10-11,1034.88,1035.38,1039.96,1035.37,1035.38,1537944,1592345611.96,1480
2024-10-14,1035.38,1035.55,1035.56,1035.54,1035.55,693110,717750412.63,1102
2024-10-15,1035.55,1035.71,1035.73,1035.71,1035.72,414252,429051362.28,969
2024-10-16,1035.72,1032.33,1035.91,1032.33,1035.89,410337,425066230.39,180
2024-10-17,1035.89,1036.05,1036.07,1036.05,1036.05,200294,207517145.21,4017
2024-10-18,1036.05,1036.05,1036.57,1036.05,1036.55,527196,546468356.65,328
2024-10-21,1036.55,1036.72,1036.75,1036.72,1036.74,552013,572294027.27,577
2024-10-22,1036.74,1036.92,1036.92,1036.9,1036.9,819999,850262493.83,978
2024-10-23,1036.9,1036.0,1037.11,1026.94,1037.09,596475,618600639.09,694
2024-10-24,1037.09,1037.11,1037.29,1037.11,1037.28,1009612,1047246607.97,356
2024-10-25,1037.28,1037.79,1037.83,1032.27,1037.81,613818,637025661.72,232
2024-10-28,1037.81,1037.08,1038.0,1037.08,1037.99,488318,506869341.0,348
2024-10-29,1037.99,1038.15,1038.17,1038.15,1038.15,1429356,1483912274.08,775
2024-10-30,1038.15,1038.32,1045.21,1038.32,1038.32,464939,482761313.67,525
2024-10-31,1038.32,1039.0,1039.02,1039.0,1039.01,1593001,1655156892.32,343
2024-11-01,1039.01,1039.0,1039.02,1039.0,1039.01,5654,5874579.39,19
2024-11-04,1039.01,1039.16,1039.19,1039.16,1039.18,872197,906366749.02,295
2024-11-05,1039.18,1039.35,1039.35,1039.33,1039.33,314035,326389540.53,400
2024-11-06,1039.33,1039.5,1039.53,1039.5,1039.51,540919,562289323.48,182
2024-11-07,1039.51,1039.69,1039.69,1039.67,1039.68,901707,937487003.11,310
2024-11-08,1039.68,1040.2,1045.7,1040.18,1040.18,734233,763739665.09,653
2024-11-11,1040.18,1040.35,1040.38,1040.35,1040.37,334026,347510512.9,344
2024-11-12,1040.37,1040.53,1040.55,1040.53,1040.54,1187354,1235482849.69,376
2024-11-13,1040.54,1040.72,1040.72,1040.7,1040.7,1109526,1154691340.73,416
2024-11-14,1040.7,1041.38,1041.4,1041.38,1041.39,1399278,1457202443.26,203
2024-11-18,1041.39,1041.55,1041.57,1041.55,1041.56,579543,603629612.43,2209
2024-11-19,1041.56,1041.89,1041.92,1041.88,1041.91,608341,633838036.84,6053
2024-11-21,1041.91,1042.09,1042.1,1042.07,1042.09,549007,572116046.36,505
2024-11-22,1042.09,1094.18,1094.18,1042.59,1042.63,610770,636825658.27,3423
2024-11-25,1042.63,1042.8,1042.84,1042.8,1042.83,529210,551877537.62,268
2024-11-26,1042.83,1042.99,1043.02,1042.99,1043.01,584361,609493265.38,3268
2024-11-27,1043.01,1043.2,1043.2,1043.18,1043.18,884513,922713624.11,318
2024-11-28,1043.18,1043.38,1043.38,1043.36,1043.36,1972753,2058316877.46,880
2024-11-29,1043.36,1043.9,1043.93,1043.88,1043.91,613992,640957511.66,1023
2024-12-02,1043.91,1044.1,1044.1,1044.08,1044.09,1470595,1535443708.53,284
2024-12-03,1044.09,1044.25,1044.27,1044.25,1044.26,709301,740694772.61,231
2024-12-04,1044.26,1044.42,1044.44,1044.42,1044.43,375943,392644565.16,469
2024-12-05,1044.43,1044.59,1044.62,1044.59,1044.6,481377,502848905.07,244
2024-12-06,1044.6,1045.11,1045.15,1045.11,1045.13,1157207,1209433999.95,358
2024-12-09,1045.13,1045.3,1045.32,1045.29,1045.3,544441,569109109.33,209
2024-12-10,1045.3,1045.47,1045.5,1045.47,1045.49,281926,294749607.73,1356
2024-12-11,1045.49,1045.48,1045.69,1045.48,1045.67,1280147,1338613679.51,424
2024-12-12,1045.67,1045.86,1045.87,1045.85,1045.85,417503,436647923.79,1797
2024-12-13,1045.85,1046.39,1046.41,1046.39,1046.39,775933,811933836.18,247
2024-12-16,1046.39,1046.57,1046.59,1046.57,1046.58,572280,598934678.34,367
2024-12-17,1046.58,1046.75,1046.77,1046.75,1046.75,335787,351487546.49,2633
2024-12-18,1046.75,1046.75,1046.95,1046.75,1046.94,493847,517029155.84,538
2024-12-19,1046.94,1047.1,1047.13,1047.1,1047.12,381157,399116448.95,139
2024-12-20,1047.12,1047.66,1047.68,1047.66,1047.66,564837,591760081.04,492
2024-12-23,1047.66,1047.84,1047.86,1047.84,1047.85,717072,751381650.3,227
2024-12-24,1047.85,1048.2,1048.23,1048.2,1048.21,569777,597252708.11,266
2024-12-26,1048.21,1048.41,1048.41,1048.38,1048.4,787865,825993834.51,411
2024-12-27,1048.4,1048.92,1048.95,1048.9,1048.93,571509,599478105.08,244
2024-12-30,1048.93,1053.93,1069.91,1049.11,1049.12,346112,363117842.46,450
2024-12-31,1049.12,1049.3,1049.35,1049.29,1049.31,628948,659960013.41,305
2025-01-01,1049.31,1049.47,1049.49,1049.47,1049.48,408599,428817596.03,370
2025-01-02,1049.48,1049.66,1049.67,1049.65,1049.65,375929,394597694.49,437
2025-01-03,1049.65,1050.16,1050.18,1050.15,1050.15,558771,586798881.42,449
2025-01-06,1050.15,1050.32,1050.35,1050.32,1050.34,545949,573430465.36,414
2025-01-07,1050.34,1050.5,1050.53,1050.5,1050.52,1118736,1175251884.99,629
2025-01-08,1050.52,1050.7,1050.72,1050.7,1050.71,351401,369220690.24,369
2025-01-09,1050.71,1050.88,1050.9,1050.88,1050.89,323455,339914661.87,184
2025-01-10,1050.89,1051.42,1051.46,1051.42,1051.44,1295470,1362114092.63,284
2025-01-13,1051.44,1051.62,1051.64,1051.62,1051.62,673895,708685337.28,632
2025-01-14,1051.62,1052.0,1052.0,1051.79,1051.81,747920,786670433.04,341
2025-01-15,1051.81,1051.98,1051.99,1051.97,1051.98,366147,385179945.2,181
2025-01-16,1051.98,1052.14,1052.16,1052.14,1052.15,526202,553645109.15,419
2025-01-17,1052.15,1052.67,1052.69,1052.65,1052.67,896796,944035592.59,234
2025-01-20,1052.67,1052.84,1052.87,1052.84,1052.85,516156,543441670.19,156
2025-01-21,1052.85,1053.05,1053.05,1053.03,1053.04,340118,358158677.98,175
2025-01-22,1053.04,1053.27,1053.27,1053.21,1053.21,419615,441946560.06,552
2025-01-23,1053.21,1053.21,1053.41,1053.21,1053.4,444790,468544570.32,135
2025-01-24,1053.4,1053.93,1053.96,1053.93,1053.94,486566,512817160.89,301
2025-01-27,1053.94,1054.14,1054.14,1054.12,1054.13,776156,818164827.52,257
2025-01-28,1054.13,1054.31,1054.32,1054.3,1054.31,497671,524699323.46,505
2025-01-29,1054.31,1054.5,1054.5,1054.48,1054.49,820838,865563478.02,259
2025-01-30,1054.49,1054.66,1054.68,1054.66,1054.67,352220,371477753.47,303
2025-01-31,1054.67,1054.7,1055.21,1054.7,1055.19,479303,505759173.4,218
2025-02-03,1055.2,1055.37,1055.4,1055.37,1055.37,1697931,1791973139.85,323
2025-02-04,1055.37,1055.56,1055.57,1055.55,1055.56,459749,485295080.56,237
2025-02-05,1055.56,1055.72,1055.74,1055.72,1055.72,263471,278154012.24,257
