Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-11-22,157.71,159.25,159.25,150.07,156.0,9233.0,1428516.05,79
2017-11-23,156.0,151.43,160.64,151.43,158.86,21929.6,3449088.75,140
2017-11-24,158.86,160.71,165.0,159.29,162.68,23774.8,3882448.75,209
2017-11-27,162.68,164.29,164.29,155.71,158.64,8846.6,1401016.1,85
2017-11-28,158.64,153.71,162.39,153.71,160.93,18009.6,2896888.05,160
2017-11-29,160.93,158.57,160.11,152.96,153.75,16986.2,2626812.35,163
2017-11-30,153.75,150.07,156.43,150.07,154.75,12096.0,1870683.1,65
2017-12-01,154.75,157.07,157.07,147.04,147.04,14154.0,2112792.15,146
2017-12-04,147.04,146.43,147.86,140.79,142.14,22204.0,3194417.2,902
2017-12-05,142.14,140.71,146.43,136.79,142.32,23304.4,3278729.4,639
2017-12-06,142.32,146.43,146.43,139.29,142.68,10785.6,1543454.4,240
2017-12-07,142.68,146.25,146.25,137.86,138.93,10480.4,1476812.2,134
2017-12-08,138.93,142.86,145.71,140.0,142.89,22295.0,3198429.3,144
2017-12-11,142.89,148.21,148.21,138.71,141.61,18481.4,2635594.8,101
2017-12-12,141.61,143.57,143.57,136.43,138.54,6991.6,970900.45,121
2017-12-13,138.54,138.57,142.07,136.32,137.21,10665.2,1468866.5,107
2017-12-14,137.21,141.29,141.29,134.29,134.86,13101.2,1783441.55,80
2017-12-15,134.86,141.39,141.39,131.25,132.14,13626.2,1827346.8,140
2017-12-18,132.14,132.14,135.64,122.64,130.79,23646.0,3124093.35,166
2017-12-19,130.79,135.0,139.11,129.0,134.89,38749.2,5281641.7,310
2017-12-20,134.89,133.57,140.0,133.21,135.5,12462.8,1694965.25,146
2017-12-21,135.5,134.5,135.68,125.07,133.29,21088.2,2784583.35,192
2017-12-22,133.29,132.14,134.29,130.79,131.54,16528.4,2186638.55,140
2017-12-26,131.54,136.43,139.29,127.86,130.61,14400.4,1873587.5,179
2017-12-27,130.61,134.82,134.82,127.14,128.57,23056.6,2984254.5,166
2017-12-28,128.57,122.04,128.54,121.5,122.93,31850.0,3951165.55,301
2017-12-29,122.93,121.43,128.21,120.54,121.14,30585.8,3721464.35,198
2018-01-01,121.14,133.25,133.25,122.14,123.64,24088.4,3001033.55,244
2018-01-03,122.71,121.64,125.43,121.64,124.07,3899.0,480032.85,53
2018-01-04,124.07,124.29,124.29,118.57,122.32,28009.8,3391359.05,289
2018-01-05,122.32,122.57,126.43,122.57,123.57,16899.4,2101023.95,164
2018-01-08,123.57,124.29,126.82,121.57,123.79,10032.4,1241953.85,122
2018-01-09,123.79,122.93,125.21,122.14,122.43,17127.6,2101654.05,149
2018-01-10,122.43,120.75,124.89,120.75,123.36,6279.0,773965.9,139
2018-01-11,123.36,123.0,124.25,120.71,121.11,21817.6,2657240.45,160
2018-01-12,121.11,123.11,123.11,119.61,120.14,12311.6,1491120.1,158
2018-01-15,120.14,120.14,121.32,117.14,118.25,33898.2,4015341.2,199
2018-01-16,118.25,117.29,117.86,114.29,116.46,24103.8,2781800.2,237
2018-01-17,116.46,116.04,117.11,111.79,116.54,5653.2,648323.1,101
2018-01-18,116.54,116.96,116.96,108.93,112.29,25020.8,2836032.1,175
2018-01-19,112.29,112.14,113.93,109.39,110.0,34283.2,3789789.95,159
2018-01-22,110.0,110.0,110.0,106.43,106.79,20356.0,2183975.85,189
2018-01-23,106.79,108.39,108.39,105.86,107.25,24306.8,2608384.25,122
2018-01-24,107.25,108.29,108.29,104.36,105.21,16167.2,1710041.9,120
2018-01-25,105.21,104.29,105.68,100.21,103.46,31427.2,3240302.8,311
2018-01-29,103.46,104.29,105.57,100.75,100.82,9478.0,976086.5,130
2018-01-30,100.82,101.43,104.29,100.0,102.68,11975.6,1220304.85,167
2018-01-31,102.68,103.39,107.86,102.86,107.54,33390.0,3520439.35,242
2018-02-01,107.54,108.57,108.82,102.43,105.71,3897.6,415666.2,121
2018-02-02,105.71,101.46,107.5,97.89,98.75,11319.0,1142252.3,146
2018-02-05,98.75,97.86,104.29,95.75,102.93,25943.4,2594154.35,178
2018-02-06,102.93,101.29,113.21,93.25,106.25,25306.4,2684023.85,421
2018-02-07,106.25,110.0,114.29,110.0,111.61,54304.6,6108379.9,414
2018-02-08,111.61,117.86,124.18,113.57,120.57,25841.2,3084175.4,426
2018-02-09,120.57,117.36,132.0,111.39,124.75,80088.4,10165650.05,1202
2018-02-12,124.75,128.32,129.29,124.46,125.14,22671.6,2876033.75,356
2018-02-14,125.14,129.29,135.71,121.89,124.61,21303.8,2732691.5,398
2018-02-15,124.61,127.0,127.0,116.57,117.46,15435.0,1847869.5,454
2018-02-16,117.46,122.86,122.86,112.14,116.36,7700.0,897304.5,181
2018-02-19,116.36,119.93,119.93,108.57,113.82,10299.8,1164819.4,204
2018-02-20,113.82,112.86,124.07,110.11,114.21,4293.8,495988.4,124
2018-02-21,114.21,114.21,114.21,110.96,111.93,3022.6,339187.35,52
2018-02-22,111.93,110.79,114.29,110.79,112.54,4244.8,479396.5,77
2018-02-23,112.54,110.82,120.0,110.79,117.86,15955.8,1874071.5,419
2018-02-26,117.86,117.89,125.71,117.89,120.32,20931.4,2511708.7,220
2018-02-27,120.32,121.79,122.79,118.57,120.14,16753.8,2024729.65,205
2018-02-28,120.14,122.75,122.75,114.54,117.93,6416.2,756120.55,128
2018-03-01,117.93,117.86,120.0,113.0,114.32,10413.2,1201585.15,510
2018-03-05,114.32,112.96,114.25,106.5,110.75,21922.6,2444239.35,340
2018-03-06,110.75,113.14,114.14,106.11,107.14,13365.8,1471655.95,332
2018-03-07,107.14,105.71,109.25,97.14,99.54,7905.8,811064.45,174
2018-03-08,99.54,99.29,102.14,90.14,94.96,18828.6,1805211.25,405
2018-03-09,94.96,97.07,100.46,92.93,97.29,11053.0,1078709.55,226
2018-03-12,97.29,102.75,102.75,93.64,98.29,73708.6,7044548.35,236
2018-03-13,98.29,97.14,100.71,95.75,99.36,8279.6,816087.7,186
2018-03-14,99.36,100.0,101.43,97.93,99.61,8807.4,883464.95,144
2018-03-15,99.61,98.57,100.64,94.71,97.14,32222.4,3132789.7,276
2018-03-16,97.14,98.54,98.54,95.82,96.75,24568.6,2386694.75,73
2018-03-19,96.75,96.46,96.64,89.29,90.0,40535.6,3673324.9,551
2018-03-20,90.0,92.86,95.71,89.32,90.82,23245.6,2114589.4,226
2018-03-21,90.82,92.86,93.57,90.75,92.04,26398.4,2423548.9,127
2018-03-22,92.04,90.71,91.96,89.29,89.64,26468.4,2378636.75,109
2018-03-23,89.64,89.29,89.29,86.07,87.14,7777.0,679045.3,99
2018-03-26,87.14,87.18,89.96,81.07,81.79,61336.8,5076645.7,427
2018-03-27,81.79,85.68,92.14,79.86,87.46,41430.2,3580755.3,831
2018-03-28,87.46,86.21,89.96,82.93,84.5,18264.4,1559776.15,343
2018-04-02,84.5,85.71,89.93,84.5,85.96,7933.8,691772.05,89
2018-04-03,85.96,88.39,88.39,83.14,84.96,8730.4,745888.25,111
2018-04-04,84.96,84.54,88.21,82.29,83.0,14501.2,1230228.95,143
2018-04-05,83.0,81.54,86.43,80.71,81.39,13322.4,1097510.8,162
2018-04-06,81.39,84.21,85.57,83.18,83.89,10584.0,889835.45,159
2018-04-09,83.89,83.89,84.86,83.89,84.04,3892.0,328805.6,36
2018-04-10,84.04,82.86,91.29,82.86,87.86,22944.6,2030654.65,280
2018-04-11,87.86,86.43,88.46,83.79,85.68,6239.8,535000.35,90
2018-04-12,85.68,85.0,85.07,81.71,82.11,8594.6,715326.05,178
2018-04-13,82.11,80.21,84.96,80.21,80.82,5644.8,459283.1,92
2018-04-16,80.82,80.82,82.75,77.14,79.89,9203.6,739330.25,129
2018-04-17,79.89,81.04,81.07,76.0,77.11,37791.6,2922665.0,514
2018-04-18,77.11,77.18,77.32,74.5,74.82,9752.4,734009.85,137
2018-04-19,74.82,75.36,75.36,66.29,67.04,77257.6,5328171.05,900
2018-04-20,67.04,67.14,70.32,66.54,67.57,23975.0,1634442.35,301
2018-04-23,67.57,67.57,73.64,66.71,68.0,14131.6,963270.85,177
2018-04-24,68.0,67.18,70.11,66.46,67.25,4569.6,310361.85,111
2018-04-25,67.25,67.14,67.93,65.46,66.39,11397.4,762556.05,121
2018-04-26,66.39,66.39,68.14,64.32,64.46,21081.2,1375916.55,243
2018-04-27,64.46,64.64,68.57,64.11,67.43,38441.2,2573663.2,210
2018-04-30,67.43,67.5,69.11,66.21,69.0,13260.8,904539.1,79
2018-05-02,69.0,69.0,69.29,65.71,66.46,8247.4,557047.4,98
2018-05-03,66.46,66.61,69.64,65.71,67.64,6862.8,458657.5,60
2018-05-04,67.64,67.14,67.29,66.64,66.86,7324.8,489180.9,70
2018-05-07,66.86,66.86,67.5,65.71,66.5,1961.4,130567.0,54
2018-05-08,66.5,66.43,67.54,65.14,65.71,2870.0,188441.9,95
2018-05-09,65.71,67.07,72.04,65.75,67.96,5819.8,400038.35,144
2018-05-10,67.96,70.71,71.18,65.79,66.64,4690.0,317836.85,103
2018-05-11,66.64,69.29,71.36,66.07,66.39,2249.8,150234.4,62
2018-05-14,66.39,66.43,67.64,64.39,65.43,2294.6,149915.15,91
2018-05-15,65.43,65.04,65.29,60.11,60.82,15989.4,992527.4,493
2018-05-16,60.82,59.0,65.71,57.39,63.89,30153.2,1848021.1,238
2018-05-17,63.89,66.43,67.86,63.64,64.29,7131.6,466740.45,135
2018-05-18,64.29,64.32,69.71,62.14,68.68,22223.6,1503406.5,307
2018-05-21,68.68,70.0,73.43,67.86,68.75,10754.8,750251.2,151
2018-05-22,68.75,69.29,72.86,65.75,71.89,52932.6,3766034.75,358
2018-05-23,71.89,74.29,74.29,66.68,68.29,19020.4,1347603.9,213
2018-05-24,68.29,68.04,69.89,66.43,67.93,1897.0,129162.9,64
2018-05-25,67.93,69.86,70.57,68.0,69.46,3207.4,222301.9,40
2018-05-28,69.46,67.93,71.43,67.64,69.25,6132.0,428373.65,115
2018-05-29,69.25,71.14,73.89,70.07,71.57,4816.0,344006.5,100
2018-05-30,71.57,70.75,71.57,66.64,67.64,8330.0,570196.0,137
2018-05-31,67.64,67.43,69.68,66.82,67.79,3266.2,221908.05,69
2018-06-01,67.79,67.93,71.0,67.89,69.43,8031.8,559571.1,112
2018-06-04,69.43,70.21,70.21,64.29,65.75,1654.8,112685.25,65
2018-06-05,65.75,64.36,68.57,62.86,64.0,21826.0,1419840.0,221
2018-06-06,64.0,62.96,65.64,60.71,63.75,4695.6,300337.95,95
2018-06-07,63.75,62.86,70.71,61.43,63.46,9486.4,618506.1,146
2018-06-08,63.46,63.29,65.0,62.14,62.64,3466.4,217818.95,72
2018-06-11,62.64,64.29,67.07,63.79,64.0,6003.2,387997.55,106
2018-06-12,64.0,66.36,66.36,62.14,63.86,1510.6,96504.55,45
2018-06-13,63.86,64.29,67.79,62.21,62.89,4064.2,261715.75,80
2018-06-14,62.89,65.43,66.5,62.18,65.43,3666.6,239430.1,75
2018-06-15,65.43,64.29,65.71,62.79,64.18,11625.6,744447.2,158
2018-06-18,64.18,63.57,65.71,63.07,64.68,8461.6,547350.6,32
2018-06-19,64.68,63.54,64.14,62.14,62.46,4288.2,268754.25,77
2018-06-20,62.46,62.25,63.57,62.21,62.79,1927.8,120990.9,61
2018-06-21,62.79,62.14,63.57,58.57,60.46,5194.0,317954.65,85
2018-06-22,60.46,62.79,62.79,59.43,59.75,2812.6,168330.55,39
2018-06-25,59.75,59.29,60.71,55.14,56.36,6727.0,388920.2,157
2018-06-26,56.36,57.14,57.14,54.75,55.21,1790.6,99599.9,40
2018-06-27,55.21,55.71,60.18,55.0,55.32,10115.0,580056.2,137
2018-06-28,55.32,56.93,57.14,54.29,55.07,4965.8,273124.65,68
2018-06-29,55.07,54.32,56.79,54.29,56.46,3802.4,213727.25,54
2018-07-02,56.46,55.71,56.43,54.36,55.79,855.4,47020.1,24
2018-07-03,55.79,55.0,57.11,54.39,54.75,639.8,35022.9,19
2018-07-04,54.75,57.68,60.0,55.71,55.86,13154.4,762523.6,158
2018-07-05,55.86,57.18,57.18,53.61,55.07,6914.6,387122.55,79
2018-07-06,55.07,56.39,56.39,52.86,53.93,3955.0,213347.5,87
2018-07-09,53.93,53.71,56.04,47.43,50.82,20822.2,1063476.35,259
2018-07-10,50.82,52.86,54.82,50.93,53.21,5322.8,280193.0,91
2018-07-11,53.21,55.18,55.18,52.57,53.57,1633.8,87542.9,44
2018-07-12,53.57,53.61,55.71,52.5,54.64,2941.4,160504.9,67
2018-07-13,54.64,53.57,55.64,51.79,53.39,1990.8,105000.65,35
2018-07-16,53.39,53.21,55.0,52.25,52.86,2958.2,157690.15,49
2018-07-17,52.86,52.86,54.18,48.43,51.64,7320.6,368259.7,69
2018-07-18,51.64,51.43,52.86,48.14,49.5,2905.0,144339.3,53
2018-07-19,49.5,49.5,51.21,48.64,49.57,1936.2,94900.2,45
2018-07-20,49.57,48.57,49.86,47.46,48.61,5087.6,246992.7,66
2018-07-23,48.61,47.36,50.0,45.71,47.14,20140.4,949986.45,91
2018-07-24,47.14,48.57,52.04,46.07,49.61,5182.8,257702.7,124
2018-07-25,49.61,49.46,51.89,49.43,50.89,4216.8,213077.1,71
2018-07-26,50.89,52.11,52.11,50.14,50.57,2335.2,119649.05,48
2018-07-27,50.57,52.57,55.0,50.75,51.11,967.4,50199.35,42
2018-07-30,51.11,52.14,55.54,52.14,54.5,3717.0,200358.0,89
2018-07-31,54.5,56.71,58.79,51.71,56.46,1825.6,102869.65,86
2018-08-01,56.46,57.14,58.43,52.82,54.57,21035.0,1168065.25,250
2018-08-02,54.57,56.79,60.29,53.64,56.64,12147.8,697322.9,179
2018-08-03,56.64,58.93,61.43,54.54,60.71,18988.2,1132945.4,222
2018-08-06,60.71,63.5,65.5,62.75,63.61,10213.0,649879.45,107
2018-08-07,63.61,65.71,70.71,65.39,66.43,38593.8,2603337.25,415
2018-08-08,66.43,66.43,69.04,62.29,63.14,38647.0,2517660.3,292
2018-08-09,63.14,64.14,64.14,57.71,60.04,19650.4,1187695.55,327
2018-08-10,60.04,60.71,61.79,57.89,58.64,14254.8,846872.2,181
2018-08-13,58.64,58.32,62.5,56.86,59.5,7261.8,432683.45,122
2018-08-14,59.5,59.29,60.71,57.71,58.96,5117.0,300462.25,111
2018-08-16,58.96,58.96,60.29,56.43,59.14,2825.2,167045.4,94
2018-08-17,59.14,58.93,59.64,57.14,58.11,7299.6,425202.7,67
2018-08-20,58.11,57.89,62.86,57.5,58.29,7105.0,417909.5,86
2018-08-21,58.29,57.86,59.25,55.29,56.29,9171.4,521621.25,188
2018-08-23,56.29,55.79,59.64,55.79,59.0,8003.8,470709.5,107
2018-08-24,59.0,60.46,60.71,57.14,59.93,14838.6,871869.2,134
2018-08-27,59.93,60.0,61.43,56.5,57.93,6354.6,376466.45,137
2018-08-28,57.93,62.75,63.57,58.61,59.0,11368.0,690375.55,154
2018-08-29,59.0,58.57,58.79,57.25,57.75,3960.6,229298.55,73
2018-08-30,57.75,60.71,60.71,57.14,58.57,4137.0,243384.25,58
2018-08-31,58.57,58.29,59.32,57.36,58.36,5217.8,304263.15,65
2018-09-03,58.36,58.46,59.89,57.11,58.82,5770.8,337420.1,61
2018-09-04,58.82,58.29,59.29,57.21,58.54,6910.4,401466.35,70
2018-09-05,58.54,58.29,58.29,56.54,57.14,7814.8,447171.75,139
2018-09-06,57.14,57.14,58.32,56.43,57.86,2247.0,129208.3,35
2018-09-07,57.86,57.14,58.57,57.14,57.54,5432.0,315071.2,69
2018-09-10,57.54,59.25,60.68,57.57,59.89,6707.4,395381.5,65
2018-09-11,59.89,59.89,59.89,57.71,57.82,6580.0,388464.7,91
2018-09-12,57.82,59.25,69.36,58.29,64.68,23060.8,1467526.45,197
2018-09-14,64.68,65.71,76.75,65.0,76.75,107142.0,7967840.5,1114
2018-09-17,76.75,88.36,92.07,86.43,92.07,216972.0,19771551.7,937
2018-09-18,92.07,100.68,101.25,86.43,98.07,679504.0,65270860.35,9065
2018-09-19,98.07,103.57,107.86,101.68,107.86,470997.8,50421077.35,2894
2018-09-21,107.86,113.54,118.57,97.21,111.64,544735.8,60266886.7,7201
2018-09-24,111.64,115.71,115.71,101.61,104.96,210079.8,22222845.25,2774
2018-09-25,104.96,108.32,115.43,100.71,114.96,532648.2,58777323.2,6567
2018-09-26,114.96,118.57,119.18,109.25,109.25,237668.2,26768228.35,2598
2018-09-27,109.25,103.82,106.93,103.82,103.82,44018.8,4588104.4,431
2018-09-28,103.82,98.64,98.64,98.64,98.64,3962.0,390823.0,26
2018-10-01,98.64,93.71,93.71,93.71,93.71,3738.0,350304.0,25
2018-10-03,93.71,89.04,97.43,89.04,95.18,211972.6,19919071.4,2385
2018-10-04,95.18,94.64,94.64,90.43,90.86,43468.6,3986029.4,466
2018-10-05,90.86,93.21,93.21,86.32,86.32,24809.4,2198957.6,376
2018-10-08,86.32,86.32,86.32,82.04,82.04,26675.6,2206529.2,253
2018-10-09,82.04,80.11,86.11,78.25,82.79,209449.8,17248925.95,1581
2018-10-10,82.79,85.0,86.89,78.71,86.64,109669.0,9229724.0,787
2018-10-11,86.64,85.71,89.86,82.5,85.21,70641.2,6097396.55,693
2018-10-12,85.21,85.86,88.57,85.29,85.82,15435.0,1340059.5,213
2018-10-15,85.82,90.11,90.11,88.07,90.11,13504.4,1216619.1,66
2019-01-08,64.54,65.0,67.75,63.64,67.04,9706.2,645920.8,60
2019-01-09,67.04,68.54,68.54,64.36,64.68,8726.2,588218.25,46
2019-01-10,64.68,63.14,65.36,62.89,64.68,1752.8,111716.5,30
