Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-01-02,28.65,28.95,29.2,28.7,29.05,30565,884337.6,333
2017-01-03,29.05,29.35,29.4,29.1,29.15,31465,921957.4,227
2017-01-04,29.15,29.15,29.4,29.1,29.15,16977,495816.0,189
2017-01-05,29.15,29.0,29.6,29.0,29.25,47533,1394590.8,380
2017-01-06,29.25,29.55,29.7,29.1,29.2,52331,1537332.5,422
2017-01-09,29.2,29.45,29.5,29.0,29.35,45915,1341966.45,313
2017-01-10,29.35,29.5,29.55,28.5,29.05,82590,2397558.3,635
2017-01-11,29.05,29.1,29.7,29.1,29.6,128626,3792276.55,673
2017-01-12,29.6,29.7,29.7,29.25,29.5,54179,1595409.1,419
2017-01-13,29.5,29.9,29.9,29.35,29.45,44454,1314522.75,347
2017-01-16,29.45,29.45,30.7,29.45,30.1,198716,6016594.7,1252
2017-01-17,30.1,30.2,30.75,30.0,30.15,51971,1572011.55,478
2017-01-18,30.15,30.2,30.5,30.0,30.05,33967,1024662.15,288
2017-01-19,30.05,30.5,30.5,29.7,29.95,29098,873046.4,276
2017-01-20,29.95,29.95,30.3,29.2,29.35,56592,1675464.65,443
2017-01-23,29.35,29.5,29.9,29.1,29.25,42702,1258168.55,339
2017-01-24,29.25,29.2,29.7,29.2,29.3,37334,1094495.2,201
2017-01-25,29.3,29.7,29.7,29.35,29.55,41624,1229250.55,385
2017-01-27,29.55,29.75,30.3,29.5,29.8,247127,7405991.05,1141
2017-01-30,29.8,31.3,32.5,30.55,32.3,1039240,33139860.0,5289
2017-01-31,32.3,32.65,33.6,32.2,33.15,604202,19904582.75,3300
2017-02-01,33.15,33.1,33.2,32.05,32.85,380956,12469801.75,2115
2017-02-02,32.85,32.9,35.3,32.8,34.45,1273872,43675864.95,5374
2017-02-03,34.45,34.95,35.7,31.3,34.65,849608,29257597.6,3995
2017-02-06,34.65,35.5,35.6,34.25,34.7,347859,12198746.45,1928
2017-02-07,34.7,35.2,35.45,34.75,35.3,644256,22632274.0,2842
2017-02-08,35.3,35.4,35.6,34.0,34.55,444953,15632125.85,2117
2017-02-09,34.55,34.9,35.0,33.1,33.45,468261,15903348.1,2199
2017-02-10,33.45,33.75,34.0,33.55,33.7,210143,7095852.6,1264
2017-02-13,33.7,34.05,34.2,33.2,33.3,156474,5255632.8,818
2017-02-14,33.3,33.75,33.75,33.05,33.35,85958,2868098.85,594
2017-02-15,33.35,33.2,33.5,32.5,32.6,87966,2891658.7,642
2017-02-16,32.6,33.55,33.75,32.5,32.9,198703,6585061.35,1275
2017-02-17,32.9,33.2,33.5,32.5,32.65,88766,2917488.5,624
2017-02-20,32.65,32.9,33.25,32.3,32.55,235254,7698197.65,1102
2017-02-21,32.55,32.8,38.7,32.6,37.1,4367966,162228604.55,12658
2017-02-22,37.1,37.15,37.15,34.4,34.85,990826,35028707.4,4210
2017-02-23,34.85,34.75,35.6,34.2,34.4,602339,20944402.7,3194
2017-02-27,34.4,34.6,34.9,34.0,34.25,200515,6934042.15,1083
2017-02-28,34.25,34.6,34.8,34.05,34.25,163906,5625760.0,850
2017-03-01,34.25,34.8,35.0,34.4,34.55,238988,8295121.6,1244
2017-03-02,34.55,34.85,34.95,33.75,33.85,194539,6684044.95,1140
2017-03-03,33.85,34.0,34.0,33.45,33.7,101069,3402660.4,656
2017-03-06,33.7,33.7,33.95,33.3,33.55,146198,4921299.3,1661
2017-03-07,33.55,33.7,33.7,33.2,33.45,109125,3650311.8,1137
2017-03-08,33.45,33.45,33.5,32.8,32.9,157312,5206098.75,708
2017-03-09,32.9,33.0,33.15,32.55,32.65,81812,2682480.95,511
2017-03-10,32.65,33.0,33.1,32.3,32.4,132069,4303236.55,686
2017-03-14,32.4,33.0,33.0,32.15,32.3,127450,4145481.05,672
2017-03-15,32.3,32.3,32.9,32.15,32.3,239029,7766109.35,1065
2017-03-16,32.3,32.6,32.7,32.3,32.4,150227,4877731.6,851
2017-03-17,32.4,32.7,32.7,32.25,32.45,140644,4564635.5,664
2017-03-20,32.45,32.75,32.85,32.3,32.55,103481,3367383.05,525
2017-03-21,32.55,32.5,34.25,32.5,33.0,583625,19459528.8,1939
2017-03-22,33.0,33.4,35.95,33.25,34.2,3359656,116870901.9,10467
2017-03-23,34.2,34.4,34.45,33.55,33.65,293235,9885811.7,1273
2017-03-24,33.65,33.9,34.95,33.45,34.2,563007,19348986.75,2387
2017-03-27,34.2,34.05,34.8,33.6,33.7,230096,7837475.65,1171
2017-03-28,33.7,33.7,34.2,33.5,33.55,118089,3986403.95,634
2017-03-29,33.55,33.6,33.9,33.2,33.5,206657,6954345.6,832
2017-03-30,33.5,33.8,34.1,33.4,33.5,225104,7562186.9,731
2017-03-31,33.5,33.5,34.35,33.3,33.65,338146,11451917.75,1462
2017-04-03,33.65,33.5,34.1,33.5,33.65,143816,4854849.1,718
2017-04-05,33.65,33.65,35.25,33.55,34.85,718877,24838208.85,2776
2017-04-06,34.85,34.5,35.45,34.3,34.35,296623,10287655.0,1356
2017-04-07,34.35,34.35,35.7,34.1,34.6,1007595,35271858.15,2862
2017-04-10,34.6,34.9,35.6,34.55,34.8,319117,11196249.4,1533
2017-04-11,34.8,34.55,36.1,34.55,35.9,859406,30600220.85,2940
