Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-01-02,275.95,275.5,280.0,267.65,276.65,85776,23445498.35,2523
2017-01-03,276.65,279.5,282.0,271.0,272.23,55162,15172394.8,1741
2017-01-04,272.23,274.6,278.5,271.0,277.02,128232,35365308.45,3190
2017-01-05,277.02,276.75,279.48,271.5,275.05,162662,44748669.95,3026
2017-01-06,275.05,274.0,282.98,266.48,268.82,227408,62918166.7,4508
2017-01-09,268.82,269.0,274.35,266.5,267.58,58398,15763203.1,1968
2017-01-10,267.58,269.77,272.0,267.0,269.5,66324,17904349.95,2357
2017-01-11,269.5,272.48,276.73,270.0,271.18,101432,27650218.8,3915
2017-01-12,271.18,271.02,273.48,269.05,270.9,28704,7779189.3,1180
2017-01-13,270.9,270.62,285.0,270.0,280.35,320444,89953830.2,8299
2017-01-16,280.35,280.35,284.32,276.27,280.6,75386,21120212.6,2317
2017-01-17,280.6,280.5,283.0,275.27,278.0,90232,25178201.8,1563
2017-01-18,278.0,279.77,294.85,277.27,293.0,849974,243610205.1,9239
2017-01-19,293.0,294.45,302.5,290.05,300.98,219630,65361736.9,5482
2017-01-20,300.98,303.98,307.5,298.5,301.18,794892,241436254.45,5688
2017-01-23,301.18,300.5,305.5,299.77,304.35,93392,28361761.4,1724
2017-01-24,304.35,309.85,311.25,305.0,310.73,138526,42739856.1,3160
2017-01-25,310.73,312.5,318.98,309.0,317.5,150664,47520920.75,3237
2017-01-27,317.5,319.9,321.2,314.5,318.15,68088,21659077.6,1723
2017-01-30,318.15,318.0,324.1,309.92,313.42,96398,30554309.35,2199
2017-01-31,313.42,313.0,317.98,309.0,314.3,108676,34012656.35,1705
2017-02-01,314.3,314.32,322.5,310.98,322.25,92950,29693672.25,1584
2017-02-02,322.25,322.5,327.5,316.0,318.65,39492,12648787.35,795
2017-02-03,318.65,321.18,334.5,318.75,329.95,591472,194623561.8,11861
2017-02-06,329.95,333.7,346.0,328.5,340.6,286172,96643135.85,6286
2017-02-07,340.6,343.98,353.3,340.0,344.82,190762,66357819.85,4558
2017-02-08,344.82,347.3,351.5,344.75,350.48,86292,30193013.0,2341
2017-02-09,350.48,347.7,353.5,345.22,349.98,132836,46470149.5,5130
2017-02-10,349.98,352.45,352.5,347.28,351.5,80994,28414469.6,1740
2017-02-13,351.5,350.0,352.95,337.5,342.28,76832,26456640.1,2228
2017-02-14,342.28,342.28,346.5,342.02,343.52,25688,8832096.05,1028
2017-02-15,343.52,343.5,343.5,336.9,341.85,43672,14942525.05,607
2017-02-16,341.85,343.0,347.5,338.95,345.45,27710,9527846.05,805
2017-02-17,345.45,347.5,350.0,339.0,344.05,21628,7470523.95,690
2017-02-20,344.05,349.8,349.95,344.12,347.9,25416,8841086.05,526
2017-02-21,347.9,348.02,353.5,347.88,351.18,48888,17139359.3,1147
2017-02-22,351.18,353.48,354.95,347.52,348.3,23982,8406578.8,519
2017-02-23,348.3,350.0,351.0,343.48,344.5,57316,19927439.5,2257
2017-02-27,344.5,346.0,352.45,343.38,349.2,32774,11427422.2,695
2017-02-28,349.2,351.5,367.5,350.1,360.85,205962,74357011.2,4603
2017-03-01,360.85,364.8,375.0,351.28,369.92,464518,172160996.05,10878
2017-03-02,369.92,373.45,373.5,365.15,369.72,358808,132277807.1,6132
2017-03-03,369.72,370.85,379.0,366.0,368.55,282002,104260180.45,2941
2017-03-06,368.55,370.32,374.25,367.25,369.6,31952,11818496.3,1100
2017-03-07,369.6,370.0,374.0,360.5,363.22,79728,29005653.2,2590
2017-03-08,363.22,363.22,367.85,349.38,354.98,133640,47343086.55,3931
2017-03-09,354.98,354.98,363.0,352.8,355.65,25784,9202329.8,1125
2017-03-10,355.65,360.75,360.75,352.4,355.22,64278,22883334.7,2269
2017-03-14,355.22,369.98,374.78,355.28,362.35,96514,34907020.25,3977
2017-03-15,362.35,367.45,367.5,355.28,357.7,72242,25962364.1,4600
2017-03-16,357.7,363.75,367.5,354.18,360.4,127546,45811354.05,3518
2017-03-17,360.4,361.0,367.38,360.32,364.88,93290,33971390.85,3180
2017-03-20,364.88,365.0,369.62,358.08,368.42,94146,34490577.35,2359
2017-03-21,368.42,367.98,372.5,359.0,359.95,118698,43027669.95,3117
2017-03-22,359.95,357.5,364.92,352.7,354.8,99254,35220538.05,2741
2017-03-23,354.8,356.68,361.58,354.88,359.85,159296,57042491.55,9508
2017-03-24,359.85,361.45,363.92,355.5,357.22,32184,11518066.05,1550
2017-03-27,357.22,363.5,363.5,349.12,350.98,35170,12494644.55,1201
2017-03-28,350.98,350.02,356.95,346.55,351.02,79244,27816587.35,2182
2017-03-29,351.02,355.0,368.5,348.0,359.18,226944,80123221.8,4532
2017-03-30,359.18,359.18,365.0,354.95,361.52,292130,105267156.05,4305
2017-03-31,361.52,364.98,368.42,350.52,352.25,208654,74002942.3,6851
2017-04-03,352.25,362.0,362.0,349.85,353.82,61796,21846734.45,1503
2017-04-05,353.82,353.98,360.95,353.75,356.95,96968,34714293.0,2768
2017-04-06,356.95,356.92,359.95,349.0,353.75,308210,108893564.2,4630
2017-04-07,353.75,353.98,359.0,351.1,353.25,84758,30182579.85,1534
2017-04-10,353.25,354.72,356.65,351.0,352.12,38610,13622804.7,1036
2017-04-11,352.12,352.42,360.52,350.1,357.68,154300,55157089.7,4555
2017-04-12,357.68,359.48,360.0,351.0,357.45,248706,88777154.05,2963
2017-04-13,357.45,355.98,371.5,355.5,361.45,209228,76330443.9,6271
2017-04-17,361.45,361.5,365.98,355.25,356.05,110554,39525198.05,1612
2017-04-18,356.05,356.05,362.5,356.05,357.2,124422,44858641.55,981
2017-04-19,357.2,353.78,365.25,352.5,362.8,149006,53759030.55,2869
2017-04-20,362.8,362.8,365.0,358.05,359.8,39884,14426372.45,1456
2017-04-21,359.8,363.18,364.25,357.5,358.7,67204,24237764.8,2321
2017-04-24,358.7,359.0,360.2,355.0,355.75,50484,18040542.1,1323
2017-04-25,355.75,359.98,360.0,354.25,355.18,56212,20081569.65,2281
2017-04-26,355.18,359.0,359.0,350.55,352.78,62032,22011880.45,2735
2017-04-27,352.78,356.45,356.45,350.0,352.75,74078,26185568.75,1563
2017-04-28,352.75,353.98,358.88,350.0,351.02,72228,25592279.55,4038
2017-05-02,351.02,351.8,355.25,350.58,351.62,39864,14034009.8,1186
2017-05-03,351.62,352.52,355.0,345.08,348.55,56094,19613422.0,1794
2017-05-04,348.55,351.98,352.0,338.2,344.55,73452,25287484.95,2633
2017-05-05,344.55,345.4,346.5,336.62,341.48,144678,49185919.4,5380
2017-05-08,341.48,345.98,350.88,341.62,346.2,46766,16207654.75,1672
2017-05-09,346.2,346.22,349.5,342.08,347.58,97040,33629745.05,3726
2017-05-10,347.58,347.5,362.5,347.5,353.78,163458,58290456.85,3351
2017-05-11,353.78,356.98,361.85,346.5,348.08,379458,135090342.9,7333
2017-05-12,348.08,350.0,373.78,350.0,368.7,891064,326683066.7,17386
2017-05-15,368.7,372.5,392.4,372.5,387.25,820354,316168517.85,16113
2017-05-16,387.25,390.5,393.5,384.0,387.45,348776,135131319.55,7744
2017-05-17,387.45,388.0,401.5,387.55,392.55,369256,145656954.65,5613
2017-05-18,392.55,391.0,406.98,387.52,397.6,370200,147667595.2,7391
2017-05-19,397.6,400.5,408.95,388.0,396.88,355870,142258842.4,6164
2017-05-22,396.88,398.45,407.5,390.4,392.35,191040,76424810.8,4141
2017-05-23,392.35,397.58,397.8,368.82,377.98,318518,121194329.1,4119
2017-05-24,377.98,379.98,389.2,363.08,366.0,144422,54181976.65,2807
2017-05-25,366.0,368.95,392.5,368.95,390.12,322730,124005344.35,5842
2017-05-26,390.12,393.0,429.5,385.25,422.88,655164,269607793.15,9717
2017-05-29,422.88,429.5,444.0,387.5,410.75,1095398,452649085.05,23076
2017-05-30,410.75,402.5,407.5,371.3,399.4,536902,213331425.4,9735
2017-05-31,399.4,402.52,405.0,396.5,399.95,488510,195497885.8,3305
2017-06-01,399.95,400.2,403.22,394.0,398.08,111112,44293131.05,2196
2017-06-02,398.08,401.8,401.8,388.08,390.32,55392,21786259.85,1184
2017-06-05,390.32,390.5,407.4,390.5,399.58,250234,99684288.95,4659
2017-06-06,399.58,397.5,403.95,382.75,387.65,134796,52861606.95,2860
2017-06-07,387.65,387.68,394.0,383.6,387.22,152840,59294278.9,1811
2017-06-08,387.22,390.0,390.0,383.0,385.45,81064,31296839.0,1834
2017-06-09,385.45,385.0,388.48,381.5,384.5,120422,46489920.45,2891
2017-06-12,384.5,384.5,387.0,377.12,378.08,90692,34564284.25,1388
2017-06-13,378.08,380.0,393.7,377.55,380.9,441758,169798132.25,3949
2017-06-14,380.9,375.0,388.0,374.02,385.9,402752,154559893.8,3765
2017-06-15,385.9,388.0,397.0,386.28,390.98,637046,249326264.4,5768
2017-06-16,390.98,393.05,396.5,389.5,390.72,136848,53618880.35,2360
2017-06-19,390.72,391.98,399.5,387.78,396.75,367862,144911946.3,2122
2017-06-20,396.75,399.5,402.5,394.95,398.95,153462,61221193.45,2033
2017-06-21,398.95,398.75,406.0,398.75,402.28,164238,66248315.5,2805
2017-06-22,402.28,402.65,405.42,395.55,398.15,104434,41785023.2,2827
2017-06-23,398.15,396.18,398.58,385.0,390.92,155702,60838438.4,2917
2017-06-27,390.92,397.48,399.95,380.5,382.75,74064,28606034.65,1599
2017-06-28,382.75,383.75,387.5,370.3,375.32,170240,64209261.55,5596
2017-06-29,375.32,375.52,392.5,373.52,386.92,197970,76836361.9,4955
2017-06-30,386.92,386.0,397.45,375.5,393.68,141062,54734909.25,4123
2017-07-03,393.68,396.98,396.98,386.25,388.65,120362,46681498.15,3534
2017-07-04,388.65,388.62,393.7,384.5,388.7,76362,29648930.25,1963
2017-07-05,388.7,385.7,388.65,383.0,385.25,52822,20439782.95,1386
2017-07-06,385.25,385.25,395.0,383.0,387.12,380616,148287666.1,2767
2017-07-07,387.12,388.5,390.75,381.85,387.85,90612,35230900.7,2065
2017-07-10,387.85,392.0,392.72,382.68,385.15,13216,5098824.05,273
2017-07-11,385.15,385.15,394.5,382.58,385.28,249776,97322190.65,1948
2017-07-12,385.28,387.2,389.45,377.62,380.42,86776,33211891.45,1252
2017-07-13,380.42,384.22,387.5,377.58,379.95,155416,59190696.55,1965
2017-07-14,379.95,380.5,387.5,373.8,385.6,75486,28790944.9,1757
2017-07-17,385.6,385.52,387.18,375.25,376.55,122384,46346080.9,2755
2017-07-18,376.55,375.0,376.5,367.95,374.95,150714,56065848.6,3192
2017-07-19,374.95,374.95,386.0,367.65,372.4,227532,85936184.2,3777
2017-07-20,372.4,374.25,378.5,369.85,373.38,138614,51916714.2,3398
2017-07-21,373.38,373.52,387.48,373.25,383.82,123688,46997847.65,1865
2017-07-24,383.82,380.18,398.3,378.78,390.4,428392,167192431.5,5555
2017-07-25,390.4,390.18,394.5,387.2,392.95,142350,55811876.75,2858
2017-07-26,392.95,397.5,400.0,393.48,397.45,135760,53885325.6,2396
2017-07-27,397.45,399.75,399.75,390.55,395.6,118902,47141385.1,2794
2017-07-28,395.6,397.95,406.5,390.78,403.58,302374,120516422.5,7214
2017-07-31,403.58,402.5,414.0,395.05,399.7,188338,76645392.65,3584
2017-08-01,399.7,399.72,404.95,392.02,401.52,76666,30593078.0,1235
2017-08-02,401.52,404.48,409.1,392.5,396.5,50386,20198739.5,2721
2017-08-03,396.5,395.0,404.5,390.08,394.15,38236,15106918.8,1488
2017-08-04,394.15,395.02,399.5,383.35,389.12,74314,29063666.15,2002
2017-08-07,389.12,392.48,393.35,385.0,389.78,102202,39686920.15,1324
2017-08-08,389.78,393.0,396.92,385.0,386.78,93220,36267178.6,1249
2017-08-09,386.78,389.72,391.95,379.42,381.6,178480,68520474.75,4061
2017-08-10,381.6,382.5,402.5,378.62,390.15,696042,270893804.95,10002
2017-08-11,390.15,391.0,398.6,379.5,396.15,138364,54123390.05,2660
2017-08-14,396.15,399.5,404.5,390.22,401.25,123434,49427818.05,2509
2017-08-16,401.25,403.0,406.65,395.72,401.42,119524,48101056.5,2881
2017-08-17,401.42,401.98,414.8,401.7,410.4,260986,106946353.15,7156
2017-08-18,410.4,409.98,419.72,407.48,409.9,211574,87450748.3,3964
2017-08-21,409.9,413.82,417.5,404.0,406.25,81812,33541940.85,2307
2017-08-22,406.25,409.95,416.0,406.0,409.7,74008,30363362.05,2468
