Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2022-02-16,866.0,935.0,992.7,920.0,933.55,19754867,18743379908.45,422189
2022-02-17,933.55,950.0,963.0,912.6,920.25,2987328,2769278134.35,123912
2022-02-18,920.25,893.0,917.9,882.0,906.4,973745,882809033.05,52789
2022-02-21,906.4,880.0,905.75,874.5,880.1,1226361,1086612676.65,36645
2022-02-22,880.1,850.0,887.0,826.7,863.25,940236,801400865.5,30436
2022-02-23,863.25,870.0,882.8,845.2,854.95,926259,803523963.1,10815
2022-02-24,854.95,790.2,900.0,790.2,813.35,778427,646063967.85,25362
2022-02-25,813.35,817.0,848.0,817.0,835.8,261276,216893963.2,18929
2022-02-28,835.8,835.8,900.0,832.1,892.2,497233,437038951.3,26357
2022-03-02,892.2,888.0,913.3,877.0,883.15,446539,398853775.85,28133
2022-03-03,883.15,890.0,905.0,834.05,863.65,745682,643612718.45,17061
2022-03-04,863.65,853.0,861.95,846.6,850.5,129432,110302878.2,12388
2022-03-07,850.5,835.0,844.0,827.7,832.8,330996,276359816.1,17783
2022-03-08,832.8,836.5,854.95,825.0,839.2,171788,144142609.4,7198
2022-03-09,839.2,844.0,878.8,836.6,871.9,368220,317396729.3,13690
2022-03-10,871.9,878.0,894.0,873.9,881.4,158073,140137018.65,14175
2022-03-11,881.4,869.0,894.55,850.85,864.55,158323,139322476.0,10005
2022-03-14,864.55,858.7,885.0,845.7,863.5,1704307,1464037163.7,41182
2022-03-15,863.5,862.0,880.0,850.05,869.9,257448,222463059.35,17253
2022-03-16,869.9,879.25,879.95,852.0,867.8,150408,129807689.1,13370
2022-03-17,867.8,870.0,908.0,870.0,900.55,521984,468088091.8,25137
2022-03-21,900.55,899.0,917.1,896.2,912.2,640253,583494548.55,10634
2022-03-22,912.2,896.0,935.0,896.0,913.7,201732,184836114.9,13432
2022-03-23,913.7,918.0,950.0,909.95,936.45,207756,192833379.3,17676
2022-03-24,936.45,921.0,942.9,915.05,920.8,312533,289077804.55,29043
2022-03-25,920.8,920.0,940.0,919.9,930.7,123701,115095291.3,13595
2022-03-28,930.7,924.0,940.0,911.0,923.2,215466,198992529.65,15854
2022-03-29,923.2,921.5,950.75,921.5,940.45,230135,217273727.6,15343
2022-03-30,940.45,960.0,975.0,888.7,960.45,386824,368237988.3,18900
2022-03-31,960.45,961.0,1024.4,941.6,966.95,545493,539598678.7,39353
2022-04-01,966.95,965.0,1008.45,960.05,998.45,137893,136512754.5,10593
2022-04-04,998.45,1030.0,1060.1,1001.0,1009.6,287299,292961897.45,34404
2022-04-05,1009.6,1015.0,1119.0,999.0,1088.05,855999,916105932.1,59235
2022-04-06,1088.05,1082.0,1111.15,1040.0,1053.4,196825,211084846.4,13663
2022-04-07,1053.4,1059.0,1068.25,986.95,1021.25,141428,146963203.9,14858
2022-04-08,1021.25,1005.0,1054.45,1005.0,1043.05,156408,161374593.75,14377
2022-04-11,1043.05,1040.0,1059.35,1038.05,1050.1,113085,118605610.2,11360
2022-04-12,1050.1,1040.0,1082.0,1032.05,1066.9,225666,239706939.6,14313
2022-04-13,1066.9,1079.05,1081.1,1040.05,1050.0,131474,139053743.1,14227
2022-04-18,1050.0,1030.0,1078.9,1030.0,1062.55,127667,134858479.1,10527
2022-04-19,1062.55,1045.0,1100.0,1005.45,1045.2,326073,349914009.2,25019
2022-04-20,1045.2,1059.9,1067.2,1008.8,1045.7,93177,96906655.55,10265
2022-04-21,1045.7,1045.15,1136.3,1039.35,1117.7,534873,594683553.3,38336
2022-04-22,1117.7,1114.0,1143.25,1060.95,1073.05,201913,223600868.85,13669
2022-04-25,1073.05,1062.7,1073.05,1011.0,1054.9,146849,154525958.15,17762
2022-04-26,1054.9,1074.4,1111.1,1060.05,1094.1,199483,216794108.6,18554
2022-04-27,1094.1,1077.6,1128.5,1070.0,1085.65,223547,244897188.05,18469
2022-04-28,1085.65,1081.0,1109.45,1080.15,1100.15,175753,192180777.8,10471
2022-04-29,1100.15,1100.0,1143.95,1074.3,1091.55,330998,370229889.25,37471
2022-05-02,1091.55,1070.0,1108.7,1056.05,1070.15,176572,190521610.25,23151
2022-05-04,1070.15,1062.0,1069.85,1011.0,1031.55,140592,145746741.2,12341
2022-05-05,1031.55,1050.0,1054.35,1022.5,1035.5,109264,113061196.6,12912
2022-05-06,1035.5,1020.0,1030.0,991.9,999.35,210362,211380640.35,13322
2022-05-09,999.35,990.0,1010.0,962.45,988.45,147427,145021449.75,13554
2022-05-10,988.45,960.0,1010.0,960.0,976.9,222164,219425715.4,16256
2022-05-11,976.9,972.0,991.25,934.55,954.1,211281,201131754.35,14604
2022-05-12,954.1,954.1,954.1,917.3,943.7,375421,352100165.1,14783
2022-05-13,943.7,970.0,987.45,932.7,977.5,101780,97546009.5,12557
2022-05-16,977.5,980.0,1032.5,976.45,991.85,132465,131307161.55,14214
2022-05-17,991.85,990.0,999.35,980.75,983.9,35359,34979596.15,5330
