Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-01-02,196.25,196.5,203.0,193.0,195.45,1383,270537.0,24
2017-01-03,195.45,200.0,201.0,192.0,194.5,6693,1318615.4,76
2017-01-04,194.5,199.5,204.0,199.5,199.95,217,43369.65,8
2017-01-05,199.95,204.5,210.0,193.05,207.6,5267,1078065.1,82
2017-01-06,207.6,200.1,204.75,196.0,196.3,1423,283534.35,148
2017-01-09,196.3,205.0,205.0,197.25,201.95,419,84255.95,14
2017-01-10,201.95,198.1,198.1,198.1,198.1,40,7924.0,4
2017-01-11,198.1,200.0,201.6,197.05,197.1,553,110355.7,14
2017-01-12,197.1,204.0,204.0,201.45,201.5,748,150971.95,14
2017-01-13,201.5,204.0,204.7,196.0,202.05,315,63273.4,28
2017-01-16,202.05,207.0,207.0,202.55,202.7,137,27808.8,12
2017-01-17,202.7,202.15,205.0,202.0,205.0,778,157996.45,15
2017-01-18,205.0,201.0,205.0,200.0,204.75,461,93689.85,18
2017-01-19,204.75,200.55,202.05,200.2,201.9,1197,241412.3,38
2017-01-20,201.9,206.95,206.95,203.0,203.0,64,13038.9,5
2017-01-23,203.0,202.5,202.5,197.1,198.65,1557,311510.2,28
2017-01-24,198.65,198.1,202.5,198.05,201.6,159,31847.5,16
2017-01-25,201.6,204.05,204.05,201.1,201.35,181,36749.6,9
2017-01-27,201.35,209.9,210.0,200.0,201.55,2716,551350.3,60
2017-01-30,201.55,200.3,204.45,200.25,200.55,72,14444.3,13
2017-01-31,200.55,200.1,200.1,192.45,197.25,1583,315748.25,29
2017-02-01,197.25,214.5,214.5,195.0,203.85,750,152182.75,54
2017-02-02,203.85,209.0,209.0,203.0,203.05,133,27010.45,8
2017-02-03,203.05,204.1,215.5,204.1,208.2,3125,656304.05,72
2017-02-06,208.2,208.0,215.9,208.0,210.0,770,163991.45,44
2017-02-07,210.0,214.35,214.35,206.25,212.9,412,87444.9,40
2017-02-08,212.9,213.0,213.0,208.0,209.4,2102,442151.3,61
2017-02-09,209.4,203.05,220.0,203.0,208.95,519,109466.4,25
2017-02-10,208.95,205.0,215.0,205.0,206.7,2830,593244.6,71
2017-02-13,206.7,214.0,215.0,210.0,212.6,840,177508.25,20
2017-02-14,212.6,216.0,217.0,210.0,210.55,1538,326963.65,54
2017-02-15,210.55,210.5,215.0,208.0,210.2,556,116461.3,24
2017-02-16,210.2,214.95,214.95,205.0,207.1,462,95927.0,30
2017-02-17,207.1,206.0,217.0,206.0,212.0,347,74313.1,14
2017-02-20,212.0,215.95,215.95,205.0,208.4,787,163044.0,24
2017-02-21,208.4,212.95,216.8,206.15,214.3,844,179658.45,30
2017-02-22,214.3,212.4,220.0,212.4,216.5,3886,835881.7,63
2017-02-23,216.5,214.0,219.45,214.0,215.5,111,23817.95,12
2017-02-27,215.5,213.0,218.8,208.4,214.05,306,65279.95,14
2017-02-28,214.05,224.95,224.95,216.0,216.1,339,74095.85,16
2017-03-01,216.1,220.0,228.0,217.95,224.9,2784,620919.25,145
2017-03-02,224.9,230.95,235.05,220.25,224.9,4340,993958.15,90
2017-03-03,224.9,216.2,220.05,216.2,220.0,233,50770.15,21
2017-03-06,220.0,216.0,225.0,211.0,219.05,3309,728484.0,30
2017-03-07,219.05,223.0,236.5,220.0,224.6,8643,1926190.45,110
2017-03-08,224.6,226.0,234.5,226.0,231.6,5412,1253620.25,86
2017-03-09,231.6,225.05,236.9,222.25,225.0,1540,346710.65,53
2017-03-10,225.0,224.75,234.0,221.55,224.1,1040,236327.65,82
2017-03-14,224.1,244.95,268.9,235.0,268.9,333023,87573712.9,5913
2017-03-15,268.9,270.0,273.0,255.0,256.65,100454,26543560.05,3328
2017-03-16,256.65,260.0,273.95,254.1,260.3,54014,14184114.45,1425
2017-03-17,260.3,262.75,262.75,252.0,256.95,29640,7597100.05,632
2017-03-20,256.95,259.0,268.0,255.2,262.15,85772,22418058.25,2839
2017-03-21,262.15,262.6,263.75,260.2,261.55,22000,5760695.65,2037
2017-03-22,261.55,261.0,263.9,260.15,260.5,18236,4760054.05,1280
2017-03-23,260.5,263.9,263.9,260.4,261.15,23032,6014112.6,1751
2017-03-24,261.15,261.25,265.0,260.6,261.0,28573,7468084.7,1990
2017-03-27,261.0,260.1,261.95,260.0,261.25,26346,6881926.65,1453
