Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-01-02,37.3,37.95,41.0,37.25,40.45,2090755,82386570.3,7344
2017-01-03,40.45,41.0,42.7,40.5,42.05,1951079,81234059.3,8086
2017-01-04,42.05,43.0,44.35,42.8,43.05,2666781,116127718.2,13321
2017-01-05,43.05,43.45,43.95,42.85,43.0,992808,43066674.6,6552
2017-01-06,43.0,43.45,43.45,41.85,42.05,1056702,44880835.4,6299
2017-01-09,42.05,42.45,42.75,42.1,42.2,471149,19946272.95,3671
2017-01-10,42.2,42.5,43.4,42.1,42.85,856819,36497964.55,5312
2017-01-11,42.85,43.4,44.15,43.1,43.4,1411320,61649464.25,6019
2017-01-12,43.4,43.7,44.65,42.6,44.15,1505936,66304378.5,8860
2017-01-13,44.15,44.55,44.65,42.8,44.05,1695275,74251238.9,6775
2017-01-16,44.05,44.2,45.85,43.4,45.4,2030071,91624742.65,9518
2017-01-17,45.4,45.8,45.8,44.3,44.8,1009511,45256565.1,6216
2017-01-18,44.8,45.0,45.3,43.8,44.15,741213,32970613.35,5025
2017-01-19,44.15,44.4,44.95,43.75,44.75,617094,27439008.7,9153
2017-01-20,44.75,44.8,44.9,43.35,43.8,928936,41067604.55,11239
2017-01-23,43.8,43.95,46.35,43.75,45.95,1699352,77047526.5,12393
2017-01-24,45.95,46.1,46.85,45.55,45.7,1479849,68369220.45,5214
2017-01-25,45.7,45.8,46.0,44.75,44.95,963174,43618629.8,4618
2017-01-27,44.95,45.7,46.45,44.9,45.15,1223617,55806915.15,5205
2017-01-30,45.15,45.15,45.8,44.4,44.55,656773,29657235.85,3606
2017-01-31,44.55,44.4,45.7,44.15,44.85,1016072,45566167.0,8685
2017-02-01,44.85,45.15,46.05,44.1,45.55,854114,38451897.9,4115
2017-02-02,45.55,45.8,47.4,45.15,46.45,2049445,95610826.95,10378
2017-02-03,46.45,46.7,47.25,46.4,47.05,1037768,48727523.8,4278
2017-02-06,47.05,47.45,49.2,42.2,42.85,5625704,256842941.15,26316
2017-02-07,42.85,41.85,42.75,41.3,41.7,1847024,77477502.45,8672
2017-02-08,41.7,41.8,42.0,41.3,41.55,704246,29330913.9,2892
2017-02-09,41.55,41.85,42.0,40.7,40.8,984395,40627056.65,3658
2017-02-10,40.8,41.0,41.2,40.05,40.2,719196,29229465.45,2565
2017-02-13,40.2,40.7,40.85,39.15,39.3,803699,31828927.6,2652
2017-02-14,39.3,39.15,39.35,38.6,38.8,752883,29342298.2,3230
2017-02-15,38.8,38.6,39.15,37.4,37.5,917405,34755359.25,4630
2017-02-16,37.5,37.75,40.4,37.45,40.2,1370039,53401517.2,5788
2017-02-17,40.2,40.45,42.65,39.5,42.0,2084959,86238945.5,16240
2017-02-20,42.0,41.9,42.25,40.6,40.9,715514,29749096.8,3483
2017-02-21,40.9,41.2,41.25,39.8,40.2,729968,29411463.75,2935
2017-02-22,40.2,40.45,40.8,39.3,39.45,1283186,51203428.6,8953
2017-02-23,39.45,39.75,39.95,39.1,39.2,544022,21508715.85,3294
2017-02-27,39.2,39.1,39.8,39.0,39.15,561557,22166494.05,2324
2017-02-28,39.15,39.3,39.5,38.8,38.9,1069303,41807754.2,4833
2017-03-01,38.9,39.0,39.5,38.9,39.25,636108,24922482.6,2545
2017-03-02,39.25,39.4,40.0,38.4,38.55,890492,34972439.15,3408
2017-03-03,38.55,38.75,38.75,37.8,37.95,1082683,41213739.55,9281
2017-03-06,37.95,38.2,38.85,37.65,38.0,1197779,45827184.7,10733
2017-03-07,38.0,39.5,39.6,38.8,39.2,1025164,40171053.9,6792
2017-03-08,39.2,39.2,39.6,38.5,38.8,375487,14606792.9,3446
2017-03-09,38.8,38.5,39.0,38.3,38.6,453638,17564250.1,2317
2017-03-10,38.6,38.65,39.2,38.2,38.45,559194,21728518.3,4638
