Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2020-12-23,4.12,4.9,4.95,3.45,4.7,341272.78,1558530.7,573
2020-12-24,4.7,4.75,5.59,4.56,4.77,350493.34,1742034.9,485
2020-12-28,4.77,5.5,5.5,4.56,4.68,128945.2,603054.45,154
2020-12-29,4.68,4.9,4.9,4.58,4.73,21507.85,101648.9,61
2020-12-30,4.73,4.71,5.05,4.38,4.65,249199.63,1147029.55,347
2020-12-31,4.65,5.0,5.0,4.54,4.55,23830.82,109366.95,41
2021-01-01,4.55,4.91,4.91,4.49,4.62,91696.17,428956.55,76
2021-01-04,4.62,4.85,4.85,4.24,4.55,43657.57,204784.55,64
2021-01-05,4.55,4.61,4.71,4.48,4.67,14915.91,68971.5,40
2021-01-06,4.67,4.84,4.85,4.45,4.48,49342.73,225420.45,101
2021-01-07,4.48,4.61,5.06,4.48,4.72,141629.83,672861.2,174
2021-01-08,4.72,4.91,5.28,4.6,4.62,232979.6,1135224.0,301
2021-01-11,4.62,4.69,4.85,4.42,4.51,49352.92,221546.9,68
2021-01-12,4.51,4.7,4.76,4.47,4.61,30249.55,139570.5,56
2021-01-13,4.61,4.66,4.67,4.48,4.54,20947.48,95182.0,47
2021-01-14,4.54,4.67,5.45,4.42,5.37,685408.52,3488108.35,841
2021-01-15,5.37,5.37,5.37,4.66,4.76,567405.73,2852073.45,857
2021-01-18,4.76,4.76,5.07,4.47,4.61,150524.36,721113.75,202
2021-01-19,4.61,4.76,4.8,4.54,4.62,76240.27,356249.75,109
2021-01-20,4.62,4.56,4.84,4.51,4.58,203840.59,941065.4,243
2021-01-21,4.58,4.71,4.71,4.42,4.45,91899.94,411803.2,171
2021-01-22,4.45,4.43,4.57,4.4,4.45,24707.02,109506.5,50
2021-01-25,4.45,4.54,4.6,4.42,4.45,80672.26,359219.15,87
2021-01-27,4.45,4.49,4.57,4.45,4.48,24788.53,110881.2,25
2021-01-28,4.48,4.45,4.53,4.45,4.5,46296.38,208530.55,26
2021-01-29,4.5,4.41,4.6,4.41,4.52,34009.09,153572.35,27
2021-02-01,4.52,4.63,4.7,4.51,4.53,55476.19,252217.6,47
2021-02-02,4.53,4.61,4.61,4.5,4.51,56158.81,253931.9,37
2021-02-03,4.51,4.53,4.54,4.47,4.53,147630.84,665465.75,38
2021-02-04,4.53,4.63,4.63,4.51,4.54,31747.25,144156.2,9
2021-02-05,4.54,4.32,4.75,4.32,4.56,53051.33,241046.3,40
2021-02-08,4.56,4.83,4.83,3.73,4.51,188262.43,818161.2,251
2021-02-09,4.51,4.52,4.52,4.51,4.52,41640.25,188156.2,12
2021-02-10,4.52,4.66,4.66,4.45,4.56,57717.65,261808.55,21
2021-02-11,4.56,4.47,4.61,4.46,4.56,34905.68,158812.25,40
2021-02-12,4.56,4.48,4.9,4.44,4.64,260009.59,1223015.55,257
2021-02-15,4.64,4.46,4.58,4.46,4.54,45328.48,204684.45,52
2021-02-16,4.54,4.61,4.61,4.48,4.52,16087.58,72776.15,25
2021-02-17,4.52,4.52,4.61,4.47,4.55,328761.35,1497058.55,58
2021-02-18,4.55,4.51,4.61,4.47,4.51,327742.5,1486997.2,33
2021-02-19,4.51,4.5,4.58,4.42,4.55,341252.4,1551876.55,52
2021-02-22,4.55,4.44,4.56,4.44,4.54,224625.06,1018658.35,32
2021-02-23,4.54,4.61,4.61,4.52,4.52,311502.09,1410911.05,12
2021-02-24,4.52,4.71,4.71,4.47,4.52,313845.44,1424098.95,17
2021-02-25,4.52,4.53,4.65,4.51,4.54,22710.09,103605.85,22
2021-02-26,4.54,4.44,4.58,4.43,4.51,35629.06,160805.45,18
2021-03-01,4.51,4.52,4.69,4.4,4.45,38227.12,170547.95,46
2021-03-02,4.45,4.44,4.91,4.44,4.74,743931.06,3463675.2,335
2021-03-03,4.74,4.9,4.9,4.42,4.48,520559.18,2337085.3,359
2021-03-04,4.48,4.32,4.81,4.3,4.55,448261.84,2015026.65,118
2021-03-05,4.55,4.46,4.7,4.42,4.51,32837.42,149589.05,58
2021-03-08,4.51,4.61,4.61,4.4,4.56,66347.28,298618.65,71
2021-03-09,4.56,4.48,4.59,4.4,4.53,37544.49,168152.65,45
2021-03-10,4.53,4.44,4.56,4.42,4.55,46938.25,211251.85,56
2021-03-12,4.55,4.56,4.56,4.35,4.49,43046.26,191286.1,76
2021-03-15,4.49,4.46,4.48,4.32,4.46,48874.06,216419.0,62
2021-03-16,4.46,4.54,4.54,4.35,4.37,33754.38,147871.2,38
2021-03-17,4.37,4.33,4.51,4.32,4.34,29077.88,126388.15,33
2021-03-18,4.34,4.48,4.78,4.37,4.54,82159.77,375068.45,108
2021-03-19,4.54,4.52,4.63,4.51,4.59,32277.05,146537.5,28
2021-03-22,4.59,4.78,4.78,3.75,4.52,56250.51,249104.1,72
2021-03-23,4.52,4.51,4.61,4.44,4.6,43535.31,196764.4,35
2021-03-24,4.6,4.43,4.5,4.41,4.43,30382.0,134567.6,25
2021-03-25,4.43,4.41,4.5,4.41,4.42,5094.23,22516.65,13
2021-03-26,4.42,4.59,4.59,4.32,4.48,24350.43,109042.65,29
2021-03-30,4.48,4.51,4.56,4.37,4.52,69485.32,313791.3,35
2021-03-31,4.52,4.51,4.51,4.49,4.5,27957.14,125663.2,7
2021-04-01,4.5,4.53,4.56,4.53,4.54,33112.51,150360.9,9
2021-04-05,4.54,4.61,4.61,4.44,4.51,24890.42,112384.1,31
2021-04-06,4.51,4.37,4.54,3.78,4.45,47427.3,203420.7,107
2021-04-07,4.45,4.55,4.55,4.42,4.46,42292.31,188251.05,26
2021-04-08,4.46,4.58,4.76,4.42,4.65,29617.86,134278.7,29
2021-04-09,4.65,4.51,4.71,4.51,4.52,22333.11,100879.8,17
2021-04-12,4.52,4.61,4.61,4.4,4.4,115588.12,510511.85,28
2021-04-13,4.4,4.81,4.89,4.23,4.46,163861.06,725223.1,105
2021-04-15,4.46,4.57,4.57,4.4,4.42,74885.21,331458.65,60
2021-04-16,4.42,4.6,4.63,4.43,4.51,19103.37,86282.6,39
2021-04-19,4.51,4.51,4.61,4.51,4.51,15221.56,68728.95,15
2021-04-20,4.51,4.71,4.71,4.51,4.51,27590.36,124574.75,16
2021-04-22,4.51,4.52,4.73,4.51,4.56,34426.82,157643.5,39
2021-04-23,4.56,4.57,4.63,4.56,4.56,28670.34,130864.95,10
2021-04-26,4.56,4.61,4.73,4.56,4.61,21507.85,99141.35,35
2021-04-27,4.61,4.59,4.62,4.33,4.57,45705.45,207937.25,62
2021-04-28,4.57,4.58,4.71,4.56,4.58,23443.66,107777.65,40
2021-04-29,4.58,4.52,4.7,4.49,4.52,19541.47,88375.05,20
2021-04-30,4.52,4.78,4.78,4.51,4.51,18828.28,85955.55,40
2021-05-03,4.51,4.78,4.96,4.51,4.56,60193.44,285751.45,107
2021-05-04,4.56,4.89,4.89,4.56,4.56,21365.21,100772.35,47
2021-05-05,4.56,4.66,4.8,4.57,4.58,12745.77,58637.35,21
2021-05-06,4.58,4.67,4.67,4.59,4.6,16383.05,75454.65,16
2021-05-07,4.6,4.51,4.61,4.51,4.61,24360.62,111911.7,25
2021-05-10,4.61,4.6,4.61,4.6,4.61,32959.68,151837.35,20
2021-05-11,4.61,4.59,4.77,4.54,4.62,918408.5,4204942.7,162
2021-05-12,4.62,4.56,4.89,4.54,4.59,834954.79,3827613.4,187
2021-05-14,4.59,4.68,4.81,4.52,4.57,572306.38,2623597.7,196
2021-05-17,4.57,4.51,4.81,4.51,4.6,641251.72,2941381.35,112
2021-05-18,4.6,4.64,4.71,4.6,4.61,984969.73,4547316.7,120
2021-05-19,4.61,4.62,4.71,4.62,4.62,934119.11,4322255.05,155
2021-05-20,4.62,4.61,4.76,4.52,4.62,487507.8,2242023.15,140
2021-05-21,4.62,4.86,4.86,4.58,4.59,513447.63,2379436.4,191
2021-05-24,4.59,4.7,4.77,4.56,4.73,262200.11,1210626.45,97
2021-05-25,4.73,4.64,4.8,4.61,4.62,333417.48,1543426.3,110
2021-05-26,4.62,4.79,4.79,4.6,4.64,488139.49,2265538.75,143
2021-05-27,4.64,4.89,4.89,4.62,4.62,560548.9,2595294.8,200
2021-05-28,4.62,4.71,4.71,4.51,4.59,483778.82,2235443.45,94
2021-05-31,4.59,4.57,4.66,4.57,4.62,317859.69,1467262.2,54
2021-06-01,4.62,4.66,4.66,4.6,4.63,570309.45,2631430.2,56
2021-06-02,4.63,4.68,4.76,4.58,4.61,412031.66,1907486.8,109
2021-06-03,4.61,4.68,4.68,4.56,4.59,401140.19,1845293.55,94
2021-06-04,4.59,4.61,4.66,4.28,4.42,455210.37,2077899.55,170
2021-06-07,4.42,4.47,4.66,4.47,4.59,739356.44,3408193.7,88
2021-06-08,4.59,4.69,4.69,4.56,4.62,969228.56,4471572.65,57
2021-06-09,4.62,4.67,4.71,4.59,4.61,846365.87,3901280.1,68
2021-06-10,4.61,4.72,5.06,4.62,4.81,1286517.69,6173819.65,840
2021-06-11,4.81,5.05,5.05,4.61,4.63,854700.03,4007943.3,498
2021-06-14,4.63,4.91,4.91,4.61,4.63,419927.72,1943779.8,155
2021-06-15,4.63,4.63,4.89,4.63,4.78,397747.44,1910523.35,349
2021-06-16,4.78,5.0,5.0,4.63,4.64,688393.74,3205633.05,189
2021-06-17,4.64,4.66,4.75,4.57,4.66,363463.26,1686089.95,254
2021-06-18,4.66,4.82,4.82,4.6,4.61,307426.7,1419521.45,89
2021-06-21,4.61,4.45,4.71,4.45,4.59,390207.97,1798465.6,81
2021-06-22,4.59,4.8,4.81,4.59,4.62,701618.37,3241443.55,175
2021-06-23,4.62,4.76,4.76,4.54,4.6,544787.34,2515993.7,96
2021-06-24,4.6,4.66,4.66,4.6,4.64,309311.57,1435293.05,56
2021-06-25,4.64,4.71,4.77,4.57,4.66,337696.63,1569957.55,91
2021-06-28,4.66,4.75,4.77,4.66,4.68,1350755.96,6333364.9,92
2021-06-29,4.68,4.8,4.83,4.72,4.77,1264592.12,5975973.55,284
2021-06-30,4.77,4.8,4.8,4.71,4.72,1347016.79,6371391.45,231
2021-07-01,4.72,4.78,4.99,4.78,4.93,613610.42,3016640.5,485
2021-07-02,4.93,5.04,5.92,4.97,5.51,2598190.7,14512392.65,1989
2021-07-05,5.51,6.18,6.53,5.11,5.33,4764736.95,27748638.9,4790
2021-07-06,5.33,5.25,5.69,5.14,5.5,844450.44,4613891.4,1718
2021-07-07,5.5,5.55,5.71,5.2,5.29,856880.37,4751345.9,1134
2021-07-08,5.29,5.35,5.49,5.15,5.25,832366.92,4388009.6,764
2021-07-09,5.25,5.29,5.67,5.27,5.55,725530.69,3948167.7,968
2021-07-12,5.55,5.82,5.83,5.58,5.63,381945.13,2160929.4,550
2021-07-13,5.63,5.78,5.78,5.59,5.62,154192.21,874456.6,329
2021-07-14,5.62,5.69,5.69,5.23,5.37,815148.42,4409754.85,802
2021-07-15,5.37,5.5,5.57,5.41,5.53,210585.36,1153021.7,396
2021-07-16,5.53,5.61,5.69,5.5,5.53,260957.12,1463905.0,206
2021-07-19,5.53,5.5,5.65,5.41,5.6,354578.91,1974772.65,327
2021-07-20,5.6,5.57,5.57,5.25,5.33,356443.4,1916154.6,295
2021-07-22,5.33,5.33,5.55,5.33,5.52,197910.91,1083884.2,117
2021-07-23,5.52,5.49,5.69,5.35,5.53,398205.92,2213850.6,236
2021-07-26,5.53,5.43,5.5,5.32,5.41,629616.49,3404435.55,324
2021-07-27,5.41,5.43,5.6,5.31,5.5,359275.8,1981351.5,229
2021-07-28,5.5,5.58,5.59,5.32,5.55,274742.11,1493122.3,159
2021-07-29,5.55,5.54,5.59,5.42,5.49,52470.59,288116.45,82
2021-07-30,5.49,5.62,5.62,5.4,5.43,131054.21,722168.55,188
2021-08-02,5.43,5.4,5.52,5.4,5.42,79785.86,433611.85,81
2021-08-03,5.42,5.42,5.48,5.22,5.25,205959.79,1093040.65,288
2021-08-04,5.25,5.25,5.33,5.23,5.24,121466.86,639240.6,150
2021-08-05,5.24,5.55,5.55,5.21,5.3,143259.99,756029.7,128
2021-08-06,5.3,5.55,5.55,5.23,5.32,134722.06,716881.65,104
2021-08-09,5.32,5.43,5.48,5.23,5.26,51614.76,274513.85,92
2021-08-10,5.26,5.23,5.59,5.2,5.22,372123.45,1955942.65,178
2021-08-11,5.22,5.33,5.33,4.78,5.04,608108.65,3041131.25,241
2021-08-12,5.04,5.01,5.3,5.01,5.27,44279.06,232059.9,66
2021-08-13,5.27,5.2,5.44,5.1,5.31,212429.47,1111678.7,285
2021-08-16,5.31,5.47,5.48,5.05,5.18,537441.46,2848152.35,256
2021-08-17,5.18,5.35,5.35,4.25,5.01,545877.51,2652444.2,425
2021-08-18,5.01,5.21,5.21,4.9,5.01,61762.47,311174.2,105
2021-08-20,5.01,5.21,5.21,4.9,4.96,143168.29,709011.35,104
2021-08-23,4.96,4.67,5.16,4.67,4.88,141303.8,689905.4,131
2021-08-24,4.88,5.07,5.25,4.81,4.89,83728.79,410746.3,94
2021-08-25,4.89,4.99,5.09,4.91,5.0,106184.17,530006.25,130
2021-08-26,5.0,5.17,5.17,4.96,5.0,33377.41,167755.85,64
