Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2022-03-17,88.16,92.54,92.54,86.22,92.54,89766.96,8197992.45,372
2022-03-21,92.54,97.14,97.14,97.14,97.14,40232.06,3908295.9,98
2022-03-22,97.14,101.96,101.96,92.33,96.07,236558.98,23310083.45,1600
2022-03-23,96.07,98.73,98.91,91.3,91.55,118457.97,11023921.9,1041
2022-03-24,91.55,90.31,91.12,87.0,87.0,39276.31,3448006.1,354
2022-03-25,87.0,91.08,91.17,84.03,85.71,22807.7,1994955.15,340
2022-03-28,85.71,87.43,89.45,81.45,81.45,48048.95,3939209.65,348
2022-03-29,81.45,81.45,82.05,77.41,77.41,20761.33,1632855.3,217
2022-03-30,77.41,77.41,78.01,73.54,74.35,77870.12,5762472.3,483
2022-03-31,74.35,75.69,78.05,75.69,78.05,4091.57,317951.35,37
2022-04-01,78.05,81.92,81.92,75.73,81.92,71498.47,5779543.8,514
2022-04-04,81.92,85.53,86.01,82.35,86.01,18185.93,1557661.25,89
2022-04-05,86.01,90.31,90.31,87.86,90.31,45159.62,4074973.2,189
2022-04-06,90.31,94.82,94.82,87.73,93.45,54055.51,5019895.1,658
2022-04-07,93.45,94.13,94.13,88.8,88.8,50133.69,4504467.65,272
2022-04-08,88.8,84.37,92.8,84.37,84.93,49065.16,4211963.5,351
2022-04-11,84.93,89.15,89.15,82.14,84.97,39986.73,3395143.3,273
2022-04-12,84.97,85.15,87.38,80.76,82.01,71494.98,5855118.55,259
2022-04-13,82.01,83.68,86.01,79.77,81.62,19120.75,1605926.35,225
2022-04-18,81.62,85.06,85.66,77.66,85.66,40519.25,3400164.75,282
2022-04-19,85.66,89.02,89.02,81.45,82.87,26463.26,2214644.8,210
2022-04-20,82.87,85.92,86.95,79.73,83.94,24933.13,2058286.55,226
2022-04-21,83.94,85.15,85.58,80.97,82.18,7109.97,585731.25,93
2022-04-22,82.18,84.93,84.93,79.17,80.59,16313.97,1330187.1,154
2022-04-25,80.59,81.66,81.71,76.59,76.59,25297.06,1973265.4,219
2022-04-26,76.59,79.47,79.47,75.69,77.45,9786.52,756081.05,164
2022-04-27,77.45,76.55,79.25,74.78,75.73,4489.22,345158.05,72
2022-04-28,75.73,77.36,77.36,71.94,72.25,26914.39,1962998.55,191
2022-04-29,72.25,74.61,75.86,70.22,75.81,27359.71,2043146.7,272
2022-05-02,75.81,78.27,79.6,76.29,79.6,37912.46,3006179.2,245
2022-05-04,79.6,83.38,83.55,77.53,79.13,28489.86,2325282.0,227
2022-05-05,79.13,83.08,83.08,77.96,82.61,42161.0,3486715.2,150
2022-05-06,82.61,85.58,86.01,78.48,79.17,23625.09,1895066.9,224
2022-05-09,79.17,75.69,80.03,75.21,75.94,17899.91,1362374.6,182
2022-05-10,75.94,79.13,79.64,72.16,72.63,11411.99,857242.8,128
2022-05-11,72.63,75.43,75.43,69.02,71.99,22164.72,1562692.75,133
2022-05-12,71.99,73.32,73.32,68.42,68.42,13990.88,965643.6,97
2022-05-13,68.42,65.15,71.82,65.15,71.69,17608.07,1221752.05,186
2022-05-16,71.69,72.5,75.26,72.5,75.21,7412.27,552666.4,108
2022-05-17,75.21,75.21,78.95,75.21,78.87,10827.15,852709.9,106
2022-05-18,78.87,78.87,82.78,78.87,81.02,29989.76,2459379.75,278
2022-05-19,81.02,77.02,80.29,76.98,76.98,9540.03,738814.05,86
