Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-01-02,110.12,109.65,111.16,108.32,109.04,12584,1375758.15,179
2017-01-03,109.04,107.75,110.62,106.28,109.92,13488,1476200.15,217
2017-01-04,109.92,110.01,112.75,109.01,110.02,20748,2305700.0,256
2017-01-05,110.02,111.49,112.49,109.25,110.78,22092,2435351.65,130
2017-01-06,110.78,112.11,115.75,111.75,113.36,25508,2892896.0,528
2017-01-09,113.36,111.1,113.9,110.26,113.0,12668,1433205.8,113
2017-01-10,113.0,111.55,113.0,111.0,111.59,15492,1732747.0,136
2017-01-11,111.59,110.56,112.98,110.25,111.34,10356,1157676.1,191
2017-01-12,111.34,112.48,112.48,109.5,110.06,8812,972367.1,152
2017-01-13,110.06,111.85,112.5,109.39,111.7,16260,1809683.85,156
2017-01-16,111.7,112.24,112.5,110.76,111.56,6844,763811.4,59
2017-01-17,111.56,110.78,113.25,110.59,111.49,10964,1225066.0,110
2017-01-18,111.49,112.5,116.16,111.28,113.52,24952,2841700.0,383
2017-01-19,113.52,113.75,121.12,112.49,118.7,95380,11326845.7,1126
2017-01-20,118.7,118.99,121.0,115.25,116.28,15156,1773248.5,263
2017-01-23,116.28,114.01,115.75,112.75,114.74,9888,1129760.65,183
2017-01-24,114.74,115.05,118.3,113.75,116.98,13764,1597123.0,180
2017-01-25,116.98,117.78,119.95,116.89,117.81,31736,3739102.8,170
2017-01-27,117.81,117.74,120.99,117.0,118.09,42612,5050667.95,516
2017-01-30,118.09,120.0,124.35,119.85,122.78,66224,8055145.85,681
2017-01-31,122.78,124.75,128.0,121.82,125.58,122048,15365816.85,1833
2017-02-01,125.58,127.25,127.78,121.25,123.22,28204,3464897.05,561
2017-02-02,123.22,125.09,125.74,122.62,124.0,18696,2324113.95,265
2017-02-03,124.0,124.01,125.5,123.0,123.64,10612,1319161.4,184
2017-02-06,123.64,126.49,127.12,120.0,121.61,32760,4035003.95,509
2017-02-07,121.61,122.91,123.88,120.89,121.58,15884,1940520.05,294
2017-02-08,121.58,122.5,127.5,120.0,122.62,34492,4209732.45,403
2017-02-09,122.62,122.5,124.7,120.89,122.71,16676,2038518.75,264
2017-02-10,122.71,121.5,123.78,120.28,120.62,17188,2099285.05,256
2017-02-13,120.62,119.76,122.5,118.25,118.98,32184,3880528.65,263
2017-02-14,118.98,118.25,118.28,112.88,116.44,42796,4963945.65,624
2017-02-15,116.44,117.06,119.99,112.25,113.44,26976,3082316.1,462
2017-02-16,113.44,112.66,117.5,112.52,116.69,24904,2885054.15,353
2017-02-17,116.69,117.5,118.76,114.39,114.99,23760,2761820.15,373
2017-02-20,114.99,115.54,117.22,113.15,114.46,22432,2571235.05,239
2017-02-21,114.46,116.24,117.0,113.82,116.35,7900,911937.1,184
2017-02-22,116.35,116.5,117.5,115.75,115.86,17504,2038051.95,127
2017-02-23,115.86,116.4,117.15,114.08,116.66,24156,2800114.25,247
2017-02-27,116.66,115.26,119.64,115.26,117.32,12724,1488802.0,202
2017-02-28,117.32,118.0,118.25,116.0,116.16,10508,1234010.0,106
2017-03-01,116.16,116.31,117.5,114.39,117.16,38372,4489387.2,303
2017-03-02,117.16,116.25,117.96,115.75,116.85,81212,9521996.7,156
2017-03-03,116.85,117.31,117.5,116.09,117.25,49644,5829463.05,101
2017-03-06,117.25,117.75,120.0,117.56,119.35,41152,4887575.3,219
2017-03-07,119.35,119.62,123.16,118.76,121.36,35388,4268775.3,601
2017-03-08,121.36,120.0,121.21,118.68,119.79,18240,2178635.4,179
2017-03-09,119.79,121.24,122.0,117.76,121.12,15448,1861711.15,383
2017-03-10,121.12,119.01,122.46,119.0,121.81,11820,1435452.9,169
2017-03-14,121.81,122.89,124.25,121.14,124.09,23784,2932747.45,216
2017-03-15,124.09,122.0,142.49,120.54,140.11,394844,53563669.95,4523
2017-03-16,140.11,139.55,139.94,136.01,136.54,72232,9956862.25,1253
2017-03-17,136.54,138.0,140.99,134.5,136.78,53840,7418003.55,880
2017-03-20,136.78,137.5,139.7,135.14,137.26,38664,5339271.35,650
2017-03-21,137.26,137.62,140.44,134.5,135.75,25848,3568645.9,548
2017-03-22,135.75,135.72,136.1,131.78,134.61,41524,5568051.8,711
2017-03-23,134.61,133.54,136.2,133.12,135.11,18620,2502481.1,368
2017-03-24,135.11,135.02,141.0,134.72,136.84,76084,10489952.3,1270
2017-03-27,136.84,139.62,139.75,133.9,134.85,25432,3455383.8,623
2017-03-28,134.85,134.32,137.1,133.02,133.84,21864,2954738.85,418
2017-03-29,133.84,136.25,136.25,129.75,130.62,24400,3221497.5,426
2017-03-30,130.62,129.75,135.57,127.75,133.88,40344,5332604.7,579
2017-03-31,133.88,135.7,136.51,131.69,135.05,27540,3706883.4,423
2017-04-03,135.05,135.01,138.0,134.0,137.32,54052,7413112.9,737
2017-04-05,137.32,136.75,140.0,136.75,138.76,25696,3563233.05,458
2017-04-06,138.76,140.0,141.75,138.75,139.24,32112,4487015.15,448
2017-04-07,139.24,140.0,141.28,138.0,140.04,27580,3860233.2,492
2017-04-10,140.04,140.99,141.25,135.02,136.62,42896,5933352.55,620
2017-04-11,136.62,139.99,145.91,136.25,141.25,91308,13001807.8,1186
2017-04-12,141.25,145.0,145.0,137.61,141.82,21360,2998170.25,418
2017-04-13,141.82,140.71,143.75,140.39,143.24,22696,3228878.15,305
