Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2025-11-14,380.95,389.0,409.0,371.55,394.45,146856,57714115.55,2262
2025-11-17,394.45,399.8,405.85,391.3,395.65,41237,16475322.05,2070
2025-11-18,395.65,397.05,404.35,376.2,384.4,39683,15740698.95,714
2025-11-19,384.4,389.05,389.5,375.95,376.9,32580,12400285.2,672
2025-11-20,376.9,386.85,387.0,378.85,381.3,34731,13216864.4,504
2025-11-21,381.3,374.95,385.95,374.1,378.8,16325,6217019.25,1268
2025-11-24,378.8,385.0,386.5,360.0,363.75,11121,4137542.05,609
2025-11-25,363.75,368.0,374.0,363.0,372.9,21192,7876794.6,418
2025-11-26,372.9,375.95,375.95,366.3,370.35,4471,1658278.0,389
2025-11-27,370.35,368.5,375.0,362.05,364.25,7589,2780070.6,401
2025-11-28,364.25,368.1,368.1,361.0,362.3,3305,1203985.8,249
2025-12-01,362.3,364.15,365.5,355.0,356.55,3749,1345695.2,316
2025-12-02,356.55,351.95,358.35,335.35,343.65,52034,18285855.7,886
2025-12-03,343.65,323.35,340.9,318.05,324.75,10594,3479903.4,795
2025-12-04,324.75,348.8,348.8,327.9,332.0,10214,3397846.55,671
2025-12-05,332.0,340.45,347.2,328.0,334.6,8260,2804936.75,540
2025-12-08,334.6,334.25,334.25,304.5,315.2,4634,1500499.75,341
2025-12-09,315.2,330.0,333.0,308.15,325.8,7066,2265035.85,408
2025-12-10,325.8,331.5,342.0,325.0,336.8,4960,1648927.65,420
2025-12-11,336.8,329.3,337.5,324.5,332.05,3171,1048636.6,405
2025-12-12,332.05,322.65,348.0,322.65,345.8,10506,3564529.0,880
2025-12-15,345.8,350.0,350.0,329.0,333.0,3011,1003879.8,85
2025-12-16,333.0,332.05,345.0,330.0,340.0,9103,3054132.95,655
2025-12-17,340.0,341.3,341.3,326.95,337.95,40927,13810312.0,259
2025-12-18,337.95,334.1,339.65,332.6,337.8,17235,5809405.5,316
2025-12-19,337.8,335.0,350.0,328.45,341.55,18311,6217024.4,825
2025-12-22,341.55,370.0,370.0,336.0,342.05,265954,91747933.5,341
2025-12-23,342.05,352.1,352.1,340.2,343.6,4213,1456171.0,262
2025-12-24,343.6,346.5,349.0,340.0,341.65,4303,1475684.85,350
2025-12-26,341.65,341.7,349.35,335.0,342.0,5986,2043970.75,713
2025-12-29,342.0,348.5,348.5,332.55,337.5,18171,6119072.7,517
2025-12-30,337.5,334.55,340.3,325.05,331.55,24172,8017539.0,555
2025-12-31,331.55,341.5,358.35,325.0,343.35,37621,12888387.6,1161
2026-01-01,343.35,342.65,347.0,337.5,343.45,2007,688352.3,314
2026-01-02,343.45,347.95,360.0,337.5,339.05,19060,6645643.2,834
2026-01-05,339.05,349.1,349.1,333.0,337.15,82757,27897954.4,342
2026-01-06,337.15,342.40,343.45,330.00,333.45,3412,1145028.90,540
2026-01-07,333.45,347.95,347.95,332.60,333.60,1360,455647.60,211
