Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2022-08-04,22.9,23.1,26.9,22.81,23.18,7775,194770.61,138
2022-08-05,23.18,23.87,24.68,22.61,23.49,2717,64480.31,103
2022-08-08,23.49,23.49,24.1,22.6,22.77,4787,109559.47,46
2022-08-10,22.77,23.1,23.17,22.01,22.17,11980,265553.59,59
2022-08-11,22.17,22.3,22.97,22.3,22.82,1331,30410.52,27
2022-08-12,22.82,23.5,23.63,22.5,23.06,5489,126730.45,61
2022-08-16,23.06,27.5,27.5,23.0,23.2,934,21751.09,20
2022-08-17,23.2,23.89,23.89,22.7,23.45,764,17569.67,27
2022-08-18,23.45,24.15,24.6,22.8,23.35,11043,261886.92,105
2022-08-19,23.35,23.2,23.9,22.8,23.01,1378,31828.04,25
2022-08-22,23.01,23.0,23.4,22.02,22.9,918,20831.28,63
2022-08-23,22.9,22.4,22.9,22.25,22.78,1286,28914.14,33
2022-08-24,22.78,26.6,26.6,22.04,22.86,5167,118776.49,44
2022-08-25,22.86,23.54,23.54,22.56,22.73,3633,82875.51,45
2022-08-26,22.73,22.9,23.1,22.5,22.84,1608,36586.05,14
2022-08-29,22.84,22.9,22.9,22.01,22.6,701,15784.88,13
2022-08-30,22.6,22.6,23.31,22.4,23.02,274,6261.01,22
2022-09-01,23.02,23.1,23.7,22.78,22.78,1929,44653.21,41
2022-09-02,22.78,23.1,23.8,22.8,22.98,794,18436.72,60
2022-09-05,22.98,23.66,23.66,22.4,22.75,2677,60477.5,35
2022-09-06,22.75,23.1,23.6,22.4,23.59,1184,27494.96,45
2022-09-07,23.59,23.39,23.49,23.01,23.17,25,581.87,9
2022-09-08,23.17,23.4,24.0,23.22,23.23,2378,55328.81,29
2022-09-09,23.23,23.24,23.4,22.7,23.0,4431,101463.45,51
2022-09-12,23.0,23.0,23.39,22.61,22.61,3237,74439.3,14
2022-09-13,22.61,22.8,27.45,22.61,22.68,693,15719.68,12
2022-09-14,22.68,22.68,24.0,22.03,23.9,9477,221921.98,284
2022-09-15,23.9,24.61,24.61,23.0,23.01,1400,32473.23,40
2022-09-16,23.01,23.4,24.2,22.6,22.66,786,17914.5,27
2022-09-19,22.66,22.66,23.0,22.01,22.66,568,13005.56,20
2022-09-20,22.66,22.6,23.8,22.6,23.29,3320,77331.47,52
2022-09-21,23.29,23.3,23.7,22.9,23.08,553,12806.0,50
2022-09-22,23.08,23.3,24.0,22.5,23.17,1100,24840.91,50
2022-09-23,23.17,23.3,24.0,23.05,23.26,1412,32969.29,33
2022-09-26,23.26,22.57,23.5,22.1,22.85,587,13313.87,28
2022-09-27,22.85,22.85,23.2,22.11,22.19,422,9483.77,41
2022-09-28,22.19,22.3,23.36,22.01,22.91,879,19520.64,48
2022-09-29,22.91,23.45,23.45,22.41,23.39,2422,56433.98,27
2022-09-30,23.39,23.4,23.41,22.8,23.41,38,886.54,8
2022-10-03,23.41,22.71,23.41,22.55,23.36,411,9576.11,37
2022-10-04,23.36,23.36,23.7,23.36,23.7,445,10498.46,24
2022-10-06,23.7,24.41,27.5,22.73,23.84,2847,68120.01,90
2022-10-07,23.84,24.55,24.55,23.5,23.9,40,955.25,17
2022-10-10,23.9,27.95,27.95,23.25,23.45,4492,110871.18,113
2022-10-11,23.45,23.8,24.2,23.15,23.15,564,13283.56,46
2022-10-12,23.15,23.1,23.3,22.8,23.07,1840,42219.03,28
2022-10-13,23.07,22.4,23.35,22.4,23.35,526,12148.18,16
2022-10-14,23.35,23.3,23.55,23.29,23.55,368,8583.5,8
2022-10-17,23.55,24.25,24.25,23.3,23.4,128,3006.9,13
2022-10-18,23.4,23.3,23.3,23.1,23.15,28,647.55,11
2022-10-19,23.15,23.4,23.42,23.2,23.23,1957,45489.63,9
2022-10-20,23.23,27.5,27.5,23.24,23.36,18337,444444.59,193
2022-10-21,23.36,23.49,23.49,23.34,23.34,120,2814.48,9
2022-10-24,23.34,23.6,24.3,23.6,24.0,211,5089.1,30
2022-10-25,24.0,23.7,24.7,22.96,23.14,4565,107886.97,142
2022-10-27,23.14,23.83,24.0,23.0,23.07,518,12221.0,49
