Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2025-11-20,49.22,49.19,49.19,48.9,49.12,1127,55305.77,27
2025-11-21,49.12,53.0,53.0,48.09,48.43,2519,122306.43,42
2025-11-24,48.43,48.44,48.44,48.04,48.23,914,44134.76,19
2025-11-25,48.23,49.43,49.97,48.01,48.03,565,27283.87,42
2025-11-26,48.03,48.61,48.61,48.34,48.53,4128,200334.52,5
2025-11-27,48.53,48.63,48.63,48.31,48.42,784,37972.85,26
2025-11-28,48.42,48.66,48.66,48.25,48.34,3898,188802.85,31
2025-12-01,48.34,48.59,48.59,48.32,48.33,695,33694.06,21
2025-12-02,48.33,48.31,48.31,47.85,48.11,4886,234050.05,36
2025-12-03,48.11,48.04,48.04,47.56,47.58,536,25539.84,18
2025-12-04,47.58,47.5,47.63,47.23,47.38,2566,121676.88,21
2025-12-05,47.38,48.9,48.9,46.94,47.03,4665,219837.26,47
2025-12-08,47.03,46.76,47.03,45.96,46.09,3915,181963.33,43
2025-12-09,46.09,45.67,46.22,45.45,46.22,2344,107344.59,25
2025-12-10,46.22,46.24,46.24,45.76,45.76,475,21851.58,11
2025-12-11,45.76,46.1,46.22,45.83,46.22,471,21710.57,8
2025-12-12,46.22,46.47,46.71,46.45,46.71,1058,49280.5,12
2025-12-15,46.71,46.94,46.94,46.57,46.77,221,10306.4,11
2025-12-16,46.77,46.43,46.43,45.99,46.0,9181,424611.4,44
2025-12-17,46.0,46.23,46.23,45.56,45.71,2750,125586.61,31
2025-12-18,45.71,45.46,45.59,45.2,45.59,1337,60654.16,19
2025-12-19,45.59,45.9,46.54,45.81,46.53,4723,217453.83,9
2025-12-22,46.53,47.57,47.57,46.53,46.76,3233,150943.3,22
2025-12-23,46.76,46.76,46.78,46.38,46.78,2882,134353.93,21
2025-12-24,46.78,46.78,47.25,46.76,47.25,4219,197940.13,15
2025-12-26,47.25,47.25,47.25,46.75,46.8,2487,116492.31,38
2025-12-29,46.8,46.73,46.73,46.4,46.48,1308,60881.39,13
2025-12-30,46.48,46.14,46.15,46.12,46.14,1309,60377.1,5
2025-12-31,46.14,46.05,46.4,46.05,46.33,507,23492.27,7
2026-01-01,46.33,46.1,46.41,46.1,46.35,644,29854.88,9
2026-01-02,46.35,46.11,46.54,46.11,46.54,821,38207.07,16
2026-01-05,46.54,46.54,46.67,46.3,46.3,10526,490458.43,26
2026-01-06,46.30,46.30,46.30,45.83,46.26,2593,119674.02,18
2026-01-07,46.26,46.26,46.26,46.26,46.26,49,2266.74,2
