Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2024-09-30,64.16,65.77,65.77,62.03,64.2,186998,11996723.89,696
2024-10-01,64.2,65.2,66.0,64.15,64.39,234674,15113023.58,1144
2024-10-03,64.39,65.48,65.48,62.51,63.02,646282,40907005.48,4636
2024-10-04,63.02,63.77,64.3,61.58,62.56,302004,18881950.36,2128
2024-10-07,62.56,62.99,63.01,60.18,60.74,574440,35012899.73,3654
2024-10-08,60.74,61.95,63.5,60.45,63.05,241625,14970277.51,1015
2024-10-09,63.05,63.97,64.36,63.42,63.84,205098,13120063.05,965
2024-10-10,63.84,65.12,65.12,63.88,64.06,139408,8948197.2,901
2024-10-11,64.06,65.35,66.0,63.6,64.21,111110,7116292.68,1046
2024-10-14,64.21,65.82,65.97,64.0,64.4,1137474,73265432.49,1340
2024-10-15,64.4,65.08,65.08,64.0,64.47,774055,49712149.21,921
2024-10-16,64.47,64.88,64.88,63.8,64.12,396689,25474531.94,1257
2024-10-17,64.12,64.67,64.67,62.3,62.46,621222,39068678.38,3577
2024-10-18,62.46,63.49,63.49,61.4,62.73,290892,18084593.09,1573
2024-10-21,62.73,63.29,63.63,61.58,61.77,331563,20572435.19,2254
2024-10-22,61.77,62.49,62.99,59.6,60.04,591576,35725051.96,4183
2024-10-23,60.04,61.89,61.9,58.8,59.52,462508,27588977.91,2318
2024-10-24,59.52,60.38,60.38,58.43,59.53,232911,13861879.15,1117
2024-10-25,59.53,60.37,60.97,57.09,57.97,723491,41911046.52,3592
2024-10-28,57.97,58.49,58.97,57.5,58.71,188588,11016080.95,1173
2024-10-29,58.71,59.66,59.94,57.96,59.51,237751,13922419.09,1327
2024-10-30,59.51,60.88,60.88,59.23,59.55,208964,12480204.02,1182
2024-10-31,59.55,60.27,60.27,59.01,59.22,131484,7785769.11,1212
2024-11-01,59.22,59.56,59.98,58.8,59.72,107977,6426667.7,995
2024-11-04,59.72,59.22,60.0,58.2,58.97,288751,16984786.28,2334
2024-11-05,58.97,58.97,59.41,58.0,59.08,252960,14789320.58,1826
2024-11-06,59.08,59.77,60.94,59.1,60.88,266495,16105020.79,1129
2024-11-07,60.88,61.19,61.19,60.1,60.17,158109,9552961.33,1266
