Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2025-06-05,99.22,99.0,99.4,98.8,99.28,912,90427.73,22
2025-06-06,99.28,99.95,99.95,99.15,99.8,282,28062.38,32
2025-06-09,99.8,100.29,100.99,100.0,100.86,1989,200495.51,20
2025-06-10,100.86,101.24,101.36,101.03,101.21,6076,614659.26,8
2025-06-11,101.21,101.21,101.21,101.21,101.21,5,506.05,1
2025-06-12,101.21,100.78,100.78,98.98,99.03,695,68862.99,17
2025-06-13,99.03,99.03,99.25,98.99,99.25,144,14258.73,7
2025-06-16,99.25,99.25,99.98,98.8,99.98,164,16296.57,9
2025-06-17,99.98,100.47,100.47,99.33,99.7,130,12976.97,10
2025-06-18,99.7,99.57,99.57,98.71,98.73,511,50485.8,22
2025-06-19,98.73,98.33,98.35,97.48,97.54,35,3417.36,11
2025-06-20,97.54,97.48,98.68,97.48,98.68,27,2650.88,4
2025-06-23,98.68,98.19,100.11,98.19,99.91,204,20419.65,4
2025-06-24,99.91,99.91,99.98,98.89,99.03,266,26391.21,11
2025-06-25,99.03,99.03,99.03,99.03,99.03,2,198.06,1
2025-06-26,99.03,100.02,100.02,100.02,100.02,101,10102.02,1
2025-06-27,100.02,101.15,101.15,100.36,100.5,393,39517.15,6
2025-06-30,100.5,100.0,101.02,100.0,100.68,3,302.04,2
2025-07-01,100.68,100.77,100.79,100.68,100.76,1231,124071.29,4
2025-07-02,100.76,100.99,100.99,99.76,100.32,236,23653.49,11
2025-07-04,100.32,100.77,100.87,100.77,100.87,217,21868.89,2
2025-07-07,100.87,100.4,100.8,100.4,100.8,6,602.8,2
2025-07-08,100.8,101.3,101.66,100.93,101.28,251,25411.78,8
2025-07-09,101.28,101.15,101.27,101.15,101.27,102,10317.42,4
2025-07-11,101.27,100.77,100.83,100.15,100.25,423,42517.43,11
2025-07-14,100.25,100.75,100.76,100.36,100.36,129,12968.04,5
2025-07-15,100.36,100.36,100.44,100.36,100.4,2,200.8,2
2025-07-17,100.4,100.7,100.7,100.3,100.3,3,301.38,3
2025-07-18,100.3,100.18,100.18,99.49,99.49,1386,138608.64,7
2025-07-21,99.49,99.66,99.93,99.4,99.93,1103,109691.72,3
2025-07-22,99.93,100.18,100.18,100.18,100.18,10,1001.8,1
2025-07-23,100.18,99.84,100.18,99.84,100.18,14,1401.79,5
2025-07-24,100.18,100.18,100.18,99.41,99.41,202,20082.36,2
2025-07-25,99.41,99.45,99.45,97.81,97.9,962,94998.74,15
2025-07-28,97.9,98.17,98.17,96.92,96.93,867,84574.65,18
2025-07-29,96.93,96.84,97.67,96.84,97.46,2018,196174.89,8
2025-07-30,97.46,97.92,98.43,97.67,97.67,454,44463.59,10
2025-07-31,97.67,97.92,97.92,96.92,97.02,688,66849.14,15
2025-08-01,97.02,96.92,96.92,95.31,95.51,935,89757.0,30
2025-08-04,95.51,95.66,96.49,95.66,96.49,708,68109.71,10
2025-08-05,96.49,96.17,96.17,95.92,96.16,242,23246.79,3
2025-08-06,96.16,96.16,96.61,95.69,96.42,696,66899.12,10
2025-08-07,96.42,96.01,96.01,94.9,95.42,1140,108606.68,23
2025-08-08,95.42,95.85,95.85,95.69,95.69,92,8803.8,3
2025-08-11,95.69,95.69,95.9,95.45,95.9,112,10693.49,5
2025-08-12,95.9,96.17,96.37,96.17,96.37,270,25978.5,3
2025-08-13,96.37,96.42,96.92,96.42,96.92,255,24637.85,3
2025-08-14,96.92,96.42,96.42,96.0,96.34,279,26858.89,13
2025-08-18,96.34,96.42,96.66,95.97,96.0,418,40187.41,9
2025-08-19,96.0,95.7,96.18,95.7,96.17,141,13500.36,4
2025-08-20,96.17,96.17,96.32,96.04,96.08,19,1827.36,15
2025-08-21,96.08,96.52,96.52,95.85,95.87,87,8362.21,13
2025-08-22,95.87,95.85,95.85,95.52,95.52,278,26570.77,14
2025-08-25,95.52,95.5,95.52,95.38,95.39,315,30050.91,7
2025-08-26,95.39,94.67,94.67,93.62,93.71,2453,230900.56,38
2025-08-28,93.71,93.14,93.34,93.0,93.0,861,80131.51,11
2025-08-29,93.0,92.64,93.22,92.55,92.62,991,91915.37,18
2025-09-01,92.62,93.12,94.09,93.12,94.09,652,61031.78,9
2025-09-02,94.09,94.09,95.71,94.09,95.35,1060,100817.11,16
2025-09-03,95.35,95.82,95.82,95.35,95.35,2,191.17,2
2025-09-04,95.35,95.85,95.85,94.85,94.86,460,43769.05,13
2025-09-05,94.86,95.33,95.33,94.1,94.86,979,92580.02,10
2025-09-08,94.86,95.06,95.64,94.86,95.09,558,53068.16,9
2025-09-09,95.09,95.28,95.29,94.76,94.88,1795,170607.33,23
2025-09-10,94.88,95.35,95.7,95.3,95.69,255,24393.8,10
2025-09-11,95.69,96.27,97.01,96.27,96.72,1925,185912.28,10
2025-09-12,96.72,96.72,97.33,96.72,97.33,742,71844.75,7
2025-09-15,97.33,97.81,97.81,97.28,97.32,701,68231.48,10
2025-09-16,97.32,97.82,98.46,97.82,98.28,2135,209460.33,17
2025-09-17,98.28,98.46,99.25,98.46,98.91,4891,484669.12,14
2025-09-18,98.91,99.4,99.58,98.44,99.25,1226,121372.22,10
2025-09-19,99.25,99.69,99.69,99.26,99.26,2,198.95,2
2025-09-22,99.26,99.75,99.85,98.68,98.81,2497,248824.3,22
2025-09-23,98.81,99.0,99.0,99.0,99.0,5,495.0,1
2025-09-24,99.0,99.49,99.77,99.04,99.17,533,53064.01,21
2025-09-25,99.17,99.17,99.7,98.49,98.97,308,30531.82,9
2025-09-26,98.97,97.91,98.44,97.0,97.8,1434,140108.56,30
2025-09-29,97.8,98.28,98.94,97.8,98.94,501,49366.25,13
2025-09-30,98.94,98.93,98.94,98.4,98.82,582,57501.37,21
2025-10-01,98.82,99.31,99.31,98.59,98.94,23,2278.26,11
2025-10-03,98.94,99.46,101.38,99.46,100.69,696,70082.06,6
2025-10-06,100.69,102.7,108.0,99.05,99.79,17807,1792755.63,168
2025-10-07,99.79,100.48,100.48,100.01,100.07,691,69127.12,12
2025-10-08,100.07,99.91,99.91,99.0,99.0,858,85231.67,15
2025-10-09,99.0,99.1,99.67,98.88,99.67,467,46301.49,16
2025-10-10,99.67,99.9,100.4,99.63,100.0,512,51181.66,13
2025-10-13,100.0,99.0,99.31,97.16,99.31,4124,404342.92,34
2025-10-14,99.31,98.46,99.0,97.03,98.63,3217,315788.73,54
2025-10-15,98.63,98.8,99.9,98.8,99.83,503,49970.41,20
2025-10-16,99.83,99.9,100.14,99.66,99.73,2141,214144.01,13
2025-10-17,99.73,99.58,100.2,99.4,99.75,713,71048.43,11
2025-10-20,99.75,99.9,100.26,99.9,100.16,421,42085.51,10
2025-10-21,100.16,100.35,100.6,100.23,100.54,1570,157847.68,9
2025-10-23,100.54,100.54,100.54,99.81,99.86,651,65084.6,16
2025-10-24,99.86,99.86,100.39,99.51,99.62,1319,131484.79,14
2025-10-27,99.62,99.79,100.52,99.79,100.51,432,43312.7,12
2025-10-28,100.51,99.89,100.28,99.01,99.8,891,88603.22,21
2025-10-29,99.8,99.9,103.47,99.9,101.7,12947,1320621.74,80
2025-10-30,101.7,101.81,102.88,100.98,101.52,2447,248400.1,20
2025-10-31,101.52,101.52,101.73,101.1,101.56,190,19244.07,7
2025-11-03,101.56,101.5,101.83,101.23,101.83,316,32063.23,9
2025-11-04,101.83,101.83,101.83,100.36,100.7,9458,961303.02,46
2025-11-06,100.7,100.36,101.1,98.7,99.16,10086,1003182.29,67
2025-11-07,99.16,98.44,99.9,98.44,99.76,579,57237.57,12
2025-11-10,99.76,99.76,100.39,99.76,100.19,4286,427684.99,16
2025-11-11,100.19,100.08,101.35,100.08,101.02,985,99109.78,15
2025-11-12,101.02,100.96,101.83,100.5,101.7,1066,108033.54,16
2025-11-13,101.7,101.7,102.0,100.36,100.67,3564,359931.72,50
2025-11-14,100.67,101.13,101.13,100.11,100.86,8401,845664.87,22
2025-11-17,100.86,101.35,101.83,100.0,101.24,4004,404332.15,32
2025-11-18,101.24,101.52,101.52,101.19,101.19,149,15104.56,7
2025-11-19,101.19,100.91,100.91,100.36,100.83,500,50320.04,12
2025-11-20,100.83,100.83,100.89,99.41,100.33,2637,264196.07,23
2025-11-21,100.33,100.33,100.33,97.93,99.88,6481,642514.09,33
2025-11-24,99.88,100.37,100.37,97.97,98.43,2056,202733.89,82
2025-11-25,98.43,98.43,98.64,98.24,98.4,208,20481.73,12
2025-11-26,98.4,98.4,99.42,98.34,99.42,287,28364.13,12
2025-11-27,99.42,99.42,99.42,99.0,99.39,233,23158.31,11
2025-11-28,99.39,99.09,99.11,98.01,98.76,1927,189614.49,33
2025-12-01,98.76,99.15,99.15,98.54,98.72,607,59956.01,14
2025-12-02,98.72,98.72,98.93,98.13,98.6,167,16430.11,12
2025-12-03,98.6,98.3,98.3,97.0,97.34,1652,160883.61,60
2025-12-04,97.34,97.82,97.82,97.0,97.65,587,57069.93,21
2025-12-05,97.65,97.5,97.91,97.11,97.68,418,40693.48,15
2025-12-08,97.68,97.68,97.68,95.1,95.72,1677,161436.52,63
2025-12-09,95.72,94.81,95.81,94.68,95.81,712,67751.27,22
2025-12-10,95.81,96.14,96.5,95.86,96.19,640,61524.51,19
2025-12-11,96.19,95.97,96.43,95.74,96.13,330,31709.81,17
2025-12-12,96.13,96.31,97.01,96.31,96.75,507,48951.88,14
2025-12-15,96.75,96.63,96.88,96.28,96.88,284,27416.15,12
2025-12-16,96.88,96.7,96.7,95.81,95.81,4384,423271.09,37
2025-12-17,95.81,95.81,96.16,95.53,95.96,343,32832.58,19
2025-12-18,95.96,95.31,95.49,94.55,95.48,1492,142078.84,28
2025-12-19,95.48,95.57,96.52,95.57,96.0,1996,191414.58,13
2025-12-22,96.0,98.0,98.0,96.59,97.51,1800,174825.61,23
2025-12-23,97.51,97.64,98.95,97.64,98.15,2145,210489.94,17
2025-12-24,98.15,98.67,99.22,98.04,98.04,2876,284432.85,19
2025-12-26,98.04,98.45,99.85,98.45,98.81,8789,870789.51,49
2025-12-29,98.81,99.11,99.11,98.0,98.05,573,56425.43,14
2025-12-30,98.05,98.05,98.49,97.51,98.48,4217,412684.42,12
2025-12-31,98.48,98.49,99.68,98.49,99.58,2643,262074.1,15
2026-01-01,99.58,99.68,99.85,99.51,99.85,1659,165580.37,28
2026-01-02,99.85,99.85,104.0,99.85,102.58,9253,943833.98,85
2026-01-05,102.58,102.6,102.77,101.6,102.5,6590,673982.3,39
