Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2022-08-26,113.57,114.0,136.28,113.36,136.28,223,28571.14,87
2022-08-29,136.28,114.3,162.98,114.05,145.33,6028,891770.05,259
2022-08-30,145.33,138.09,138.09,137.5,138.09,159,21947.29,19
2022-09-01,138.09,120.0,137.0,120.0,127.93,98,12294.59,13
2022-09-02,127.93,128.0,139.98,119.0,121.87,1188,156028.43,62
2022-09-05,121.87,121.87,138.0,121.87,129.98,468,63420.61,42
2022-09-06,129.98,128.0,135.0,126.09,131.65,218,28462.68,23
2022-09-07,131.65,131.65,136.0,128.09,128.97,741,96709.75,11
2022-09-08,128.97,138.86,139.6,130.23,131.07,1168,161721.57,62
2022-09-12,131.07,131.06,139.99,131.06,134.96,968,131091.15,20
2022-09-13,134.96,140.0,140.0,132.99,137.15,66,8843.59,9
2022-09-14,137.15,137.15,142.0,131.03,134.4,276,37578.32,27
2022-09-15,134.4,141.94,141.95,120.1,126.72,1307,167056.54,72
2022-09-16,126.72,134.88,134.88,121.01,128.66,483,60653.45,13
2022-09-19,128.66,134.3,134.3,120.3,121.01,291,36313.28,45
2022-09-20,121.01,128.95,129.0,120.31,122.82,339,42416.33,31
2022-09-21,122.82,127.4,138.0,123.13,133.28,1064,139259.99,43
2022-09-22,133.28,138.99,138.99,115.1,117.77,3967,474593.67,129
2022-09-23,117.77,124.74,128.0,112.95,113.97,4481,533226.49,123
2022-09-26,113.97,116.61,116.61,113.0,113.64,843,97604.41,14
2022-09-27,113.64,113.4,113.9,110.3,110.39,143,15916.67,40
2022-09-28,110.39,110.39,114.44,110.39,113.57,698,79371.54,26
2022-09-29,113.57,112.0,114.89,112.0,114.89,5,569.78,5
2022-09-30,114.89,114.45,114.45,114.4,114.4,62,7095.85,3
2022-10-03,114.4,116.0,116.0,110.4,114.72,5567,638495.1,33
2022-10-04,114.72,115.01,116.65,115.01,116.61,588,68205.71,19
2022-10-06,116.61,117.0,118.3,117.0,117.7,813,95703.8,16
2022-10-07,117.7,117.3,117.3,114.9,116.78,30,3488.13,26
2022-10-10,116.78,116.4,117.15,111.9,117.15,132,15220.43,32
2022-10-11,117.15,117.1,117.1,116.8,116.8,2,233.9,2
2022-10-12,116.8,115.8,116.4,113.3,115.2,105,12092.16,24
2022-10-13,115.2,116.0,116.0,115.4,115.4,26,3001.0,2
2022-10-14,115.4,116.6,117.1,116.35,116.35,1510,176049.0,8
2022-10-17,116.35,116.1,116.1,115.45,115.7,66,7636.9,6
2022-10-18,115.7,117.1,117.1,117.1,117.1,1,117.1,1
2022-10-19,117.1,117.1,118.5,116.3,117.7,37,4360.5,11
2022-10-20,117.7,116.9,116.9,116.9,116.9,4,467.6,1
2022-10-21,116.9,117.6,117.6,117.6,117.6,156,18345.6,4
2022-10-24,117.6,119.0,119.0,119.0,119.0,2,238.0,2
2022-10-25,119.0,119.0,119.0,117.4,117.6,304,36173.0,5
2022-10-27,117.6,117.9,117.9,114.6,116.24,8,929.11,8
2022-10-28,116.24,114.53,117.5,114.53,117.5,48,5596.87,8
2022-10-31,117.5,119.0,124.0,117.3,119.05,209,25206.6,20
2022-11-01,119.05,118.95,119.4,118.95,119.4,5313,634371.75,3
2022-11-03,119.4,120.0,121.5,119.2,119.3,33,3953.38,17
2022-11-04,119.3,118.9,120.95,118.88,120.85,129,15426.95,13
2022-11-07,120.85,120.8,121.0,120.8,120.99,183,22131.38,13
2022-11-09,120.99,121.0,122.1,121.0,121.2,1481,179589.4,9
2022-11-10,121.2,121.0,123.0,120.8,120.9,16,1942.8,10
2022-11-11,120.9,121.0,121.9,120.95,120.95,39,4719.5,6
2022-11-14,120.95,120.95,122.39,120.95,122.1,446,54333.88,9
2022-11-15,122.1,121.4,121.45,120.55,120.85,474,57284.9,21
2022-11-16,120.85,121.0,121.0,121.0,121.0,2,242.0,2
2022-11-18,121.0,120.9,120.9,119.4,119.4,124,14819.4,13
2022-11-21,119.4,121.0,121.0,119.3,119.36,6,720.95,5
2022-11-28,119.36,120.64,121.6,120.22,120.52,550,66353.68,18
2022-11-29,120.52,121.22,121.96,121.22,121.5,10,1214.56,6
2022-11-30,121.5,122.0,122.95,122.0,122.75,21,2578.34,8
2022-12-01,122.75,123.13,124.35,123.0,123.63,152,18770.54,18
2022-12-02,123.63,123.44,124.52,123.0,123.33,199,24564.85,26
2022-12-05,123.33,123.56,124.92,123.56,123.95,69,8537.87,12
2022-12-06,123.95,124.0,124.22,124.0,124.08,18,2235.32,4
2022-12-07,124.08,124.05,124.05,122.9,123.03,9,1109.32,7
2022-12-08,123.03,124.37,124.37,124.37,124.37,425,52857.25,1
2022-12-09,124.37,123.8,123.8,122.66,122.7,37,4572.36,10
2022-12-12,122.7,122.8,123.78,122.79,123.0,426,52355.25,18
2022-12-13,123.0,124.0,125.0,124.0,124.35,18,2238.85,7
2022-12-14,124.35,124.35,124.35,124.35,124.35,5,621.75,1
2022-12-15,124.35,123.9,123.9,121.65,122.25,16,1961.95,11
2022-12-16,122.25,121.89,121.9,120.8,120.81,12,1456.5,9
2022-12-19,120.81,121.0,122.53,121.0,122.53,18,2192.2,12
2022-12-20,122.53,121.9,121.9,121.31,121.31,20,2428.12,8
2022-12-21,121.31,122.19,124.5,120.2,121.52,1536,186929.72,25
2022-12-22,121.52,120.8,120.8,119.74,119.74,7,841.21,5
2022-12-23,119.74,119.74,119.74,116.82,116.94,191,22748.35,13
2022-12-26,116.94,117.5,119.0,117.5,119.0,8,949.0,5
2022-12-27,119.0,119.5,120.95,117.8,118.22,51,6126.94,18
2022-12-28,118.22,119.5,123.0,119.5,120.73,428,52133.8,25
2022-12-29,120.73,120.4,120.45,120.4,120.45,3,361.3,2
2022-12-30,120.45,121.0,121.46,121.0,121.0,8,969.83,6
2023-01-02,121.0,121.5,121.5,120.71,121.47,109,13164.35,5
2023-01-03,121.47,121.5,122.06,121.5,122.06,2,243.56,2
2023-01-04,122.06,128.1,128.1,119.8,120.63,48,5806.84,25
