Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-01-02,44.35,44.68,46.2,44.25,45.58,43340,1954318.45,463
2017-01-03,45.58,46.0,48.0,45.12,46.95,116556,5498981.1,1256
2017-01-04,46.95,48.0,48.05,46.55,47.12,63030,2971243.45,789
2017-01-05,47.12,48.0,48.5,47.48,47.6,41378,1979318.05,482
2017-01-06,47.6,47.5,47.75,46.58,46.8,49194,2326912.7,450
2017-01-09,46.8,46.6,46.82,46.1,46.28,20716,960024.25,292
2017-01-10,46.28,46.28,46.5,45.52,45.92,33852,1561197.4,335
2017-01-11,45.92,46.32,47.25,46.32,46.72,61346,2871692.6,410
2017-01-12,46.72,47.2,47.45,46.2,46.4,28510,1332077.8,317
2017-01-13,46.4,46.48,46.75,45.95,46.18,28182,1307790.85,242
2017-01-16,46.18,46.5,46.72,45.58,45.95,32730,1514241.25,370
2017-01-17,45.95,46.18,46.55,45.28,45.55,40042,1844474.6,331
2017-01-18,45.55,45.52,46.32,45.48,45.6,46766,2142706.05,370
2017-01-19,45.6,45.62,46.65,45.62,46.22,39238,1809617.3,473
2017-01-20,46.22,46.15,46.15,45.48,45.55,30278,1381895.3,295
2017-01-23,45.55,45.52,45.85,45.0,45.1,23556,1067605.2,275
2017-01-24,45.1,45.6,45.98,45.05,45.38,22966,1044660.2,294
2017-01-25,45.38,45.82,45.95,45.18,45.4,43106,1958566.1,403
2017-01-27,45.4,45.32,47.9,45.3,46.98,137386,6471935.4,1644
2017-01-30,46.98,47.0,47.4,46.0,46.28,31508,1464446.2,358
2017-01-31,46.28,46.02,46.02,45.05,45.52,23798,1084697.8,352
2017-02-01,45.52,45.05,46.28,45.02,45.92,47654,2174993.45,603
2017-02-02,45.92,45.92,47.32,45.92,46.55,48068,2239753.4,563
2017-02-03,46.55,46.55,47.5,46.55,47.15,47832,2250953.6,516
2017-02-06,47.15,48.05,49.0,47.5,48.22,279360,13570591.85,1546
2017-02-07,48.22,47.85,48.7,47.08,47.3,73126,3491859.15,699
2017-02-08,47.3,47.5,47.5,46.85,47.28,36654,1729492.7,390
2017-02-09,47.28,48.85,49.75,48.5,49.2,332336,16329193.7,2410
2017-02-10,49.2,49.62,49.62,47.1,47.55,92024,4437800.7,1004
2017-02-13,47.55,47.0,48.45,46.7,47.05,55164,2609583.15,565
2017-02-14,47.05,47.1,47.1,46.55,46.62,24680,1154118.7,385
2017-02-15,46.62,46.78,47.0,45.55,45.7,54642,2519170.6,411
2017-02-16,45.7,45.65,48.35,45.65,47.42,195238,9298042.3,1382
2017-02-17,47.42,47.15,48.72,46.75,48.5,120436,5791349.3,1104
2017-02-20,48.5,49.85,50.25,48.55,49.52,430390,21307859.15,2304
2017-02-21,49.52,49.95,50.98,49.25,49.55,115456,5754940.85,1038
2017-02-22,49.55,49.55,50.5,48.25,48.62,58634,2876302.6,598
2017-02-23,48.62,48.5,48.5,47.75,47.95,37500,1800917.95,494
2017-02-27,47.95,47.95,48.28,47.35,47.58,18406,878691.45,226
2017-02-28,47.58,48.0,49.0,48.0,48.15,86654,4184819.85,818
2017-03-01,48.15,48.25,48.88,47.75,47.85,26064,1255665.9,327
2017-03-02,47.85,48.48,48.98,46.5,46.68,104682,4987077.9,799
2017-03-03,46.68,46.92,47.45,46.3,46.55,52676,2466598.2,474
2017-03-06,46.55,51.0,51.0,46.62,46.88,70456,3318996.0,503
2017-03-07,46.88,47.25,47.25,46.55,46.62,30814,1440317.25,279
2017-03-08,46.62,47.9,47.9,46.6,46.82,82418,3881969.7,686
2017-03-09,46.82,46.55,46.95,46.25,46.45,32462,1508684.15,351
2017-03-10,46.45,46.4,46.98,45.78,45.98,34958,1615464.55,391
2017-03-14,45.98,47.98,47.98,46.25,46.55,31974,1488831.45,396
2017-03-15,46.55,46.55,50.0,46.48,49.75,842562,41583707.0,5210
2017-03-16,49.75,50.28,53.4,50.05,50.78,1391160,72525049.65,7978
2017-03-17,50.78,51.1,51.45,49.3,49.48,187796,9440839.15,1606
2017-03-20,49.48,49.7,51.0,49.52,49.62,123222,6190537.45,1214
2017-03-21,49.62,49.92,50.4,48.88,49.02,61988,3069866.2,701
2017-03-22,49.02,48.85,49.0,48.0,48.12,50086,2427315.45,590
2017-03-23,48.12,48.25,48.75,47.52,48.4,57054,2763681.35,488
2017-03-24,48.4,48.9,50.45,48.25,48.32,80934,3949805.5,721
2017-03-27,48.32,48.32,49.12,47.45,47.78,75496,3623890.25,658
2017-03-28,47.78,48.92,48.95,48.22,48.45,68842,3338568.8,395
2017-03-29,48.45,48.28,49.45,47.68,48.7,180920,8728973.55,904
2017-03-30,48.7,51.95,52.82,49.3,49.8,433496,21955979.9,2906
2017-03-31,49.8,50.92,51.5,50.25,50.4,253258,12866986.55,1731
2017-04-03,50.4,51.5,51.5,50.1,50.65,121532,6174142.3,988
2017-04-05,50.65,50.48,51.38,49.75,50.45,119280,6044968.6,1403
2017-04-06,50.45,50.42,50.48,49.35,49.98,73502,3665514.8,595
2017-04-07,49.98,49.85,50.85,49.1,49.2,104250,5195130.75,816
2017-04-10,49.2,49.1,49.7,48.3,48.78,71334,3490256.3,666
2017-04-11,48.78,48.8,51.5,48.5,49.82,249826,12582388.0,1346
2017-04-12,49.82,49.8,50.2,48.75,49.1,70584,3475194.55,768
2017-04-13,49.1,48.7,50.5,48.7,49.32,101688,5032162.9,845
2017-04-17,49.32,49.62,52.4,48.62,49.82,580122,29486821.2,2687
2017-04-18,49.82,50.08,50.75,49.3,49.42,85164,4265481.3,562
2017-04-19,49.42,49.0,51.35,49.0,49.42,61440,3052846.4,549
2017-04-20,49.42,50.0,50.9,49.55,50.1,124606,6243446.75,1006
2017-04-21,50.1,50.22,53.22,50.22,52.2,974016,50814374.4,4030
2017-04-24,52.2,52.6,52.75,51.05,51.18,140694,7254221.9,1027
2017-04-25,51.18,51.5,51.9,50.75,50.9,105336,5408823.7,973
2017-04-26,50.9,51.68,51.68,49.6,50.05,111222,5612762.4,693
2017-04-27,50.05,50.0,51.35,49.75,50.1,156616,7893439.15,845
2017-04-28,50.1,50.65,50.68,49.62,49.78,87202,4359669.7,555
2017-05-02,49.78,50.25,50.32,49.4,49.82,120626,6014522.35,695
2017-05-03,49.82,50.18,50.4,49.78,50.1,63802,3193912.4,364
2017-05-04,50.1,50.28,50.58,49.88,50.0,53998,2704907.2,332
2017-05-05,50.0,50.02,50.02,49.05,49.2,37140,1833759.1,282
2017-05-08,49.2,50.1,52.2,49.95,50.68,421748,21608661.0,2155
2017-05-09,50.68,50.55,51.2,50.08,50.45,74904,3780100.85,678
2017-05-10,50.45,50.6,50.95,50.02,50.25,61182,3085491.95,557
2017-05-11,50.25,50.22,51.52,49.3,49.65,221720,11169326.7,1378
2017-05-12,49.65,50.05,50.15,49.05,49.55,102684,5085733.5,565
2017-05-15,49.55,49.65,50.1,49.5,49.88,89458,4453261.05,488
2017-05-16,49.88,53.95,54.98,52.02,54.5,915022,49140377.55,5843
2017-05-17,54.5,54.98,55.75,52.52,54.38,508320,27811048.6,3340
2017-05-18,54.38,54.48,54.48,52.4,52.6,261768,13906965.6,1712
2017-05-19,52.6,53.1,54.45,52.5,53.0,238310,12699124.35,1677
2017-05-22,53.0,53.95,54.52,52.5,53.35,253018,13618006.25,1841
2017-05-23,53.35,55.05,57.0,54.25,54.78,1291372,71740357.2,7801
2017-05-24,54.78,55.35,55.82,52.65,53.22,342040,18617047.45,2395
2017-05-25,53.22,53.98,54.35,51.1,54.05,172328,9201166.35,1307
2017-05-26,54.05,54.7,55.05,53.85,54.65,175536,9566709.25,1078
2017-05-29,54.65,55.75,57.0,55.0,56.15,377698,21176452.55,2583
2017-05-30,56.15,56.78,56.78,55.0,55.6,181506,10104813.6,1702
2017-05-31,55.6,55.42,56.5,55.28,55.75,153598,8598773.05,1146
2017-06-01,55.75,55.3,56.7,55.1,55.68,104296,5839934.9,1009
2017-06-02,55.68,58.0,58.42,57.05,58.02,554182,32001519.65,3088
2017-06-05,58.02,58.6,58.85,57.55,58.15,154076,8960838.4,1109
2017-06-06,58.15,58.22,58.25,55.38,56.55,150034,8552222.45,1547
2017-06-07,56.55,56.5,57.9,56.12,57.6,174102,9976087.95,1002
2017-06-08,57.6,58.2,60.7,58.0,58.8,975698,57891591.5,5340
2017-06-09,58.8,58.75,59.75,58.5,59.4,284322,16818067.95,1817
2017-06-12,59.4,59.2,62.45,58.9,61.58,915680,56350630.0,5979
2017-06-13,61.58,61.8,64.7,61.75,63.45,802584,51101939.8,5837
2017-06-14,63.45,63.35,64.7,62.75,63.28,310130,19716937.35,2270
2017-06-15,63.28,63.45,64.95,63.05,63.7,361608,23075425.8,2066
2017-06-16,63.7,64.15,68.15,63.42,66.95,915896,60420748.0,4924
2017-06-19,66.95,68.0,69.75,68.0,69.05,723000,49805121.05,4007
2017-06-20,69.05,69.65,69.65,67.0,67.32,350880,23806808.95,2755
2017-06-21,67.32,67.75,69.88,67.03,68.45,483178,33297725.7,3115
2017-06-22,68.45,67.97,68.65,65.82,66.38,307408,20717568.65,1928
2017-06-23,66.38,66.4,66.45,62.55,63.92,397920,25555972.55,3129
2017-06-27,63.92,64.25,65.97,63.6,64.18,289960,18817600.3,2000
2017-06-28,64.18,64.68,65.65,64.1,65.05,126638,8230979.4,948
2017-06-29,65.05,65.03,71.1,65.0,68.88,787546,54309681.45,6148
2017-06-30,68.88,68.38,70.92,68.0,69.95,531538,37184020.7,4230
2017-07-03,69.95,70.68,71.4,70.0,70.22,317528,22430115.9,2015
2017-07-04,70.22,70.5,71.45,69.53,70.45,365042,25748665.25,2264
2017-07-05,70.45,70.5,70.88,69.15,69.42,278248,19473715.45,2012
2017-07-06,69.42,69.5,70.08,68.5,69.2,297174,20637808.95,1942
2017-07-07,69.2,72.25,76.35,72.0,73.58,1996422,147833173.65,9971
2017-07-10,73.58,75.0,75.0,71.1,71.68,199778,14473947.3,1026
2017-07-11,143.35,71.5,74.5,70.2,71.85,392419,28559895.95,4276
2017-07-12,71.85,72.3,73.45,70.15,70.65,195453,13980814.45,2730
2017-07-13,70.65,71.0,73.9,70.5,72.2,265759,19197985.5,2855
2017-07-14,72.2,72.2,73.0,71.35,72.7,124192,8971508.25,1393
2017-07-17,72.7,73.15,73.45,71.15,71.7,73590,5288557.3,1236
2017-07-18,71.7,71.9,73.1,71.15,71.85,95814,6929277.2,1142
2017-07-19,71.85,72.05,72.7,71.25,71.4,86205,6196067.6,955
2017-07-20,71.4,72.0,74.3,70.9,71.6,465641,33852054.25,3019
2017-07-21,71.6,72.3,72.45,70.6,71.0,115313,8215820.15,1430
2017-07-24,71.0,71.0,71.3,67.8,68.1,259105,17887421.15,2468
2017-07-25,68.1,68.3,68.6,66.0,66.1,156711,10453546.05,1864
2017-07-26,66.1,66.45,67.9,65.65,66.15,118805,7899844.35,1183
2017-07-27,66.15,66.45,66.75,64.25,64.35,175635,11455566.65,1613
2017-07-28,64.35,64.4,65.0,64.0,64.3,83205,5350732.9,850
2017-07-31,64.3,64.8,66.55,63.9,65.25,90094,5859346.75,1102
2017-08-01,65.25,66.45,67.7,65.05,67.1,159367,10619039.55,1639
2017-08-02,67.1,69.3,71.7,67.25,68.95,418314,29094861.8,4077
2017-08-03,68.95,69.35,70.5,68.25,68.8,123846,8596200.55,1578
2017-08-04,68.8,70.45,70.45,67.8,68.25,102667,7036427.15,1090
2017-08-07,68.25,68.25,69.45,67.6,68.1,81010,5563674.25,771
2017-08-08,68.1,68.05,68.65,66.6,67.05,70587,4744347.05,636
2017-08-09,67.05,67.1,67.6,65.1,65.4,88063,5817924.25,1072
2017-08-10,65.4,66.45,66.95,60.45,61.4,115910,7374235.35,1369
2017-08-11,61.4,61.35,65.05,59.0,62.7,176262,10954662.35,1647
