Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-01-02,282.7,285.0,287.0,281.15,285.2,144601,41153335.2,4049
2017-01-03,285.2,285.0,291.9,283.0,286.55,285215,82184823.8,12855
2017-01-04,286.55,287.0,289.4,285.35,286.9,223054,64028922.25,6189
2017-01-05,286.9,290.0,295.6,287.0,292.9,285723,82723439.45,8292
2017-01-06,292.9,294.0,298.0,292.15,295.15,345224,102043770.25,13813
2017-01-09,295.15,295.05,296.1,290.4,291.85,129404,37845378.25,5640
2017-01-10,291.85,292.0,293.0,286.2,288.1,272573,78800410.0,12473
2017-01-11,288.1,289.0,292.0,285.2,289.05,604799,174662210.6,13061
2017-01-12,289.05,289.45,295.8,288.4,290.85,278627,81352680.7,7885
2017-01-13,290.85,297.8,306.2,293.95,297.3,608217,181241666.7,10370
2017-01-16,297.3,295.05,305.45,295.05,302.7,272655,82624509.9,8307
2017-01-17,302.7,305.0,312.8,304.0,310.45,606718,188237434.15,11049
2017-01-18,310.45,314.0,317.0,309.4,310.4,279067,87561717.6,6913
2017-01-19,310.4,314.0,314.0,302.05,305.4,203127,62154056.65,7816
2017-01-20,305.4,301.3,304.75,286.25,295.15,376263,111185995.0,12976
2017-01-23,295.15,294.95,298.75,290.3,295.85,275683,81420808.85,7501
2017-01-24,295.85,297.85,302.0,292.85,298.85,244295,72851888.2,9598
2017-01-25,298.85,299.0,324.8,299.0,321.55,1013430,320540328.05,19784
2017-01-27,321.55,321.0,330.0,316.85,320.75,465915,150863193.4,10505
2017-01-30,320.75,320.0,324.45,316.0,320.05,249455,79971556.45,5759
2017-01-31,320.05,322.9,322.9,300.1,305.65,474182,146843175.45,9487
2017-02-01,305.65,308.95,329.0,307.0,323.7,611220,194790158.25,14013
2017-02-02,323.7,329.0,355.0,324.0,346.45,1167810,398194553.5,23807
2017-02-03,346.45,345.5,357.75,340.55,343.5,518895,181755144.9,12421
2017-02-06,343.5,348.1,354.4,344.45,352.2,255027,89419411.7,6542
2017-02-07,352.2,350.7,351.6,334.65,340.4,346808,118675930.6,11537
2017-02-08,340.4,344.5,345.55,327.9,331.85,375354,125533862.75,11410
2017-02-09,331.85,339.0,348.7,332.0,339.0,930709,316262218.8,29501
2017-02-10,339.0,341.7,342.6,337.05,340.85,246589,83944523.85,6592
2017-02-13,340.85,342.0,346.45,325.1,328.75,460874,153441822.95,14442
2017-02-14,328.75,340.0,340.0,331.55,335.0,784522,262942369.2,17620
2017-02-15,335.0,336.0,336.75,325.35,331.8,271006,89614010.3,6838
2017-02-16,331.8,333.1,350.8,332.0,348.1,747624,256116407.85,14838
2017-02-17,348.1,350.0,356.9,343.4,348.4,601310,211353449.4,11054
2017-02-20,348.4,349.0,355.5,346.7,350.4,219328,77268238.55,8581
2017-02-21,350.4,350.4,352.8,347.2,350.1,198609,69590725.95,7894
2017-02-22,350.1,353.1,353.1,348.25,350.4,148297,51938963.25,4631
2017-02-23,350.4,350.7,364.6,349.1,353.7,702280,250796245.8,12141
2017-02-27,353.7,354.45,361.0,351.2,355.8,237665,84792775.8,7101
2017-02-28,355.8,355.8,358.8,348.0,356.3,157822,55942702.3,9175
2017-03-01,356.3,356.9,364.0,356.1,358.8,350158,126105702.3,14644
2017-03-02,358.8,360.0,363.0,352.0,354.35,184250,65875820.2,5187
2017-03-03,354.35,354.6,354.9,345.0,347.35,160891,56142728.8,6291
2017-03-06,347.35,348.0,352.45,348.0,350.15,317329,111022914.8,7547
2017-03-07,350.15,348.05,353.0,347.5,351.35,131884,46289502.8,7113
2017-03-08,351.35,351.35,354.3,349.35,352.45,148269,52216852.6,6660
2017-03-09,352.45,348.5,355.0,347.35,351.85,104208,36604775.9,4337
2017-03-10,351.85,343.0,343.0,325.0,338.7,763852,258272350.95,17987
2017-03-14,338.7,347.7,349.95,338.8,340.95,162970,55794320.9,7241
2017-03-15,340.95,341.7,344.9,339.55,343.7,106984,36685882.6,3840
2017-03-16,343.7,346.0,349.5,344.9,348.6,193947,67293656.65,6269
2017-03-17,348.6,348.6,353.9,343.75,349.1,463719,161823212.45,11267
2017-03-20,349.1,350.0,352.8,340.5,344.8,348700,121428346.0,7444
2017-03-21,344.8,347.95,352.5,344.1,350.6,336326,117112908.25,15569
2017-03-22,350.6,347.0,350.6,341.1,347.1,86469,30024695.4,7197
2017-03-23,347.1,352.95,357.0,350.7,353.55,178348,63065457.2,6719
2017-03-24,353.55,353.95,358.15,347.95,350.2,144699,50942389.2,4548
2017-03-27,350.2,350.9,354.5,348.5,350.1,74998,26294819.0,2774
2017-03-28,350.1,349.9,353.0,348.55,350.95,113002,39645549.15,4833
2017-03-29,350.95,351.25,389.7,351.25,378.25,1423757,530556713.85,28963
2017-03-30,378.25,376.8,380.0,364.3,373.75,332618,124555769.65,6400
2017-03-31,373.75,377.45,389.95,363.85,368.95,1352539,512966226.5,15555
2017-04-03,368.95,370.0,384.0,368.15,380.65,547342,207075789.35,9669
2017-04-05,380.65,381.75,401.9,377.6,396.1,1371910,542360342.85,23707
2017-04-06,396.1,396.1,398.95,376.0,380.1,927564,357098838.8,18264
2017-04-07,380.1,377.0,386.75,373.1,377.1,652114,247102783.2,19729
