Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-01-02,56.4,56.0,57.85,56.0,57.55,6472,369417.6,88
2017-01-03,57.55,58.25,59.95,57.4,58.45,41650,2447523.8,197
2017-01-04,58.45,59.85,61.8,58.55,59.75,64927,3922383.5,638
2017-01-05,59.75,59.2,61.9,59.2,59.85,17798,1072247.2,122
2017-01-06,59.85,61.0,61.0,59.2,59.25,7750,461440.35,89
2017-01-09,59.25,58.85,60.5,58.2,58.9,15583,916765.0,125
2017-01-10,58.9,57.7,59.85,57.7,58.55,18251,1071875.55,184
2017-01-11,58.55,59.8,60.8,59.0,59.85,30228,1812228.05,306
2017-01-12,59.85,60.9,60.9,58.65,58.8,7503,444978.3,103
2017-01-13,58.8,59.7,60.3,58.4,58.65,6375,375159.0,45
2017-01-16,58.65,58.25,60.85,58.25,60.0,43044,2578730.2,286
2017-01-17,60.0,60.85,68.3,60.85,66.6,377198,24466574.0,3137
2017-01-18,66.6,67.0,67.65,63.65,64.5,84517,5516655.0,902
2017-01-19,64.5,65.7,66.5,63.5,64.0,25991,1683339.6,245
2017-01-20,64.0,62.45,64.5,61.25,62.1,28104,1770164.65,316
2017-01-23,62.1,62.5,64.0,61.3,62.3,15491,972100.55,206
2017-01-24,62.3,63.5,63.9,62.1,62.2,15084,949225.5,146
2017-01-25,62.2,63.2,63.2,61.6,61.85,7770,482705.7,104
2017-01-27,61.85,63.35,64.0,61.65,61.95,14041,875569.35,176
2017-01-30,61.95,62.0,63.35,62.0,62.15,14726,920405.5,101
2017-01-31,62.15,62.5,63.25,61.5,61.6,8277,512219.75,99
2017-02-01,61.6,61.5,62.5,61.3,62.0,11486,709270.8,58
2017-02-02,62.0,63.0,66.4,62.95,63.95,188139,12213319.5,1463
2017-02-03,63.95,65.35,66.5,63.0,63.6,26041,1678598.65,396
2017-02-06,63.6,64.0,66.5,62.5,63.05,16955,1084465.9,206
2017-02-07,63.05,63.5,65.4,62.85,64.05,36673,2355486.85,450
2017-02-08,64.05,65.0,65.0,63.5,64.05,16177,1043329.35,209
2017-02-09,64.05,64.5,64.5,62.55,63.15,10165,643763.25,128
2017-02-10,63.15,63.2,63.75,62.1,62.6,11091,696975.1,100
2017-02-13,62.6,63.15,63.15,60.2,60.6,23342,1422961.15,212
2017-02-14,60.6,59.75,60.0,55.3,57.5,38199,2196218.85,456
2017-02-15,57.5,56.6,58.0,56.5,57.45,14277,819229.15,135
2017-02-16,57.45,57.0,58.0,55.5,57.4,5370,306433.85,78
2017-02-17,57.4,57.4,58.85,57.1,58.2,8585,499489.45,101
2017-02-20,58.2,57.0,58.9,57.0,58.55,25548,1473050.7,138
2017-02-21,58.55,59.0,61.45,59.0,60.65,42710,2574146.2,263
2017-02-22,60.65,60.4,62.5,59.1,59.4,57811,3517761.55,299
2017-02-23,59.4,59.1,60.9,57.9,58.25,5994,351775.75,71
2017-02-27,58.25,58.1,59.3,56.0,56.4,29567,1678928.1,203
2017-02-28,56.4,57.0,58.0,56.05,56.6,27673,1570594.3,168
2017-03-01,56.6,57.8,57.9,56.7,56.9,12988,742030.3,114
2017-03-02,56.9,56.8,57.45,56.35,56.5,14085,801623.1,124
2017-03-03,56.5,57.0,57.0,55.75,56.05,3808,213359.4,41
2017-03-06,56.05,55.75,56.9,55.5,55.8,6787,380512.95,47
2017-03-07,55.8,57.8,61.3,57.0,57.45,93965,5574734.6,942
2017-03-08,57.45,57.9,58.6,57.1,57.6,14855,859067.1,211
2017-03-09,57.6,57.8,58.0,56.4,56.95,6618,377361.25,88
2017-03-10,56.95,56.6,57.8,56.05,56.25,10540,596104.4,103
2017-03-14,56.25,56.25,58.0,56.25,56.7,18595,1058834.3,138
2017-03-15,56.7,57.0,57.75,56.25,56.55,7563,429119.35,51
2017-03-16,56.55,57.15,58.9,56.8,57.5,33129,1918040.5,324
2017-03-17,57.5,57.0,59.5,57.0,57.6,21800,1261547.05,250
2017-03-20,57.6,58.0,60.4,58.0,59.3,92579,5497110.7,485
2017-03-21,59.3,59.4,64.9,59.4,64.5,472627,29991798.1,2907
2017-03-22,64.5,63.9,64.55,62.35,62.7,116522,7391213.65,1283
2017-03-23,62.7,63.8,64.35,62.15,62.55,51054,3233806.2,556
2017-03-24,62.55,62.0,62.45,59.5,60.2,57565,3519639.3,532
