Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2025-12-24,73.92,74.48,74.48,73.73,73.91,64787,4800470.44,646
2025-12-26,73.91,74.27,74.34,73.65,73.88,48573,3597515.75,764
2025-12-29,73.88,74.47,74.47,73.4,73.6,40371,2979468.31,910
2025-12-30,73.6,73.59,73.97,73.21,73.78,69154,5079981.76,537
2025-12-31,73.78,74.09,74.64,73.42,74.35,55871,4154093.6,511
2026-01-01,74.35,74.34,75.84,74.03,74.75,47085,3512528.31,715
2026-01-02,74.75,75.37,75.5,74.74,75.41,209868,15778498.32,624
2026-01-05,75.41,75.01,75.78,75.01,75.5,111179,8387066.4,932
2026-01-06,75.50,75.45,75.80,75.26,75.58,78509,5931140.13,658
2026-01-07,75.58,75.31,76.00,75.31,75.84,106456,8063758.89,590
