Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2019-01-11,2.75,2.75,3.3,2.7,3.3,1071307,3481106.25,595
2019-01-14,3.3,3.55,3.95,3.45,3.95,4284547,16589238.0,1934
2019-01-15,3.95,4.05,4.3,3.9,4.3,5339709,22644461.6,1737
2019-01-16,4.3,4.45,4.7,4.4,4.7,5419999,25217920.9,2289
2019-01-17,4.7,5.05,5.05,4.25,4.25,4798310,22680436.45,3428
2019-01-18,4.25,4.1,4.5,3.85,4.05,2885194,11758867.25,1355
2019-01-21,4.05,3.9,4.45,3.85,3.9,1910828,8006548.3,1230
2019-01-22,3.9,3.85,4.0,3.55,3.55,1372958,4965097.15,1133
2019-01-23,3.55,3.45,3.7,3.4,3.45,2266773,8036300.0,1373
2019-01-24,3.45,3.55,3.55,3.3,3.3,481086,1610675.5,430
2019-01-25,3.3,3.3,3.4,3.15,3.15,497664,1582540.4,370
2019-01-28,3.15,3.05,3.1,3.0,3.0,234629,705498.45,118
2019-01-29,3.0,2.85,3.15,2.85,3.15,1526879,4660664.3,809
2019-01-30,3.15,3.2,3.3,3.05,3.2,1264398,4094891.45,761
2019-01-31,3.2,3.2,3.3,3.05,3.05,1090792,3373700.05,467
2019-02-01,3.05,3.0,3.2,2.95,2.95,769128,2347900.5,426
2019-02-04,2.95,3.0,3.05,2.9,2.95,362852,1078764.15,270
2019-02-05,2.95,3.0,3.0,2.85,2.85,289044,833796.9,265
2019-02-06,2.85,2.85,2.95,2.75,2.75,445250,1268103.0,249
2019-02-07,2.75,2.7,2.85,2.65,2.65,1724308,4765649.45,583
2019-02-08,2.65,2.7,2.75,2.6,2.75,565953,1547701.55,296
2019-02-11,2.75,2.8,2.85,2.65,2.8,948440,2614698.55,330
2019-02-12,2.8,2.85,2.9,2.75,2.8,592796,1698913.15,222
2019-02-13,2.8,2.85,2.85,2.7,2.7,312712,854836.9,200
2019-02-14,2.7,2.65,2.7,2.6,2.6,329464,858757.95,768
2019-02-15,2.6,2.55,2.6,2.5,2.5,449153,1127021.2,209
2019-02-18,2.5,2.45,2.6,2.4,2.5,611105,1524636.05,346
2019-02-19,2.5,2.45,2.6,2.45,2.6,399283,1034152.85,165
2019-02-20,2.6,2.55,2.7,2.5,2.5,604915,1577743.65,220
2019-02-21,2.5,2.4,2.5,2.4,2.4,153295,367934.75,148
2019-02-22,2.4,2.35,2.5,2.3,2.3,566623,1363679.75,462
2019-02-25,2.3,2.3,2.4,2.3,2.4,330424,791002.0,194
2019-02-26,2.4,2.4,2.45,2.3,2.35,191813,458051.65,107
2019-02-27,2.35,2.4,2.45,2.3,2.4,140822,334260.2,106
2019-02-28,2.4,2.4,2.45,2.3,2.3,366765,847897.85,232
2019-03-01,2.3,2.35,2.4,2.25,2.35,217050,502939.25,162
2019-03-05,2.35,2.3,2.45,2.3,2.45,670618,1625918.95,309
2019-03-06,2.45,2.5,2.55,2.5,2.55,342299,868703.8,191
2019-03-07,2.55,2.6,2.65,2.45,2.45,928523,2370263.45,349
2019-03-08,2.45,2.45,2.5,2.35,2.4,167911,402131.4,187
2019-03-11,2.4,2.4,2.5,2.35,2.4,696954,1691821.7,268
2019-03-12,2.4,2.4,2.5,2.4,2.45,142690,349348.9,157
2019-03-13,2.45,2.45,2.45,2.4,2.4,110962,267040.95,73
2019-03-14,2.4,2.45,2.5,2.35,2.5,433144,1073390.7,231
2019-03-15,2.5,2.6,2.6,2.55,2.6,140851,366139.65,69
2019-03-18,2.6,2.7,2.7,2.55,2.6,428730,1140303.55,248
2019-03-19,2.6,2.7,2.7,2.6,2.6,75195,198599.5,102
2019-03-20,2.6,2.6,2.65,2.5,2.5,232492,586069.65,150
2019-03-22,2.5,2.5,2.55,2.4,2.4,272656,659684.95,178
2019-03-25,2.4,2.4,2.45,2.3,2.4,396224,949554.25,137
2019-03-26,2.4,2.4,2.45,2.3,2.35,430732,1003050.6,178
2019-03-27,2.35,2.35,2.45,2.3,2.4,132038,314846.6,98
2019-03-28,2.4,2.35,2.4,2.3,2.4,115813,275483.85,120
2019-03-29,2.4,2.4,2.5,2.35,2.5,190180,461667.6,156
2019-04-01,2.5,2.55,2.6,2.5,2.55,284373,728686.35,160
2019-04-02,2.55,2.5,2.6,2.5,2.6,66272,168565.0,62
2019-04-03,2.6,2.55,2.65,2.5,2.6,370700,951263.45,149
2019-04-04,2.6,2.6,2.65,2.5,2.5,118293,300804.25,83
2019-04-05,2.5,2.5,2.55,2.4,2.45,95472,234819.6,90
2019-04-08,2.45,2.5,2.5,2.3,2.3,157111,373718.85,145
2019-04-09,2.3,2.4,2.4,2.3,2.35,153829,361230.0,108
2019-04-10,2.35,2.35,2.4,2.25,2.3,158280,368797.0,126
2019-04-11,2.3,2.3,2.4,2.25,2.4,72464,169566.95,77
2019-04-12,2.4,2.35,2.4,2.3,2.35,83780,197439.15,72
2019-04-15,2.35,2.4,2.4,2.25,2.25,157286,360563.95,130
2019-04-16,2.25,2.3,2.3,2.15,2.15,369531,814063.2,212
2019-04-18,2.15,2.15,2.2,2.0,2.05,359339,740033.2,238
2019-04-22,2.05,2.05,2.05,2.0,2.05,42027,85073.15,65
2019-04-23,2.05,2.05,2.05,2.0,2.0,53265,107193.9,78
2019-04-24,2.0,2.05,2.05,2.0,2.05,91273,185080.3,65
2019-04-25,2.05,2.0,2.1,2.0,2.05,517995,1042250.55,154
2019-04-26,2.05,2.05,2.05,1.95,2.0,111425,223407.95,75
2019-04-30,2.0,2.0,2.0,1.85,1.95,242253,463820.25,249
2019-05-02,1.95,1.95,1.95,1.8,1.8,310334,577307.35,222
2019-05-03,1.8,1.8,1.85,1.8,1.85,97415,178070.85,75
2019-05-06,1.85,1.8,1.9,1.8,1.85,91089,169021.35,64
2019-05-07,1.85,1.8,1.85,1.7,1.7,306455,534968.85,164
2019-05-08,1.7,1.7,1.8,1.6,1.65,255669,434661.4,138
2019-05-09,1.65,1.6,1.7,1.6,1.6,173439,279172.1,92
2019-05-10,1.6,1.55,1.65,1.55,1.6,739600,1187352.15,204
2019-05-13,1.6,1.6,1.6,1.55,1.55,118043,183102.25,68
2019-05-14,1.55,1.5,1.5,1.5,1.5,61273,91909.5,43
2019-05-15,1.5,1.45,1.45,1.45,1.45,35318,51211.1,43
2019-05-16,1.45,1.4,1.5,1.4,1.5,284720,414808.75,134
2019-05-17,1.5,1.5,1.5,1.45,1.45,568921,825983.7,122
2019-05-20,1.45,1.5,1.5,1.45,1.5,378788,568169.5,71
2019-05-21,1.5,1.5,1.55,1.5,1.55,651971,1009777.55,60
2019-05-22,1.55,1.6,1.6,1.55,1.6,127691,201598.55,59
2019-05-23,1.6,1.65,1.65,1.65,1.65,66013,108921.45,48
2019-05-24,1.65,1.7,1.7,1.7,1.7,79597,135314.9,35
2019-05-27,1.7,1.75,1.75,1.75,1.75,22703,39730.25,29
2019-05-28,1.75,1.8,1.8,1.8,1.8,9492,17085.6,14
2019-05-29,1.8,1.85,1.85,1.85,1.85,25798,47726.3,20
2019-05-30,1.85,1.9,1.9,1.9,1.9,535288,1017047.2,44
2019-05-31,1.9,1.95,1.95,1.85,1.85,1318050,2513674.45,226
2019-06-03,1.85,1.8,1.9,1.8,1.9,872397,1603853.5,125
2019-06-04,1.9,1.95,1.95,1.85,1.85,265021,509166.7,140
2019-06-06,1.85,1.85,1.9,1.8,1.8,226877,410991.3,103
2019-06-07,1.8,1.8,1.8,1.75,1.75,34790,60882.9,51
2019-06-10,1.75,1.75,1.75,1.7,1.7,62056,105508.15,44
2019-06-11,1.7,1.65,1.75,1.65,1.75,212874,367137.3,79
2019-06-12,1.75,1.8,1.8,1.7,1.8,272902,489021.25,48
2019-06-13,1.8,1.85,1.85,1.75,1.75,141952,253451.85,94
