Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2020-10-01,36.5,38.3,38.3,37.35,38.3,3221,123249.95,59
2020-10-05,38.3,40.2,40.2,38.8,40.2,73268,2891112.65,342
2020-10-06,40.2,41.95,42.2,41.95,42.2,8675,365941.25,41
2020-10-07,42.2,44.3,44.3,43.25,44.3,7403,327702.55,113
2020-10-08,44.3,46.5,46.5,46.5,46.5,4514,209901.0,26
2020-10-09,46.5,48.8,48.8,48.8,48.8,551,26888.8,11
2020-10-12,48.8,51.2,51.2,46.4,51.2,182861,9144933.65,1354
2020-10-13,51.2,53.75,53.75,49.15,53.05,77755,4074241.1,409
2020-10-14,53.05,54.45,54.45,50.4,51.65,43242,2211612.2,305
2020-10-15,51.65,49.5,51.9,49.1,49.1,49511,2472985.15,113
2020-10-16,49.1,46.65,51.5,46.65,48.0,45050,2199273.9,157
2020-10-19,48.0,46.7,49.0,46.05,47.5,54684,2639559.75,124
2020-10-20,47.5,48.1,49.85,45.15,49.75,271000,13194883.1,445
2020-10-21,49.75,52.2,52.2,48.15,50.0,62295,3119186.45,181
2021-02-02,39.45,38.25,41.35,38.25,40.6,28120,1146797.05,59
2021-02-03,40.6,40.45,41.95,38.75,40.35,15283,614290.4,74
2021-02-04,40.35,41.9,41.9,38.35,40.35,30061,1202223.7,202
2021-02-05,40.35,42.9,42.9,39.15,40.4,7344,296213.6,66
2021-02-08,40.4,41.95,41.95,39.1,40.7,9684,387734.05,81
2021-02-09,40.7,41.9,41.9,40.2,40.65,2713,110347.15,63
2021-02-10,40.65,40.25,41.85,38.75,39.45,1445,57264.0,47
2021-02-11,39.45,41.2,41.95,40.0,41.25,7020,284090.3,94
2021-02-12,41.25,42.7,43.0,40.5,41.5,3841,160546.9,92
2021-02-15,41.5,41.0,43.0,41.0,42.45,12821,542279.2,103
2021-02-16,42.45,41.65,43.0,41.0,42.0,6287,267414.4,68
2021-02-17,42.0,43.4,43.8,42.35,43.15,1815,79104.15,28
2021-02-18,43.15,44.3,44.45,38.85,43.7,22145,943881.2,127
2021-02-19,43.7,41.6,44.5,41.5,43.0,6550,285374.9,110
2021-02-22,43.0,44.5,44.5,40.95,41.85,8391,350323.55,43
2021-02-23,41.85,42.1,44.0,40.55,41.1,3249,137447.65,67
2021-02-24,41.1,41.55,41.55,40.55,40.55,1348,55476.2,21
2021-02-25,40.55,40.6,43.0,38.9,41.15,2986,122432.7,204
2021-02-26,41.15,42.6,44.4,37.2,41.8,8228,341847.95,168
2021-03-01,41.8,43.55,43.55,39.1,41.2,5734,234313.9,129
2021-03-02,41.2,42.65,42.65,40.1,41.2,12817,533631.55,58
2021-03-03,41.2,41.05,42.2,40.05,41.0,8202,334467.05,295
2021-03-04,41.0,41.55,45.1,40.3,44.6,28701,1268954.15,357
2021-03-05,44.6,48.0,48.0,41.05,42.25,9580,420389.95,210
2021-03-08,42.25,43.75,43.75,41.0,41.4,9323,387957.85,78
2021-03-09,41.4,41.05,45.5,40.95,41.95,2928,127279.7,151
2021-03-10,41.95,44.3,44.3,41.8,41.95,5887,250181.85,121
2021-03-12,41.95,43.9,43.9,40.2,42.3,5084,212451.85,110
2021-03-15,42.3,44.25,44.25,41.1,42.9,3134,133733.6,75
2021-03-16,42.9,41.5,44.5,40.4,42.55,5775,246767.25,111
2021-03-17,42.55,44.25,44.25,41.0,42.0,4446,186608.05,84
2021-03-18,42.0,41.55,42.85,41.0,42.0,642,26764.75,38
2021-03-19,42.0,42.85,43.65,41.75,42.65,2132,90701.4,103
2021-03-22,42.65,41.45,44.4,41.0,43.6,11365,480572.85,171
2021-03-23,43.6,43.65,43.7,41.0,42.35,5348,224411.1,179
2021-03-24,42.35,43.15,45.0,42.55,43.55,5470,238650.2,114
2021-03-25,43.55,43.9,43.95,41.0,42.2,1381,58220.8,54
2021-03-26,42.2,41.65,44.5,41.0,41.5,11764,500279.4,62
2021-03-30,41.5,41.5,44.8,41.5,44.25,2715,118566.05,115
2021-03-31,44.25,44.65,44.65,39.85,41.25,16938,701499.45,321
2021-04-01,41.25,42.2,43.35,40.0,40.2,7076,293304.5,53
2021-04-05,40.2,43.5,43.5,39.0,40.95,17147,703635.4,200
2021-04-06,40.95,40.0,43.2,40.0,41.55,7226,303195.1,84
2021-04-07,41.55,41.45,43.3,40.4,41.7,19090,799021.5,542
2021-04-08,41.7,43.65,44.0,41.05,43.45,7600,325511.5,508
2021-04-09,43.45,42.05,44.5,41.0,43.15,7449,319558.6,178
2021-04-12,43.15,43.1,43.1,40.5,41.15,2652,109535.4,86
2021-04-13,41.15,41.55,44.5,40.5,42.1,801,33966.75,58
2021-04-15,42.1,40.6,42.25,40.55,40.95,8962,368342.75,79
2021-04-16,40.95,41.0,42.3,40.5,41.05,4888,200650.65,49
2021-04-19,41.05,41.9,42.3,39.8,41.5,1255,51691.4,32
2021-04-20,41.5,40.25,41.9,40.25,41.2,1161,48078.35,32
2021-04-22,41.2,41.1,42.85,39.5,40.2,2020,82671.8,90
2021-04-23,40.2,40.1,42.3,39.05,40.5,18743,754974.15,79
2021-04-26,40.5,42.3,42.4,39.2,39.95,2553,102924.0,72
2021-04-27,39.95,41.1,41.1,39.4,40.0,2175,87475.9,92
2021-04-28,40.0,40.55,41.5,39.3,39.85,2536,103025.05,84
2021-04-29,39.85,40.0,41.45,37.4,39.75,12173,486546.1,97
2021-04-30,39.75,39.8,40.0,39.0,39.75,5814,232346.05,41
2021-05-03,39.75,39.15,40.0,39.15,40.0,686,27313.7,20
2021-05-04,40.0,40.8,41.8,39.65,40.9,1292,53095.75,54
2021-05-05,40.9,40.0,42.0,38.5,39.8,6444,257623.8,105
2021-05-06,39.8,39.8,40.85,39.5,40.0,10690,427524.2,39
2021-05-07,40.0,40.05,48.0,34.8,40.6,22950,975334.1,692
2021-05-10,40.6,44.95,44.95,40.65,41.45,4408,184430.6,116
2021-05-11,41.45,41.45,42.7,40.5,40.6,6113,251419.4,108
2021-05-12,40.6,41.65,41.8,40.15,40.55,5201,211990.2,182
2021-05-14,40.55,41.2,42.55,39.5,40.5,2485,100577.25,76
2021-05-17,40.5,41.35,41.45,39.85,40.45,16493,661491.05,173
2021-05-18,40.45,40.9,41.25,40.0,40.35,10644,428443.9,97
2021-05-19,40.35,40.65,40.7,39.75,40.4,3247,131333.85,46
2021-05-20,40.4,40.0,40.5,39.8,39.95,2697,107837.2,50
2021-05-21,39.95,40.85,40.95,38.5,39.5,8438,339169.55,116
2021-05-24,39.5,40.2,40.9,38.55,39.7,2670,106183.4,113
2021-05-25,39.7,40.8,40.8,37.0,39.75,9966,393959.6,157
2021-05-26,39.75,40.8,47.7,40.75,47.2,429981,20136771.65,2925
2021-05-27,47.2,47.9,49.8,43.75,44.2,84129,3822445.9,1054
2021-05-28,44.2,45.5,46.95,41.25,42.15,38342,1688846.3,514
2021-05-31,42.15,44.7,45.45,42.15,42.45,17530,750249.1,309
2021-06-01,42.45,42.1,43.95,40.65,43.0,51455,2191478.85,447
2021-06-02,43.0,44.0,44.0,41.2,42.95,17451,751574.05,265
2021-06-03,42.95,42.1,43.0,41.5,42.15,15720,666682.25,193
2021-06-04,42.15,42.85,43.3,41.7,42.25,19428,825679.8,170
2021-06-07,42.25,43.45,44.7,41.7,43.3,51477,2259944.8,451
2021-06-08,43.3,44.2,44.7,42.05,43.05,26556,1164323.1,336
2021-06-09,43.05,42.6,43.0,41.55,42.55,8859,377082.7,187
2021-06-10,42.55,44.6,44.6,42.15,42.75,6664,285484.6,202
2021-06-11,42.75,42.75,44.95,41.75,42.1,33682,1439206.0,376
2021-06-14,42.1,45.85,45.85,41.8,42.35,25469,1098083.7,472
2021-06-15,42.35,43.25,43.25,42.25,42.6,4057,173017.55,109
2021-06-16,42.6,42.6,47.5,41.8,45.05,118354,5382991.45,1429
2021-06-17,45.05,46.95,46.95,43.2,43.8,19824,883549.55,345
2021-06-18,43.8,43.85,44.3,42.3,42.65,13749,595062.5,278
2021-06-21,42.65,41.8,44.0,41.5,43.55,14056,608616.65,284
2021-06-22,43.55,43.05,44.8,42.85,43.35,15423,673832.15,460
2021-06-23,43.35,44.8,44.8,43.1,43.45,7012,306737.65,130
2021-06-24,43.45,45.2,47.8,43.75,45.8,67424,3115767.4,651
2021-06-25,45.8,47.35,47.4,43.0,44.6,42819,1939343.65,571
2021-06-28,44.6,44.6,46.75,43.0,45.35,12553,557566.45,343
2021-06-29,45.35,45.35,45.65,43.85,44.75,13451,603689.95,285
2021-06-30,44.75,45.2,45.2,43.5,44.25,8640,382013.2,269
2021-07-01,44.25,43.55,45.15,43.45,43.95,6751,297451.6,162
2021-07-02,43.95,44.45,48.0,44.45,45.25,90306,4202073.25,1033
2021-07-05,45.25,45.25,48.1,44.75,46.8,54487,2558181.55,567
2021-07-06,46.8,47.85,50.0,47.1,49.3,309655,15391674.45,2490
2021-07-07,49.3,51.0,51.0,48.4,49.45,54677,2704407.4,965
2021-07-08,49.45,50.7,50.7,48.15,48.6,24952,1217737.45,411
2021-07-09,48.6,47.75,50.45,46.5,49.55,44229,2157549.7,701
2021-07-12,49.55,50.95,50.95,47.1,47.45,30780,1485423.6,619
2021-07-13,47.45,49.3,52.1,47.7,50.05,181699,9217952.45,1793
2021-07-14,50.05,50.0,52.75,49.3,50.2,44683,2270649.05,685
2021-07-15,50.2,51.65,51.65,49.0,49.6,26245,1304862.15,554
2021-07-16,49.6,50.55,51.3,49.4,49.7,14279,712178.3,202
2021-07-19,49.7,50.0,51.5,48.4,51.25,45452,2287508.6,769
2021-07-20,51.25,51.25,51.5,48.65,49.4,21368,1070162.35,390
2021-07-22,49.4,51.65,51.9,48.5,49.15,21446,1070338.45,576
2021-07-23,49.15,49.85,49.85,46.0,48.95,28205,1374007.65,462
2021-07-26,48.95,48.95,48.95,47.1,47.5,21003,1005215.6,322
2021-07-27,47.5,46.8,50.5,46.6,48.4,60683,2999683.1,575
2021-07-28,48.4,47.55,49.95,46.9,47.1,15554,745665.9,238
2021-07-29,47.1,48.15,48.45,47.1,47.25,9136,433767.65,151
2021-07-30,47.25,47.4,48.2,46.6,47.4,14470,685223.1,357
2021-08-02,47.4,47.85,51.45,46.35,48.65,146547,7319781.05,1419
2021-08-03,48.65,49.65,51.2,49.0,49.85,97281,4904462.6,840
2021-08-04,49.85,51.6,51.6,48.5,48.7,15169,749769.05,213
2021-08-05,48.7,48.5,49.85,47.35,47.6,14377,686764.9,188
2021-08-06,47.6,47.65,49.9,47.65,48.15,48707,2405351.85,337
2021-08-09,48.15,49.4,49.4,47.0,47.1,13073,624412.85,211
2021-08-10,47.1,45.95,51.4,44.75,50.6,191208,9506093.05,1458
2021-08-11,50.6,54.15,55.9,48.55,49.35,623880,32468645.8,4640
2021-08-12,49.35,51.2,51.2,47.85,49.25,39782,1943492.8,941
2021-08-13,49.25,50.55,50.55,46.7,46.95,68111,3228667.3,777
2021-08-16,46.95,47.0,48.35,46.45,47.7,21149,1001583.75,681
2021-08-17,47.7,47.0,47.55,46.0,46.75,18624,869609.85,294
2021-08-18,46.75,47.15,47.15,45.65,45.9,13508,622541.05,362
2021-08-20,45.9,45.0,46.45,44.0,44.45,10323,460464.25,262
2021-08-23,44.45,44.95,45.0,43.5,44.0,20312,901714.6,560
2021-08-24,44.0,43.2,46.9,42.5,43.0,11598,508112.1,380
2021-08-25,43.0,44.35,44.35,41.8,43.75,11361,494064.95,212
2021-08-26,43.75,44.9,46.55,43.0,45.45,25311,1149807.35,533
2021-08-27,45.45,44.2,46.4,43.45,43.9,14095,622514.15,402
2021-08-30,43.9,43.05,45.45,43.05,43.6,9831,430769.6,268
2021-08-31,43.6,43.05,44.9,43.05,43.45,13201,577618.4,316
2021-09-01,43.45,43.25,44.4,43.25,43.6,1553,68093.9,135
2021-09-02,43.6,43.1,48.0,42.25,46.35,73034,3356947.25,963
2021-09-03,46.35,46.6,46.6,44.15,44.8,10051,453974.1,252
2021-09-06,44.8,44.25,45.1,43.65,43.85,11575,512463.0,268
2021-09-07,43.85,44.0,44.5,43.5,43.65,7829,344695.05,138
2021-09-08,43.65,43.5,44.6,43.5,43.75,3522,154954.15,138
2021-09-09,43.75,43.2,44.8,43.2,43.85,2480,108573.1,100
2021-09-13,43.85,44.55,44.55,43.0,43.45,5728,249969.35,114
2021-09-14,43.45,44.65,44.65,43.25,43.35,3818,165985.1,134
2021-09-15,43.35,43.4,44.65,43.05,43.7,9858,430254.8,259
2021-09-16,43.7,43.5,44.5,43.15,43.55,17687,772819.6,313
2021-09-17,43.55,44.4,44.4,43.25,43.8,5660,247209.4,193
2021-09-20,43.8,43.8,44.55,41.95,42.35,7438,317822.75,244
2021-09-21,42.35,43.0,43.3,41.2,42.85,5631,237260.7,115
2021-09-22,42.85,42.4,44.0,41.6,41.9,24111,1029177.95,740
2021-09-23,41.9,42.2,43.45,42.2,42.6,3619,155059.45,80
2021-09-24,42.6,42.65,43.4,40.3,41.3,7551,316981.75,171
2021-09-27,41.3,42.85,42.9,41.05,42.25,24093,1018330.75,514
2021-09-28,42.25,42.0,42.85,41.55,41.9,9292,390041.75,453
2021-09-29,41.9,41.6,42.8,40.4,42.55,2410,101781.4,89
2021-09-30,42.55,43.25,43.25,38.4,40.45,170901,6858509.4,873
2021-10-01,40.45,41.8,43.0,37.5,37.85,283900,10982599.55,2633
2021-10-04,37.85,38.35,39.65,38.1,38.75,65033,2511132.45,558
2021-10-05,38.75,39.5,39.5,38.6,38.85,23298,906991.9,350
2021-10-06,38.85,39.0,39.25,38.25,38.8,10954,426615.05,286
2021-10-07,38.8,38.8,42.6,37.5,38.55,358433,14210170.45,3022
2021-10-08,38.55,39.3,39.8,38.25,38.45,145828,5637887.25,686
2021-10-11,38.45,39.4,39.45,38.0,38.45,71783,2762576.55,484
2021-10-12,38.45,38.85,39.0,38.2,38.5,23849,918919.05,299
2021-10-13,38.5,38.3,38.9,38.0,38.25,23459,900647.65,430
2021-10-14,38.25,38.85,39.0,38.1,38.55,25044,968422.05,427
2021-10-18,38.55,39.5,39.5,37.6,38.0,76105,2898345.1,483
2021-10-19,38.0,38.7,38.7,37.35,37.85,12357,468985.5,253
2021-10-20,37.85,38.4,38.4,37.2,37.4,7158,268889.45,276
2021-10-21,37.4,37.6,37.6,36.1,36.45,17457,643679.0,390
2021-10-22,36.45,38.5,38.5,36.5,36.8,10198,378144.3,371
2021-10-25,36.8,37.55,37.55,35.7,36.25,7201,261687.05,310
2021-10-26,36.25,36.2,36.7,35.95,36.55,5162,188081.0,147
2021-10-27,36.55,36.0,36.55,35.85,36.25,5609,203122.7,227
2021-10-28,36.25,37.0,37.0,35.2,35.45,12709,451407.65,241
2021-10-29,35.45,35.1,35.9,35.0,35.55,3810,135272.55,176
2021-11-01,35.55,35.55,37.65,35.05,35.55,12169,435500.4,271
2021-11-02,35.55,35.5,37.3,35.5,35.8,3130,112531.8,116
2021-11-03,35.8,36.9,36.9,35.1,35.75,8515,304406.9,279
2021-11-04,35.75,37.3,37.3,35.75,36.55,2465,90215.75,77
2021-11-08,36.55,37.0,37.0,36.3,36.6,10305,377208.8,210
