Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-01-02,13.2,13.2,13.4,13.1,13.3,145895,1930458.1,356
2017-01-03,13.3,13.25,13.6,13.1,13.15,133308,1767622.85,542
2017-01-04,13.15,13.2,13.4,13.2,13.3,115445,1534967.0,317
2017-01-05,13.3,13.5,13.95,13.25,13.6,316017,4302049.8,846
2017-01-06,13.6,13.7,13.7,13.2,13.55,126871,1711400.0,381
2017-01-09,13.55,13.8,13.8,13.5,13.55,116635,1587602.85,317
2017-01-10,13.55,13.65,13.7,13.55,13.65,132468,1804738.4,247
2017-01-11,13.65,13.75,13.85,13.45,13.6,224390,3048925.65,452
2017-01-12,13.6,13.7,13.7,13.4,13.5,99730,1347504.85,324
2017-01-13,13.5,13.75,13.75,12.95,13.25,185280,2451731.55,422
2017-01-16,13.25,13.5,13.5,13.0,13.25,126573,1669798.45,335
2017-01-17,13.25,13.05,13.35,13.05,13.1,209311,2753380.65,485
2017-01-18,13.1,13.05,13.25,13.05,13.1,138563,1817501.75,376
2017-01-19,13.1,13.1,13.35,13.1,13.25,147491,1951855.25,385
2017-01-20,13.25,13.2,13.35,13.0,13.05,213743,2799813.05,561
2017-01-23,13.05,13.2,13.3,12.3,13.05,719280,9310133.8,3515
2017-01-24,13.05,13.05,13.15,12.85,13.05,107986,1405329.35,380
2017-01-25,13.05,13.15,13.2,12.9,13.05,155106,2016612.0,440
2017-01-27,13.05,13.0,13.15,12.7,12.75,262224,3371742.3,729
2017-01-30,12.75,12.75,12.95,12.65,12.7,260635,3327635.65,522
2017-01-31,12.7,12.95,12.95,12.7,12.8,129190,1654627.4,361
2017-02-01,12.8,12.9,12.95,12.7,12.85,135134,1733724.3,362
2017-02-02,12.85,12.75,12.9,12.7,12.85,115744,1486754.1,258
2017-02-03,12.85,12.85,13.3,12.8,13.2,514176,6741031.15,745
2017-02-06,13.2,13.25,13.6,13.1,13.2,576725,7722264.35,913
2017-02-07,13.2,13.35,13.55,13.15,13.25,396087,5279061.25,880
2017-02-08,13.25,13.25,13.5,12.8,13.0,597695,7806983.45,1380
2017-02-09,13.0,12.9,13.0,12.65,12.75,474029,6076415.55,1068
2017-02-10,12.75,12.95,12.95,12.65,12.7,387184,4927712.9,783
2017-02-13,12.7,12.85,12.85,12.35,12.45,277431,3475259.75,617
2017-02-14,12.45,12.5,12.5,12.2,12.3,208463,2572653.95,511
2017-02-15,12.3,12.3,12.8,12.1,12.3,198909,2448385.6,489
2017-02-16,12.3,12.25,12.4,12.2,12.25,106873,1313241.0,289
2017-02-17,12.25,12.3,12.4,12.2,12.3,310169,3813933.3,450
2017-02-20,12.3,12.35,12.65,12.3,12.6,213978,2670453.85,683
2017-02-21,12.6,12.6,12.75,12.45,12.65,289838,3655378.5,671
2017-02-22,12.65,12.5,13.0,12.5,12.85,326491,4219639.7,844
2017-02-23,12.85,12.65,12.9,12.6,12.7,114640,1460274.75,426
2017-02-27,12.7,13.0,13.0,12.4,12.6,247347,3142515.6,630
2017-02-28,12.6,12.6,12.75,12.5,12.7,155536,1976264.15,357
2017-03-01,12.7,12.65,12.9,12.65,12.8,229580,2939229.05,638
2017-03-02,12.8,12.8,13.0,12.4,12.65,255254,3238824.6,528
2017-03-03,12.65,12.75,12.75,12.45,12.55,94097,1181207.8,269
2017-03-06,12.55,12.7,12.7,12.45,12.5,116606,1464641.0,323
