Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-03-08,7.65,7.65,7.8,7.55,7.8,685,5222.5,7
2017-03-09,7.8,8.15,8.15,7.45,7.45,3165,23923.8,19
2017-03-10,7.45,7.5,7.55,7.5,7.55,101,762.5,2
2017-03-15,7.55,7.55,7.9,7.55,7.55,702,5305.8,11
2017-03-16,7.55,7.55,7.55,7.5,7.5,3715,27937.5,9
2017-03-17,7.5,7.5,7.8,7.45,7.5,4384,32879.2,15
2017-03-20,7.5,7.6,7.85,7.5,7.5,1396,10640.0,9
2017-03-21,7.5,7.6,7.6,7.5,7.5,500,3770.0,3
2017-03-22,7.5,7.6,7.85,7.15,7.85,802,5940.7,6
2017-03-24,7.85,7.8,7.8,7.5,7.5,700,5370.0,9
2017-03-27,7.5,7.6,7.7,7.15,7.15,900,6695.0,6
2017-03-28,7.15,6.85,6.85,6.8,6.8,500,3420.0,5
2017-03-30,6.8,6.8,6.8,6.8,6.8,300,2040.0,1
2017-04-03,6.8,6.9,6.9,6.5,6.7,800,5400.0,6
2017-04-05,6.7,6.6,7.0,6.4,7.0,3092,20108.2,12
2017-04-06,7.0,7.0,7.35,6.65,6.65,1902,12826.7,9
2017-04-07,6.65,6.75,6.85,6.5,6.75,1052,7113.5,14
2018-05-02,8.8,9.2,9.2,9.0,9.0,1272,11691.5,11
2018-05-03,9.0,9.0,9.0,8.8,8.8,700,6225.0,7
2018-05-07,8.8,8.5,8.5,8.5,8.5,100,850.0,3
2018-05-08,8.5,8.4,8.9,8.4,8.5,1674,14258.7,13
2018-05-09,8.5,8.45,8.75,8.45,8.75,1100,9430.0,6
2018-05-10,8.75,8.35,8.45,8.35,8.35,239,2003.45,5
2018-05-11,8.35,8.5,8.5,8.5,8.5,20,170.0,1
2018-05-14,8.5,8.75,8.8,8.15,8.15,2070,18133.0,12
2018-05-15,8.15,8.2,8.45,8.2,8.2,2049,17176.8,15
2018-05-16,8.2,7.9,8.25,7.9,8.25,43,345.8,5
2018-05-17,8.25,8.25,8.25,8.25,8.25,242,1996.5,1
2018-05-21,8.25,8.15,8.15,8.05,8.05,949,7639.6,7
2018-05-22,8.05,7.7,7.7,7.65,7.65,101,777.65,2
2018-05-24,7.65,7.65,7.65,7.65,7.65,4,30.6,1
2018-05-28,7.65,7.35,7.35,7.3,7.3,300,2195.0,5
2018-05-29,7.3,6.95,7.3,6.95,7.3,101,702.3,2
2018-05-30,7.3,7.45,7.45,6.95,7.05,320,2252.25,21
2018-05-31,7.05,7.0,7.0,7.0,7.0,228,1596.0,4
2018-06-01,7.0,6.65,6.65,6.65,6.65,102,678.3,3
2018-06-04,6.65,6.65,6.95,6.65,6.65,1945,12996.9,16
2018-06-05,6.65,6.8,6.8,6.65,6.65,1508,10178.2,10
2018-06-06,6.65,6.65,6.8,6.65,6.8,331,2220.8,5
2018-06-07,6.8,6.8,6.95,6.5,6.85,3719,24519.1,10
2018-06-08,6.85,6.85,7.15,6.8,7.0,2226,15725.35,9
2018-06-11,7.0,7.1,7.25,7.0,7.0,1758,12546.0,10
2018-06-14,7.0,7.0,7.1,7.0,7.0,2500,17550.0,6
2018-06-15,7.0,7.3,7.3,7.3,7.3,250,1825.0,1
2018-06-18,7.3,7.5,7.5,7.3,7.3,2024,15102.2,11
2018-06-19,7.3,7.5,7.5,7.45,7.45,510,3824.5,2
2018-06-20,7.45,7.65,7.8,7.5,7.6,2743,20867.0,17
2018-06-21,7.6,7.8,7.8,7.6,7.6,2030,15753.0,9
2018-06-22,7.6,7.6,7.8,7.6,7.65,2000,15449.8,10
2018-06-25,7.65,7.65,7.85,7.65,7.7,2000,15520.0,9
