Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-01-02,750.75,750.0,769.0,736.85,750.0,84,62810.3,7
2017-01-03,750.0,755.0,755.0,735.1,738.15,116,87328.45,7
2017-01-04,738.15,741.05,762.0,741.05,758.1,225,169037.85,35
2017-01-05,758.1,742.2,770.0,742.2,763.95,145,110193.9,27
2017-01-06,763.95,770.6,771.0,760.0,771.0,62,47767.2,11
2017-01-09,771.0,770.0,780.0,755.5,768.8,93,71262.3,28
2017-01-10,768.8,752.05,770.0,746.15,747.15,321,242306.4,21
2017-01-11,747.15,760.0,888.0,760.0,842.45,3416,2924136.4,392
2017-01-12,842.45,842.0,859.8,822.0,832.35,457,382787.75,61
2017-01-13,832.35,813.05,818.0,810.0,811.2,119,96582.2,21
2017-01-16,811.2,801.25,824.0,800.05,810.05,120,96785.1,24
2017-01-17,810.05,801.15,819.5,800.0,803.65,262,211530.95,23
2017-01-18,803.65,810.0,830.0,791.1,804.7,230,186815.0,57
2017-01-19,804.7,781.0,829.95,780.0,799.5,838,683833.8,61
2017-01-20,799.5,819.95,819.95,793.05,799.35,55,44143.4,8
2017-01-23,799.35,799.1,818.0,791.5,806.45,212,169905.8,37
2017-01-24,806.45,829.5,830.0,802.55,806.05,70,56955.7,25
2017-01-25,806.05,821.0,821.0,796.1,796.1,129,103344.95,30
2017-01-27,796.1,799.0,809.95,783.5,789.65,299,236667.7,22
2017-01-30,789.65,776.1,809.0,776.05,805.0,475,379260.75,60
2017-01-31,805.0,819.0,819.0,784.0,785.45,215,171027.65,53
2017-02-01,785.45,780.55,830.0,777.0,811.0,566,452202.7,64
2017-02-02,811.0,793.95,808.0,792.0,792.05,33,26360.45,14
2017-02-03,792.05,800.0,830.0,791.0,805.3,84,67464.7,19
2017-02-06,805.3,810.05,813.0,792.0,800.5,113,90713.3,28
2017-02-07,800.5,793.15,823.0,792.85,818.8,245,196853.9,68
2017-02-08,818.8,813.9,813.9,793.95,799.15,46,36863.3,23
2017-02-09,799.15,803.05,824.75,802.25,813.05,224,182016.4,40
2017-02-10,813.05,810.05,810.05,806.05,807.0,209,168960.85,16
2017-02-13,807.0,810.0,820.0,790.0,792.1,177,141235.65,23
2017-02-14,792.1,785.05,798.95,780.1,781.75,1142,896638.9,138
2017-02-15,781.75,785.0,785.0,775.0,775.7,283,221223.05,29
2017-02-16,775.7,780.0,780.05,770.0,772.3,321,249069.0,30
2017-02-17,772.3,776.05,786.95,775.5,781.2,147,114424.0,29
