Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-01-02,281.2,280.1,284.75,273.45,282.0,19226,5341730.5,173
2017-01-03,282.0,284.95,297.3,284.95,292.8,7500,2183152.85,323
2017-01-04,292.8,294.8,351.35,294.0,314.85,106165,34524440.7,3260
2017-01-05,314.85,316.0,325.0,314.3,317.95,15988,5099073.9,589
2017-01-06,317.95,317.95,322.1,305.05,311.4,5317,1663900.6,292
2017-01-09,311.4,316.95,323.5,305.5,320.05,22913,7280746.85,401
2017-01-10,320.05,320.0,330.0,315.15,317.35,24334,7794400.6,472
2017-01-11,317.35,323.45,323.45,316.5,317.9,19304,6165504.15,231
2017-01-12,317.9,322.9,322.9,312.15,314.2,8590,2711064.35,256
2017-01-13,314.2,318.5,333.0,310.0,326.75,14413,4629733.25,519
2017-01-16,326.75,325.5,337.0,315.0,328.5,55967,18442242.3,1068
2017-01-17,328.5,324.85,324.85,314.0,315.8,4084,1291935.4,302
2017-01-18,315.8,318.85,319.0,311.0,313.15,4377,1376045.75,213
2017-01-19,313.15,316.75,324.8,307.05,311.2,15095,4769471.65,394
2017-01-20,311.2,311.85,313.9,302.25,304.75,2960,909767.4,187
2017-01-23,304.75,309.9,309.9,303.1,305.85,1648,504063.55,124
2017-01-24,305.85,308.95,308.95,302.2,305.7,1888,577970.0,110
2017-01-25,305.7,309.85,309.85,300.55,304.45,2487,760839.3,148
2017-01-27,304.45,303.0,304.0,295.0,295.4,6320,1888467.15,345
2017-01-30,295.4,294.0,295.4,282.2,291.15,2340,681571.05,149
2017-01-31,291.15,291.15,292.6,283.95,285.15,4623,1323772.7,308
2017-02-01,285.15,286.0,303.5,286.0,300.05,15174,4530087.85,434
2017-02-02,300.05,299.95,304.0,295.05,302.95,1444,435019.75,150
2017-02-03,302.95,296.0,347.7,296.0,327.4,209883,70470826.45,8086
2017-02-06,327.4,320.0,331.8,311.0,316.3,34795,11240237.0,1555
2017-02-07,316.3,312.0,320.0,311.0,313.85,9427,2965857.0,460
2017-02-08,313.85,320.5,325.4,315.15,319.4,16082,5159785.3,910
2017-02-09,319.4,322.4,327.0,317.8,318.35,7043,2256680.85,457
2017-02-10,318.35,319.0,326.0,315.5,316.4,18838,5983942.0,367
