Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2024-12-30,2.99,3.13,3.13,3.0,3.08,422549,1303424.47,1204
2024-12-31,3.08,3.04,3.23,3.04,3.14,172303,541451.48,1021
2025-01-01,3.14,3.25,3.29,3.22,3.28,313562,1028384.41,969
2025-01-02,3.28,3.35,3.44,3.17,3.22,545217,1831845.17,1264
2025-01-03,3.22,3.21,3.37,3.2,3.28,331983,1097439.06,1094
2025-01-06,3.28,3.35,3.4,3.11,3.12,334875,1070004.96,1064
2025-01-07,3.12,3.14,3.25,3.05,3.11,191895,603408.53,655
2025-01-08,3.11,3.19,3.19,3.11,3.12,189695,593283.44,588
2025-01-09,3.12,3.12,3.15,2.96,2.98,217131,662480.62,785
2025-01-10,2.98,3.09,3.09,2.87,2.88,267169,790839.47,708
2025-01-13,2.88,2.78,2.8,2.73,2.73,450866,1240539.58,826
2025-01-14,2.73,2.74,2.86,2.74,2.86,139422,394804.37,570
2025-01-15,2.86,2.99,3.0,2.72,3.0,290467,850305.31,670
2025-01-16,3.0,3.1,3.15,3.01,3.11,224842,701915.57,793
2025-01-17,3.11,3.07,3.25,3.01,3.04,214992,664566.8,797
2025-01-20,3.04,3.04,3.09,2.96,2.98,151438,454167.09,757
2025-01-21,2.98,2.98,3.08,2.95,2.98,121149,363463.53,670
2025-01-22,2.98,3.03,3.1,2.9,2.92,108840,320301.55,669
2025-01-23,2.92,2.93,3.04,2.83,2.86,120257,351737.26,632
2025-01-24,2.86,2.99,3.0,2.86,2.99,143212,425902.61,549
2025-01-27,2.99,3.11,3.11,2.89,2.92,149123,438978.01,709
2025-01-28,2.92,2.98,3.04,2.88,2.92,158728,468560.73,612
2025-01-29,2.92,2.98,3.03,2.88,2.92,145168,425877.58,559
2025-01-30,2.92,2.88,2.95,2.82,2.84,184358,530935.62,731
2025-01-31,2.84,2.94,2.94,2.84,2.91,134719,392198.63,502
2025-02-03,2.88,2.9,2.99,2.84,2.86,145290,420985.51,670
2025-02-04,2.86,2.97,2.97,2.71,2.75,432940,1209865.46,944
2025-02-05,2.75,2.81,2.84,2.74,2.75,316273,880783.74,629
2025-02-06,2.75,2.85,3.02,2.78,2.87,284991,827375.02,738
2025-02-07,2.87,2.92,2.96,2.82,2.85,92186,266249.19,529
2025-02-10,2.85,2.81,2.98,2.81,2.86,108855,316369.87,601
2025-02-11,2.86,2.86,2.97,2.71,2.74,144142,403515.11,639
2025-02-12,2.74,2.8,2.95,2.7,2.86,193050,542967.78,814
2025-02-13,2.86,2.95,2.95,2.76,2.79,137170,390198.91,618
2025-02-14,2.79,2.9,2.9,2.64,2.66,212244,575888.23,653
2025-02-17,2.66,2.67,2.8,2.55,2.57,137200,357088.0,559
2025-02-18,2.57,2.64,2.64,2.46,2.48,137026,340300.15,502
2025-02-19,2.48,2.58,2.58,2.48,2.51,122673,311275.21,427
2025-02-20,2.51,2.51,2.55,2.3,2.48,193474,479273.29,629
2025-02-21,2.48,2.56,2.69,2.42,2.44,214522,536685.62,526
2025-02-24,2.44,2.43,2.54,2.36,2.37,105379,253847.54,442
2025-02-25,2.37,2.37,2.45,2.36,2.39,140897,336912.91,465
2025-02-27,2.39,2.48,2.48,2.32,2.34,111770,264372.63,452
2025-02-28,2.34,2.38,2.39,2.11,2.13,379626,837070.76,946
