Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-01-02,67.92,68.5,69.0,68.05,68.35,8054,553108.7,26
2017-01-03,68.35,68.12,70.5,67.53,69.75,4910,338371.55,61
2017-01-04,69.75,69.75,71.88,69.0,70.72,10956,781289.05,118
2017-01-05,70.72,68.03,71.75,68.03,69.62,4254,295989.7,64
2017-01-06,69.62,69.08,70.5,68.4,69.42,6662,460030.75,41
2017-01-09,69.42,68.03,71.85,68.03,70.45,2398,167829.3,24
2017-01-10,70.45,70.0,71.45,69.0,69.32,1720,120166.75,17
2017-01-11,69.32,71.88,71.88,69.22,70.82,6598,462887.45,59
2017-01-12,70.82,71.72,71.88,69.05,70.88,8804,620649.8,52
2017-01-13,70.88,70.5,71.5,68.5,69.8,10844,757493.75,98
2017-01-16,69.8,70.05,71.45,69.12,69.18,2092,146735.55,35
2017-01-17,69.18,69.15,70.42,68.6,69.38,1438,100042.05,44
2017-01-18,69.38,68.53,70.95,68.5,68.58,13648,943351.8,70
2017-01-19,68.58,71.47,71.47,68.6,70.82,5180,363063.25,55
2017-01-20,70.82,69.3,70.5,69.15,69.25,2346,163243.9,29
2017-01-23,69.25,69.12,69.95,69.0,69.15,12328,854982.9,40
2017-01-24,69.15,69.18,73.75,69.15,73.25,8162,585376.7,80
2017-01-25,73.25,73.75,73.75,72.5,73.25,2446,179416.9,33
2017-01-27,73.25,72.0,73.88,71.03,72.0,4240,309981.7,34
2017-01-30,72.0,71.28,72.5,70.5,70.97,2244,160190.45,32
2017-01-31,70.97,71.0,73.25,67.7,72.25,7828,556530.55,87
2017-02-01,72.25,71.05,77.75,70.53,75.68,18760,1383684.3,150
2017-02-02,75.68,77.45,79.5,76.53,79.28,4466,346850.45,54
2017-02-03,79.28,75.82,79.75,75.82,78.97,1718,133580.45,52
2017-02-06,78.97,78.0,78.0,77.03,77.25,3642,282428.85,42
2017-02-07,77.25,77.5,77.5,75.5,77.08,5694,434499.8,74
2017-02-08,77.08,78.5,84.95,78.0,84.28,58746,4766603.9,274
2017-02-09,84.28,84.98,85.25,75.0,81.15,9794,790140.0,160
2017-02-10,81.15,81.15,82.48,77.5,79.05,3120,248273.6,83
2017-02-13,79.05,79.05,79.05,75.0,76.38,6010,463216.7,77
2017-02-14,76.38,77.97,77.97,74.5,75.72,5466,413161.5,110
