Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2021-07-07,14.54,17.44,17.44,13.37,14.49,335978,4892857.43,659
2021-07-08,14.49,14.6,15.0,14.3,14.32,308598,4460893.11,951
2021-07-09,14.32,17.35,17.35,14.32,14.42,160432,2311095.89,504
2021-07-12,14.42,16.7,16.7,14.32,14.42,229165,3314096.95,562
2021-07-13,14.42,14.32,14.59,14.2,14.5,202588,2936993.5,445
2021-07-14,14.5,14.8,14.8,14.23,14.54,189244,2750840.79,421
2021-07-15,14.54,14.8,14.8,14.33,14.53,195911,2856053.6,536
2021-07-16,14.53,15.0,15.0,14.53,14.68,247690,3644392.53,586
2021-07-19,14.68,14.95,14.98,14.65,14.72,645547,9522406.37,994
2021-07-20,14.72,14.9,14.9,14.5,14.54,244764,3573931.63,740
2021-07-22,14.54,14.88,15.5,14.5,14.64,227584,3327144.85,652
2021-07-23,14.64,15.2,15.2,14.56,14.66,168161,2460946.52,456
2021-07-26,14.66,14.66,14.84,14.6,14.65,121368,1783885.55,582
2021-07-27,14.65,14.8,14.8,13.95,14.09,1333964,18861963.81,2477
2021-07-28,14.09,14.9,14.9,13.85,14.03,912092,12813531.38,1729
2021-07-29,14.03,14.28,14.28,13.92,13.98,267559,3747724.47,983
2021-07-30,13.98,14.25,14.49,14.01,14.43,307092,4391663.9,634
2021-08-02,14.43,14.7,14.8,14.32,14.44,240456,3486090.7,728
2021-08-03,14.44,14.44,14.75,14.33,14.59,202730,2956922.76,531
2021-08-04,14.59,14.59,14.73,14.55,14.61,326932,4793271.1,642
2021-08-05,14.61,14.75,14.75,14.5,14.66,238148,3485679.85,505
2021-08-06,14.66,15.1,16.0,14.43,14.59,134346,1962936.29,498
2021-08-09,14.59,14.75,14.75,14.33,14.57,102055,1484356.04,595
2021-08-10,14.57,14.75,14.78,14.44,14.51,286418,4185707.99,595
2021-08-11,14.51,14.78,14.78,14.22,14.36,157900,2264705.38,763
2021-08-12,14.36,14.6,14.6,14.19,14.2,414815,5921656.23,902
2021-08-13,14.2,14.66,14.66,14.05,14.14,373120,5272984.08,1004
2021-08-16,14.14,14.28,14.28,13.98,14.05,355049,4984153.67,1146
2021-08-17,14.05,14.12,14.21,14.01,14.1,168495,2379110.92,554
2021-08-18,14.1,14.27,14.27,13.95,14.16,189781,2688131.92,504
2021-08-20,14.16,14.24,14.24,13.72,13.8,585977,8123150.2,1761
