Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-01-02,452.75,453.95,460.0,442.75,444.7,3971,1778804.25,220
2017-01-03,444.7,446.05,468.8,446.0,463.15,4702,2166527.15,400
2017-01-04,463.15,469.0,469.0,451.2,456.0,2102,966660.35,173
2017-01-05,456.0,464.95,475.0,456.3,471.7,7689,3593738.25,659
2017-01-06,471.7,471.0,479.9,464.0,475.0,6593,3105400.85,393
2017-01-09,475.0,471.05,471.5,465.0,468.05,2550,1192946.6,133
2017-01-10,468.05,464.3,473.95,464.3,468.7,1045,490337.8,66
2017-01-11,468.7,477.0,487.0,472.15,484.0,5147,2492582.2,302
2017-01-12,484.0,482.05,485.3,476.2,482.5,2339,1126260.65,179
2017-01-13,482.5,483.25,499.6,480.0,497.25,4947,2435627.45,480
2017-01-16,497.25,489.75,500.0,482.7,498.05,4025,1994213.15,475
2017-01-17,498.05,500.0,508.0,495.0,498.2,2468,1234651.5,229
2017-01-18,498.2,507.95,507.95,496.05,501.45,3849,1926806.6,204
2017-01-19,501.45,496.05,503.85,495.0,495.1,2115,1051717.8,109
2017-01-20,495.1,490.55,502.9,480.0,485.1,1860,913049.4,203
2017-01-23,485.1,481.0,492.0,475.05,488.4,2795,1360324.9,295
2017-01-24,488.4,490.0,493.0,483.15,486.6,1312,641615.5,209
2017-01-25,486.6,496.6,505.9,479.0,483.0,5027,2459643.45,265
2017-01-27,483.0,485.05,492.45,478.0,478.75,4750,2289046.4,187
2017-01-30,478.75,477.0,488.7,470.0,471.8,4621,2207990.55,471
2017-01-31,471.8,470.0,484.0,464.0,470.1,3946,1848405.9,343
2017-02-01,470.1,470.05,484.75,464.0,482.95,2940,1407003.3,190
2017-02-02,482.95,485.0,485.0,470.0,473.45,5635,2681089.15,343
2017-02-03,473.45,480.0,490.0,475.0,481.65,4308,2076081.25,584
2017-02-06,481.65,490.0,502.0,481.05,488.85,3032,1479102.65,218
2017-02-07,488.85,490.0,497.0,482.1,483.65,3049,1491451.7,213
2017-02-08,483.65,493.95,498.8,485.0,495.7,7640,3773560.35,291
2017-02-09,495.7,488.6,499.9,475.1,484.85,13481,6544698.55,698
2017-02-10,484.85,479.3,484.9,469.0,471.6,6967,3319229.3,511
2017-02-13,471.6,470.0,480.0,452.7,467.95,13309,6194933.0,952
2017-02-14,467.95,471.5,477.0,460.5,470.45,5758,2690515.5,410
2017-02-15,470.45,465.6,470.95,461.0,464.15,2085,969998.65,187
2017-02-16,464.15,460.15,475.0,460.15,471.95,3789,1773964.3,321
2017-02-17,471.95,474.0,478.8,468.0,473.65,1294,612578.05,164
2017-02-20,473.65,473.0,483.8,466.2,476.8,7602,3631366.0,438
2017-02-21,476.8,478.6,480.0,471.0,473.4,2232,1057386.75,228
2017-02-22,473.4,474.2,485.0,473.0,478.35,5234,2501806.85,273
2017-02-23,478.35,482.0,500.0,480.1,484.45,11782,5781997.95,624
2017-02-27,484.45,495.8,495.8,467.5,472.3,8123,3841345.7,376
2017-02-28,472.3,478.0,484.5,466.7,480.0,7821,3714219.3,605
2017-03-01,480.0,481.0,489.8,465.55,469.85,6334,3011728.2,412
2017-03-02,469.85,475.0,478.8,470.6,471.4,5526,2611378.75,351
2017-03-03,471.4,471.2,474.45,460.25,465.35,2163,1006809.7,295
2017-03-06,465.35,469.0,471.95,460.05,467.1,4851,2263256.2,372
2017-03-07,467.1,474.25,474.95,466.15,467.25,2248,1051428.35,143
2017-03-08,467.25,467.75,471.75,466.05,467.25,1296,605233.9,137
2017-03-09,467.25,461.35,474.0,461.3,467.75,2179,1017625.15,98
2017-03-10,467.75,470.0,483.45,468.55,472.7,9076,4315396.7,540
2017-03-14,472.7,480.2,480.65,464.0,464.55,1717,805654.3,187
2017-03-15,464.55,470.0,477.95,466.0,473.25,4914,2311015.45,131
