Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-05-30,2.55,2.5,2.5,2.45,2.45,800,1975.0,3
2017-05-31,2.45,2.4,2.4,2.35,2.35,125,298.75,2
2017-06-01,2.35,2.25,2.45,2.25,2.45,7015,16188.75,13
2017-06-02,2.45,2.35,2.35,2.35,2.35,2001,4702.35,3
2017-06-05,2.35,2.25,2.4,2.25,2.25,35000,80184.9,14
2017-06-06,2.25,2.15,2.35,2.15,2.3,21687,49877.45,8
2017-06-07,2.3,2.1,2.25,2.1,2.2,6180,13230.0,17
2017-06-08,2.2,2.1,2.35,2.0,2.2,8119,17344.7,32
2017-06-09,2.2,2.2,2.2,2.2,2.2,1525,3355.0,4
2017-06-13,2.2,2.2,2.2,2.0,2.0,8102,16989.4,11
2017-06-14,2.0,2.0,2.0,2.0,2.0,350,700.0,2
2017-06-15,2.0,2.2,2.2,1.85,2.15,1868,3758.4,10
2017-06-16,2.15,2.0,2.25,2.0,2.0,5604,11229.0,11
2017-06-19,2.0,2.1,2.1,2.0,2.1,2375,4985.0,6
2017-06-20,2.1,1.95,2.15,1.9,1.9,5612,10901.15,39
2017-06-21,1.9,1.75,2.05,1.75,1.9,3364,6563.8,16
2017-06-22,1.9,1.85,1.9,1.85,1.9,1820,3377.0,5
2017-06-23,1.9,2.05,2.05,1.8,1.9,536,1008.6,10
2017-06-27,1.9,1.75,2.0,1.75,1.8,2198,4156.3,13
2017-06-28,1.8,1.8,1.95,1.75,1.8,5777,10371.65,6
2017-06-29,1.8,1.95,1.95,1.95,1.95,1538,2999.1,7
2017-06-30,1.95,1.8,2.0,1.8,1.8,2580,4658.0,7
2017-07-03,1.8,1.85,1.85,1.85,1.85,6092,11270.2,5
2017-07-04,1.85,1.7,1.95,1.7,1.85,1623,2898.05,10
2017-07-05,1.85,2.0,2.0,1.7,1.95,7937,14836.9,15
2017-07-06,1.95,1.85,1.9,1.85,1.85,2887,5343.45,6
2017-07-07,1.85,1.85,1.9,1.85,1.9,3700,6945.0,3
2017-07-10,1.9,1.75,2.0,1.75,2.0,570,1131.6,9
2017-07-11,2.0,1.9,2.15,1.9,2.0,1629,3234.0,10
2017-07-12,2.0,2.15,2.15,1.9,2.1,7202,14550.55,10
2017-07-13,2.1,2.0,2.25,2.0,2.15,25490,53417.2,26
2017-07-14,2.15,2.0,2.25,2.0,2.0,10864,21938.0,22
2017-07-17,2.0,1.85,2.05,1.85,1.9,3597,6860.55,14
2017-07-18,1.9,2.05,2.05,2.05,2.05,4811,9862.55,9
2017-07-19,2.05,2.25,2.25,2.0,2.2,21423,46480.4,25
2017-07-20,2.2,2.35,2.35,2.05,2.05,5213,11295.75,13
2017-07-21,2.05,2.25,2.25,2.05,2.15,3866,8272.65,21
2017-07-24,2.15,2.2,2.25,2.0,2.15,10282,21432.65,37
2017-07-25,2.15,2.1,2.25,2.05,2.05,15227,32646.4,22
2017-07-26,2.05,2.15,2.15,2.05,2.05,19500,40198.0,17
2017-07-27,2.05,2.05,2.1,2.0,2.05,2119,4279.15,11
2017-07-28,2.05,1.95,2.2,1.95,2.2,4721,9231.7,13
2017-07-31,2.2,2.05,2.2,2.05,2.05,10796,23157.15,15
2017-08-01,2.05,2.05,2.05,1.9,1.95,1229,2450.05,11
2017-08-02,1.95,1.9,2.1,1.9,2.0,5714,11502.3,22
2017-08-03,2.0,2.0,2.1,1.9,2.0,9184,18100.45,13
2017-08-04,2.0,2.1,2.1,1.9,2.1,2020,3981.0,10
2017-08-07,2.1,2.1,2.1,1.8,2.0,3449,6960.45,11
2017-08-08,2.0,1.85,2.0,1.8,1.9,36073,66145.8,26
2017-08-09,1.9,1.75,1.75,1.75,1.75,1389,2430.75,4
2017-08-10,1.75,1.9,1.9,1.5,1.7,21738,36971.25,41
2017-08-11,1.7,1.75,1.9,1.5,1.65,7133,12661.15,22
2017-08-14,1.65,1.6,1.95,1.5,1.95,15774,29459.85,43
2017-08-16,1.95,1.95,2.3,1.95,2.0,36719,75549.4,59
2017-08-17,2.0,2.0,2.2,1.95,2.0,30098,60459.05,38
2017-08-18,2.0,1.95,2.15,1.75,1.9,51402,99970.8,63
2017-08-21,1.9,1.7,2.0,1.6,1.9,21278,38456.75,28
2017-08-22,1.9,1.75,1.95,1.75,1.9,24992,46315.5,15
2017-08-23,1.9,1.9,1.9,1.8,1.85,694,1255.95,6
2017-08-24,1.85,1.85,1.95,1.7,1.8,10016,18587.65,14
2017-08-28,1.8,1.8,1.95,1.8,1.95,26339,50656.3,23
2017-08-29,1.95,1.95,1.95,1.8,1.95,10419,19815.35,15
2017-08-30,1.95,1.95,2.0,1.9,1.9,11183,21817.7,29
2017-08-31,1.9,1.85,1.9,1.85,1.9,1320,2478.0,9
2017-09-01,1.9,1.75,1.9,1.75,1.9,3699,7011.0,10
2017-09-04,1.9,1.9,2.05,1.85,1.9,9267,17509.9,24
2017-09-05,1.9,1.8,2.05,1.8,2.0,13505,27499.8,27
2017-09-06,2.0,1.9,2.0,1.9,2.0,3901,7551.9,7
2017-09-07,2.0,1.85,2.1,1.85,1.9,1364,2656.95,13
2017-09-08,1.9,2.0,2.05,1.8,1.85,9080,17048.25,26
2017-09-11,1.85,1.9,1.95,1.85,1.85,1728,3293.8,9
2017-09-12,1.85,1.75,1.9,1.75,1.85,7613,14376.6,23
2017-09-13,1.85,1.85,2.0,1.85,1.85,1224,2378.65,9
2017-09-14,1.85,1.95,2.1,1.9,1.9,4706,9544.1,18
2017-09-15,1.9,1.9,2.05,1.8,1.95,11189,20327.8,20
2017-09-18,1.95,1.85,2.0,1.85,1.9,7882,15385.55,14
