Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-01-02,15.33,15.72,15.72,14.93,15.27,58590.0,898419.15,164
2017-01-03,15.27,15.17,16.06,15.17,15.7,94387.5,1489973.4,291
2017-01-04,15.7,15.99,15.99,15.47,15.82,44025.0,693777.15,133
2017-01-05,15.82,16.4,16.4,15.55,15.86,63652.5,1017988.8,204
2017-01-06,15.86,16.0,16.01,15.51,15.73,51952.5,820658.55,173
2017-01-09,15.73,16.13,16.13,15.6,15.71,53497.5,842911.7,245
2017-01-10,15.71,15.83,15.96,15.67,15.75,25260.0,398549.7,121
2017-01-11,15.75,15.87,15.99,15.73,15.78,40792.5,646360.15,165
2017-01-12,15.78,15.78,15.93,15.49,15.69,56692.5,893616.9,183
2017-01-13,15.69,15.93,15.93,14.97,15.53,77467.5,1202109.4,260
2017-01-16,15.53,15.6,15.93,15.27,15.92,51667.5,818539.4,164
2017-01-17,15.92,16.1,16.1,15.53,15.74,48360.0,766909.05,266
2017-01-18,15.74,15.84,15.92,15.61,15.78,53175.0,840433.25,191
2017-01-19,15.78,15.62,15.93,15.62,15.9,18037.5,285407.2,68
2017-01-20,15.9,15.73,15.99,15.73,15.9,47535.0,752223.0,130
2017-01-23,15.9,15.74,16.0,15.65,15.86,31012.5,493183.15,95
2017-01-24,15.86,15.81,15.99,15.75,15.81,22057.5,349557.0,73
2017-01-25,15.81,16.0,16.1,15.69,15.91,32895.0,521356.7,128
2017-01-27,15.91,16.09,16.88,15.8,16.47,362610.0,5951989.2,901
2017-01-30,16.47,16.8,17.2,16.65,16.97,343612.5,5842785.35,786
2017-01-31,16.97,16.97,17.0,16.49,16.81,165607.5,2786831.3,416
2017-02-01,16.81,17.4,17.4,16.67,16.79,76695.0,1287512.2,240
2017-02-02,16.79,16.71,17.07,16.44,16.83,169845.0,2843764.15,325
2017-02-03,16.83,17.07,17.73,16.75,17.29,243885.0,4218501.45,710
2017-02-06,17.29,17.47,17.64,17.2,17.23,110235.0,1920845.9,344
2017-02-07,17.23,17.63,17.63,16.67,16.97,75420.0,1295782.05,269
2017-02-08,16.97,17.31,17.32,16.67,16.91,60885.0,1034310.1,248
2017-02-09,16.91,17.07,17.31,16.73,16.97,83265.0,1413556.85,303
2017-02-10,16.97,17.19,17.74,16.85,17.65,254865.0,4445615.35,466
2017-02-13,17.65,17.91,18.0,17.47,17.71,209955.0,3734549.15,569
2017-02-14,17.71,17.46,17.48,15.21,16.15,571072.5,9199765.2,1586
2017-02-15,16.15,16.65,16.65,15.77,16.08,93405.0,1500881.75,416
2017-02-16,16.08,16.09,16.25,15.52,16.15,67177.5,1074454.65,253
2017-02-17,16.15,16.2,16.55,15.94,16.44,121072.5,1984261.3,292
2017-02-20,16.44,16.37,16.54,16.19,16.44,60682.5,996852.95,181
2017-02-21,16.44,16.93,16.93,16.22,16.47,44827.5,737391.7,235
2017-02-22,16.47,16.52,16.63,15.8,16.19,159270.0,2551675.4,555
2017-02-23,16.19,16.51,16.51,15.81,16.12,47970.0,771376.3,244
2017-02-27,16.12,16.37,16.65,15.88,16.0,76800.0,1231077.8,190
2017-02-28,16.0,16.01,16.25,15.85,15.97,56055.0,897893.6,217
2017-03-01,15.97,16.02,16.05,15.76,15.93,106470.0,1698751.25,188
2017-03-02,15.93,15.88,15.99,15.71,15.83,43020.0,680304.4,164
2017-03-03,15.83,15.84,15.84,15.46,15.62,145470.0,2271330.4,368
2017-03-06,15.62,15.73,15.87,15.47,15.6,77370.0,1205866.8,349
2017-03-07,15.6,15.73,15.73,15.49,15.63,26700.0,416186.35,115
2017-03-08,15.63,15.67,15.85,15.04,15.44,70462.5,1084193.0,302
2017-03-09,15.44,15.33,15.59,15.16,15.33,37980.0,582476.6,151
2017-03-10,15.33,15.47,15.59,15.35,15.47,24907.5,385050.25,99
2017-03-14,15.47,15.71,15.74,15.16,15.28,84127.5,1293336.75,259
2017-03-15,15.28,15.2,15.39,15.11,15.33,40530.0,618084.15,196
2017-03-16,15.33,15.45,16.92,15.45,15.86,87750.0,1389889.2,423
2017-03-17,15.86,15.85,15.88,15.6,15.8,21135.0,332095.7,105
2017-03-20,15.8,15.93,15.93,15.12,15.33,307342.5,4689010.7,652
2017-03-21,15.33,15.45,15.45,15.12,15.27,47205.0,719840.9,175
2017-03-22,15.27,15.26,15.33,15.13,15.25,29025.0,441771.55,97
2017-03-23,15.25,15.46,15.46,15.04,15.15,138112.5,2096408.8,228
2017-03-24,15.15,15.19,15.47,15.09,15.34,61117.5,937022.2,152
2017-03-27,15.34,15.47,15.59,15.27,15.43,82282.5,1268096.55,153
2017-03-28,15.43,16.12,16.12,15.14,15.27,37222.5,570734.6,138
2017-03-29,15.27,15.27,15.56,15.23,15.43,152775.0,2357325.75,174
2017-03-30,15.43,15.53,15.6,15.13,15.29,137977.5,2111736.6,217
2017-03-31,15.29,15.24,15.45,15.15,15.37,57547.5,883173.45,155
2017-04-03,15.37,15.98,17.07,15.73,16.68,557010.0,9208676.55,1138
2017-04-05,16.68,16.67,17.47,16.67,17.08,309675.0,5313059.05,677
2017-04-06,17.08,17.33,17.47,16.87,17.38,181777.5,3139948.4,448
2017-04-07,17.38,17.2,17.7,16.77,17.01,162217.5,2819865.3,471
2017-04-10,17.01,17.6,17.6,16.93,17.4,89850.0,1548899.75,257
2017-04-11,17.4,17.2,17.6,17.07,17.33,96682.5,1673895.7,315
2017-04-12,17.33,17.34,17.39,16.98,17.33,100942.5,1737366.7,287
2017-04-13,17.33,17.33,17.4,17.13,17.3,152190.0,2620929.95,194
2017-04-17,17.3,17.2,17.33,16.93,17.25,53655.0,920408.25,206
2017-04-18,17.25,17.07,17.43,17.01,17.03,84090.0,1451500.65,131
2017-04-19,17.03,16.95,17.2,16.8,17.18,92182.5,1572119.4,100
2017-04-20,17.18,17.19,17.27,16.95,17.16,250987.5,4300770.3,248
2017-04-21,17.16,17.18,18.0,16.98,17.5,284497.5,5004106.25,703
2017-04-24,17.5,17.67,17.79,17.22,17.55,78345.0,1368803.1,286
2017-04-25,17.55,17.65,17.65,17.21,17.21,115470.0,1997700.95,220
2017-04-26,17.21,17.33,17.33,16.93,17.03,56497.5,968727.25,245
2017-04-27,17.03,16.89,17.19,16.67,16.95,82777.5,1402833.0,194
2017-04-28,16.95,17.07,17.44,17.07,17.35,82477.5,1421838.05,159
2017-05-02,17.35,18.67,19.04,18.16,18.39,1341997.5,25078528.3,2646
2017-05-03,18.39,18.39,18.73,18.01,18.64,271987.5,5020051.65,566
2017-05-04,18.64,19.05,19.05,18.28,18.53,170782.5,3191402.7,457
2017-05-05,18.53,18.53,18.87,18.27,18.46,156930.0,2914822.4,403
2017-05-08,18.46,18.8,18.85,18.33,18.59,111877.5,2077022.25,392
2017-05-09,18.59,19.51,19.79,19.07,19.2,593265.0,11476044.45,1507
2017-05-10,19.2,19.2,19.44,18.43,18.58,225562.5,4239728.65,605
2017-05-11,18.58,18.43,19.6,18.43,19.11,242940.0,4642283.3,605
2017-05-12,19.11,18.93,19.2,18.69,18.95,109755.0,2079359.75,405
2017-05-15,18.95,18.8,19.13,18.48,18.7,178755.0,3330760.1,432
2017-05-16,18.7,18.73,18.9,18.4,18.66,77362.5,1442126.15,320
2017-05-17,18.66,19.07,19.07,18.33,18.45,110280.0,2040467.3,316
2017-05-18,18.45,18.59,18.67,18.21,18.44,184567.5,3410748.25,512
2017-05-19,18.44,18.4,18.53,17.99,18.11,155287.5,2848438.55,372
2017-05-22,18.11,18.52,18.8,17.4,18.01,175560.0,3121470.55,587
2017-05-23,18.01,17.87,18.48,17.08,17.65,155032.5,2684347.35,352
2017-05-24,17.65,17.87,17.87,16.85,17.07,115710.0,2006670.9,428
2017-05-25,17.07,17.08,17.39,16.82,17.1,73980.0,1261340.75,216
2017-05-26,17.1,17.33,17.97,17.33,17.71,75360.0,1326145.35,252
2017-05-29,17.71,17.4,18.33,17.4,18.09,123292.5,2218750.45,503
2017-05-30,18.09,18.09,18.47,17.39,17.78,216412.5,3898352.5,779
2017-05-31,17.78,18.0,18.47,17.69,18.03,237277.5,4323678.25,750
2017-06-01,18.03,17.87,18.42,17.87,18.22,115530.0,2108434.8,398
2017-06-02,18.22,18.66,18.73,18.21,18.28,97275.0,1787693.05,323
2017-06-05,18.28,18.27,18.63,17.91,18.43,82005.0,1506830.15,417
2017-06-06,18.43,18.15,18.67,18.07,18.28,100462.5,1836171.8,372
2017-06-07,18.28,18.5,18.53,17.27,17.76,212272.5,3799315.15,573
2017-06-08,17.76,18.19,18.24,17.87,18.0,72487.5,1302634.45,204
2017-06-09,18.0,17.99,18.63,17.88,18.37,97905.0,1793747.35,272
2017-06-12,18.37,18.4,18.53,18.11,18.2,72120.0,1319461.5,230
2017-06-13,18.2,18.37,19.97,18.13,19.61,699525.0,13589484.05,1917
2017-06-14,19.61,21.18,21.18,19.93,20.01,1219462.5,24701245.9,2734
2017-06-15,20.01,20.72,20.81,20.37,20.61,1383607.5,28473577.25,2569
2017-06-16,20.61,20.69,20.93,20.4,20.75,460492.5,9537245.0,1234
2017-06-19,20.75,21.06,21.06,20.29,20.51,217822.5,4479823.6,620
2017-06-20,20.51,20.53,20.79,20.27,20.42,164460.0,3358674.35,399
2017-06-21,20.42,20.4,20.4,20.0,20.23,934972.5,18915549.05,398
2017-06-22,20.23,20.27,21.19,20.13,20.45,1362562.5,27910060.8,1382
2017-06-23,20.45,20.45,20.85,20.0,20.09,463102.5,9390324.4,1312
2017-06-27,20.09,20.13,20.24,19.39,19.56,170977.5,3376584.45,564
2017-06-28,19.56,19.4,19.84,19.33,19.45,101385.0,1971624.35,344
2017-06-29,19.45,19.73,19.73,19.47,19.51,87787.5,1716774.5,183
2017-06-30,19.51,19.47,20.53,19.23,19.76,73365.0,1437522.4,195
2017-07-03,19.76,20.4,20.69,19.87,20.34,228802.5,4664578.65,569
2017-07-04,20.34,20.66,21.07,20.27,20.33,159157.5,3274104.15,503
2017-07-05,20.33,20.57,20.57,20.09,20.21,210675.0,4267002.9,440
2017-07-06,20.21,20.13,21.08,19.99,20.03,367755.0,7452488.65,846
2017-07-07,20.03,20.39,20.53,20.01,20.42,117052.5,2375855.85,358
2017-07-10,20.42,20.93,20.93,20.4,20.57,45457.5,940107.75,153
2017-07-11,20.57,20.52,20.8,20.52,20.65,138757.5,2868901.2,298
2017-07-12,20.65,20.89,20.89,20.27,20.63,193567.5,3991946.35,562
2017-07-13,20.63,20.53,20.6,19.8,20.41,116610.0,2371933.1,278
2017-07-14,20.41,20.67,20.67,20.03,20.34,134512.5,2729619.2,409
2017-07-17,20.34,20.67,20.8,20.28,20.66,104602.5,2156628.8,265
2017-07-18,20.66,20.53,20.67,20.27,20.43,117742.5,2414364.8,240
2017-07-19,20.43,20.41,20.88,20.36,20.6,109125.0,2256834.9,253
2017-07-20,20.6,20.8,20.8,20.08,20.42,145492.5,2979209.3,488
2017-07-21,20.42,20.48,20.72,20.33,20.43,66660.0,1361825.95,149
2017-07-24,20.43,20.4,20.8,20.29,20.39,50812.5,1042248.85,187
2017-07-25,20.39,20.79,20.79,20.27,20.37,55290.0,1125670.25,241
2017-07-26,20.37,20.46,20.67,19.62,20.24,107107.5,2174031.5,319
