Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-02-27,83.48,84.45,84.45,77.92,80.81,421880.52,34302057.4,2388
2017-02-28,80.81,81.34,81.79,77.7,77.96,278631.2,21964476.35,1621
2017-03-01,77.96,79.12,81.34,78.67,79.52,361955.76,29018191.5,2243
2017-03-02,79.52,79.96,79.96,76.5,77.12,287083.57,22430676.25,1665
2017-03-03,77.12,76.9,77.96,73.12,74.85,279258.89,21138752.95,2101
2017-03-06,74.85,75.83,76.67,74.1,74.9,187625.94,14128335.0,1965
2017-03-07,74.9,75.12,76.01,72.54,74.9,248058.01,18331467.25,1792
2017-03-08,74.9,74.9,75.56,71.21,72.01,322303.65,23442631.0,1782
2017-03-09,72.01,71.21,73.61,71.16,72.23,192946.63,13978345.25,1089
2017-03-10,72.23,73.25,73.25,68.45,69.12,451487.43,31503778.6,2772
2017-03-14,69.12,69.79,73.25,69.52,70.01,275199.18,19489419.2,2055
2017-03-15,70.01,70.23,71.92,70.23,71.65,150580.18,10718571.2,1019
2017-03-16,71.65,71.65,76.81,71.65,76.23,404540.45,30346268.45,3078
2017-03-17,76.23,75.79,77.61,73.03,74.1,243994.94,18384554.3,2224
2017-03-20,74.1,74.63,77.25,73.79,75.61,336112.71,25372614.7,1775
2017-03-21,75.61,75.65,76.67,74.23,75.07,352440.38,26583520.7,993
2017-03-22,75.07,74.72,74.72,73.07,74.1,114092.36,8439665.6,727
2017-03-23,74.1,72.9,75.12,72.9,73.96,162977.51,12118197.1,803
2017-03-24,73.96,73.96,74.85,72.36,72.85,198047.98,14508240.35,1378
2017-03-27,72.85,72.9,73.12,71.12,71.3,150894.02,10823722.05,1241
2017-03-28,71.3,72.45,74.19,71.65,72.41,129989.2,9462987.15,848
2017-03-29,72.41,72.85,72.85,69.12,69.56,379941.51,26744046.6,2054
2017-03-30,69.56,70.23,71.52,70.19,70.32,241495.45,17097863.9,1607
2017-03-31,70.32,70.85,71.56,69.56,70.27,301242.47,21176433.45,1821
2017-04-03,70.27,70.41,77.79,70.41,76.85,622241.25,46852333.15,4006
2017-04-05,76.85,77.34,81.7,77.34,80.72,701233.89,56325740.7,4734
2017-04-06,80.72,80.01,81.12,78.67,79.47,230667.33,18375463.95,1727
2017-04-07,79.47,79.07,82.68,78.67,80.5,395769.74,32246013.0,2642
2017-04-10,80.5,81.34,82.23,78.14,79.16,289038.62,23229870.95,1678
2017-04-11,79.16,79.79,79.79,78.36,78.5,179660.64,14158151.15,1549
2017-04-12,78.5,78.67,78.99,76.76,77.7,198272.95,15423806.05,1502
2017-04-13,77.7,77.79,80.45,77.34,79.61,254088.51,20136706.15,1545
2017-04-17,79.61,79.21,81.56,78.23,81.16,290394.1,23292419.9,1382
2017-04-18,81.16,83.08,84.01,77.47,77.79,764105.84,61828606.05,9537
2017-04-19,77.79,77.79,79.12,77.34,78.01,96448.57,7532298.85,831
2017-04-20,78.01,78.54,80.54,78.36,79.16,135104.04,10704370.65,1100
