Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2023-08-02,23.39,23.39,28.06,23.1,28.03,4962,135642.12,66
2023-08-03,28.03,27.97,27.97,22.8,22.92,25957,604908.45,217
2023-08-04,22.92,23.49,23.49,22.95,23.07,9508,219040.67,41
2023-08-07,23.07,23.65,23.65,23.01,23.22,2989,69275.32,34
2023-08-08,23.22,23.8,23.8,23.17,23.18,2653,61660.94,25
2023-08-09,23.18,23.15,23.6,23.07,23.59,1440,33540.92,24
2023-08-10,23.59,23.23,23.7,23.11,23.66,2288,53657.05,28
2023-08-11,23.66,23.3,25.2,22.89,23.22,5180,120161.0,111
2023-08-14,23.22,23.22,23.22,22.79,22.9,806,18452.46,24
2023-08-16,22.9,22.71,22.82,22.64,22.82,564,12808.04,34
2023-08-17,22.82,23.39,23.39,22.45,22.7,3786,86081.42,53
2023-08-18,22.7,22.74,23.0,22.61,22.66,1508,34286.74,34
2023-08-21,22.66,23.0,23.28,22.45,22.79,1153,26131.75,37
2023-08-22,22.79,22.79,23.75,22.5,23.09,1848,42532.79,40
2023-08-23,23.09,24.14,24.14,22.77,23.07,1699,38923.95,19
2023-08-24,23.07,23.16,23.4,23.15,23.15,4569,106226.68,18
2023-08-25,23.15,22.93,23.12,22.93,23.06,13,299.55,11
2023-08-28,23.06,23.12,23.6,23.06,23.22,156,3618.41,17
2023-08-29,23.22,23.8,23.95,23.14,23.25,2401,55704.88,20
2023-08-30,23.25,23.18,23.36,23.0,23.14,2731,63373.9,40
2023-08-31,23.14,23.08,23.19,22.85,22.87,3873,89031.29,96
2023-09-01,22.87,23.44,23.55,22.6,23.41,1074,24646.55,53
2023-09-04,23.41,23.41,24.0,22.83,23.52,1186,27474.43,47
2023-09-05,23.52,23.33,23.38,23.23,23.32,3688,85948.65,50
2023-09-06,23.32,23.3,24.0,23.0,23.69,860,20139.22,82
2023-09-07,23.69,23.4,23.6,23.21,23.45,3485,81320.14,62
2023-09-08,23.45,23.48,23.5,23.0,23.03,3114,72187.93,30
2023-09-11,23.03,23.6,23.7,23.52,23.7,2602,61457.62,28
2023-09-12,23.7,23.89,23.89,23.03,23.08,12043,282785.4,50
2023-09-13,23.08,23.49,23.84,23.03,23.38,14783,348229.5,63
