Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-01-02,0.3,0.25,0.3,0.25,0.3,10340,3017.0,9
2017-01-03,0.3,0.25,0.3,0.25,0.3,13610,3982.95,9
2017-01-04,0.3,0.25,0.35,0.25,0.3,84391,25047.75,12
2017-01-05,0.3,0.3,0.3,0.25,0.3,14510,4352.95,8
2017-01-06,0.3,0.3,0.35,0.25,0.3,285722,90231.5,38
2017-01-09,0.3,0.3,0.35,0.25,0.3,89509,27187.25,26
2017-01-10,0.3,0.25,0.35,0.25,0.3,63373,21422.4,13
2017-01-11,0.3,0.25,0.35,0.25,0.3,80457,21665.95,24
2017-01-12,0.3,0.3,0.35,0.25,0.3,83986,25254.2,22
2017-01-13,0.3,0.35,0.35,0.25,0.3,31650,9690.0,12
2017-01-16,0.3,0.3,0.3,0.25,0.3,42580,12146.5,18
2017-01-17,0.3,0.35,0.35,0.25,0.3,670214,201926.25,53
2017-01-18,0.3,0.35,0.35,0.25,0.3,147175,44705.25,53
2017-01-19,0.3,0.35,0.35,0.25,0.3,203668,61039.1,30
2017-01-20,0.3,0.35,0.35,0.25,0.3,141493,39346.6,24
2017-01-23,0.3,0.3,0.3,0.3,0.3,11350,3405.0,5
2017-01-24,0.3,0.3,0.3,0.25,0.3,70293,20938.5,16
2017-01-25,0.3,0.3,0.3,0.25,0.3,24233,7200.6,9
2017-01-27,0.3,0.25,0.35,0.25,0.3,81381,21787.05,21
2017-01-30,0.3,0.25,0.3,0.25,0.25,24870,6922.5,14
2017-01-31,0.25,0.25,0.3,0.25,0.3,660162,166724.35,42
2017-02-01,0.3,0.3,0.3,0.25,0.3,129395,35518.5,15
2017-02-02,0.3,0.25,0.3,0.25,0.25,68923,19986.9,14
2017-02-03,0.25,0.3,0.3,0.25,0.3,26702,7255.5,13
2017-02-06,0.3,0.3,0.3,0.25,0.3,120880,33306.5,26
2017-02-07,0.3,0.3,0.3,0.25,0.3,38143,11342.9,11
2017-02-08,0.3,0.25,0.3,0.25,0.3,45808,13221.7,14
2017-02-09,0.3,0.25,0.3,0.25,0.3,69930,20112.3,21
2017-02-10,0.3,0.3,0.3,0.25,0.3,140496,41963.5,10
2017-02-13,0.3,0.25,0.35,0.25,0.25,140202,39640.45,26
2017-02-14,0.25,0.3,0.3,0.25,0.25,53821,14950.4,21
2017-02-15,0.25,0.25,0.3,0.25,0.3,23600,7030.0,4
2017-02-16,0.3,0.3,0.3,0.3,0.3,63615,19084.5,17
2017-02-17,0.3,0.3,0.3,0.25,0.3,7950,2325.0,7
2017-02-20,0.3,0.25,0.35,0.25,0.3,45956,14316.7,13
2017-02-21,0.3,0.25,0.3,0.25,0.3,66016,19579.25,19
2017-02-22,0.3,0.3,0.3,0.3,0.3,10000,3000.0,1
2017-02-23,0.3,0.25,0.3,0.25,0.25,14445,4230.75,8
2017-02-27,0.25,0.3,0.3,0.25,0.3,27233,7855.7,27
2017-02-28,0.3,0.35,0.35,0.25,0.3,55266,17071.3,29
2017-03-01,0.3,0.3,0.3,0.25,0.3,28348,8487.15,14
2017-03-02,0.3,0.35,0.35,0.25,0.3,26811,7518.3,17
2017-03-03,0.3,0.25,0.3,0.25,0.3,20550,5890.0,7
2017-03-06,0.3,0.25,0.3,0.25,0.25,17101,4768.7,18
2017-03-07,0.25,0.3,0.3,0.25,0.3,58593,15547.9,20
2017-03-08,0.3,0.25,0.3,0.25,0.3,128460,35043.8,25
2017-03-09,0.3,0.3,0.3,0.3,0.3,1411,423.3,5
2017-03-10,0.3,0.25,0.3,0.25,0.3,25448,6973.0,13
2017-03-14,0.3,0.3,0.3,0.25,0.3,41600,11126.5,15
2017-03-15,0.3,0.3,0.3,0.25,0.3,103836,29320.8,22
2017-03-16,0.3,0.25,0.3,0.25,0.25,26881,7722.15,9
2017-03-17,0.25,0.25,0.3,0.25,0.3,51136,14947.95,15
2017-03-20,0.3,0.3,0.3,0.25,0.3,24570,7358.0,10
2017-03-21,0.3,0.25,0.3,0.25,0.3,71665,19873.75,10
2017-03-22,0.3,0.25,0.3,0.25,0.25,74826,20046.5,16
2017-03-23,0.25,0.3,0.3,0.25,0.3,22701,6730.3,12
2017-03-24,0.3,0.25,0.3,0.25,0.3,229010,64764.55,15
2017-03-27,0.3,0.25,0.3,0.25,0.25,48850,12297.5,14
2017-03-28,0.25,0.25,0.3,0.2,0.25,2577549,692193.35,92
2017-03-29,0.25,0.3,0.3,0.25,0.25,39611,10318.25,20
2017-03-30,0.25,0.3,0.3,0.25,0.25,368238,99606.0,40
2017-03-31,0.25,0.3,0.3,0.2,0.25,1071144,270790.5,28
2017-04-03,0.25,0.25,0.3,0.2,0.3,139654,35054.45,44
2017-04-05,0.3,0.3,0.3,0.25,0.25,1221222,315276.15,74
2017-04-06,0.25,0.3,0.3,0.25,0.25,221586,56066.5,30
2017-04-07,0.25,0.25,0.3,0.25,0.3,14700,3685.0,8
2017-08-23,0.2,0.2,0.25,0.2,0.2,32521,6579.2,17
2017-08-24,0.2,0.2,0.2,0.15,0.2,7870,1474.0,9
2017-08-28,0.2,0.15,0.25,0.15,0.2,269886,46960.1,47
2017-08-29,0.2,0.2,0.25,0.15,0.2,37059,7455.5,12
2017-08-30,0.2,0.15,0.25,0.15,0.2,110085,20802.95,24
2017-08-31,0.2,0.2,0.25,0.15,0.2,239343,44190.45,47
2017-09-01,0.2,0.15,0.25,0.15,0.2,27915,5833.0,21
2017-09-04,0.2,0.25,0.25,0.2,0.2,59396,13328.4,36
2017-09-05,0.2,0.2,0.25,0.2,0.25,159232,37534.3,82
2017-09-06,0.25,0.25,0.25,0.2,0.2,48711,12102.7,17
2017-09-07,0.2,0.25,0.25,0.2,0.25,673249,154010.05,140
2017-09-08,0.25,0.25,0.25,0.2,0.25,891969,205474.45,98
2017-09-11,0.25,0.25,0.25,0.2,0.25,507676,114416.75,77
2017-09-12,0.25,0.25,0.25,0.2,0.25,155538,33855.95,50
2017-09-13,0.25,0.2,0.25,0.2,0.2,309620,64594.0,37
2017-09-14,0.2,0.25,0.25,0.2,0.25,519620,122997.55,74
2017-09-15,0.25,0.2,0.25,0.2,0.2,345171,77576.15,64
2017-09-18,0.2,0.25,0.25,0.2,0.2,141300,31193.85,49
2017-09-19,0.2,0.25,0.25,0.2,0.2,498766,106583.5,55
2017-09-20,0.2,0.25,0.25,0.2,0.2,395778,81768.85,50
2017-09-21,0.2,0.2,0.25,0.2,0.2,343855,71986.6,51
2017-09-22,0.2,0.25,0.25,0.2,0.2,321773,65956.65,65
2017-09-25,0.2,0.25,0.25,0.15,0.2,819674,165776.75,111
2017-09-26,0.2,0.2,0.25,0.15,0.2,1697095,357481.2,142
2017-09-27,0.2,0.2,0.25,0.15,0.15,492970,101228.95,82
2017-09-28,0.15,0.2,0.2,0.15,0.2,364474,72740.65,63
2017-09-29,0.2,0.25,0.25,0.2,0.25,2435897,608809.1,162
2017-10-03,0.25,0.25,0.3,0.2,0.25,2739898,687756.95,261
2017-10-04,0.25,0.25,0.3,0.25,0.3,3748920,1114874.9,266
2017-10-05,0.3,0.35,0.35,0.3,0.35,3649860,1277175.95,266
2017-10-06,0.35,0.35,0.4,0.3,0.35,1158574,388198.4,150
