Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2022-04-01,1.8,1.95,1.95,1.95,1.95,480,936.0,11
2022-04-04,1.95,2.1,2.1,2.1,2.1,73,153.3,5
2022-04-05,2.1,2.2,2.2,2.2,2.2,2030,4466.0,11
2022-04-06,2.2,2.3,2.3,2.3,2.3,47,108.1,6
2022-04-07,2.3,2.4,2.4,2.4,2.4,4045,9708.0,3
2022-04-08,2.4,2.5,2.5,2.5,2.5,72,180.0,6
2022-04-11,2.5,2.6,2.6,2.6,2.6,30,78.0,7
2022-04-12,2.6,2.7,2.7,2.7,2.7,171,461.7,3
2022-04-13,2.7,2.8,2.8,2.8,2.8,2196,6148.8,7
2022-04-18,2.8,2.9,2.9,2.9,2.9,232,672.8,6
2022-04-19,2.9,3.0,3.0,3.0,3.0,27,81.0,5
2022-04-20,3.0,3.15,3.15,3.15,3.15,1631,5137.65,6
2022-04-21,3.15,3.3,3.3,3.3,3.3,28,92.4,5
2022-04-22,3.3,3.45,3.45,3.45,3.45,383,1321.35,8
2022-04-25,3.45,3.6,3.6,3.6,3.6,58,208.8,7
2022-04-26,3.6,3.75,3.75,3.75,3.75,136,510.0,8
2022-04-27,3.75,3.9,3.9,3.9,3.9,31,120.9,3
2022-04-28,3.9,4.05,4.05,4.05,4.05,61,247.05,5
2022-04-29,4.05,4.25,4.25,4.25,4.25,755,3208.75,10
