Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-01-03,40.2,39.1,42.15,39.0,42.15,978,38256.5,8
2017-01-05,42.15,40.45,43.9,40.45,43.9,32,1335.8,2
2017-01-06,43.9,41.75,43.9,41.75,41.75,168,7016.15,6
2017-01-09,41.75,40.25,40.25,40.25,40.25,200,8050.0,1
2017-01-11,40.25,38.3,41.9,38.3,41.9,771,30302.5,9
2017-01-12,41.9,40.15,42.85,40.1,40.3,592,23811.75,6
2017-01-16,40.3,42.3,42.3,38.55,38.55,2,80.85,2
2017-01-17,38.55,38.4,40.0,38.4,40.0,145,5576.0,2
2017-01-19,40.0,41.8,42.0,40.05,40.05,3875,162193.75,13
2017-01-20,40.05,41.95,41.95,41.85,41.85,600,25150.0,3
2017-01-23,41.85,40.05,43.45,40.05,42.25,69,2865.25,6
2017-01-25,42.25,40.3,40.3,40.3,40.3,200,8060.0,1
2017-01-27,40.3,40.5,40.75,40.5,40.5,601,24390.5,3
2017-01-30,40.5,39.3,39.3,39.3,39.3,300,11790.0,1
2017-01-31,39.3,41.25,41.25,41.25,41.25,501,20666.25,5
2017-02-01,41.25,42.6,42.9,42.6,42.75,14,598.5,2
2017-02-02,42.75,40.7,42.65,40.7,42.65,11,467.2,3
2017-02-07,42.65,42.85,42.9,42.85,42.9,200,8571.65,4
2017-02-08,42.9,42.5,43.6,40.8,43.2,615,26106.9,11
2017-02-09,43.2,41.05,43.5,41.05,43.5,244,10253.35,9
2017-02-10,43.5,43.9,45.3,41.45,41.45,2200,95614.45,31
2017-02-13,41.45,41.0,43.4,41.0,41.0,272,11178.95,8
2017-02-14,41.0,43.05,43.05,43.05,43.05,150,6457.5,3
2017-02-21,43.05,41.0,45.1,41.0,45.0,22,947.0,4
2017-03-03,45.0,44.4,44.4,42.75,42.75,77,3297.15,6
2017-03-06,42.75,40.65,43.95,40.65,43.95,370,15083.5,8
2017-03-08,43.95,43.75,43.75,41.8,41.95,135,5751.9,5
2017-03-09,41.95,40.1,40.15,39.9,39.9,1550,61922.5,18
2017-03-10,39.9,39.9,39.9,38.55,38.55,4,156.9,2
2017-03-14,38.55,36.7,40.4,36.7,40.4,4,154.2,2
2017-03-15,40.4,41.45,41.45,41.3,41.3,10246,424659.8,6
2017-03-16,41.3,41.0,41.3,39.55,40.55,10755,429775.5,10
2017-03-17,40.55,39.35,39.35,39.3,39.35,200,7867.7,2
2017-03-20,39.35,41.3,41.3,41.3,41.3,200,8260.0,1
2017-03-22,41.3,43.35,43.35,41.85,43.35,40355,1704386.5,6
2017-03-23,43.35,41.75,43.5,41.75,42.0,10022,435921.25,3
2017-03-24,42.0,43.5,44.1,42.25,42.55,13410,583711.0,16
2017-03-27,42.55,42.75,42.75,42.75,42.75,10000,427500.0,1
2017-03-28,42.75,43.5,44.85,42.1,44.85,10111,439675.85,4
2017-03-29,44.85,43.5,44.8,42.65,44.8,10012,435533.3,4
2017-03-30,44.8,42.6,43.5,42.6,42.7,10100,439261.0,3
2017-03-31,42.7,41.5,43.5,41.0,41.7,11814,509507.65,14
2017-04-03,41.7,41.1,43.1,41.1,43.1,4750,202430.0,25
2017-04-05,43.1,43.95,45.25,42.05,45.25,951,42834.55,6
2017-04-06,45.25,47.5,47.5,45.1,45.2,960,43641.5,9
2017-04-07,45.2,47.15,47.15,47.0,47.0,2,94.15,2
2017-04-10,47.0,47.0,47.0,47.0,47.0,1,47.0,1
2017-04-11,47.0,47.0,47.0,46.95,46.95,36,1690.25,3
2017-04-13,46.95,45.1,45.25,44.65,44.95,647,29145.15,9
2017-04-18,44.95,43.4,44.45,43.25,43.25,174,7598.55,3
2017-04-19,43.25,43.25,43.25,43.25,43.25,33,1427.25,1
2017-04-21,43.25,42.55,42.75,42.55,42.75,400,17080.0,2
2017-04-24,42.75,44.85,44.85,42.5,44.7,120,5145.5,22
2017-04-25,44.7,42.6,46.45,42.6,46.35,102,4352.8,4
2017-04-28,46.35,46.35,46.35,44.1,44.1,540,23941.35,6
2017-05-02,44.1,42.0,45.9,41.9,42.0,634,27030.85,9
2017-05-03,42.0,40.0,43.7,40.0,40.9,1909,76760.45,12
2017-05-04,40.9,42.9,42.9,40.9,42.9,333,14219.7,4
2017-05-05,42.9,42.9,43.0,41.55,43.0,504,21531.65,9
2017-05-09,43.0,43.05,43.05,43.05,43.05,30,1291.5,2
2017-05-10,43.05,42.25,42.25,42.25,42.25,150,6337.5,1
2017-05-11,42.25,40.15,42.3,40.15,42.15,110,4634.0,3
2017-05-12,42.15,41.4,42.0,41.4,42.0,50,2085.0,2
2017-05-16,42.0,40.15,44.0,40.15,42.5,237,10249.4,9
2017-05-18,42.5,42.6,42.6,40.75,41.5,121,5025.0,3
2017-05-19,41.5,43.5,43.5,41.4,42.0,506,21276.85,8
2017-05-22,42.0,41.1,43.85,41.1,42.0,74,3109.15,5
2017-05-23,42.0,43.5,43.5,43.5,43.5,1,43.5,1
2017-05-25,43.5,45.6,45.6,41.35,41.95,174,7232.95,6
2017-05-26,41.95,40.35,44.0,40.35,44.0,301,12149.0,2
2017-05-30,44.0,41.85,44.0,41.85,44.0,20,858.5,3
2017-05-31,44.0,42.0,42.0,41.8,41.8,216,9050.4,5
2017-06-01,41.8,43.65,43.65,43.65,43.65,5,218.25,1
2017-06-06,43.65,41.6,43.95,41.6,42.05,267,11151.5,5
2017-06-09,42.05,42.95,42.95,42.95,42.95,3,128.85,1
2017-06-13,42.95,41.1,42.95,41.0,42.95,228,9387.6,6
2017-06-14,42.95,42.95,42.95,42.95,42.95,1,42.95,1
2017-06-15,42.95,45.05,45.05,41.25,42.9,255,10550.75,7
2017-06-16,42.9,43.9,43.9,41.55,41.75,25,1060.9,6
2017-06-19,41.75,40.05,42.75,40.05,42.65,4,168.1,3
2017-06-20,42.65,42.95,42.95,42.95,42.95,1,42.95,1
2017-06-21,42.95,42.95,42.95,42.95,42.95,1,42.95,1
2017-06-22,42.95,40.85,40.85,40.85,40.85,125,5106.25,3
2017-06-27,40.85,39.0,39.95,39.0,39.95,40,1579.0,3
2017-06-28,39.95,41.0,41.0,41.0,41.0,2,82.0,1
2017-06-30,41.0,39.0,41.85,39.0,41.85,146,5711.25,4
2017-07-04,41.85,42.5,42.5,41.95,41.95,6,252.25,3
2017-07-05,41.95,42.75,42.75,42.5,42.5,2,85.25,2
2017-07-06,42.5,40.4,42.55,40.4,42.0,3929,162380.6,31
2017-07-11,42.0,42.95,43.65,40.0,43.6,270,10825.85,9
2017-07-12,43.6,41.5,43.25,41.5,43.25,110,4659.5,3
2017-07-13,43.25,41.1,43.6,41.1,43.6,26,1097.1,5
2017-07-14,43.6,41.45,42.95,41.45,42.95,33,1391.85,3
2017-07-17,42.95,43.95,44.9,40.85,41.05,83,3466.15,10
2017-07-18,41.05,39.15,42.0,39.1,41.95,360,14392.0,7
2017-07-21,41.95,42.95,42.95,42.0,42.0,3,127.25,3
2017-07-26,42.0,43.0,43.0,39.9,42.85,286,11812.1,13
2017-07-27,42.85,41.0,41.95,40.75,41.95,842,34896.9,8
2017-07-28,41.95,40.15,43.0,40.15,42.5,1200,51295.1,27
2017-07-31,42.5,40.65,42.95,40.65,42.95,306,12907.9,4
2017-08-02,42.95,41.0,45.0,41.0,43.45,2153,91795.75,13
2017-08-03,43.45,41.9,42.8,41.3,41.55,708,29446.5,8
2017-08-04,41.55,41.95,41.95,41.95,41.95,3,125.85,1
2017-08-07,41.95,40.05,40.05,40.05,40.05,500,20025.0,1
2017-08-09,40.05,39.25,41.1,39.25,40.55,1050,42540.0,7
2017-08-10,40.55,41.0,41.0,40.1,40.55,200,8110.0,2
2017-08-11,40.55,38.6,39.0,38.55,38.9,383,14795.2,7
2017-08-14,38.9,39.2,39.2,39.2,39.2,1,39.2,1
2017-08-18,39.2,39.55,39.65,39.5,39.65,1008,39820.25,3
2017-08-21,39.65,39.1,39.1,39.1,39.1,50,1955.0,1
2017-08-24,39.1,39.55,41.0,39.55,40.0,515,20736.25,7
2017-08-28,40.0,38.8,41.95,38.8,41.9,2346,95775.0,34
2017-08-29,41.9,40.5,43.0,40.5,42.0,402,17081.0,3
2017-08-30,42.0,40.0,43.0,40.0,42.0,302,12830.45,4
2017-08-31,42.0,40.5,40.95,40.5,40.9,200,8141.75,5
2017-09-01,40.9,42.8,42.85,42.8,42.85,194,8307.9,2
2017-09-04,42.85,41.05,42.0,41.05,42.0,1060,44301.0,5
2017-09-05,42.0,43.95,43.95,41.25,41.25,2,85.2,2
