Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2022-08-05,136.48,138.98,139.22,136.35,136.88,44814,6140000.75,480
2022-08-08,136.88,138.5,138.5,135.75,136.25,70104,9587616.05,479
2022-08-10,136.25,132.0,144.43,132.0,134.82,70586,9673243.95,1317
2022-08-11,134.82,135.5,138.28,132.28,134.35,25148,3404415.8,1176
2022-08-12,134.35,137.43,138.12,133.5,133.75,24794,3354003.35,618
2022-08-16,133.75,137.5,137.5,132.52,132.9,18870,2523595.3,557
2022-08-17,132.9,132.62,135.0,132.62,134.5,35312,4734505.7,684
2022-08-18,134.5,135.0,141.0,133.68,138.43,44310,6102289.5,980
2022-08-19,138.43,142.0,144.0,140.0,140.72,45014,6353293.85,1114
2022-08-22,140.72,140.75,140.75,136.4,136.52,12832,1765163.85,454
2022-08-23,136.52,136.93,137.98,131.3,136.55,23640,3192321.15,574
2022-08-24,136.55,135.05,138.5,132.55,136.88,25056,3404578.5,751
2022-08-25,136.88,137.5,141.0,137.25,138.65,21144,2929638.5,878
2022-08-26,138.65,141.43,151.5,137.55,147.98,143692,21155204.25,3025
2022-08-29,147.98,142.0,177.55,139.98,177.55,466042,76898582.9,10114
2022-08-30,177.55,182.15,182.2,163.25,164.68,355354,61411300.5,7730
2022-09-01,164.68,166.45,171.9,160.5,162.43,89564,14859637.35,2098
2022-09-02,162.43,166.5,167.95,160.0,161.12,45428,7412785.55,1108
2022-09-05,161.12,163.5,166.08,158.5,159.78,46954,7604932.3,1029
2022-09-06,159.78,163.92,164.5,157.5,158.98,39248,6331932.1,872
2022-09-07,158.98,158.75,158.88,155.0,156.25,39798,6228943.9,1119
2022-09-08,156.25,159.98,159.98,155.07,156.35,45682,7154540.2,765
2022-09-09,156.35,158.7,158.7,153.0,153.88,42386,6551127.6,1392
2022-09-12,153.88,153.85,158.5,152.0,152.65,43242,6650828.25,1102
2022-09-13,152.65,155.0,175.75,152.95,170.55,468378,78731669.75,7724
2022-09-14,170.55,166.2,172.35,164.75,169.02,92466,15555217.65,2405
2022-09-15,169.02,172.45,172.5,166.25,167.82,49086,8328023.95,1413
2022-09-16,167.82,167.82,169.95,153.95,159.7,57512,9308446.7,1616
2022-09-19,159.7,164.38,164.48,158.68,159.75,31804,5115428.4,895
2022-09-20,159.75,162.48,162.48,139.0,155.55,71740,11102613.25,1755
2022-09-21,155.55,155.55,157.88,150.02,152.43,41200,6335023.0,1174
2022-09-22,152.43,153.65,156.0,152.02,153.78,18662,2883147.55,872
2022-09-23,153.78,156.75,156.78,151.3,152.3,28706,4400292.9,564
2022-09-26,152.3,146.0,152.02,142.5,144.85,39938,5812515.45,1492
2022-09-27,144.85,142.75,149.98,136.52,138.7,57442,8119895.85,1282
2022-09-28,138.7,141.98,159.38,138.45,149.15,198776,30422976.6,5342
2022-09-29,149.15,150.8,153.65,145.5,146.85,45810,6825139.4,1476
2022-09-30,146.85,149.0,153.95,143.05,152.85,31850,4753463.25,1205
2022-10-03,152.85,153.57,157.5,140.05,148.7,20244,3034603.65,1140
2022-10-04,148.7,152.5,153.98,150.6,151.65,30068,4574637.2,1117
2022-10-06,151.65,151.15,154.4,146.12,149.02,17032,2564731.1,691
2022-10-07,149.02,152.18,153.18,150.2,150.8,14618,2219278.8,352
2022-10-10,150.8,148.0,153.9,148.0,150.55,33572,5069419.05,781
2022-10-11,150.55,153.02,153.02,147.5,148.72,9988,1496384.25,484
2022-10-12,148.72,149.55,150.48,146.4,146.9,15790,2332995.45,465
2022-10-13,146.9,144.3,153.65,144.3,146.12,42336,6304920.15,701
2022-10-14,146.12,153.57,153.57,146.0,148.07,13548,2007735.5,321
2022-10-17,148.07,151.52,151.52,144.02,145.45,15778,2301664.5,411
2022-10-18,145.45,148.35,149.93,145.78,146.72,19712,2921036.95,459
2022-10-19,146.72,146.8,148.5,145.55,146.5,7668,1125501.1,218
2022-10-20,146.5,142.62,150.0,142.62,144.98,16922,2465908.1,463
2022-10-21,144.98,145.22,148.95,141.02,142.7,13354,1932866.2,461
2022-10-24,142.7,143.05,147.48,140.55,144.75,7614,1093472.2,308
2022-10-25,144.75,145.55,146.48,142.5,142.93,20048,2889310.9,424
2022-10-27,142.93,143.02,147.5,142.48,142.95,13680,1967967.25,369
2022-10-28,142.95,147.0,147.0,142.02,142.88,10904,1560757.7,407
2022-10-31,142.88,143.72,143.72,141.5,142.78,6998,996231.8,227
2022-11-01,142.78,142.0,146.48,137.9,142.38,22628,3243670.3,710
2022-11-02,142.38,142.38,145.5,142.25,144.02,15846,2281884.5,383
2022-11-03,144.02,139.43,146.95,139.43,143.12,21652,3119622.0,754
2022-11-04,143.12,140.05,145.48,130.18,134.35,68622,9404846.25,1659
2022-11-07,134.35,136.0,137.88,131.55,132.43,47668,6394372.6,1856
2022-11-09,132.43,132.52,134.82,130.8,131.98,72376,9553862.35,1486
2022-11-10,131.98,130.82,132.48,128.0,128.72,31020,4019588.5,1206
2022-11-11,128.72,129.55,132.35,122.6,124.88,57396,7283488.55,1728
2022-11-14,124.88,123.75,131.48,123.52,130.43,69016,8956423.95,1491
2022-11-15,130.43,131.25,134.32,128.55,130.95,25034,3269414.5,900
2022-11-16,130.95,130.5,132.28,128.05,129.3,23862,3096835.65,671
2022-11-17,129.3,131.35,131.35,125.0,126.52,20000,2563104.3,763
