Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-01-02,452.97,452.0,464.0,434.67,452.37,99043.5,44646274.55,4041
2017-01-03,452.37,455.27,476.67,447.97,469.3,156681.0,73091014.65,4862
2017-01-04,469.3,467.33,478.47,453.47,461.5,48795.0,22864349.05,1920
2017-01-05,461.5,464.5,476.47,456.67,458.43,13203.0,6118072.75,957
2017-01-06,458.43,456.7,470.0,450.0,453.27,12079.5,5524181.35,742
2017-01-09,453.27,446.7,463.33,446.67,460.13,15166.5,6957117.05,798
2017-01-10,460.13,460.67,469.93,453.4,467.83,22987.5,10739847.65,934
2017-01-11,467.83,469.2,478.0,460.03,469.57,34006.5,16028903.8,1497
2017-01-12,469.57,464.03,471.27,456.93,460.77,8352.0,3879175.55,420
2017-01-13,460.77,457.4,464.67,456.67,460.03,6760.5,3101253.45,223
2017-01-16,460.03,460.03,461.23,454.07,455.63,3219.0,1473024.8,210
2017-01-17,455.63,461.97,465.13,453.4,457.4,4027.5,1846096.4,381
2017-01-18,457.4,457.33,466.67,457.33,464.73,4201.5,1945445.2,231
2017-01-19,464.73,463.33,466.67,455.33,465.13,2946.0,1368242.75,169
2017-01-20,465.13,461.33,461.33,451.5,455.47,10743.0,4917015.9,351
2017-01-23,455.47,452.77,461.97,452.03,454.6,4575.0,2084805.95,99
2017-01-24,454.6,452.17,459.93,452.17,456.3,3709.5,1694379.5,136
2017-01-25,456.3,456.67,459.63,452.67,453.87,5950.5,2701913.6,139
2017-01-27,453.87,459.3,459.3,452.67,453.67,3021.0,1371493.35,143
2017-01-30,453.67,457.93,457.93,446.7,449.57,6811.5,3063638.65,221
2017-01-31,449.57,449.57,453.27,435.63,440.3,4524.0,2009617.25,357
2017-02-01,440.3,443.27,443.33,440.0,441.03,1272.0,561326.5,125
2017-02-02,441.03,446.5,446.7,437.03,440.8,2707.5,1197087.5,190
2017-02-03,440.8,436.77,451.33,436.77,446.17,3948.0,1757767.2,302
2017-02-06,446.17,444.67,451.27,440.67,443.43,3448.5,1531849.25,261
2017-02-07,443.43,442.67,451.93,440.6,447.3,3415.5,1522234.95,210
2017-02-08,447.3,446.0,449.23,443.33,445.27,2568.0,1144286.8,187
2017-02-09,445.27,456.63,500.53,443.5,457.37,347254.5,164989121.8,11913
2017-02-10,457.37,461.33,470.0,450.4,463.13,49020.0,22722994.5,1619
2017-02-13,463.13,468.0,468.0,454.67,459.0,6969.0,3201836.55,502
2017-02-14,459.0,466.67,471.33,454.17,460.0,8322.0,3840758.7,599
2017-02-15,460.0,453.83,459.9,447.33,451.3,79057.5,35836463.4,367
2017-02-16,451.3,458.67,458.67,439.43,443.73,23611.5,10566349.65,1715
2017-02-17,443.73,453.3,453.33,446.8,452.1,7734.0,3497007.7,553
2017-02-20,452.1,453.33,453.33,440.0,448.97,8958.0,4038889.45,189
